# "Odd core neighbor" fingerprints by Collatz odd-to-odd stopping distance
#
# `dist`    the number of odd-to-odd Collatz for n steps to reach 1
# `n`       a positive odd integer
# `nl`      the odd core valuation of the even number n-1 to the left of odd n
# `nr`      the odd core valuation of the even number n+1 to the right of odd n
# `base2`   the binary representation of n
# `factors` the prime factors of n

dist,    n,       nl,       nr,       base2, factors
   8,  273,   (17 4),  (137 1),   100010001, {3 7 13}
   8,  289,    (9 5),  (145 1),   100100001, {17}
   8,  525,  (131 2),  (263 1),  1000001101, {3 5 7}
   8,  529,   (33 4),  (265 1),  1000010001, {23}
   8,  533,  (133 2),  (267 1),  1000010101, {13 41}
   8,  547,  (273 1),  (137 2),  1000100011, {547}
   8,  555,  (277 1),  (139 2),  1000101011, {3 5 37}
   8,  571,  (285 1),  (143 2),  1000111011, {571}
   8,  577,    (9 6),  (289 1),  1001000001, {577}
   8,  579,  (289 1),  (145 2),  1001000011, {3 193}
   8,  583,  (291 1),   (73 3),  1001000111, {11 53}
   8,  633,   (79 3),  (317 1),  1001111001, {3 211}
   8,  635,  (317 1),  (159 2),  1001111011, {5 127}
   9,   43,   (21 1),   (11 2),      101011, {43}
   9,   87,   (43 1),   (11 3),     1010111, {3 29}
   9,   89,   (11 3),   (45 1),     1011001, {89}
   9,  173,   (43 2),   (87 1),    10101101, {173}
   9,  177,   (11 4),   (89 1),    10110001, {3 59}
   9,  179,   (89 1),   (45 2),    10110011, {179}
   9,  349,   (87 2),  (175 1),   101011101, {349}
   9,  355,  (177 1),   (89 2),   101100011, {5 71}
   9,  357,   (89 2),  (179 1),   101100101, {3 7 17}
   9,  385,    (3 7),  (193 1),   110000001, {5 7 11}
   9,  423,  (211 1),   (53 3),   110100111, {3 47}
   9,  693,  (173 2),  (347 1),  1010110101, {3 7 11}
   9,  705,   (11 6),  (353 1),  1011000001, {3 5 47}
   9,  709,  (177 2),  (355 1),  1011000101, {709}
   9,  717,  (179 2),  (359 1),  1011001101, {3 239}
   9,  729,   (91 3),  (365 1),  1011011001, {3}
   9,  761,   (95 3),  (381 1),  1011111001, {761}
   9,  769,    (3 8),  (385 1),  1100000001, {769}
   9,  771,  (385 1),  (193 2),  1100000011, {3 257}
   9,  777,   (97 3),  (389 1),  1100001001, {3 7 37}
   9,  847,  (423 1),   (53 4),  1101001111, {7 11}
  10,   57,    (7 3),   (29 1),      111001, {3 19}
  10,   59,   (29 1),   (15 2),      111011, {59}
  10,  115,   (57 1),   (29 2),     1110011, {5 23}
  10,  119,   (59 1),   (15 3),     1110111, {7 17}
  10,  229,   (57 2),  (115 1),    11100101, {229}
  10,  237,   (59 2),  (119 1),    11101101, {3 79}
  10,  461,  (115 2),  (231 1),   111001101, {461}
  10,  465,   (29 4),  (233 1),   111010001, {3 5 31}
  10,  473,   (59 3),  (237 1),   111011001, {11 43}
  10,  477,  (119 2),  (239 1),   111011101, {3 53}
  10,  507,  (253 1),  (127 2),   111111011, {3 13}
  10,  513,    (1 9),  (257 1),  1000000001, {3 19}
  10,  917,  (229 2),  (459 1),  1110010101, {7 131}
  10,  931,  (465 1),  (233 2),  1110100011, {7 19}
  10,  943,  (471 1),   (59 4),  1110101111, {23 41}
  10,  945,   (59 4),  (473 1),  1110110001, {3 5 7}
  10,  947,  (473 1),  (237 2),  1110110011, {947}
  10,  949,  (237 2),  (475 1),  1110110101, {13 73}
  10,  971,  (485 1),  (243 2),  1111001011, {971}
  10,  987,  (493 1),  (247 2),  1111011011, {3 7 47}
  11,   39,   (19 1),    (5 3),      100111, {3 13}
  11,   79,   (39 1),    (5 4),     1001111, {79}
  11,  153,   (19 3),   (77 1),    10011001, {3 17}
  11,  157,   (39 2),   (79 1),    10011101, {157}
  11,  305,   (19 4),  (153 1),   100110001, {5 61}
  11,  307,  (153 1),   (77 2),   100110011, {307}
  11,  315,  (157 1),   (79 2),   100111011, {3 5 7}
  11,  317,   (79 2),  (159 1),   100111101, {317}
  11,  611,  (305 1),  (153 2),  1001100011, {13 47}
  11,  613,  (153 2),  (307 1),  1001100101, {613}
  11,  629,  (157 2),  (315 1),  1001110101, {17 37}
  11,  631,  (315 1),   (79 3),  1001110111, {631}
  11,  647,  (323 1),   (81 3),  1010000111, {647}
  11,  683,  (341 1),  (171 2),  1010101011, {683}
  11,  687,  (343 1),   (43 4),  1010101111, {3 229}
  12,  105,   (13 3),   (53 1),     1101001, {3 5 7}
  12,  203,  (101 1),   (51 2),    11001011, {7 29}
  12,  209,   (13 4),  (105 1),    11010001, {11 19}
  12,  211,  (105 1),   (53 2),    11010011, {211}
  12,  407,  (203 1),   (51 3),   110010111, {11 37}
  12,  409,   (51 3),  (205 1),   110011001, {409}
  12,  419,  (209 1),  (105 2),   110100011, {419}
  12,  421,  (105 2),  (211 1),   110100101, {421}
  12,  431,  (215 1),   (27 4),   110101111, {431}
  12,  455,  (227 1),   (57 3),   111000111, {5 7 13}
  12,  813,  (203 2),  (407 1),  1100101101, {3 271}
  12,  817,   (51 4),  (409 1),  1100110001, {19 43}
  12,  819,  (409 1),  (205 2),  1100110011, {3 7 13}
  12,  827,  (413 1),  (207 2),  1100111011, {827}
  12,  837,  (209 2),  (419 1),  1101000101, {3 31}
  12,  841,  (105 3),  (421 1),  1101001001, {29}
  12,  843,  (421 1),  (211 2),  1101001011, {3 281}
  12,  845,  (211 2),  (423 1),  1101001101, {5 13}
  12,  863,  (431 1),   (27 5),  1101011111, {863}
  12,  911,  (455 1),   (57 4),  1110001111, {911}
  13,  135,   (67 1),   (17 3),    10000111, {3 5}
  13,  139,   (69 1),   (35 2),    10001011, {139}
  13,  271,  (135 1),   (17 4),   100001111, {271}
  13,  279,  (139 1),   (35 3),   100010111, {3 31}
  13,  281,   (35 3),  (141 1),   100011001, {281}
