# Odd core environment

This is a list of the first 10000 integers in consecutive order. For every `n`:
- `oc` is the 2-adic "odd core" of the number, after removing all factors of 2. For odd numbers, oc is the number itself.
- `k` is the 2-adic exponent, the number of halvings (n = oc * 2^k). For odd numbers, k is always 0.
- `dist` is the odd-to-odd Collatz stopping distance of oc.
- `base3` and `base2` representations of the oc are given.
- residues of oc modulo a set of small primes then follow (`m3`, `m5`, etc)

oc,k,dist,base3,base2,m3,m5,m7,m11,m13,m17,m19,m23,m29
101,0,7,10202,1100101,2,1,3,2,10,16,6,9,14
51,1,7,1220,110011,0,1,2,7,12,0,13,5,22
103,0,31,10211,1100111,1,3,5,4,12,1,8,11,16
13,3,2,111,1101,1,3,6,2,0,13,13,13,13
105,0,12,10220,1101001,0,0,0,6,1,3,10,13,18
53,1,2,1222,110101,2,3,4,9,1,2,15,7,24
107,0,36,10222,1101011,2,2,2,8,3,5,12,15,20
27,2,41,1000,11011,0,2,6,5,1,10,8,4,27
109,0,41,11001,1101101,1,4,4,10,5,7,14,17,22
55,1,41,2001,110111,1,0,6,0,3,4,17,9,26
111,0,24,11010,1101111,0,1,6,1,7,9,16,19,24
7,4,5,21,111,1,2,0,7,7,7,7,7,7
113,0,2,11012,1110001,2,3,1,3,9,11,18,21,26
57,1,10,2010,111001,0,2,1,2,5,6,0,11,28
115,0,10,11021,1110011,1,0,3,5,11,13,1,0,28
29,2,5,1002,11101,2,4,1,7,3,12,10,6,0
117,0,5,11100,1110101,0,2,5,7,0,15,3,2,1
59,1,10,2012,111011,2,4,3,4,7,8,2,13,1
119,0,10,11102,1110111,2,4,0,9,2,0,5,4,3
15,3,5,120,1111,0,0,1,4,2,15,15,15,15
121,0,34,11111,1111001,1,1,2,0,4,2,7,6,5
61,1,5,2021,111101,1,1,5,6,9,10,4,15,3
123,0,15,11120,1111011,0,3,4,2,6,4,9,8,7
31,2,39,1011,11111,1,1,3,9,5,14,12,8,2
125,0,39,11122,1111101,2,0,6,4,8,6,11,10,9
63,1,39,2100,111111,0,3,0,8,11,12,6,17,5
127,0,15,11201,1111111,1,2,1,6,10,8,13,12,11
1,7,0,1,1,1,1,1,1,1,1,1,1,1
129,0,44,11210,10000001,0,4,3,8,12,10,15,14,13
65,1,8,2102,1000001,2,0,2,10,0,14,8,19,7
131,0,8,11212,10000011,2,1,5,10,1,12,17,16,15
33,2,8,1020,100001,0,3,5,0,7,16,14,10,4
133,0,8,11221,10000101,1,3,0,1,3,14,0,18,17
67,1,8,2111,1000011,1,2,4,1,2,16,10,21,9
135,0,13,12000,10000111,0,0,2,3,5,16,2,20,19
17,3,3,122,10001,2,2,3,6,4,0,17,17,17
137,0,32,12002,10001001,2,2,4,5,7,1,4,22,21
69,1,3,2120,1000101,0,4,6,3,4,1,12,0,11
139,0,13,12011,10001011,1,4,6,7,9,3,6,1,23
35,2,3,1022,100011,2,0,0,2,9,1,16,12,6
141,0,3,12020,10001101,0,1,1,9,11,5,8,3,25
71,1,37,2122,1000111,2,1,1,5,6,3,14,2,13
143,0,37,12022,10001111,2,3,3,0,0,7,10,5,27
9,4,6,100,1001,0,4,2,9,9,9,9,9,9
145,0,42,12101,10010001,1,0,5,2,2,9,12,7,0
73,1,42,2201,1001001,1,3,3,7,8,5,16,4,15
147,0,42,12110,10010011,0,2,0,4,4,11,14,9,2
37,2,6,1101,100101,1,2,2,4,11,3,18,14,8
149,0,6,12112,10010101,2,4,2,6,6,13,16,11,4
75,1,3,2210,1001011,0,0,5,9,10,7,18,6,17
151,0,3,12121,10010111,1,1,4,8,8,15,18,13,6
19,3,6,201,10011,1,4,5,8,6,2,0,19,19
153,0,11,12200,10011001,0,3,6,10,10,0,1,15,8
77,1,6,2212,1001101,2,2,0,0,12,9,1,8,19
155,0,30,12202,10011011,2,0,1,1,12,2,3,17,10
39,2,11,1110,100111,0,4,4,6,0,5,1,16,10
157,0,11,12211,10011101,1,2,3,3,1,4,5,19,12
79,1,11,2221,1001111,1,4,2,2,1,11,3,10,21
159,0,18,12220,10011111,0,4,5,5,3,6,7,21,14
5,5,1,12,101,2,0,5,5,5,5,5,5,5
161,0,35,12222,10100001,2,1,0,7,5,8,9,0,16
81,1,6,10000,1010001,0,1,4,4,3,13,5,12,23
163,0,6,20001,10100011,1,3,2,9,7,10,11,2,18
41,2,40,1112,101001,2,1,6,8,2,7,3,18,12
165,0,40,20010,10100101,0,0,4,0,9,12,13,4,20
83,1,40,10002,1010011,2,3,6,6,5,15,7,14,25
167,0,23,20012,10100111,2,2,6,2,11,14,15,6,22
21,3,1,210,10101,0,1,0,10,8,4,2,21,21
169,0,16,20021,10101001,1,4,1,4,0,16,17,8,24
85,1,1,10011,1010101,1,0,1,8,7,0,9,16,27
171,0,45,20100,10101011,0,1,3,6,2,1,0,10,26
43,2,9,1121,101011,1,3,1,10,4,9,5,20,14
173,0,9,20102,10101101,2,3,5,8,4,3,2,12,28
87,1,9,10020,1010111,0,2,3,10,9,2,11,18,0
175,0,28,20111,10101111,1,0,0,10,6,5,4,14,1
11,4,4,102,1011,2,1,4,0,11,11,11,11,11
177,0,9,20120,10110001,0,2,2,1,8,7,6,16,3
89,1,9,10022,1011001,2,4,5,1,11,4,13,20,2
179,0,9,20122,10110011,2,4,4,3,10,9,8,18,5
45,2,4,1200,101101,0,0,3,1,6,11,7,22,16
181,0,4,20201,10110101,1,1,6,5,12,11,10,20,7
91,1,33,10101,1011011,1,1,0,3,0,6,15,22,4
183,0,33,20210,10110111,0,3,1,7,1,13,12,22,9
23,3,4,212,10111,2,3,2,1,10,6,4,0,23
185,0,14,20212,10111001,2,0,3,9,3,15,14,1,11
93,1,4,10110,1011101,0,3,2,5,2,8,17,1,6
187,0,14,20221,10111011,1,2,5,0,5,0,16,3,13
47,2,38,1202,101111,2,2,5,3,8,13,9,1,18
189,0,38,21000,10111101,0,4,0,2,7,2,18,5,15
95,1,38,10112,1011111,2,0,4,7,4,10,0,3,8
191,0,14,21002,10111111,2,1,2,4,9,4,1,7,17
3,6,2,10,11,0,3,3,3,3,3,3,3,3
193,0,43,21011,11000001,1,3,4,6,11,6,3,9,19
97,1,43,10121,1100001,1,2,6,9,6,12,2,5,10
195,0,43,21020,11000011,0,0,6,8,0,8,5,11,21
49,2,7,1211,110001,1,4,0,5,10,15,11,3,20
197,0,7,21022,11000101,2,2,1,10,2,10,7,13,23
99,1,7,10200,1100011,0,4,1,0,8,14,4,7,12
199,0,43,21101,11000111,1,4,3,1,4,12,9,15,25
25,3,7,221,11001,1,0,4,3,12,8,6,2,25
201,0,4,21110,11001001,0,1,5,3,6,14,11,17,27
101,1,7,10202,1100101,2,1,3,2,10,16,6,9,14
203,0,12,21112,11001011,2,3,0,5,8,16,13,19,0
51,2,7,1220,110011,0,1,2,7,12,0,13,5,22
205,0,7,21121,11001101,1,0,2,7,10,1,15,21,2
103,1,31,10211,1100111,1,3,5,4,12,1,8,11,16
207,0,31,21200,11001111,0,2,4,9,12,3,17,0,4
13,4,2,111,1101,1,3,6,2,0,13,13,13,13
209,0,12,21202,11010001,2,4,6,0,1,5,0,2,6
105,1,12,10220,1101001,0,0,0,6,1,3,10,13,18
211,0,12,21211,11010011,1,1,1,2,3,7,2,4,8
53,2,2,1222,110101,2,3,4,9,1,2,15,7,24
213,0,2,21220,11010101,0,3,3,4,5,9,4,6,10
107,1,36,10222,1101011,2,2,2,8,3,5,12,15,20
215,0,36,21222,11010111,2,0,5,6,7,11,6,8,12
27,3,41,1000,11011,0,2,6,5,1,10,8,4,27
217,0,7,22001,11011001,1,2,0,8,9,13,8,10,14
109,1,41,11001,1101101,1,4,4,10,5,7,14,17,22
219,0,17,22010,11011011,0,4,2,10,11,15,10,12,16
55,2,41,2001,110111,1,0,6,0,3,4,17,9,26
221,0,41,22012,11011101,2,1,4,1,0,0,12,14,18
111,1,24,11010,1101111,0,1,6,1,7,9,16,19,24
223,0,24,22021,11011111,1,3,6,3,2,2,14,16,20
7,5,5,21,111,1,2,0,7,7,7,7,7,7
225,0,17,22100,11100001,0,0,1,5,4,4,16,18,22
113,1,2,11012,1110001,2,3,1,3,9,11,18,21,26
227,0,2,22102,11100011,2,2,3,7,6,6,18,20,24
57,2,10,2010,111001,0,2,1,2,5,6,0,11,28
229,0,10,22111,11100101,1,4,5,9,8,8,1,22,26
115,1,10,11021,1110011,1,0,3,5,11,13,1,0,28
231,0,46,22120,11100111,0,1,0,0,10,10,3,1,28
29,3,5,1002,11101,2,4,1,7,3,12,10,6,0
233,0,29,22122,11101001,2,3,2,2,12,12,5,3,1
117,1,5,11100,1110101,0,2,5,7,0,15,3,2,1
235,0,46,22201,11101011,1,0,4,4,1,14,7,5,3
59,2,10,2012,111011,2,4,3,4,7,8,2,13,1
237,0,10,22210,11101101,0,2,6,6,3,16,9,7,5
119,1,10,11102,1110111,2,4,0,9,2,0,5,4,3
239,0,17,22212,11101111,2,4,1,8,5,1,11,9,7
15,4,5,120,1111,0,0,1,4,2,15,15,15,15
241,0,5,22221,11110001,1,1,3,10,7,3,13,11,9
121,1,34,11111,1111001,1,1,2,0,4,2,7,6,5
243,0,34,100000,11110011,0,3,5,1,9,5,15,13,11
61,2,5,2021,111101,1,1,5,6,9,10,4,15,3
245,0,5,100002,11110101,2,0,0,3,11,7,17,15,13
123,1,15,11120,1111011,0,3,4,2,6,4,9,8,7
247,0,15,100011,11110111,1,2,2,5,0,9,0,17,15
31,3,39,1011,11111,1,1,3,9,5,14,12,8,2
249,0,15,100020,11111001,0,4,4,7,2,11,2,19,17
125,1,39,11122,1111101,2,0,6,4,8,6,11,10,9
251,0,22,100022,11111011,2,1,6,9,4,13,4,21,19
63,2,39,2100,111111,0,3,0,8,11,12,6,17,5
253,0,39,100101,11111101,1,3,1,0,6,15,6,0,21
127,1,15,11201,1111111,1,2,1,6,10,8,13,12,11
255,0,15,100110,11111111,0,0,3,2,8,0,8,2,23
1,8,0,1,1,1,1,1,1,1,1,1,1,1
257,0,44,100112,100000001,2,2,5,4,10,2,10,4,25
129,1,44,11210,10000001,0,4,3,8,12,10,15,14,13
259,0,44,100121,100000011,1,4,0,6,12,4,12,6,27
65,2,8,2102,1000001,2,0,2,10,0,14,8,19,7
261,0,8,100200,100000101,0,1,2,8,1,6,14,8,0
131,1,8,11212,10000011,2,1,5,10,1,12,17,16,15
263,0,27,100202,100000111,2,3,4,10,3,8,16,10,2
33,3,8,1020,100001,0,3,5,0,7,16,14,10,4
265,0,44,100211,100001001,1,0,6,1,5,10,18,12,4
133,1,8,11221,10000101,1,3,0,1,3,14,0,18,17
267,0,5,100220,100001011,0,2,1,3,7,12,1,14,6
67,2,8,2111,1000011,1,2,4,1,2,16,10,21,9
269,0,8,100222,100001101,2,4,3,5,9,14,3,16,8
135,1,13,12000,10000111,0,0,2,3,5,16,2,20,19
271,0,13,101001,100001111,1,1,5,7,11,16,5,18,10
17,4,3,122,10001,2,2,3,6,4,0,17,17,17
273,0,8,101010,100010001,0,3,0,9,0,1,7,20,12
