# Odd core environment

This is a list of the first 10000 integers in consecutive order. For every `n`:
- `oc` is the 2-adic "odd core" of the number, after removing all factors of 2. For odd numbers, oc is the number itself.
- `k` is the 2-adic exponent, the number of halvings (n = oc * 2^k). For odd numbers, k is always 0.
- `dist` is the odd-to-odd Collatz stopping distance of oc.
- `base3` and `base2` representations of the oc are given.
- residues of oc modulo a set of small primes then follow (`m3`, `m5`, etc)

oc,k,dist,base3,base2,m3,m5,m7,m11,m13,m17,m19,m23,m29
1995,0,15,2201220,11111001011,0,0,0,4,6,6,0,17,23
499,2,15,200111,111110011,1,4,2,4,5,6,5,16,6
1997,0,15,2201222,11111001101,2,2,2,6,8,8,2,19,25
999,1,15,1101000,1111100111,0,4,5,9,11,13,11,10,13
1999,0,15,2202001,11111001111,1,4,4,8,10,10,4,21,27
125,4,39,11122,1111101,2,0,6,4,8,6,11,10,9
2001,0,15,2202010,11111010001,0,1,6,10,12,12,6,0,0
1001,1,51,1101002,1111101001,2,1,0,0,0,15,13,12,15
2003,0,51,2202012,11111010011,2,3,1,1,1,14,8,2,2
501,2,39,200120,111110101,0,1,4,6,7,8,7,18,8
2005,0,39,2202021,11111010101,1,0,3,3,3,16,10,4,4
1003,1,12,1101011,1111101011,1,3,2,2,2,0,15,14,17
2007,0,12,2202100,11111010111,0,2,5,5,5,1,12,6,6
251,3,22,100022,11111011,2,1,6,9,4,13,4,21,19
2009,0,5,2202102,11111011001,2,4,0,7,7,3,14,8,8
1005,1,22,1101020,1111101101,0,0,4,4,4,2,17,16,19
2011,0,12,2202111,11111011011,1,1,2,9,9,5,16,10,10
503,2,22,200122,111110111,2,3,6,8,9,10,9,20,10
2013,0,22,2202120,11111011101,0,3,4,0,11,7,18,12,12
1007,1,32,1101022,1111101111,2,2,6,6,6,4,0,18,21
2015,0,32,2202122,11111011111,2,0,6,2,0,9,1,14,14
63,5,39,2100,111111,0,3,0,8,11,12,6,17,5
2017,0,22,2202201,11111100001,1,2,1,4,2,11,3,16,16
1009,1,39,1101101,1111110001,1,4,1,8,8,6,2,20,23
2019,0,39,2202210,11111100011,0,4,3,6,4,13,5,18,18
505,2,20,200201,111111001,1,0,1,10,11,12,11,22,12
2021,0,20,2202212,11111100101,2,1,5,8,6,15,7,20,20
1011,1,20,1101110,1111110011,0,1,3,10,10,8,4,22,25
2023,0,56,2202221,11111100111,1,3,0,10,8,0,9,22,22
253,3,39,100101,11111101,1,3,1,0,6,15,6,0,21
2025,0,56,2210000,11111101001,0,0,2,1,10,2,11,1,24
1013,1,39,1101112,1111110101,2,3,5,1,12,10,6,1,27
2027,0,56,2210002,11111101011,2,2,4,3,12,4,13,3,26
507,2,10,200210,111111011,0,2,3,1,0,14,13,1,14
2029,0,10,2210011,11111101101,1,4,6,5,1,6,15,5,28
1015,1,10,1101121,1111110111,1,0,0,3,1,12,8,3,0
2031,0,20,2210020,11111101111,0,1,1,7,3,8,17,7,1
127,4,15,11201,1111111,1,2,1,6,10,8,13,12,11
2033,0,39,2210022,11111110001,2,3,3,9,5,10,0,9,3
1017,1,56,1101200,1111111001,0,2,2,5,3,14,10,5,2
2035,0,56,2210101,11111110011,1,0,5,0,7,12,2,11,5
509,2,15,200212,111111101,2,4,5,3,2,16,15,3,16
2037,0,15,2210110,11111110101,0,2,0,2,9,14,4,13,7
1019,1,20,1101202,1111111011,2,4,4,7,5,16,12,7,4
2039,0,20,2210112,11111110111,2,4,2,4,11,16,6,15,9
255,3,15,100110,11111111,0,0,3,2,8,0,8,2,23
2041,0,20,2210121,11111111001,1,1,4,6,0,1,8,17,11
1021,1,15,1101211,1111111101,1,1,6,9,7,1,14,9,6
2043,0,56,2210200,11111111011,0,3,6,8,2,3,10,19,13
511,2,20,200221,111111111,1,1,0,5,4,1,17,5,18
2045,0,20,2210202,11111111101,2,0,1,10,4,5,12,21,15
1023,1,20,1101220,1111111111,0,3,1,0,9,3,16,11,8
2047,0,56,2210211,11111111111,1,2,3,1,6,7,14,0,17
1,11,0,1,1,1,1,1,1,1,1,1,1,1
2049,0,56,2210220,100000000001,0,4,5,3,8,9,16,2,19
1025,1,10,1101222,10000000001,2,0,3,2,11,5,18,13,10
2051,0,10,2210222,100000000011,2,1,0,5,10,11,18,4,21
513,2,10,201000,1000000001,0,3,2,7,6,3,0,7,20
2053,0,10,2211001,100000000101,1,3,2,7,12,13,1,6,23
1027,1,10,1102001,10000000011,1,2,5,4,0,7,1,15,12
2055,0,10,2211010,100000000111,0,0,4,9,1,15,3,8,25
257,3,44,100112,100000001,2,2,5,4,10,2,10,4,25
2057,0,39,2211012,100000001001,2,2,6,0,3,0,5,10,27
1029,1,44,1102010,10000000101,0,4,0,6,2,9,3,17,14
2059,0,10,2211021,100000001011,1,4,1,2,5,2,7,12,0
515,2,44,201002,1000000011,2,0,4,9,8,5,2,9,22
2061,0,44,2211100,100000001101,0,1,3,4,7,4,9,14,2
1031,1,10,1102012,10000000111,2,1,2,8,4,11,5,19,16
2063,0,10,2211102,100000001111,2,3,5,6,9,6,11,16,4
129,4,44,11210,10000001,0,4,3,8,12,10,15,14,13
2065,0,44,2211111,100000010001,1,0,0,8,11,8,13,18,6
1033,1,56,1102021,10000001001,1,3,4,10,6,13,7,21,18
2067,0,56,2211120,100000010011,0,2,2,10,0,10,15,20,8
517,2,44,201011,1000000101,1,2,6,0,10,7,4,11,24
2069,0,44,2211122,100000010101,2,4,4,1,2,12,17,22,10
1035,1,44,1102100,10000001011,0,0,6,1,8,15,9,0,20
2071,0,44,2211201,100000010111,1,1,6,3,4,14,0,1,12
259,3,44,100121,100000011,1,4,0,6,12,4,12,6,27
2073,0,10,2211210,100000011001,0,3,1,5,6,16,2,3,14
1037,1,44,1102102,10000001101,2,2,1,3,10,0,11,2,22
2075,0,32,2211212,100000011011,2,0,3,7,8,1,4,5,16
519,2,20,201020,1000000111,0,4,1,2,12,9,6,13,26
2077,0,20,2211221,100000011101,1,2,5,9,10,3,6,7,18
1039,1,20,1102111,10000001111,1,4,3,5,12,2,13,4,24
2079,0,15,2212000,100000011111,0,4,0,0,12,5,8,9,20
65,5,8,2102,1000001,2,0,2,10,0,14,8,19,7
2081,0,20,2212002,100000100001,2,1,2,2,1,7,10,11,22
1041,1,44,1102120,10000010001,0,1,5,7,1,4,15,6,26
2083,0,44,2212011,100000100011,1,3,4,4,3,9,12,13,24
521,2,44,201022,1000001001,2,1,3,4,1,11,8,15,28
2085,0,44,2212020,100000100101,0,0,6,6,5,11,14,15,26
1043,1,44,1102122,10000010011,2,3,0,9,3,6,17,8,28
2087,0,39,2212022,100000100111,2,2,1,8,7,13,16,17,28
261,3,8,100200,100000101,0,1,2,8,1,6,14,8,0
2089,0,20,2212101,100000101001,1,4,3,10,9,15,18,19,1
1045,1,8,1102201,10000010101,1,0,2,0,5,8,0,10,1
2091,0,10,2212110,100000101011,0,1,5,1,11,0,1,21,3
523,2,44,201101,1000001011,1,3,5,6,3,13,10,17,1
2093,0,44,2212112,100000101101,2,3,0,3,0,2,3,0,5
1047,1,44,1102210,10000010111,0,2,4,2,7,10,2,12,3
2095,0,37,2212121,100000101111,1,0,2,5,2,4,5,2,7
131,4,8,11212,10000011,2,1,5,10,1,12,17,16,15
2097,0,20,2212200,100000110001,0,2,4,7,4,6,7,4,9
1049,1,20,1102212,10000011001,2,4,6,4,9,12,4,14,5
2099,0,20,2212202,100000110011,2,4,6,9,6,8,9,6,11
525,2,8,201110,1000001101,0,0,0,8,5,15,12,19,3
2101,0,8,2212211,100000110101,1,1,1,0,8,10,11,8,13
1051,1,32,1102221,10000011011,1,1,1,6,11,14,6,16,7
2103,0,32,2212220,100000110111,0,3,3,2,10,12,13,10,15
263,3,27,100202,100000111,2,3,4,10,3,8,16,10,2
2105,0,44,2212222,100000111001,2,0,5,4,12,14,15,12,17
1053,1,27,1110000,10000011101,0,3,3,8,0,16,8,18,9
2107,0,56,2220001,100000111011,1,2,0,6,1,16,17,14,19
527,2,27,201112,1000001111,2,2,2,10,7,0,14,21,5
2109,0,27,2220010,100000111101,0,4,2,8,3,1,0,16,21
1055,1,61,1110002,10000011111,2,0,5,10,2,1,10,20,11
2111,0,61,2220012,100000111111,2,1,4,10,5,3,2,18,23
33,6,8,1020,100001,0,3,5,0,7,16,14,10,4
2113,0,27,2220021,100001000001,1,3,6,1,7,5,4,20,25
1057,1,27,1110011,10000100001,1,2,0,1,4,3,12,22,13
2115,0,27,2220100,100001000011,0,0,1,3,9,7,6,22,27
529,2,8,201121,1000010001,1,4,4,1,9,2,16,0,7
2117,0,8,2220102,100001000101,2,2,3,5,11,9,8,1,0
1059,1,8,1110020,10000100011,0,4,2,3,6,5,14,1,15
2119,0,27,2220111,100001000111,1,4,5,7,0,11,10,3,2
265,3,44,100211,100001001,1,0,6,1,5,10,18,12,4
2121,0,37,2220120,100001001001,0,1,0,9,2,13,12,5,4
1061,1,44,1110022,10000100101,2,1,4,5,8,7,16,3,17
2123,0,8,2220122,100001001011,2,3,2,0,4,15,14,7,6
531,2,44,201200,1000010011,0,1,6,3,11,4,18,2,9
2125,0,44,2220201,100001001101,1,0,4,2,6,0,16,9,8
1063,1,25,1110101,10000100111,1,3,6,7,10,9,18,5,19
2127,0,25,2220210,100001001111,0,2,6,4,8,2,18,11,10
133,4,8,11221,10000101,1,3,0,1,3,14,0,18,17
2129,0,44,2220212,100001010001,2,4,1,6,10,4,1,13,12
1065,1,25,1110110,10000101001,0,0,1,9,12,11,1,7,21
2131,0,25,2220221,100001010011,1,1,3,8,12,6,3,15,14
533,2,8,201202,1000010101,2,3,1,5,0,6,1,4,11
2133,0,8,2221000,100001010101,0,3,5,10,1,8,5,17,16
1067,1,20,1110112,10000101011,2,2,3,0,1,13,3,9,23
2135,0,20,2221002,100001010111,2,0,0,1,3,10,7,19,18
267,3,5,100220,100001011,0,2,1,3,7,12,1,14,6
2137,0,20,2221011,100001011001,1,2,2,3,5,12,9,21,20
1069,1,5,1110121,10000101101,1,4,5,2,3,15,5,11,25
2139,0,25,2221020,100001011011,0,4,4,5,7,14,11,0,22
535,2,5,201211,1000010111,1,0,3,7,2,8,3,6,13
2141,0,5,2221022,100001011101,2,1,6,7,9,16,13,2,24
1071,1,61,1110200,10000101111,0,1,0,4,5,0,7,13,27
2143,0,61,2221101,100001011111,1,3,1,9,11,1,15,4,26
67,5,8,2111,1000011,1,2,4,1,2,16,10,21,9
2145,0,25,2221110,100001100001,0,0,3,0,0,3,17,6,28
1073,1,5,1110202,10000110001,2,3,2,6,7,2,9,15,0
2147,0,5,2221112,100001100011,2,2,5,2,2,5,0,8,1
537,2,5,201220,1000011001,0,2,5,9,4,10,5,8,15
2149,0,5,2221121,100001100101,1,4,0,4,4,7,2,10,3
1075,1,5,1110211,10000110011,1,0,4,8,9,4,11,17,2
2151,0,37,2221200,100001100111,0,1,2,6,6,9,4,12,5
269,3,8,100222,100001101,2,4,3,5,9,14,3,16,8
2153,0,25,2221202,100001101001,2,3,4,8,8,11,6,14,7
1077,1,8,1110220,10000110101,0,2,6,10,11,6,13,19,4
2155,0,61,2221211,100001101011,1,0,6,10,10,13,8,16,9
539,2,15,201222,1000011011,2,4,0,0,6,12,7,10,17
2157,0,15,2221220,100001101101,0,2,1,1,12,15,10,18,11
1079,1,15,1110222,10000110111,2,4,1,1,0,8,15,21,6
2159,0,44,2221222,100001101111,2,4,3,3,1,0,12,20,13
135,4,13,12000,10000111,0,0,2,3,5,16,2,20,19
2161,0,8,2222001,100001110001,1,1,5,5,3,2,14,22,15
1081,1,49,1111001,10000111001,1,1,3,3,2,10,17,0,8
2163,0,49,2222010,100001110011,0,3,0,7,5,4,16,1,17
541,2,13,202001,1000011101,1,1,2,2,8,14,9,12,19
2165,0,13,2222012,100001110101,2,0,2,9,7,6,18,3,19
1083,1,49,1111010,10000111011,0,3,5,5,4,12,0,2,10
2167,0,49,2222021,100001110111,1,2,4,0,9,8,1,5,21
271,3,13,101001,100001111,1,1,5,7,11,16,5,18,10
2169,0,25,2222100,100001111001,0,4,6,2,11,10,3,7,23
1085,1,13,1111012,10000111101,2,0,0,7,6,14,2,4,12
2171,0,15,2222102,100001111011,2,1,1,4,0,12,5,9,25
543,2,49,202010,1000011111,0,3,4,4,10,16,11,14,21
2173,0,49,2222111,100001111101,1,3,3,6,2,14,7,11,27
1087,1,49,1111021,10000111111,1,2,2,9,8,16,4,6,14
2175,0,25,2222120,100001111111,0,0,5,8,4,16,9,13,0
17,7,3,122,10001,2,2,3,6,4,0,17,17,17
2177,0,49,2222122,100010000001,2,2,0,10,6,1,11,15,2
1089,1,13,1111100,10001000001,0,4,4,0,10,1,6,8,16
2179,0,13,2222201,100010000011,1,4,2,1,8,3,13,17,4
545,2,13,202012,1000100001,2,0,6,6,12,1,13,16,23
2181,0,13,2222210,100010000101,0,1,4,3,10,5,15,19,6
1091,1,13,1111102,10001000011,2,1,6,2,12,3,8,10,18
2183,0,49,2222212,100010000111,2,3,6,5,12,7,17,21,8
273,3,8,101010,100010001,0,3,0,9,0,1,7,20,12
2185,0,37,2222221,100010001001,1,0,1,7,1,9,0,0,10
1093,1,8,1111111,10001000101,1,3,1,4,1,5,10,12,20
2187,0,25,10000000,100010001011,0,2,3,9,3,11,2,2,12
547,2,8,202021,1000100011,1,2,1,8,1,3,15,18,25
2189,0,8,10000002,100010001101,2,4,5,0,5,13,4,4,14
1095,1,25,1111120,10001000111,0,0,3,6,3,7,12,14,22
2191,0,25,10000011,100010001111,1,1,0,2,7,15,6,6,16
137,4,32,12002,10001001,2,2,4,5,7,1,4,22,21
2193,0,49,10000020,100010010001,0,3,2,4,9,0,8,8,18
1097,1,49,1111122,10001001001,2,2,5,8,5,9,14,16,24
2195,0,49,10000022,100010010011,2,0,4,6,11,2,10,10,20
549,2,32,202100,1000100101,0,4,3,10,3,5,17,20,27
2197,0,32,10000101,100010010101,1,2,6,8,0,4,12,12,22
1099,1,8,1111201,10001001011,1,4,0,10,7,11,16,18,26
2199,0,8,10000110,100010010111,0,4,1,10,2,6,14,14,24
275,3,32,101012,100010011,2,0,2,0,2,3,9,22,14
2201,0,49,10000112,100010011001,2,1,3,1,4,8,16,16,26
1101,1,32,1111210,10001001101,0,1,2,1,9,13,18,20,28
2203,0,15,10000121,100010011011,1,3,5,3,6,10,18,18,28
551,2,13,202102,1000100111,2,1,5,1,5,7,0,22,0
2205,0,13,10000200,100010011101,0,0,0,5,8,12,1,20,1
1103,1,13,1111212,10001001111,2,3,4,3,11,15,1,22,1
2207,0,61,10000202,100010011111,2,2,2,7,10,14,3,22,3
69,5,3,2120,1000101,0,4,6,3,4,1,12,0,11
2209,0,25,10000211,100010100001,1,4,4,9,12,16,5,1,5
1105,1,32,1111221,10001010001,1,0,6,5,0,0,3,1,3
2211,0,32,10000220,100010100011,0,1,6,0,1,1,7,3,7
553,2,49,202111,1000101001,1,3,0,3,7,9,2,1,2
2213,0,49,10000222,100010100101,2,3,1,2,3,3,9,5,9
1107,1,49,1112000,10001010011,0,2,1,7,2,2,5,3,5
2215,0,42,10001001,100010100111,1,0,3,4,5,5,11,7,11
277,3,3,101021,100010101,1,2,4,2,4,5,11,1,16
2217,0,25,10001010,100010101001,0,2,5,6,7,7,13,9,13
1109,1,3,1112002,10001010101,2,4,3,9,4,4,7,5,7
2219,0,32,10001012,100010101011,2,4,0,8,9,9,15,11,15
555,2,8,202120,1000101011,0,0,2,5,9,11,4,3,4
2221,0,8,10001021,100010101101,1,1,2,10,11,11,17,13,17
1111,1,8,1112011,10001010111,1,1,5,0,6,6,9,7,9
2223,0,66,10001100,100010101111,0,3,4,1,0,13,0,15,19
139,4,13,12011,10001011,1,4,6,7,9,3,6,1,23
2225,0,49,10001102,100010110001,2,0,6,3,2,15,2,17,21
1113,1,49,1112020,10001011001,0,3,0,2,8,8,11,9,11
2227,0,49,10001111,100010110011,1,2,1,5,4,0,4,19,23
557,2,13,202122,1000101101,2,2,4,7,11,13,6,5,6
2229,0,13,10001120,100010110101,0,4,3,7,6,2,6,21,25
1115,1,32,1112022,10001011011,2,0,2,4,10,10,13,11,13
2231,0,32,10001122,100010110111,2,1,5,9,8,4,8,0,27
279,3,13,101100,100010111,0,4,6,4,6,7,13,3,18
2233,0,49,10001201,100010111001,1,3,0,0,10,6,10,2,0
1117,1,13,1112101,10001011101,1,2,4,6,12,12,15,13,15
2235,0,13,10001210,100010111011,0,0,2,2,12,8,12,4,2
559,2,30,202201,1000101111,1,4,6,9,0,15,8,7,8
2237,0,30,10001212,100010111101,2,2,4,4,1,10,14,6,4
1119,1,30,1112110,10001011111,0,4,6,8,1,14,17,15,17
2239,0,49,10001221,100010111111,1,4,6,6,3,12,16,8,6
35,6,3,1022,100011,2,0,0,2,9,1,16,12,6
2241,0,13,10002000,100011000001,0,1,1,8,5,14,18,10,8
1121,1,13,1112112,10001100001,2,1,1,10,3,16,0,17,19
2243,0,13,10002002,100011000011,2,3,3,10,7,16,1,12,10
561,2,13,202210,1000110001,0,1,1,0,2,0,10,9,10
2245,0,13,10002011,100011000101,1,0,5,1,9,1,3,14,12
1123,1,13,1112121,10001100011,1,3,3,1,5,1,2,19,21
2247,0,25,10002020,100011000111,0,2,0,3,11,3,5,16,14
281,3,13,101102,100011001,2,1,1,6,8,9,15,5,20
2249,0,13,10002022,100011001001,2,4,2,5,0,5,7,18,16
1125,1,13,1112200,10001100101,0,0,5,3,7,3,4,21,23
2251,0,10,10002101,100011001011,1,1,4,7,2,7,9,20,18
563,2,13,202212,1000110011,2,3,3,2,4,2,12,11,12
2253,0,13,10002110,100011001101,0,3,6,9,4,9,11,22,20
1127,1,49,1112202,10001100111,2,2,0,5,9,5,6,0,25
2255,0,49,10002112,100011001111,2,0,1,0,6,11,13,1,22
141,4,3,12020,10001101,0,1,1,9,11,5,8,3,25
2257,0,10,10002121,100011010001,1,2,3,2,8,13,15,3,24
1129,1,10,1112211,10001101001,1,4,2,7,11,7,8,2,27
2259,0,10,10002200,100011010011,0,4,5,4,10,15,17,5,26
565,2,3,202221,1000110101,1,0,5,4,6,4,14,13,14
2261,0,3,10002202,100011010101,2,1,0,6,12,0,0,7,28
1131,1,10,1112220,10001101011,0,1,4,9,0,9,10,4,0
2263,0,10,10002211,100011010111,1,3,2,8,1,2,2,9,1
283,3,20,101111,100011011,1,3,3,8,10,11,17,7,22
2265,0,20,10002220,100011011001,0,0,4,10,3,4,4,11,3
1133,1,20,1112222,10001101101,2,3,6,0,2,11,12,6,2
2267,0,30,10002222,100011011011,2,2,6,1,5,6,6,13,5
567,2,20,210000,1000110111,0,2,0,6,8,6,16,15,16
2269,0,20,10010001,100011011101,1,4,1,3,7,8,8,15,7
1135,1,20,1120001,10001101111,1,0,1,2,4,13,14,8,4
2271,0,20,10010010,100011011111,0,1,3,5,9,10,10,17,9
71,5,37,2122,1000111,2,1,1,5,6,3,14,2,13
2273,0,49,10010012,100011100001,2,3,5,7,11,12,12,19,11
1137,1,3,1120010,10001110001,0,2,3,4,6,15,16,10,6
2275,0,3,10010021,100011100011,1,0,0,9,0,14,14,21,13
569,2,18,210002,1000111001,2,4,2,8,10,8,18,17,18
2277,0,18,10010100,100011100101,0,2,2,0,2,16,16,0,15
1139,1,18,1120012,10001110011,2,4,5,6,8,0,18,12,8
2279,0,54,10010102,100011100111,2,4,4,2,4,1,18,2,17
285,3,37,101120,100011101,0,0,5,10,12,13,0,9,24
2281,0,54,10010111,100011101001,1,1,6,4,6,3,1,4,19
1141,1,37,1120021,10001110101,1,1,0,8,10,2,1,14,10
2283,0,18,10010120,100011101011,0,3,1,6,8,5,3,6,21
571,2,8,210011,1000111011,1,1,4,10,12,10,1,19,20
2285,0,8,10010122,100011101101,2,0,3,8,10,7,5,8,23
1143,1,8,1120100,10001110111,0,3,2,10,12,4,3,16,12
2287,0,42,10010201,100011101111,1,2,5,10,12,9,7,10,25
143,4,37,12022,10001111,2,3,3,0,0,7,10,5,27
2289,0,37,10010210,100011110001,0,4,0,1,1,11,9,12,27
1145,1,54,1120102,10001111001,2,0,4,1,1,6,5,18,14
2291,0,54,10010212,100011110011,2,1,2,3,3,13,11,14,0
573,2,37,210020,1000111101,0,3,6,1,1,12,3,21,22
2293,0,37,10010221,100011110101,1,3,4,5,5,15,13,16,2
1147,1,18,1120111,10001111011,1,2,6,3,3,8,7,20,16
2295,0,18,10011000,100011110111,0,0,6,7,7,0,15,18,4
287,3,13,101122,100011111,2,2,0,1,1,15,2,11,26
2297,0,18,10011002,100011111001,2,2,1,9,9,2,17,20,6
1149,1,13,1120120,10001111101,0,4,1,5,5,10,9,22,18
2299,0,54,10011011,100011111011,1,4,3,0,11,4,0,22,8
575,2,13,210022,1000111111,2,0,1,3,3,14,5,0,24
2301,0,13,10011020,100011111101,0,1,5,2,0,6,2,1,10
1151,1,18,1120122,10001111111,2,1,3,7,7,12,11,1,20
2303,0,18,10011022,100011111111,2,3,0,4,2,8,4,3,12
9,8,6,100,1001,0,4,2,9,9,9,9,9,9
2305,0,37,10011101,100100000001,1,0,2,6,4,10,6,5,14
1153,1,54,1120201,10010000001,1,3,5,9,9,14,13,3,22
2307,0,54,10011110,100100000011,0,2,4,8,6,12,8,7,16
577,2,8,210101,1001000001,1,2,3,5,5,16,7,2,26
2309,0,8,10011112,100100000101,2,4,6,10,8,14,10,9,18
1155,1,8,1120210,10010000011,0,0,0,0,11,16,15,5,24
2311,0,54,10011121,100100000111,1,1,1,1,10,16,12,11,20
289,3,8,101201,100100001,1,4,2,3,3,0,4,13,28
2313,0,37,10011200,100100001001,0,3,3,3,12,1,14,13,22
1157,1,8,1120212,10010000101,2,2,2,2,0,1,17,7,26
2315,0,37,10011202,100100001011,2,0,5,5,1,3,16,15,24
579,2,8,210110,1001000011,0,4,5,7,7,1,9,4,28
2317,0,8,10011211,100100001101,1,2,0,7,3,5,18,17,26
1159,1,18,1120221,10010000111,1,4,4,4,2,3,0,9,28
2319,0,18,10011220,100100001111,0,4,2,9,5,7,1,19,28
145,4,42,12101,10010001,1,0,5,2,2,9,12,7,0
2321,0,8,10011222,100100010001,2,1,4,0,7,9,3,21,1
1161,1,66,1121000,10010001001,0,1,6,6,4,5,2,11,1
2323,0,66,10012001,100100010011,1,3,6,2,9,11,5,0,3
581,2,42,210112,1001000101,2,1,0,9,9,3,11,6,1
2325,0,42,10012010,100100010101,0,0,1,4,11,13,7,2,5
1163,1,54,1121002,10010001011,2,3,1,8,6,7,4,13,3
2327,0,54,10012012,100100010111,2,2,3,6,0,15,9,4,7
291,3,42,101210,100100011,0,1,4,5,5,2,6,15,1
2329,0,54,10012021,100100011001,1,4,5,8,2,0,11,6,9
1165,1,42,1121011,10010001101,1,0,3,10,8,9,6,15,5
2331,0,37,10012100,100100011011,0,1,0,10,4,2,13,8,11
583,2,8,210121,1001000111,1,3,2,0,11,5,13,8,3
2333,0,8,10012102,100100011101,2,3,2,1,6,4,15,10,13
1167,1,8,1121020,10010001111,0,2,5,1,10,11,8,17,7
2335,0,30,10012111,100100011111,1,0,4,3,8,6,17,12,15
73,5,42,2201,1001001,1,3,3,7,8,5,16,4,15
2337,0,18,10012120,100100100001,0,2,6,5,10,8,0,14,17
1169,1,18,1121022,10010010001,2,4,0,3,12,13,10,19,9
2339,0,18,10012122,100100100011,2,4,1,7,12,10,2,16,19
585,2,18,210200,1001001001,0,0,4,2,0,7,15,10,5
2341,0,18,10012201,100100100101,1,1,3,9,1,12,4,18,21
1171,1,18,1121101,10010010011,1,1,2,5,1,15,12,21,11
2343,0,54,10012210,100100100111,0,3,5,0,3,14,6,20,23
293,3,42,101212,100100101,2,3,6,7,7,4,8,17,3
2345,0,54,10012212,100100101001,2,0,0,2,5,16,8,22,25
1173,1,42,1121110,10010010101,0,3,4,7,3,0,14,0,13
2347,0,37,10012221,100100101011,1,2,2,4,7,1,10,1,27
587,2,42,210202,1001001011,2,2,6,4,2,9,17,12,7
2349,0,42,10020000,100100101101,0,4,4,6,9,3,12,3,0
1175,1,42,1121112,10010010111,2,0,6,9,5,2,16,2,15
2351,0,18,10020002,100100101111,2,1,6,8,11,5,14,5,2
147,4,42,12110,10010011,0,2,0,4,4,11,14,9,2
2353,0,8,10020011,100100110001,1,3,1,10,0,7,16,7,4
1177,1,8,1121121,10010011001,1,2,1,0,7,4,18,4,17
2355,0,8,10020020,100100110011,0,0,3,1,2,9,18,9,6
589,2,42,210211,1001001101,1,4,1,6,4,11,0,14,9
2357,0,42,10020022,100100110101,2,2,5,3,4,11,1,11,8
1179,1,18,1121200,10010011011,0,4,3,2,9,6,1,6,19
2359,0,18,10020101,100100110111,1,4,0,5,6,13,3,13,10
295,3,18,101221,100100111,1,0,1,9,9,6,10,19,5
2361,0,18,10020110,100100111001,0,1,2,7,8,15,5,15,12
1181,1,18,1121202,10010011101,2,1,5,4,11,8,3,8,21
2363,0,18,10020112,100100111011,2,3,4,9,10,0,7,17,14
591,2,18,210220,1001001111,0,1,3,8,6,13,2,16,11
2365,0,18,10020121,100100111101,1,0,6,0,12,2,9,19,16
1183,1,30,1121211,10010011111,1,3,0,6,0,10,5,10,23
2367,0,30,10020200,100100111111,0,2,1,2,1,4,11,21,18
37,6,6,1101,100101,1,2,2,4,11,3,18,14,8
2369,0,42,10020202,100101000001,2,4,3,4,3,6,13,0,20
1185,1,54,1121220,10010100001,0,0,2,8,2,12,7,12,25
2371,0,54,10020211,100101000011,1,1,5,6,5,8,15,2,22
593,2,25,210222,1001010001,2,3,5,10,8,15,4,18,13
2373,0,25,10020220,100101000101,0,3,0,8,7,10,17,4,24
1187,1,25,1121222,10010100011,2,2,4,10,4,14,9,14,27
2375,0,59,10020222,100101000111,2,0,2,10,9,12,0,6,26
297,3,25,102000,100101001,0,2,3,0,11,8,12,21,7
2377,0,15,10021001,100101001001,1,2,4,1,11,14,2,8,28
1189,1,25,1122001,10010100101,1,4,6,1,6,16,11,16,0
2379,0,25,10021010,100101001011,0,4,6,3,0,16,4,10,1
595,2,25,211001,1001010011,1,0,0,1,10,0,6,20,15
2381,0,25,10021012,100101001101,2,1,1,5,2,1,6,12,3
1191,1,15,1122010,10010100111,0,1,1,3,8,1,13,18,2
2383,0,15,10021021,100101001111,1,3,3,7,4,3,8,14,5
149,4,6,12112,10010101,2,4,2,6,6,13,16,11,4
2385,0,35,10021100,100101010001,0,0,5,9,6,5,10,16,7
1193,1,35,1122012,10010101001,2,3,3,5,10,3,15,20,4
2387,0,35,10021102,100101010011,2,2,0,0,8,7,12,18,9
597,2,6,211010,1001010101,0,2,2,3,12,2,8,22,17
2389,0,6,10021111,100101010101,1,4,2,2,10,9,14,20,11
1195,1,42,1122021,10010101011,1,0,5,7,12,5,17,22,6
2391,0,42,10021120,100101010111,0,1,4,4,12,11,16,22,13
299,3,42,102002,100101011,2,4,5,2,0,10,14,0,9
2393,0,23,10021122,100101011001,2,3,6,6,1,13,18,1,15
1197,1,42,1122100,10010101101,0,2,0,9,1,7,0,1,8
2395,0,8,10021201,100101011011,1,0,1,8,3,15,1,3,17
599,2,42,211012,1001010111,2,4,4,5,1,4,10,1,19
2397,0,42,10021210,100101011101,0,2,3,10,5,0,3,5,19
1199,1,23,1122102,10010101111,2,4,2,0,3,9,2,3,10
2399,0,23,10021212,100101011111,2,4,5,1,7,2,5,7,21
75,5,3,2210,1001011,0,0,5,9,10,7,18,6,17
2401,0,59,10021221,100101100001,1,1,0,3,9,4,7,9,23
1201,1,18,1122111,10010110001,1,1,4,2,5,11,4,5,12
2403,0,18,10022000,100101100011,0,3,2,5,11,6,9,11,25
601,2,18,211021,1001011001,1,1,6,7,3,6,12,3,21
2405,0,18,10022002,100101100101,2,0,4,7,0,8,11,13,27
1203,1,18,1122120,10010110011,0,3,6,4,7,13,6,7,14
