# "Odd core neighbor" fingerprints by Collatz odd-to-odd stopping distance, for 10000 integers

desc,k,oc,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31
oc(2599+1),3,325,1,0,3,6,0,2,2,3,6,15
oc(2621-1),2,655,1,0,4,6,5,9,9,11,17,4
oc(2621+1),1,1311,0,1,2,2,11,2,0,0,6,9
oc(2639-1),1,1319,2,4,3,10,6,10,8,8,14,17
oc(2639+1),4,165,0,0,4,0,9,12,13,4,20,10
oc(2651-1),1,1325,2,0,2,5,12,16,14,14,20,23
oc(2651+1),2,663,0,3,5,3,0,0,17,19,25,12
oc(2669-1),2,667,1,2,2,7,4,4,2,0,0,16
oc(2669+1),1,1335,0,0,5,4,9,9,5,1,1,2
oc(5123-1),1,2561,2,1,6,9,0,11,15,8,9,19
oc(5123+1),2,1281,0,1,0,5,7,6,8,16,5,10
oc(5127-1),1,2563,1,3,1,0,2,13,17,10,11,21
oc(5127+1),3,641,2,1,4,3,4,12,14,20,3,21
oc(5129-1),3,641,2,1,4,3,4,12,14,20,3,21
oc(5129+1),1,2565,0,0,3,2,4,15,0,12,13,23
oc(5135-1),1,2567,2,2,5,4,6,0,2,14,15,25
oc(5135+1),4,321,0,1,6,2,9,15,17,22,2,11
oc(5149-1),2,1287,0,2,6,0,0,12,14,22,11,16
oc(5149+1),1,2575,1,0,6,1,1,8,10,22,23,2
oc(5153-1),5,161,2,1,0,7,5,8,9,0,16,6
oc(5153+1),1,2577,0,2,1,3,3,10,12,1,25,4
oc(5157-1),2,1289,2,4,1,2,2,14,16,1,13,18
oc(5157+1),1,2579,2,4,3,5,5,12,14,3,27,6
oc(5159-1),1,2579,2,4,3,5,5,12,14,3,27,6
oc(5159+1),3,645,0,0,1,7,8,16,18,1,7,25
oc(5175-1),1,2587,1,2,4,2,0,3,3,11,6,14
oc(5175+1),3,647,2,2,3,9,10,1,1,3,9,27
oc(5197-1),2,1299,0,4,4,1,12,7,7,11,23,28
oc(5197+1),1,2599,1,4,2,3,12,15,15,0,18,26
oc(5199-1),1,2599,1,4,2,3,12,15,15,0,18,26
oc(5199+1),4,325,1,0,3,6,0,2,2,3,6,15
oc(5201-1),4,325,1,0,3,6,0,2,2,3,6,15
oc(5201+1),1,2601,0,1,4,5,1,0,17,2,20,28
oc(5217-1),5,163,1,3,2,9,7,10,11,2,18,8
oc(5217+1),1,2609,2,4,5,2,9,8,6,10,28,5
oc(5237-1),2,1309,1,4,0,0,9,0,17,21,4,7
oc(5237+1),1,2619,0,4,1,1,6,1,16,20,9,15
oc(5273-1),3,659,2,4,1,10,9,13,13,15,21,8
oc(5273+1),1,2637,0,2,5,8,11,2,15,15,27,2
oc(5277-1),2,1319,2,4,3,10,6,10,8,8,14,17
oc(5277+1),1,2639,2,4,0,10,0,4,17,17,0,4
oc(5295-1),1,2647,1,2,1,7,8,12,6,2,8,12
oc(5295+1),4,331,1,1,2,1,6,8,8,9,12,21
oc(5303-1),1,2651,2,1,5,0,12,16,10,6,12,16
oc(5303+1),3,663,0,3,5,3,0,0,17,19,25,12
oc(5307-1),1,2653,1,3,0,2,1,1,12,8,14,18
oc(5307+1),2,1327,1,2,4,7,1,1,16,16,22,25
oc(5341-1),2,1335,0,0,5,4,9,9,5,1,1,2
oc(5341+1),1,2671,1,1,4,9,6,2,11,3,3,5
oc(5385-1),3,673,1,3,1,2,10,10,8,6,6,22
oc(5385+1),1,2693,2,3,5,9,2,7,14,2,25,27
oc(5387-1),1,2693,2,3,5,9,2,7,14,2,25,27
oc(5387+1),2,1347,0,2,3,5,8,4,17,13,13,14
oc(9919-1),1,4959,0,4,3,9,6,12,0,14,0,30
oc(9919+1),6,155,2,0,1,1,12,2,3,17,10,0

# dist 51:
oc(487-1),1,243,0,3,5,1,9,5,15,13,11,26
oc(487+1),3,61,1,1,5,6,9,10,4,15,3,30
oc(491-1),1,245,2,0,0,3,11,7,17,15,13,28
oc(491+1),2,123,0,3,4,2,6,4,9,8,7,30
oc(967-1),1,483,0,3,0,10,2,7,8,0,19,18
oc(967+1),3,121,1,1,2,0,4,2,7,6,5,28
oc(975-1),1,487,1,2,4,3,6,11,12,4,23,22
oc(975+1),4,61,1,1,5,6,9,10,4,15,3,30
oc(983-1),1,491,2,1,1,7,10,15,16,8,27,26
oc(983+1),3,123,0,3,4,2,6,4,9,8,7,30
oc(1001-1),3,125,2,0,6,4,8,6,11,10,9,1
oc(1001+1),1,501,0,1,4,6,7,8,7,18,8,5
oc(1921-1),7,15,0,0,1,4,2,15,15,15,15,15
oc(1921+1),1,961,1,1,2,4,12,9,11,18,4,0
oc(1931-1),1,965,2,0,6,8,3,13,15,22,8,4
oc(1931+1),2,483,0,3,0,10,2,7,8,0,19,18
oc(1935-1),1,967,1,2,1,10,5,15,17,1,10,6
oc(1935+1),4,121,1,1,2,0,4,2,7,6,5,28
oc(1949-1),2,487,1,2,4,3,6,11,12,4,23,22
oc(1949+1),1,975,0,0,2,7,0,6,6,9,18,14
oc(1965-1),2,491,2,1,1,7,10,15,16,8,27,26
oc(1965+1),1,983,2,3,3,4,8,14,14,17,26,22
oc(1977-1),3,247,1,2,2,5,0,9,0,17,15,30
oc(1977+1),1,989,2,4,2,10,1,3,1,0,3,28
oc(1979-1),1,989,2,4,2,10,1,3,1,0,3,28
oc(1979+1),2,495,0,0,5,0,1,2,1,12,2,30
oc(2003-1),1,1001,2,1,0,0,0,15,13,12,15,9
oc(2003+1),2,501,0,1,4,6,7,8,7,18,8,5
oc(3843-1),1,1921,1,1,3,7,10,0,2,12,7,30
oc(3843+1),2,961,1,1,2,4,12,9,11,18,4,0
oc(3847-1),1,1923,0,3,5,9,12,2,4,14,9,1
oc(3847+1),3,481,1,1,5,8,0,5,6,21,17,16
oc(3851-1),1,1925,2,0,0,0,1,4,6,16,11,3
oc(3851+1),2,963,0,3,4,6,1,11,13,20,6,2
oc(3863-1),1,1931,2,1,6,6,7,10,12,22,17,9
oc(3863+1),3,483,0,3,0,10,2,7,8,0,19,18
oc(3865-1),3,483,0,3,0,10,2,7,8,0,19,18
oc(3865+1),1,1933,1,3,1,8,9,12,14,1,19,11
oc(3869-1),2,967,1,2,1,10,5,15,17,1,10,6
oc(3869+1),1,1935,0,0,3,10,11,14,16,3,21,13
oc(3879-1),1,1939,1,4,0,3,2,1,1,7,25,17
oc(3879+1),3,485,2,0,2,1,4,9,10,2,21,20
oc(3881-1),3,485,2,0,2,1,4,9,10,2,21,20
oc(3881+1),1,1941,0,1,2,5,4,3,3,9,27,19
oc(3897-1),3,487,1,2,4,3,6,11,12,4,23,22
oc(3897+1),1,1949,2,4,3,2,12,11,11,17,6,27
oc(3899-1),1,1949,2,4,3,2,12,11,11,17,6,27
oc(3899+1),2,975,0,0,2,7,0,6,6,9,18,14
oc(3901-1),2,975,0,0,2,7,0,6,6,9,18,14
oc(3901+1),1,1951,1,1,5,4,1,13,13,19,8,29
oc(3913-1),3,489,0,4,6,5,8,13,14,6,25,24
oc(3913+1),1,1957,1,2,4,10,7,2,0,2,14,4
oc(3933-1),2,983,2,3,3,4,8,14,14,17,26,22
oc(3933+1),1,1967,2,2,0,9,4,12,10,12,24,14
oc(3955-1),1,1977,0,2,3,8,1,5,1,22,5,24
oc(3955+1),2,989,2,4,2,10,1,3,1,0,3,28
oc(3959-1),1,1979,2,4,5,10,3,7,3,1,7,26
oc(3959+1),3,495,0,0,5,0,1,2,1,12,2,30
oc(3969-1),7,31,1,1,3,9,5,14,12,8,2,0
oc(3969+1),1,1985,2,0,4,5,9,13,9,7,13,1
oc(3977-1),3,497,2,2,0,2,3,4,3,14,4,1
oc(3977+1),1,1989,0,4,1,9,0,0,13,11,17,5
oc(4005-1),2,1001,2,1,0,0,0,15,13,12,15,9
oc(4005+1),1,2003,2,3,1,1,1,14,8,2,2,19
oc(4039-1),1,2019,0,4,3,6,4,13,5,18,18,4
oc(4039+1),3,505,1,0,1,10,11,12,11,22,12,9
oc(4041-1),3,505,1,0,1,10,11,12,11,22,12,9
oc(4041+1),1,2021,2,1,5,8,6,15,7,20,20,6
oc(7359-1),1,3679,1,4,4,5,0,7,12,22,25,21
oc(7359+1),6,115,1,0,3,5,11,13,1,0,28,22
oc(7685-1),2,1921,1,1,3,7,10,0,2,12,7,30
oc(7685+1),1,3843,0,3,0,4,8,1,5,2,15,30
oc(7691-1),1,3845,2,0,2,6,10,3,7,4,17,1
oc(7691+1),2,1923,0,3,5,9,12,2,4,14,9,1
oc(7695-1),1,3847,1,2,4,8,12,5,9,6,19,3
oc(7695+1),4,481,1,1,5,8,0,5,6,21,17,16
oc(7703-1),1,3851,2,1,1,1,3,9,13,10,23,7
oc(7703+1),3,963,0,3,4,6,1,11,13,20,6,2
oc(7705-1),3,963,0,3,4,6,1,11,13,20,6,2
oc(7705+1),1,3853,1,3,3,3,5,11,15,12,25,9
oc(7725-1),2,1931,2,1,6,6,7,10,12,22,17,9
oc(7725+1),1,3863,2,3,6,2,2,4,6,22,6,19
oc(7729-1),4,483,0,3,0,10,2,7,8,0,19,18
oc(7729+1),1,3865,1,0,1,4,4,6,8,1,8,21
oc(7731-1),1,3865,1,0,1,4,4,6,8,1,8,21
oc(7731+1),2,1933,1,3,1,8,9,12,14,1,19,11
oc(7739-1),1,3869,2,4,5,8,8,10,12,5,12,25
oc(7739+1),2,1935,0,0,3,10,11,14,16,3,21,13
oc(7741-1),2,1935,0,0,3,10,11,14,16,3,21,13
oc(7741+1),1,3871,1,1,0,10,10,12,14,7,14,27
oc(7753-1),3,969,0,4,3,1,7,0,0,3,12,8
oc(7753+1),1,3877,1,2,6,5,3,1,1,13,20,2
oc(7759-1),1,3879,0,4,1,7,5,3,3,15,22,4
oc(7759+1),4,485,2,0,2,1,4,9,10,2,21,20
oc(7761-1),4,485,2,0,2,1,4,9,10,2,21,20
oc(7761+1),1,3881,2,1,3,9,7,5,5,17,24,6
oc(7763-1),1,3881,2,1,3,9,7,5,5,17,24,6
oc(7763+1),2,1941,0,1,2,5,4,3,3,9,27,19
oc(7795-1),1,3897,0,2,5,3,10,4,2,10,11,22
oc(7795+1),2,1949,2,4,3,2,12,11,11,17,6,27
oc(7797-1),2,1949,2,4,3,2,12,11,11,17,6,27
oc(7797+1),1,3899,2,4,0,5,12,6,4,12,13,24
oc(7799-1),1,3899,2,4,0,5,12,6,4,12,13,24
oc(7799+1),3,975,0,0,2,7,0,6,6,9,18,14
oc(7801-1),3,975,0,0,2,7,0,6,6,9,18,14
oc(7801+1),1,3901,1,1,2,7,1,8,6,14,15,26
oc(7803-1),1,3901,1,1,2,7,1,8,6,14,15,26
oc(7803+1),2,1951,1,1,5,4,1,13,13,19,8,29
oc(7809-1),7,61,1,1,5,6,9,10,4,15,3,30
oc(7809+1),1,3905,2,0,6,0,5,12,10,18,19,30
oc(7825-1),4,489,0,4,6,5,8,13,14,6,25,24
oc(7825+1),1,3913,1,3,0,8,0,3,18,3,27,7
oc(7827-1),1,3913,1,3,0,8,0,3,18,3,27,7
oc(7827+1),2,1957,1,2,4,10,7,2,0,2,14,4
oc(7861-1),2,1965,0,0,5,7,2,10,8,10,22,12
oc(7861+1),1,3931,1,1,4,4,5,4,17,21,16,25
oc(7873-1),6,123,0,3,4,2,6,4,9,8,7,30
oc(7873+1),1,3937,1,2,3,10,11,10,4,4,22,0
oc(7879-1),1,3939,0,4,5,1,0,12,6,6,24,2
oc(7879+1),3,985,1,0,5,6,10,16,16,19,28,24
oc(7881-1),3,985,1,0,5,6,10,16,16,19,28,24
oc(7881+1),1,3941,2,1,0,3,2,14,8,8,26,4
oc(7909-1),2,1977,0,2,3,8,1,5,1,22,5,24
oc(7909+1),1,3955,1,0,0,6,3,11,3,22,11,18
oc(7917-1),2,1979,2,4,5,10,3,7,3,1,7,26
oc(7917+1),1,3959,2,4,4,10,7,15,7,3,15,22
oc(7929-1),3,991,1,1,4,1,3,5,3,2,5,30
oc(7929+1),1,3965,2,0,3,5,0,4,13,9,21,28
oc(7939-1),1,3969,0,4,0,9,4,8,17,13,25,1
oc(7939+1),2,1985,2,0,4,5,9,13,9,7,13,1
oc(7943-1),1,3971,2,1,2,0,6,10,0,15,27,3
oc(7943+1),3,993,0,3,6,3,5,7,5,4,7,1
oc(7955-1),1,3977,2,2,1,6,12,16,6,21,4,9
oc(7955+1),2,1989,0,4,1,9,0,0,13,11,17,5
oc(7961-1),3,995,2,0,1,5,7,9,7,6,9,3
oc(7961+1),1,3981,0,1,5,10,3,3,10,2,8,13
oc(7975-1),1,3987,0,2,4,5,9,9,16,8,14,19
oc(7975+1),3,997,1,2,3,7,9,11,9,8,11,5
oc(8013-1),2,2003,2,3,1,1,1,14,8,2,2,19
oc(8013+1),1,4007,2,2,3,3,3,12,17,5,5,8
oc(8017-1),4,501,0,1,4,6,7,8,7,18,8,5
oc(8017+1),1,4009,1,4,5,5,5,14,0,7,7,10
oc(8079-1),1,4039,1,4,0,2,9,10,11,14,8,9
oc(8079+1),4,505,1,0,1,10,11,12,11,22,12,9
oc(8081-1),4,505,1,0,1,10,11,12,11,22,12,9
oc(8081+1),1,4041,0,1,2,4,11,12,13,16,10,11
oc(8083-1),1,4041,0,1,2,4,11,12,13,16,10,11
oc(8083+1),2,2021,2,1,5,8,6,15,7,20,20,6
oc(8175-1),1,4087,1,2,6,6,5,7,2,16,27,26
oc(8175+1),4,511,1,1,0,5,4,1,17,5,18,15
oc(8233-1),3,1029,0,4,0,6,2,9,3,17,14,6
oc(8233+1),1,4117,1,2,1,3,9,3,13,0,28,25

# dist 50:
oc(731-1),1,365,2,0,1,2,1,8,4,20,17,24
oc(731+1),2,183,0,3,1,7,1,13,12,22,9,28
oc(737-1),5,23,2,3,2,1,10,6,4,0,23,23
oc(737+1),1,369,0,4,5,6,5,12,8,1,21,28
oc(751-1),1,375,0,0,4,1,11,1,14,7,27,3
oc(751+1),4,47,2,2,5,3,8,13,9,1,18,16
oc(1441-1),5,45,0,0,3,1,6,11,7,22,16,14
oc(1441+1),1,721,1,1,0,6,6,7,18,8,25,8
oc(1449-1),3,181,1,1,6,5,12,11,10,20,7,26
oc(1449+1),1,725,2,0,4,10,10,11,3,12,0,12
oc(1451-1),1,725,2,0,4,10,10,11,3,12,0,12
oc(1451+1),2,363,0,3,6,0,12,6,2,18,15,22
oc(1455-1),1,727,1,2,6,1,12,13,5,14,2,14
oc(1455+1),4,91,1,1,0,3,0,6,15,22,4,29
oc(1463-1),1,731,2,1,3,5,3,0,9,18,6,18
oc(1463+1),3,183,0,3,1,7,1,13,12,22,9,28
oc(1467-1),1,733,1,3,5,7,5,2,11,20,8,20
oc(1467+1),2,367,1,2,3,4,3,10,6,22,19,26
oc(1475-1),1,737,2,2,2,0,9,6,15,1,12,24
oc(1475+1),2,369,0,4,5,6,5,12,8,1,21,28
oc(1483-1),1,741,0,1,6,4,0,10,0,5,16,28
oc(1483+1),2,371,2,1,0,8,7,14,10,3,23,30
oc(1503-1),1,751,1,1,2,3,10,3,10,15,26,7
oc(1503+1),5,47,2,2,5,3,8,13,9,1,18,16
oc(1515-1),1,757,1,2,1,9,3,9,16,21,3,13
oc(1515+1),2,379,1,4,1,5,2,5,18,11,2,7
oc(2883-1),1,1441,1,1,6,0,11,13,16,15,20,15
oc(2883+1),2,721,1,1,0,6,6,7,18,8,25,8
oc(2889-1),3,361,1,1,4,9,10,4,0,16,13,20
oc(2889+1),1,1445,2,0,3,4,2,0,1,19,24,19
oc(2897-1),4,181,1,1,6,5,12,11,10,20,7,26
oc(2897+1),1,1449,0,4,0,8,6,4,5,0,28,23
oc(2899-1),1,1449,0,4,0,8,6,4,5,0,28,23
oc(2899+1),2,725,2,0,4,10,10,11,3,12,0,12
oc(2903-1),1,1451,2,1,2,10,8,6,7,2,1,25
oc(2903+1),3,363,0,3,6,0,12,6,2,18,15,22
oc(2907-1),1,1453,1,3,4,1,10,8,9,4,3,27
oc(2907+1),2,727,1,2,6,1,12,13,5,14,2,14
oc(2911-1),1,1455,0,0,6,3,12,10,11,6,5,29
oc(2911+1),5,91,1,1,0,3,0,6,15,22,4,29
oc(2923-1),1,1461,0,1,5,9,5,16,17,12,11,4
oc(2923+1),2,731,2,1,3,5,3,0,9,18,6,18
oc(2925-1),2,731,2,1,3,5,3,0,9,18,6,18
oc(2925+1),1,1463,2,3,0,0,7,1,0,14,13,6
oc(2935-1),1,1467,0,2,4,4,11,5,4,18,17,10
oc(2935+1),3,367,1,2,3,4,3,10,6,22,19,26
oc(2949-1),2,737,2,2,2,0,9,6,15,1,12,24
oc(2949+1),1,1475,2,0,5,1,6,13,12,3,25,18
oc(2955-1),1,1477,1,2,0,3,8,15,14,5,27,20
oc(2955+1),2,739,1,4,4,2,11,8,17,3,14,26
oc(2967-1),1,1483,1,3,6,9,1,4,1,11,4,26
oc(2967+1),3,371,2,1,0,8,7,14,10,3,23,30
oc(2969-1),3,371,2,1,0,8,7,14,10,3,23,30
oc(2969+1),1,1485,0,0,1,0,3,6,3,13,6,28
oc(2977-1),5,93,0,3,2,5,2,8,17,1,6,0
oc(2977+1),1,1489,1,4,5,4,7,10,7,17,10,1
oc(2983-1),1,1491,0,1,0,6,9,12,9,19,12,3
oc(2983+1),3,373,1,3,2,10,9,16,12,5,25,1
oc(2985-1),3,373,1,3,2,10,9,16,12,5,25,1
oc(2985+1),1,1493,2,3,2,8,11,14,11,21,14,5
oc(3005-1),2,751,1,1,2,3,10,3,10,15,26,7
oc(3005+1),1,1503,0,3,5,7,8,7,2,8,24,15
oc(3031-1),1,1515,0,0,3,8,7,2,14,20,7,27
oc(3031+1),3,379,1,4,1,5,2,5,18,11,2,7
oc(5765-1),2,1441,1,1,6,0,11,13,16,15,20,15
oc(5765+1),1,2883,0,3,6,1,10,10,14,8,12,0
oc(5771-1),1,2885,2,0,1,3,12,12,16,10,14,2
oc(5771+1),2,1443,0,3,1,2,0,15,18,17,22,17
oc(5777-1),4,361,1,1,4,9,10,4,0,16,13,20
oc(5777+1),1,2889,0,4,5,7,3,16,1,14,18,6
oc(5779-1),1,2889,0,4,5,7,3,16,1,14,18,6
oc(5779+1),2,1445,2,0,3,4,2,0,1,19,24,19
oc(5795-1),1,2897,2,2,6,4,11,7,9,22,26,14
oc(5795+1),2,1449,0,4,0,8,6,4,5,0,28,23
oc(5797-1),2,1449,0,4,0,8,6,4,5,0,28,23
oc(5797+1),1,2899,1,4,1,6,0,9,11,1,28,16
oc(5805-1),2,1451,2,1,2,10,8,6,7,2,1,25
oc(5805+1),1,2903,2,3,5,10,4,13,15,5,3,20
oc(5815-1),1,2907,0,2,2,3,8,0,0,9,7,24
oc(5815+1),3,727,1,2,6,1,12,13,5,14,2,14
oc(5817-1),3,727,1,2,6,1,12,13,5,14,2,14
oc(5817+1),1,2909,2,4,4,5,10,2,2,11,9,26
oc(5819-1),1,2909,2,4,4,5,10,2,2,11,9,26
oc(5819+1),2,1455,0,0,6,3,12,10,11,6,5,29
oc(5821-1),2,1455,0,0,6,3,12,10,11,6,5,29
oc(5821+1),1,2911,1,1,6,7,12,4,4,13,11,28
oc(5823-1),1,2911,1,1,6,7,12,4,4,13,11,28
oc(5823+1),6,91,1,1,0,3,0,6,15,22,4,29
oc(5847-1),1,2923,1,3,4,8,11,16,16,2,23,9
oc(5847+1),3,731,2,1,3,5,3,0,9,18,6,18
oc(5849-1),3,731,2,1,3,5,3,0,9,18,6,18
oc(5849+1),1,2925,0,0,6,10,0,1,18,4,25,11
oc(5851-1),1,2925,0,0,6,10,0,1,18,4,25,11
oc(5851+1),2,1463,2,3,0,0,7,1,0,14,13,6
oc(5853-1),2,1463,2,3,0,0,7,1,0,14,13,6
oc(5853+1),1,2927,2,2,1,1,2,3,1,6,27,13
oc(5857-1),5,183,0,3,1,7,1,13,12,22,9,28
oc(5857+1),1,2929,1,4,3,3,4,5,3,8,0,15
oc(5869-1),2,1467,0,2,4,4,11,5,4,18,17,10
oc(5869+1),1,2935,1,0,2,9,10,11,9,14,6,21
oc(5883-1),1,2941,1,1,1,4,3,0,15,20,12,27
oc(5883+1),2,1471,1,1,1,8,2,9,8,22,21,14
oc(5901-1),2,1475,2,0,5,1,6,13,12,3,25,18
oc(5901+1),1,2951,2,1,4,3,0,10,6,7,22,6
oc(5905-1),4,369,0,4,5,6,5,12,8,1,21,28
oc(5905+1),1,2953,1,3,6,5,2,12,8,9,24,8
oc(5911-1),1,2955,0,0,1,7,4,14,10,11,26,10
oc(5911+1),3,739,1,4,4,2,11,8,17,3,14,26
oc(5933-1),2,1483,1,3,6,9,1,4,1,11,4,26
oc(5933+1),1,2967,0,2,6,8,3,9,3,0,9,22
oc(5937-1),4,371,2,1,0,8,7,14,10,3,23,30
oc(5937+1),1,2969,2,4,1,10,5,11,5,2,11,24
oc(5939-1),1,2969,2,4,1,10,5,11,5,2,11,24
oc(5939+1),2,1485,0,0,1,0,3,6,3,13,6,28
oc(5947-1),1,2973,0,3,5,3,9,15,9,6,15,28
oc(5947+1),2,1487,2,2,3,2,5,8,5,15,8,30
oc(5955-1),1,2977,1,2,2,7,0,2,13,10,19,1
oc(5955+1),2,1489,1,4,5,4,7,10,7,17,10,1
oc(5967-1),1,2983,1,3,1,2,6,8,0,16,25,7
oc(5967+1),4,373,1,3,2,10,9,16,12,5,25,1
oc(5971-1),1,2985,0,0,3,4,8,10,2,18,27,9
oc(5971+1),2,1493,2,3,2,8,11,14,11,21,14,5
oc(6013-1),2,1503,0,3,5,7,8,7,2,8,24,15
oc(6013+1),1,3007,1,2,4,4,4,15,5,17,20,0
oc(6059-1),1,3029,2,4,5,4,0,3,8,16,13,22
oc(6059+1),2,1515,0,0,3,8,7,2,14,20,7,27
oc(6061-1),2,1515,0,0,3,8,7,2,14,20,7,27
oc(6061+1),1,3031,1,1,0,6,2,5,10,18,15,24
oc(6063-1),1,3031,1,1,0,6,2,5,10,18,15,24
oc(6063+1),4,379,1,4,1,5,2,5,18,11,2,7
oc(6175-1),1,3087,0,2,0,7,6,10,9,5,13,18
oc(6175+1),5,193,1,3,4,6,11,6,3,9,19,7

# dist 49:
oc(543-1),1,271,1,1,5,7,11,16,5,18,10,23
oc(543+1),5,17,2,2,3,6,4,0,17,17,17,17
oc(553-1),3,69,0,4,6,3,4,1,12,0,11,7
oc(553+1),1,277,1,2,4,2,4,5,11,1,16,29
oc(1081-1),3,135,0,0,2,3,5,16,2,20,19,11
oc(1081+1),1,541,1,1,2,2,8,14,9,12,19,14
oc(1083-1),1,541,1,1,2,2,8,14,9,12,19,14
oc(1083+1),2,271,1,1,5,7,11,16,5,18,10,23
oc(1087-1),1,543,0,3,4,4,10,16,11,14,21,16
oc(1087+1),6,17,2,2,3,6,4,0,17,17,17,17
oc(1097-1),3,137,2,2,4,5,7,1,4,22,21,13
oc(1097+1),1,549,0,4,3,10,3,5,17,20,27,22
oc(1107-1),1,553,1,3,0,3,7,9,2,1,2,26
oc(1107+1),2,277,1,2,4,2,4,5,11,1,16,29
oc(1113-1),3,139,1,4,6,7,9,3,6,1,23,15
oc(1113+1),1,557,2,2,4,7,11,13,6,5,6,30
oc(1127-1),1,563,2,3,3,2,4,2,12,11,12,5
oc(1127+1),3,141,0,1,1,9,11,5,8,3,25,17
oc(2163-1),1,1081,1,1,3,3,2,10,17,0,8,27
oc(2163+1),2,541,1,1,2,2,8,14,9,12,19,14
oc(2167-1),1,1083,0,3,5,5,4,12,0,2,10,29
oc(2167+1),3,271,1,1,5,7,11,16,5,18,10,23
oc(2173-1),2,543,0,3,4,4,10,16,11,14,21,16
oc(2173+1),1,1087,1,2,2,9,8,16,4,6,14,2
oc(2177-1),7,17,2,2,3,6,4,0,17,17,17,17
oc(2177+1),1,1089,0,4,4,0,10,1,6,8,16,4
oc(2183-1),1,1091,2,1,6,2,12,3,8,10,18,6
oc(2183+1),3,273,0,3,0,9,0,1,7,20,12,25
oc(2193-1),4,137,2,2,4,5,7,1,4,22,21,13
oc(2193+1),1,1097,2,2,5,8,5,9,14,16,24,12
oc(2195-1),1,1097,2,2,5,8,5,9,14,16,24,12
oc(2195+1),2,549,0,4,3,10,3,5,17,20,27,22
oc(2201-1),3,275,2,0,2,0,2,3,9,22,14,27
oc(2201+1),1,1101,0,1,2,1,9,13,18,20,28,16
oc(2213-1),2,553,1,3,0,3,7,9,2,1,2,26
oc(2213+1),1,1107,0,2,1,7,2,2,5,3,5,22
oc(2225-1),4,139,1,4,6,7,9,3,6,1,23,15
oc(2225+1),1,1113,0,3,0,2,8,8,11,9,11,28
oc(2227-1),1,1113,0,3,0,2,8,8,11,9,11,28
oc(2227+1),2,557,2,2,4,7,11,13,6,5,6,30
oc(2233-1),3,279,0,4,6,4,6,7,13,3,18,0
oc(2233+1),1,1117,1,2,4,6,12,12,15,13,15,1
oc(2239-1),1,1119,0,4,6,8,1,14,17,15,17,3
oc(2239+1),6,35,2,0,0,2,9,1,16,12,6,4
oc(2255-1),1,1127,2,2,0,5,9,5,6,0,25,11
oc(2255+1),4,141,0,1,1,9,11,5,8,3,25,17
oc(2273-1),5,71,2,1,1,5,6,3,14,2,13,9
oc(2273+1),1,1137,0,2,3,4,6,15,16,10,6,21
oc(4325-1),2,1081,1,1,3,3,2,10,17,0,8,27
oc(4325+1),1,2163,0,3,0,7,5,4,16,1,17,24
oc(4333-1),2,1083,0,3,5,5,4,12,0,2,10,29
oc(4333+1),1,2167,1,2,4,0,9,8,1,5,21,28
oc(4349-1),2,1087,1,2,2,9,8,16,4,6,14,2
oc(4349+1),1,2175,0,0,5,8,4,16,9,13,0,5
oc(4353-1),8,17,2,2,3,6,4,0,17,17,17,17
oc(4353+1),1,2177,2,2,0,10,6,1,11,15,2,7
oc(4355-1),1,2177,2,2,0,10,6,1,11,15,2,7
oc(4355+1),2,1089,0,4,4,0,10,1,6,8,16,4
oc(4361-1),3,545,2,0,6,6,12,1,13,16,23,18
oc(4361+1),1,2181,0,1,4,3,10,5,15,19,6,11
oc(4363-1),1,2181,0,1,4,3,10,5,15,19,6,11
oc(4363+1),2,1091,2,1,6,2,12,3,8,10,18,6
oc(4367-1),1,2183,2,3,6,5,12,7,17,21,8,13
oc(4367+1),4,273,0,3,0,9,0,1,7,20,12,25
oc(4385-1),5,137,2,2,4,5,7,1,4,22,21,13
oc(4385+1),1,2193,0,3,2,4,9,0,8,8,18,23
oc(4387-1),1,2193,0,3,2,4,9,0,8,8,18,23
oc(4387+1),2,1097,2,2,5,8,5,9,14,16,24,12
oc(4389-1),2,1097,2,2,5,8,5,9,14,16,24,12
oc(4389+1),1,2195,2,0,4,6,11,2,10,10,20,25
oc(4393-1),3,549,0,4,3,10,3,5,17,20,27,22
oc(4393+1),1,2197,1,2,6,8,0,4,12,12,22,27
oc(4401-1),4,275,2,0,2,0,2,3,9,22,14,27
oc(4401+1),1,2201,2,1,3,1,4,8,16,16,26,0
oc(4403-1),1,2201,2,1,3,1,4,8,16,16,26,0
oc(4403+1),2,1101,0,1,2,1,9,13,18,20,28,16
oc(4429-1),2,1107,0,2,1,7,2,2,5,3,5,22
oc(4429+1),1,2215,1,0,3,4,5,5,11,7,11,14
oc(4433-1),4,277,1,2,4,2,4,5,11,1,16,29
oc(4433+1),1,2217,0,2,5,6,7,7,13,9,13,16
oc(4451-1),1,2225,2,0,6,3,2,15,2,17,21,24
oc(4451+1),2,1113,0,3,0,2,8,8,11,9,11,28
oc(4453-1),2,1113,0,3,0,2,8,8,11,9,11,28
oc(4453+1),1,2227,1,2,1,5,4,0,4,19,23,26
oc(4467-1),1,2233,1,3,0,0,10,6,10,2,0,1
oc(4467+1),2,1117,1,2,4,6,12,12,15,13,15,1
oc(4475-1),1,2237,2,2,4,4,1,10,14,6,4,5
oc(4475+1),2,1119,0,4,6,8,1,14,17,15,17,3
