runs, steps
 483, 2086
 511, 2415
 503, 2597
 473, 2524
 513, 2442
 507, 2629
 465, 2311
 513, 2603
 517, 2355
 485, 2487
 507, 2211
 507, 2531
 509, 2332
 489, 2445
 501, 2810
 503, 2470
 505, 2350
 497, 2516
 505, 2632
 525, 2550
 495, 2290
 511, 2251
 475, 2160
 485, 2422
 491, 2464
 493, 2062
 459, 2645
 495, 2377
 481, 2235
 507, 2441
 499, 2405
 509, 2259
 493, 2421
 509, 2374
 487, 2298
 521, 2209
 519, 2315
 493, 2638
 497, 2250
 501, 2341
 473, 2299
 491, 2561
 493, 2501
 481, 2617
 485, 2308
 513, 2815
 523, 2257
 513, 2448
 513, 2257
 495, 2488
 507, 2108
 509, 2270
 489, 2344
 491, 2450
 501, 2347
 501, 2823
 497, 2228
 499, 2169
 491, 2486
 491, 2340
 523, 2469
 495, 2198
 509, 2520
 505, 2225
 539, 2037
 499, 2441
 513, 2245
 489, 2366
 501, 2334
 499, 2324
 525, 2473
 499, 2581
 493, 2256
 497, 2664
 477, 2411
 501, 2400
 483, 2167
 541, 2515
 513, 2355
 513, 2266
 499, 2685
 501, 2516
 493, 2571
 497, 2363
 497, 2768
 517, 2162
 509, 2376
 513, 2539
 505, 2338
 475, 2466
 515, 2672
 525, 2344
 499, 2274
 513, 2294
 503, 2134
 489, 2282
 511, 2350
 487, 2569
 491, 2275
 513, 2327
 483, 2514
 519, 2452
 485, 2604
 507, 2430
 505, 2488
 497, 2443
 503, 2224
 503, 2199
 487, 2161
 505, 2622
 489, 2355
 479, 2184
 493, 2346
 481, 2809
 493, 2661
 519, 2429
 491, 2188
 483, 2659
 509, 2428
 501, 2514
 507, 2486
 523, 2620
 521, 2018
 483, 2128
 483, 2672
 523, 2677
 477, 2643
 505, 2269
 503, 2297
 493, 2274
 527, 2452
 497, 2184
 499, 2132
 489, 2487
 533, 2686
 519, 2628
 493, 2211
 511, 2333
 479, 2134
 519, 2405
 477, 2464
 509, 2417
 511, 2258
 491, 2457
 497, 2390
 517, 2279
 473, 2436
 503, 2489
 495, 2171
 471, 2420
 519, 2293
 499, 2413
 503, 2402
 489, 2246
 497, 2222
 493, 2501
 495, 2289
 473, 2086
 519, 2678
 491, 2368
 495, 2282
 499, 2436
 477, 2399
 519, 2121
 511, 2687
 497, 2337
 507, 2484
 493, 2601
 511, 2535
 495, 2299
 487, 2483
 481, 2448
 513, 2243
 515, 2429
 491, 2221
 487, 2328
 499, 2166
 505, 2441
 505, 2247
 531, 2406
 509, 2333
 487, 2526
 501, 2430
 505, 2404
 469, 2583
 479, 2443
 491, 2017
 499, 2719
 517, 2523
 477, 2275
 511, 2484
 515, 2729
 495, 2245
 527, 2436
 463, 2354
 531, 2476
 489, 2611
 497, 2004
 529, 2532
 497, 2518
 505, 2265
 495, 2089
 481, 2384
 505, 2187
 489, 2496
 491, 2545
 519, 2267
 509, 2358
 489, 2642
 493, 2371
 495, 2171
 521, 2473
 503, 2235
 493, 2381
 513, 2347
 529, 2306
 497, 2380
 527, 2635
 485, 2179
 503, 2166
 479, 2636
 507, 2416
 499, 2465
 515, 2381
 495, 2272
 497, 2353
 493, 2501
 519, 2198
 493, 2219
 525, 2503
 525, 2469
 521, 2641
 495, 2271
 517, 2467
 493, 2515
 485, 2515
 489, 2322
 535, 2475
 479, 2306
 477, 2620
 531, 2535
 501, 1955
 533, 2500
 487, 2447
 505, 2626
 487, 2133
 493, 2138
 523, 2440
 501, 2453
 479, 2373
 507, 2680
 487, 2194
 483, 2561
 495, 2617
 477, 2624
 481, 2058
 477, 2281
 485, 2224
 503, 2506
 493, 2212
 477, 2374
 491, 2046
 505, 2278
 539, 2182
 487, 2392
 489, 2367
 487, 2249
 503, 2343
 461, 2382
 483, 2559
 501, 2548
 503, 2330
 495, 2460
 493, 2441
 491, 2395
 523, 2426
 465, 2457
 503, 2527
 517, 2385
 487, 2390
 491, 2291
 517, 2239
 489, 2307
 491, 2354
 495, 2254
 477, 2349
 485, 2580
 521, 2496
 509, 2204
 497, 2390
 481, 2366
 513, 2382
 495, 2281
 529, 2259
 499, 2526
 491, 2587
 483, 2299
 521, 2579
 495, 2280
 511, 2566
 495, 2431
 515, 2330
 529, 2283
 495, 2429
 489, 2471
 495, 2136
 497, 2617
 507, 2329
 499, 2323
 515, 2673
 475, 2255
 517, 2397
 473, 2376
 519, 2302
 505, 2584
 479, 2466
 483, 2479
 507, 2299
 523, 2447
 501, 2767
 487, 2140
 511, 2230
 495, 2320
 507, 2183
 517, 2453
 519, 2348
 517, 2565
 499, 2655
 525, 2549
 519, 2772
 503, 2643
 483, 2846
 491, 2161
 485, 2533
 481, 2375
 505, 2359
 489, 2532
 515, 2582
 551, 2646
 495, 2258
 485, 2154
 507, 2279
 487, 2466
 487, 2681
 519, 2387
 495, 2429
 521, 2514
 495, 2390
 495, 2330
 501, 2331
 521, 2583
 495, 2345
 501, 2557
 521, 2431
 505, 2202
 521, 2231
 453, 2456
 509, 2423
 481, 2523
 507, 2127
 517, 2444
 523, 2507
 523, 2359
 497, 2315
 485, 2510
 523, 2727
 521, 2251
 517, 2618
 481, 2373
 507, 2460
 507, 2342
 515, 2259
 513, 2236
 485, 2487
 511, 2347
 513, 2351
 487, 2377
 503, 2116
 529, 2129
 493, 2175
 479, 2052
 507, 2084
 515, 2613
 489, 2065
 499, 2387
 493, 2305
 509, 2673
 515, 2485
 483, 2463
 487, 2183
 491, 2349
 501, 2282
 503, 2660
 497, 2272
 511, 2606
 495, 2645
 473, 2368
 471, 2820
 519, 2170
 541, 2621
 505, 2309
 507, 2360
 485, 2243
 479, 2137
 509, 2395
 495, 2257
 493, 2462
 499, 2239
 495, 2614
 511, 2530
 493, 2391
 519, 2210
 505, 2652
 493, 2461
 511, 2528
 507, 2505
 495, 2166
 503, 2639
 507, 2209
 497, 2409
 503, 2454
 477, 2543
 509, 2294
 479, 2581
 503, 2431
 487, 2476
 501, 2284
 477, 2047
 495, 2449
 505, 2149
 463, 2446
 503, 2714
 501, 2234
 489, 2510
 495, 2277
 503, 2621
 479, 2243
 477, 2701
 513, 2349
 483, 2564
 495, 2621
 487, 2373
 511, 2294
 511, 2542
 479, 2287
 517, 2303
 483, 2762
 547, 2248
 515, 2250
 483, 2388
 475, 2347
 507, 2443
 495, 2621
 497, 2341
 485, 2282
 479, 2504
 489, 2404
 513, 2381
 487, 2305
 483, 2279
 495, 2158
 497, 2511
 507, 2643
 501, 2677
 493, 2339
 511, 2134
 493, 2476
 473, 2283
 475, 2360
 505, 2317
 511, 2653
 497, 2346
 479, 2057
 495, 2251
 511, 2745
 495, 2491
 487, 2453
 507, 2383
 495, 2213
 489, 2194
 513, 2522
 501, 2417
 501, 2772
 503, 2544
 491, 2367
 533, 2583
 513, 2262
 491, 2404
 487, 2625
 483, 2371
 501, 2193
 485, 2404
 511, 2528
 495, 2339
 515, 2352
 511, 2441
 503, 2573
 525, 2611
 509, 2649
 493, 2270
 481, 2713
 489, 2513
 503, 2205
 471, 2443
 511, 2332
 517, 2279
 477, 2337
 463, 2625
 523, 2382
 495, 2328
 523, 2530
 509, 2770
 519, 2442
 497, 2262
 517, 2063
 473, 2530
 505, 2445
 515, 2808
 497, 2109
 489, 2404
 489, 2366
 511, 2265
 503, 2414
 489, 2518
 471, 2569
 513, 2320
 483, 2270
 489, 2458
 473, 2636
 491, 2530
 499, 2142
 497, 2810
 463, 2522
 525, 2673
 515, 2294
 511, 2232
 525, 2450
 477, 2463
 519, 2648
 521, 2431
 511, 2553
 507, 2269
 501, 2563
 487, 2567
