# The odd-to-odd Collatz orbit of 27

n          - a positive integer
dist       - the number of odd-to-odd Collatz for n steps to reach 1
base3      - the ternary representation of n
base2      - the binary representation of n
factors    - the prime factors of n
pdist      - the distance from n to the nearest prime
nl         - the odd core valuation of the even number n-1 to the left of odd n
factorsl   - the prime factors of n-1
nr         - the odd core valuation of the even number n+1 to the right of odd n
factorsr   - the prime factors of n+1
tcn        - the nearest "ternary core", among (0, 1, 2), after dividing out powers of three
hsum       - the harmonic sum, the sum of the reciprocals of the prime factors of n
π          - the prime counting function π(n), the number of primes less than or equal to n
π~         - an estimate of the prime counting function π(n), the number of primes less than or equal to n: n / (log n - 1)
R          - the Riemann R function R(n)
Li         - the logarithmic integral Li(n)
θ          - the Chebyshev θ(n) function, the sum of log p for primes p ≤ n
ψ          - the Chebyshev ψ(n) function, the sum of log p for prime powers p^k ≤ n
Λ          - the von Mangoldt function of n, Λ(n)
τ          - the number of divisors of n, τ(n)
σ          - the sum of divisors of n, σ(n)
φ          - the Euler totient of n, φ(n)
λ          - the Carmichael function of n, λ(n)
Dψ         - the Dedekind ψ(n) function
μ          - the Möbius function of n, which is 1 if n is a product of an even number of distinct primes, -1 if odd, and 0 if any prime is repeated
ω          - the number of distinct prime factors of n, ω(n)
Ω          - the total number of prime factors of n, counting multiplicity, Ω(n)
ℓ          - the Liouville function of n, ℓ(n) = (-1)^Ω(n)
M          - the Mertens function M(n)
m*         - the prime residues of n modulo a set of primes
rvol       - the residue volatility of n, the sum of the prime residues of n weighted by 1/p
rvolabs    - the absolute residue volatility of n, the sum of the prime residues of n
psym       - the symmetric primes at equal offsets around n
crad       - the Collatz "cursor radical" of n, the product of its prime factors above 3
cmask      - factor mask of Collatz "cursor radical" of n

   n,   dist,   base3,         base2, factors, pdist,        nl, factorsl,         nr, factorsr,   tcn,     hsum,    π,       π~,        R,       Li,         θ,         ψ,      Λ,  τ,     σ,     φ,     λ,    Dψ,   μ,  ω,  Ω,   ℓ,    M, m3, m5, m7, m11, m13, m17, m19, m23, m29, m31, m37,  rvol,   rvolabs, psym,                                        crad, cmask
 155,   30,     12202,      10011011, 5⋅31,        2,    (77 1), 2⋅7⋅11,       (39 2), 2²⋅3⋅13,     52,  0.23226,   36,   38.334,   36.319,   41.497,   136.665,   169.017,  0.000,  4,   192,   120,    60,   191,   1,  2,  2,   1,   -1,  2,  0,  1,   1,  12,   2,   3,  17,  10,   0,   7,  1.400,    5.000, 18 24 42 72 84 96 102 108 114 126 …,          155, X       X
 233,   29,     22122,      11101001, 233,         0,    (29 3), 2³⋅29,       (117 1), 2⋅3²⋅13,     26,  0.00429,   51,   52.347,   50.431,   56.330,   215.632,   255.033,  5.451,  2,   234,   232,   232,   234,  -1,  1,  1,  -1,   -1,  2,  3,  2,   2,  12,  12,   5,   3,   1,  16,  11,  3.157,   22.000, 6 36 60 84 120 126 150 186 210 216 …,         233,                                                 X
 175,   28,     20111,      10101111, 5²⋅7,        2,    (87 1), 2⋅3⋅29,       (11 4), 2⁴⋅11,       58,  0.34286,   40,   42.019,   40.030,   45.415,   157.086,   191.582,  0.000,  6,   248,   120,    60,   239,   0,  2,  3,  -1,   -4,  1,  0,  0,  10,   6,   5,   4,  14,   1,  20,  27,  2.204,   18.000, 18 24 36 48 66 96 102 108 132 138 …,           35, XX
 263,   27,    100202,     100000111, 263,         0,   (131 1), 2⋅131,        (33 3), 2³⋅3⋅11,     88,  0.00380,   56,   57.522,   55.643,   61.772,   243.240,   286.946,  5.572,  2,   264,   262,   262,   264,  -1,  1,  1,  -1,   -2,  2,  3,  4,  10,   3,   8,  16,  10,   2,  15,   4,  3.478,   23.000, 6 30 84 90 96 126 156 180 204 216 …,          263,                                                      X
 395,   26,    112122,     110001011, 5⋅79,        2,   (197 1), 2⋅197,        (99 2), 2²⋅3²⋅11,    44,  0.21266,   77,   79.335,   77.622,   84.582,   364.749,   421.098,  0.000,  4,   480,   312,   156,   480,   1,  2,  2,   1,    2,  2,  0,  3,  10,   5,   4,  15,   4,  18,  23,  25,  3.914,   40.000, 6 36 48 84 114 126 162 168 198 204 …,         395, X                  X
 593,   25,    210222,    1001010001, 593,         0,    (37 4), 2⁴⋅37,       (297 1), 2⋅3³⋅11,     22,  0.00169,  108,  110.117,  108.658,  116.551,   556.586,   629.312,  6.385,  2,   594,   592,   592,   594,  -1,  1,  1,  -1,    6,  2,  3,  5,  10,   8,  15,   4,  18,  13,   4,   1,  5.881,   66.000, 6 24 84 90 126 150 204 234 246 336 …,         593,                                                                                                          X
 445,   24,    121111,     110111101, 5⋅89,        2,   (111 2), 2²⋅3⋅37,     (223 1), 2⋅223,      148,  0.21124,   86,   87.288,   85.639,   92.861,   419.136,   471.098,  0.000,  4,   540,   352,    88,   540,   1,  2,  2,   1,   -8,  1,  0,  4,   5,   3,   3,   8,   8,  10,  11,   1,  2.688,   25.000, 12 78 96 132 162 168 174 216 246 264 …,       445, X                    X
 167,   23,     20012,      10100111, 167,         0,    (83 1), 2⋅83,         (21 3), 2³⋅3⋅7,      56,  0.00599,   39,   40.554,   38.554,   43.859,   151.933,   186.135,  5.118,  2,   168,   166,   166,   168,  -1,  1,  1,  -1,   -1,  2,  2,  6,   2,  11,  14,  15,   6,  22,  12,  19,  2.606,   13.000, 30 60 66 84 96 114 126 144 150 164,           167,                                     X
 251,   22,    100022,      11111011, 251,         0,   (125 1), 2⋅5³,         (63 2), 2²⋅3²⋅7,     28,  0.00398,   54,   55.464,   53.570,   59.610,   232.119,   274.206,  5.525,  2,   252,   250,   250,   252,  -1,  1,  1,  -1,   -2,  2,  1,  6,   9,   4,  13,   4,  21,  19,   3,  29,  3.350,   23.000, 12 18 60 102 138 150 168 180 192 198 …,       251,                                                    X
 377,   21,    111222,     101111001, 13⋅29,       2,    (47 3), 2³⋅47,       (189 1), 2⋅3³⋅7,      14,  0.11141,   74,   76.436,   74.700,   81.560,   346.900,   403.098,  0.000,  4,   420,   336,    84,   420,   1,  2,  2,   1,   -2,  2,  2,  6,   3,   0,   3,  16,   9,   0,   5,   7,  3.715,   33.000, 24 66 84 114 126 144 180 186 210 240 …,       377,    X   X
 283,   20,    101111,     100011011, 283,         0,   (141 1), 2⋅3⋅47,       (71 2), 2²⋅71,       94,  0.00353,   61,   60.920,   59.066,   65.338,   271.345,   307.020,  5.645,  2,   284,   282,   282,   284,  -1,  1,  1,  -1,   -6,  1,  3,  3,   8,  10,  11,  17,   7,  22,   4,  24,  3.358,   26.000, 54 84 90 126 156 174 180 204 216 240 …,       283,                                                           X
 425,   19,    120202,     110101001, 5²⋅17,       4,    (53 3), 2³⋅53,       (213 1), 2⋅3⋅71,     142,  0.25882,   82,   84.124,   82.449,   89.569,   394.821,   451.098,  0.000,  6,   558,   320,    80,   540,   0,  2,  3,  -1,    0,  2,  0,  5,   7,   9,   0,   7,  11,  19,  22,  18,  3.578,   31.000, 6 24 36 42 66 78 132 144 162 168 …,            85, X   X
 319,   18,    102211,     100111111, 11⋅29,       2,   (159 1), 2⋅3⋅53,        (5 6), 2⁶⋅5,       106,  0.12539,   66,   66.944,   65.135,   71.647,   299.997,   340.207,  0.000,  4,   360,   280,   140,   359,   1,  2,  2,   1,   -4,  1,  4,  4,   0,   7,  13,  15,  20,   0,   9,  23,  3.508,   30.000, 12 48 78 90 120 138 168 180 222 252 …,        319,   X    X
 479,   17,    122202,     111011111, 479,         0,   (239 1), 2⋅239,        (15 5), 2⁵⋅3⋅5,     160,  0.00209,   92,   92.619,   91.014,   98.403,   455.957,   511.269,  6.172,  2,   480,   478,   478,   480,  -1,  1,  1,  -1,   -6,  2,  4,  3,   6,  11,   3,   4,  19,  15,  14,  35,  4.174,   34.000, 12 30 78 90 120 162 168 198 222 240 …,        479,                                                                                          X
 719,   16,    222122,    1011001111, 719,         0,   (359 1), 2⋅359,        (45 4), 2⁴⋅3²⋅5,     80,  0.00139,  128,  128.902,  127.606,  135.983,   686.163,   757.114,  6.578,  2,   720,   718,   718,   720,  -1,  1,  1,  -1,   -3,  2,  4,  5,   4,   4,   5,  16,   6,  23,   6,  16,  4.749,   47.000, 42 78 102 120 162 210 228 252 258 300 …,      719,                                                                                                                              X
