n      - a positive integer
psym   - the symmetric primes at equal offsets around n

n,     psym
647,   6 30 54 126 180 216 264 294 300 330 336 366 384 414 450 456 516 534 540 546 576 630 636 642 644
653,   6 66 90 144 174 186 204 210 234 294 300 360 396 456 540 564 570 606 624 630 636 648 650
659,   18 42 60 102 138 150 168 180 198 228 270 312 390 402 432 492 522 528 558 570 600 618 630 642 648
661,   30 48 90 162 198 222 330 348 378 390 432 462 468 510 552 588 618 630 642 658
673,   54 60 66 96 150 186 210 234 264 294 324 336 360 366 390 396 444 450 480 564 576 606 630 654
677,   24 84 120 186 210 234 276 294 384 414 420 426 486 504 510 540 546 606 624 630
683,   36 90 114 126 174 180 204 264 294 300 330 336 366 414 420 426 504 510 534 546 576 594 600 624 636 678
691,   18 48 60 78 120 168 192 228 318 342 360 378 462 480 510 540 588 612 630
701,   18 42 60 108 138 180 210 240 252 270 282 312 318 348 390 408 450 462 522 528 588 600 618 660 672 698
709,   18 48 78 102 168 210 288 300 312 330 342 360 378 528 570 582 612 672 690
719,   42 78 102 120 162 210 228 252 258 300 330 372 462 468 540 570 582 588 648 690 708 714
727,   84 96 126 150 156 180 240 264 270 294 306 360 390 396 444 486 504 564 570 576 600 654 696 720 724
733,   6 24 90 120 126 186 234 276 300 336 354 360 384 396 420 504 570 594 666 690 696 714 720 726
739,   12 30 48 120 138 168 198 252 282 300 330 390 432 462 498 510 540 558 582 588 642 660 708 720 732
743,   66 84 96 144 186 234 240 276 354 360 450 474 480 486 516 546 564 576 630 684 690 696 738 740
751,   18 60 78 108 132 288 312 318 342 372 378 402 420 480 528 540 552 570 648 672 678 708 720 732 738 748
757,   30 66 96 126 150 180 210 234 294 336 360 444 474 480 534 546 564 690 696 714 726 754
761,   60 78 102 120 168 192 252 258 270 300 330 342 402 468 498 522 528 612 648 672 678 690 720 732 738 750
769,   18 42 60 108 138 150 168 198 222 228 270 282 348 360 402 432 462 528 558 612 630 660 690 702 762
773,   54 90 114 156 174 180 204 210 324 330 390 414 420 456 504 510 516 534 546 594 600 636 660 666 714 720 726 750 770
787,   36 96 180 210 246 264 300 330 366 414 450 504 510 516 594 636 660 684 744 756 780 784
797,   24 114 144 150 156 180 234 294 306 354 366 396 480 486 504 564 570 630 684 690 696 714 726 756 774 786
809,   12 48 132 162 168 210 222 240 252 288 300 342 378 408 420 450 492 498 552 558 618 630 642 672 678 702 750 762 792 798 804
811,   42 72 180 198 210 240 312 390 402 438 480 570 588 612 618 648 660 672 732 738 768 798 808
821,   60 120 162 228 330 342 360 372 402 438 462 468 540 552 588 630 672 690 732 738 750 762 780 792 798 816
823,   36 54 84 96 114 210 216 246 300 390 414 426 456 474 600 624 630 660 666 720 726 744 756 786 804
827,   30 54 84 126 144 150 186 234 264 270 324 336 360 366 396 474 480 534 546 600 654 660 696 726 744 756 774 780 786 810
829,   78 90 138 168 210 222 258 288 342 372 408 420 450 462 492 498 552 600 618 630 702 720 750 768 792 798
839,   18 42 138 180 192 222 252 270 348 378 390 420 438 450 480 522 528 570 588 600 612 642 648 660 672 732 768 780 798 828
853,   24 30 66 84 114 144 180 210 234 240 276 396 444 474 546 570 576 630 690 696 714 726 744 756 774 810 816 840 846
857,   30 84 96 114 156 174 204 240 294 336 366 426 504 510 576 594 624 630 666 726 744 750 756 810 840 852
859,   48 108 132 150 228 258 312 372 420 438 462 522 588 630 708 720 750 762 798 840
863,   24 66 90 120 186 246 300 354 360 396 414 420 444 504 510 546 570 624 630 636 690 696 750 756 774 804 834 846 858 860
877,   90 120 144 186 216 246 276 336 354 414 420 444 504 546 570 594 606 654 666 720 750 780 816 846 864 870
881,   60 72 138 180 222 228 282 312 378 402 420 438 480 492 528 570 600 612 618 630 642 690 702 732 828 840 852 878
883,   24 54 114 126 150 156 210 240 270 396 420 444 516 546 570 576 600 606 660 684 726 744 774 780 786 810 816 840 864 870 876
887,   24 60 66 90 126 144 204 210 294 300 330 396 420 486 540 594 606 624 636 696 714 720 750 780 834 846
907,   30 84 156 180 216 246 264 294 306 330 384 420 474 540 576 624 636 714 750 756 834 840 846 870 876 894 904
911,   30 72 102 138 150 192 252 270 312 318 348 390 408 450 462 522 528 600 642 648 660 672 798 810 822 900
919,   90 132 150 168 210 312 318 372 378 462 480 510 540 552 570 612 648 678 690 708 738 780 822 840 858 882 912
929,   18 42 48 90 102 120 132 168 252 288 330 360 372 438 480 498 510 570 582 672 678 690 738 780 792 858 882 918
937,   30 54 60 84 114 126 150 180 186 264 276 294 360 366 390 516 606 630 660 726 756 786 810 840 864 894 924 930 934
941,   12 30 78 120 168 222 240 282 288 342 348 378 420 432 492 498 510 540 552 558 582 630 660 672 678 768 792 870 882 930 936 938
947,   6 36 66 84 150 204 246 270 330 354 360 426 480 486 504 546 564 636 654 666 690 720 750 774 840 864 876 900 924 930 942
953,   24 66 96 144 156 210 234 270 276 306 336 354 366 474 486 534 570 600 606 660 684 714 756 780 870 894 924 936 948
967,   30 84 156 234 324 336 354 360 480 504 600 630 654 660 690 696 726 756 774 786 810 816 864 894 900 906 964
971,   42 60 90 132 210 252 288 312 318 330 402 462 468 480 510 522 528 540 552 582 588 612 738 840 900 918 930 942 960
977,   6 36 114 120 204 216 300 324 330 384 390 456 474 510 516 534 546 576 594 624 630 660 720 744 810 846 870 894 924 930 936 954 972 974
983,   30 36 120 126 210 240 300 306 324 336 384 390 426 504 516 540 600 624 630 636 714 726 750 804 894 924 930 966
991,   72 132 138 162 180 222 240 258 300 330 390 468 492 552 558 618 678 708 750 762 768 792 798 810 840 882 888 960 988
997,   90 120 174 240 306 324 384 426 450 456 474 534 600 624 630 660 666 726 756 786 804 834 870 936 954 990
1009,  12 42 222 240 270 282 318 390 438 462 522 570 588 600 612 660 732 738 768 780 852 858 870 942 978 990 1002
1013,  36 84 150 174 204 216 270 294 354 360 396 414 420 426 510 546 570 594 624 654 696 720 774 834 864 876 900 960 966 984 990
1019,  42 72 78 90 132 162 198 210 258 300 342 420 432 462 540 552 588 600 618 702 768 792 828 852 870 882 888 912 930 960 978 1008
1021,  12 30 102 192 210 270 282 360 378 402 408 450 522 558 588 600 642 648 672 738 780 810 840 858 912 978 990 1008 1018
1031,  18 60 78 120 150 192 258 270 288 330 378 462 468 522 528 540 552 570 582 588 678 780 792 840 858 882 900 918 942 948 972 1008
1033,  36 96 180 204 246 264 294 390 414 420 426 456 510 534 546 576 594 624 636 660 666 720 726 750 756 834 840 954 960 966 996 1020 1030
1039,  30 48 132 162 210 252 282 288 408 420 432 492 540 582 618 630 660 702 708 762 828 840 912 960 972 978
1049,  102 138 168 210 228 240 252 390 402 432 450 462 558 570 588 618 648 660 738 798 822 852 858 882 900 948 978 990 1020 1032 1038
1051,  12 18 42 198 228 240 378 408 420 432 438 480 528 612 618 642 672 702 738 780 810 822 828 900 942 948 978 1032 1038 1048
1061,  30 42 48 90 120 132 198 222 240 300 378 420 462 492 498 540 552 558 660 672 750 810 828 870 888 912 978 1002 1008 1020 1038 1050
1063,  24 30 54 66 186 234 240 336 390 420 486 516 564 600 606 630 684 690 696 714 726 870 924 936 954 966 990 1020 1026 1050
1069,  18 48 60 102 132 162 210 258 312 330 360 378 462 498 528 630 672 690 720 732 762 792 798 918 930 942 960 1062
1087,  36 66 150 204 210 234 336 360 396 444 456 480 510 540 654 666 690 714 774 780 846 864 906 924 930 1026 1044 1050 1056 1074
1091,  60 72 138 210 228 270 282 318 348 390 408 432 492 522 528 630 642 732 780 798 810 822 840 858 912 978 990 1008 1020 1038 1050 1062 1088
1093,  24 30 60 156 186 210 234 306 336 354 360 366 450 474 486 516 570 606 630 654 660 684 696 780 786 894 900 936 990 996 1020 1050 1086
1097,  6 66 84 120 126 186 210 270 276 336 354 396 414 456 504 510 540 636 714 750 780 804 816 834 900 906 930 966 984 990 1014 1044 1056
1103,  6 84 90 120 126 156 174 216 264 306 330 384 420 450 456 504 510 516 534 594 684 720 744 786 810 846 870 876 924 936 966 996 1050 1100
1109,  78 168 180 198 252 300 390 450 462 492 510 588 600 678 762 792 798 840 870 918 930 960 972 978 1002 1020 1098 1104
1117,  54 84 96 120 180 210 264 306 330 366 426 504 510 540 546 576 630 660 684 744 750 834 876 894 936 966 1014 1020 1044 1086 1104
1123,  6 30 90 114 126 156 204 300 336 366 504 546 576 600 624 636 660 666 744 750 756 810 894 930 960 966 1014 1020 1056 1080 1116 1120
1129,  42 108 120 162 192 252 270 300 318 342 360 402 420 438 468 498 528 630 672 732 750 822 858 888 900 1002 1032 1050 1092 1110 1122
1151,  42 132 138 168 210 222 288 330 342 408 432 450 468 558 582 660 672 720 750 762 798 888 912 918 960 978 1002 1062 1092 1122 1146
1153,  60 84 144 246 270 276 294 300 330 396 414 426 444 510 540 546 606 630 714 720 780 840 846 876 930 960 990 1026 1050 1086 1116 1134 1140
1163,  54 60 66 114 144 210 276 324 336 390 420 444 504 546 570 660 684 714 744 810 816 900 906 924 936 966 990 1050 1074 1080 1104 1110 1134 1146
1171,  42 78 108 120 132 150 252 288 312 318 360 438 498 528 552 570 630 708 762 822 840 858 942 960 972 990 1008 1032 1068 1098 1110 1140 1168
1181,  78 120 228 252 270 300 318 342 372 420 438 528 540 690 720 732 750 792 798 822 888 900 918 930 948 1032 1092 1128 1152 1158 1170 1176
1187,  6 36 90 96 174 240 246 300 306 324 366 414 426 510 534 546 600 624 684 720 726 744 786 840 876 894 924 954 1020 1050 1056 1080 1086 1146 1164 1170 1184
1193,  30 84 90 96 174 180 216 240 246 306 330 366 420 474 516 540 594 630 684 714 804 810 834 846 876 936 960 1014 1020 1044 1080 1104 1140 1146 1164 1188 1190
1201,  30 48 78 180 282 342 348 378 462 468 492 540 558 582 588 600 630 660 678 792 828 852 888 930 960 978 1002 1020 1038 1050 1092 1140 1170 1182 1188 1198
1213,  84 90 216 246 276 330 336 354 384 444 456 480 486 540 570 666 774 780 804 816 840 876 900 930 990 1056 1074 1134 1170 1176 1210
1217,  66 156 234 264 270 276 306 336 354 390 396 420 516 570 630 654 660 696 714 756 786 864 870 924 936 990 1020 1026 1050 1080 1116 1134 1164 1176 1194 1200 1206
1223,  6 36 60 204 210 270 276 336 360 384 396 414 564 624 654 666 756 774 780 804 840 864 876 906 930 984 990 1044 1050 1074 1086 1110 1116 1134 1170 1176 1194 1200 1218
1229,  48 78 132 138 180 198 210 252 258 282 342 372 390 408 468 582 642 660 672 720 750 768 798 810 840 870 882 912 978 1038 1080 1122 1128 1170 1182 1188 1212 1218
1231,  18 60 168 192 198 222 240 312 348 378 462 492 522 558 570 600 630 768 798 822 852 858 882 900 948 990 1008 1020 1038 1050 1080 1152 1158 1228
1237,  66 84 144 186 216 246 330 360 384 426 486 504 510 546 564 594 624 630 636 696 714 750 774 780 816 900 906 924 966 1014 1044 1056 1074 1110 1134 1140 1200 1230
1249,  48 78 132 180 198 210 240 282 330 372 420 492 498 510 540 618 630 702 750 762 840 882 912 972 1020 1038 1092 1098 1122 1140 1188 1218
1259,  30 42 108 150 168 228 240 312 348 378 438 450 462 612 618 642 672 690 738 768 780 810 828 840 870 948 978 1008 1080 1092 1122 1152 1158 1188 1200 1218
1277,  84 90 96 174 216 246 294 306 324 330 336 390 420 456 534 594 600 624 630 636 720 786 810 834 876 930 960 966 996 1020 1080 1104 1140 1146 1164 1170 1254 1266 1272 1274
1279,  42 48 150 192 210 270 288 342 420 468 510 522 552 588 672 708 732 738 858 882 900 942 972 1002 1008 1068 1098 1242 1260 1272
1283,  6 24 90 270 300 330 336 354 426 540 564 606 624 630 666 690 696 714 720 780 804 816 924 930 990 1014 1026 1050 1056 1110 1116 1134 1176 1194 1260 1266
1289,  12 30 72 138 192 198 270 312 318 348 378 408 432 588 612 642 690 780 798 810 822 840 978 1008 1020 1050 1062 1092 1110 1122 1152 1158 1188 1242 1260
1291,  12 90 138 162 168 198 240 252 258 372 408 432 462 468 540 582 660 720 792 852 870 912 960 978 1020 1050 1080 1092 1098 1182 1212 1230 1248 1260 1288
1297,  6 84 126 174 234 246 300 330 360 444 486 564 570 636 654 690 696 720 756 834 840 864 924 984 990 1014 1074 1086 1140 1170 1224 1254 1260 1294
1301,  18 72 108 138 150 192 198 210 252 270 282 318 420 600 648 702 738 780 798 810 840 852 912 942 1008 1032 1038 1050 1110 1122 1230 1242 1248 1278 1290
1303,  24 150 180 186 240 264 294 306 366 396 420 444 450 474 480 564 570 576 630 684 690 696 726 780 840 936 966 990 1074 1080 1164 1200 1236 1290
1307,  120 126 144 204 216 246 276 294 330 360 426 480 564 606 624 666 690 720 804 846 906 960 990 1026 1044 1050 1074 1110 1116 1134 1140 1170 1224 1236 1284 1302
1319,  42 90 132 168 288 300 348 378 390 492 558 660 678 720 750 762 810 888 918 1038 1062 1080 1092 1122 1128 1140 1212 1230 1260 1272 1290 1302 1314
1321,  108 150 168 228 258 288 300 402 438 462 468 510 552 612 630 678 690 708 822 858 882 900 948 972 990 1050 1182 1218
1327,  96 126 156 204 240 294 330 336 420 450 474 504 540 666 684 726 756 786 804 894 954 960 1014 1020 1044 1050 1056 1146 1176 1224 1230 1266 1290 1320
1361,  72 78 132 138 198 210 252 258 348 450 540 552 588 618 642 678 702 708 720 768 792 852 882 912 972 978 1050 1080 1098 1170 1182 1188 1230 1248 1260 1272 1302 1332 1338 1350 1358
1367,  6 60 66 84 144 186 204 216 270 354 420 456 480 504 510 540 546 606 714 720 774 846 876 900 906 966 984 1014 1050 1056 1074 1110 1176 1254 1266 1296 1320 1326 1344 1362 1364
1373,  54 66 114 150 180 186 210 264 324 360 516 534 576 600 630 654 690 696 714 726 756 780 864 870 894 924 984 1020 1026 1104 1176 1206 1236 1260 1284 1290 1314 1320 1326 1356 1368
1381,  78 90 102 150 168 228 288 312 318 342 360 372 498 552 570 612 630 648 672 708 750 762 780 840 858 960 1002 1008 1140 1158 1170 1278 1302 1308 1338 1350 1368
1399,  72 150 168 198 228 270 348 360 378 390 402 432 462 480 588 612 630 690 738 780 822 852 912 942 978 990 1068 1122 1158 1218 1248 1260 1272 1290 1320 1332 1368 1392
1409,  42 90 102 150 192 228 258 300 312 378 438 462 468 480 498 522 570 588 690 732 888 900 930 942 948 990 1008 1050 1140 1170 1182 1212 1278 1302 1320 1368 1380 1392
