n      - a positive integer
psym   - the symmetric primes at equal offsets around n

n,     psym
1637,  30 84 150 186 210 264 270 276 336 360 444 450 474 576 606 660 696 756 774 780 810 840 894 954 984 996 1020 1050 1074 1116 1206 1290 1320 1326 1374 1386 1404 1446 1500 1530 1554 1566 1584 1614 1620 1634
1657,  36 90 126 174 204 210 276 330 336 354 360 426 456 486 504 564 594 624 636 690 720 780 846 900 1014 1026 1050 1056 1110 1134 1194 1200 1260 1344 1380 1464 1506 1530 1560 1596 1614 1644 1650
1663,  6 36 84 96 114 120 204 210 216 336 366 426 450 540 576 624 630 726 804 810 840 876 894 930 954 1020 1044 1050 1056 1086 1140 1224 1254 1290 1356 1386 1500 1506 1524 1554 1566 1590 1596 1644 1650 1656 1660
1667,  30 54 66 144 156 180 234 240 306 360 444 474 486 570 576 606 684 690 714 726 756 780 810 924 966 990 1020 1026 1074 1110 1176 1236 1356 1374 1416 1470 1500 1536 1554 1584 1656 1662 1664
1669,  72 90 120 198 210 342 348 420 468 552 582 600 618 672 678 702 882 978 1008 1038 1050 1062 1098 1122 1128 1182 1248 1302 1332 1392 1398 1440 1512 1518 1560 1590 1602 1632 1638 1650 1662
1693,  30 66 84 96 240 294 390 396 444 576 600 654 684 696 774 810 864 924 954 966 984 1020 1074 1194 1260 1326 1344 1356 1386 1416 1470 1494 1536 1566 1614 1620 1626 1650 1680
1697,  90 114 126 174 204 210 216 330 390 414 510 516 546 600 636 684 714 720 726 744 750 834 924 936 996 1014 1044 1056 1080 1104 1140 1206 1230 1266 1314 1344 1386 1440 1470 1506 1524 1560 1626 1650 1674 1692 1694
1699,  42 78 90 102 132 168 252 300 318 462 570 582 612 648 678 690 822 840 948 960 972 990 1008 1068 1092 1098 1152 1158 1302 1320 1350 1362 1368 1422 1470 1488 1518 1560 1572 1602 1620 1632 1662 1692
1709,  12 102 138 198 222 270 390 402 420 432 528 558 600 648 690 732 738 768 822 870 882 900 912 948 990 1032 1068 1092 1110 1152 1188 1200 1218 1230 1248 1260 1290 1428 1458 1482 1512 1542 1620 1638 1650 1662 1680 1698 1704
1721,  12 102 150 168 210 228 282 348 360 420 432 492 612 618 630 660 672 690 702 738 810 858 900 912 978 1020 1068 1080 1122 1158 1218 1242 1278 1290 1302 1320 1362 1368 1470 1482 1488 1530 1608 1638 1650 1668 1692
1723,  24 30 54 60 66 144 156 264 270 276 294 420 570 654 660 714 816 870 894 936 954 966 984 990 996 1080 1110 1314 1326 1344 1356 1386 1440 1446 1494 1530 1584 1596 1620 1650 1710
1733,  114 174 180 240 246 294 306 366 474 504 510 540 624 684 714 846 876 924 960 1056 1086 1146 1164 1170 1176 1224 1230 1266 1290 1350 1386 1470 1476 1566 1596 1626 1674 1680 1716 1728 1730
1741,  18 42 48 120 132 192 210 252 258 270 288 312 342 420 438 462 510 528 540 570 648 732 918 930 972 990 1008 1050 1110 1278 1308 1320 1368 1428 1512 1518 1530 1560 1578 1590 1602 1632 1722 1728
1747,  6 54 84 120 126 204 264 366 456 534 546 594 624 630 726 756 810 870 924 936 960 1020 1056 1086 1104 1140 1170 1206 1224 1290 1314 1374 1416 1434 1440 1470 1506 1524 1554 1566 1584 1596 1644 1686 1710 1716 1744
1753,  6 30 126 264 300 330 426 450 516 540 624 630 636 684 714 720 786 894 924 930 966 996 1014 1044 1080 1134 1266 1296 1314 1356 1416 1476 1554 1560 1590 1680 1710 1716 1746
1759,  18 102 192 228 270 330 378 462 480 510 522 528 588 630 708 762 792 900 930 948 972 990 1008 1032 1098 1128 1158 1212 1260 1302 1320 1350 1362 1410 1422 1428 1548 1560 1602 1632 1698 1740 1752
1777,  24 54 84 156 210 234 306 354 474 564 606 660 690 726 744 780 840 870 894 900 954 990 1020 1026 1176 1290 1344 1404 1410 1440 1494 1536 1554 1566 1584 1596 1614 1680 1734 1740 1764 1770
1783,  6 84 90 204 216 234 300 330 354 360 456 486 504 654 690 720 774 864 876 900 906 924 930 1014 1050 1074 1170 1236 1284 1296 1326 1386 1404 1434 1446 1470 1476 1560 1590 1674 1680 1686 1716 1746 1764 1776
1787,  90 120 186 216 276 294 300 354 420 426 480 486 510 564 570 594 606 624 636 690 756 804 834 846 876 900 906 924 966 990 1014 1110 1140 1170 1224 1296 1404 1434 1470 1536 1560 1620 1674 1680 1704 1740 1746 1770 1784
1789,  12 42 90 162 210 222 240 300 342 390 462 492 498 552 558 588 750 768 870 882 930 960 978 1002 1062 1098 1128 1182 1212 1248 1290 1332 1380 1392 1440 1482 1512 1518 1680 1710 1722 1728 1752 1758 1770 1782
1801,  60 78 132 192 252 312 330 342 378 402 420 480 510 570 588 672 738 750 792 882 918 948 990 1032 1050 1170 1200 1260 1278 1362 1368 1380 1428 1452 1470 1518 1530 1560 1572 1590 1662 1698 1728 1740 1758 1770 1782
1811,  78 90 102 192 228 252 258 288 300 318 330 402 522 528 582 588 630 648 720 780 798 882 900 930 990 1050 1068 1092 1128 1152 1158 1212 1308 1380 1392 1410 1518 1548 1560 1578 1638 1680 1722 1728 1770 1782 1806
1823,  90 126 156 204 216 240 264 330 384 390 414 450 516 534 594 600 636 720 726 810 840 870 876 966 996 1014 1080 1104 1140 1146 1176 1260 1266 1314 1344 1380 1434 1476 1506 1566 1584 1590 1626 1644 1710 1716 1734 1770 1794 1800 1820
1831,  30 42 48 162 168 222 252 282 300 348 372 408 450 510 540 552 708 762 840 972 1002 1020 1122 1140 1170 1188 1218 1230 1290 1332 1398 1422 1482 1500 1560 1602 1632 1638 1668 1680 1728 1752 1800 1812 1828
1847,  24 60 126 150 180 234 240 264 294 360 366 396 420 486 546 564 570 630 684 696 744 786 816 864 894 906 990 1050 1164 1194 1290 1344 1356 1404 1500 1566 1614 1620 1680 1710 1734 1746 1776 1824 1830 1844
1861,  72 138 168 192 252 282 318 378 390 408 432 480 612 660 690 732 798 810 822 828 852 870 942 1092 1110 1188 1200 1218 1248 1260 1320 1398 1440 1452 1482 1512 1530 1638 1650 1668 1680 1698 1710 1722 1752 1782 1830 1848 1858
1867,  6 66 84 120 126 144 246 270 336 384 414 420 444 570 636 654 750 780 804 816 846 900 930 984 990 1134 1194 1254 1296 1320 1404 1434 1446 1494 1590 1596 1644 1674 1704 1716 1740 1764 1770 1806 1824 1830 1860
1871,  60 258 270 372 438 462 510 552 570 588 678 708 720 762 822 840 858 918 930 990 1008 1032 1098 1128 1152 1170 1212 1218 1350 1380 1428 1452 1488 1518 1578 1590 1620 1722 1788 1800 1830 1848 1868
1873,  6 114 120 126 180 210 216 264 306 330 414 420 474 594 720 744 786 804 810 834 840 876 1014 1044 1146 1164 1296 1386 1434 1440 1500 1560 1590 1596 1644 1674 1710 1734 1764 1770 1800 1836 1854 1860 1866
1877,  30 54 210 264 276 366 390 396 504 516 570 600 654 714 780 786 816 864 900 924 966 1020 1050 1080 1134 1260 1290 1314 1374 1446 1494 1530 1584 1614 1650 1680 1704 1740 1746 1794 1824
1879,  120 132 138 210 252 258 282 300 390 408 432 498 558 588 642 678 792 810 828 840 870 888 912 972 1092 1122 1140 1170 1188 1302 1308 1338 1380 1392 1422 1440 1482 1512 1638 1650 1668 1680 1728 1752 1812 1818 1848 1860
1889,  12 18 42 180 192 222 252 318 378 408 450 462 522 528 570 588 660 702 798 840 912 948 1008 1050 1068 1080 1230 1248 1302 1320 1332 1368 1410 1440 1458 1470 1500 1572 1578 1638 1650 1692 1782 1788 1830 1872 1878
1901,  12 30 78 168 180 342 408 450 492 540 642 678 708 720 792 798 810 840 852 888 918 960 1038 1062 1140 1182 1218 1302 1308 1398 1422 1458 1470 1512 1548 1590 1632 1638 1722 1770 1800 1818 1860 1878 1896
1907,  6 96 120 174 300 306 336 426 474 534 540 624 684 714 726 756 804 846 894 930 936 954 996 1020 1050 1134 1230 1260 1314 1344 1350 1416 1440 1464 1506 1554 1560 1626 1650 1674 1710 1716 1770 1794 1854 1860 1890 1896
1913,  36 66 90 126 216 294 300 330 354 360 420 426 480 486 504 546 630 636 696 720 750 816 864 930 966 984 1026 1050 1056 1086 1170 1254 1296 1344 1410 1434 1446 1494 1554 1620 1644 1680 1746 1764 1806 1854 1866 1884 1890 1908 1910
1931,  18 42 108 198 210 222 312 378 408 420 450 480 492 612 648 702 768 780 822 870 912 948 978 1068 1092 1110 1158 1188 1272 1278 1290 1368 1428 1440 1482 1530 1650 1662 1692 1740 1830 1848 1872 1890 1902 1920
1933,  54 60 66 150 156 180 210 270 306 336 354 444 450 504 534 606 684 780 816 864 870 900 924 1104 1146 1176 1320 1326 1386 1410 1500 1524 1536 1566 1584 1596 1626 1650 1704 1710 1740 1776 1794 1806 1836 1860 1890 1914 1920 1930
1949,  48 78 138 162 348 390 450 462 468 498 510 582 630 642 660 672 762 840 852 888 930 978 1008 1020 1062 1092 1140 1188 1272 1302 1308 1350 1380 1440 1458 1500 1518 1590 1632 1668 1710 1722 1752 1770 1812 1818 1848 1902 1932
1951,  78 162 192 210 228 252 288 330 342 420 522 552 570 720 738 780 798 882 900 1068 1098 1128 1212 1218 1278 1308 1320 1350 1380 1410 1512 1518 1578 1620 1680 1722 1740 1758 1788 1842 1872 1938
1973,  24 66 96 126 240 264 336 360 366 420 450 474 486 606 684 690 714 756 780 864 870 924 954 990 996 1026 1110 1116 1146 1164 1230 1326 1356 1374 1386 1416 1494 1554 1584 1620 1704 1746 1794 1806 1824 1860 1890 1944 1950 1956 1970
1979,  48 90 102 108 132 258 360 372 378 420 468 480 498 552 570 612 678 720 750 762 798 882 918 930 948 960 1032 1140 1158 1278 1320 1380 1392 1410 1470 1488 1512 1548 1560 1578 1698 1722 1740 1782 1788 1800 1842 1872 1932 1938 1950 1968
1987,  126 156 234 264 294 324 360 390 516 534 564 606 660 684 690 696 816 864 870 900 966 1050 1080 1134 1176 1200 1230 1314 1326 1344 1356 1374 1386 1446 1524 1530 1554 1620 1650 1656 1704 1710 1746 1806 1836 1860 1890 1920 1944 1956 1980
1993,  6 60 120 210 246 294 300 384 396 444 510 546 564 666 690 696 714 756 840 864 924 960 1026 1056 1074 1086 1116 1170 1224 1236 1260 1266 1320 1350 1380 1470 1506 1536 1554 1614 1620 1644 1680 1716 1800 1830 1854 1884 1896 1914 1926 1950 1974
1997,  66 84 90 210 276 300 360 384 396 414 426 444 546 624 636 690 696 714 780 804 846 900 906 966 1014 1026 1044 1086 1140 1170 1224 1254 1350 1410 1494 1530 1536 1596 1680 1704 1764 1770 1800 1806 1824 1866 1884 1914 1926 1950 1992
1999,  12 132 138 222 240 252 342 372 378 390 468 540 552 618 672 678 708 720 750 768 798 1002 1062 1080 1122 1170 1188 1230 1260 1272 1308 1392 1458 1500 1512 1542 1560 1632 1692 1728 1770 1848 1890 1920 1932 1968

