# "Odd core neighbor" fingerprints by Collatz odd-to-odd stopping distance

desc,k,oc,m3,m5,m7,m11,m13,m17,m19,m23,m29
oc(2601-1),3,325,1,0,3,6,0,2,2,3,6
oc(2601+1),1,1301,2,1,6,3,1,9,9,13,25
oc(2615-1),1,1307,2,2,5,9,7,15,15,19,2
oc(2615+1),3,327,0,2,5,8,2,4,4,5,8
oc(4891-1),1,2445,0,0,2,3,1,14,13,7,9
oc(4891+1),2,1223,2,3,5,2,1,16,7,4,5
oc(4997-1),2,1249,1,4,3,6,1,8,14,7,2
oc(4997+1),1,2499,0,4,0,2,3,0,10,15,5

# dist 63:
oc(937-1),3,117,0,2,5,7,0,15,3,2,1
oc(937+1),1,469,1,4,0,7,1,10,13,9,5
oc(1875-1),1,937,1,2,6,2,1,2,6,17,9
oc(1875+1),2,469,1,4,0,7,1,10,13,9,5
oc(1895-1),1,947,2,2,2,1,11,12,16,4,19
oc(1895+1),3,237,0,2,6,6,3,16,9,7,5
oc(1915-1),1,957,0,2,5,0,8,5,7,14,0
oc(1915+1),2,479,2,4,3,6,11,3,4,19,15
oc(1951-1),1,975,0,0,2,7,0,6,6,9,18
oc(1951+1),5,61,1,1,5,6,9,10,4,15,3
oc(1961-1),3,245,2,0,0,3,11,7,17,15,13
oc(1961+1),1,981,0,1,1,2,6,12,12,15,24
oc(3749-1),2,937,1,2,6,2,1,2,6,17,9
oc(3749+1),1,1875,0,0,6,5,3,5,13,12,19
oc(3791-1),1,1895,2,0,5,3,10,8,14,9,10
oc(3791+1),4,237,0,2,6,6,3,16,9,7,5
oc(3809-1),5,119,2,4,0,9,2,0,5,4,3
oc(3809+1),1,1905,0,0,1,2,7,1,5,19,20
oc(3815-1),1,1907,2,2,3,4,9,3,7,21,22
oc(3815+1),3,477,0,2,1,4,9,1,2,17,13
oc(3823-1),1,1911,0,1,0,8,0,7,11,2,26
oc(3823+1),4,239,2,4,1,8,5,1,11,9,7
oc(3831-1),1,1915,1,0,4,1,4,11,15,6,1
oc(3831+1),3,479,2,4,3,6,11,3,4,19,15
oc(3903-1),1,1951,1,1,5,4,1,13,13,19,8
oc(3903+1),6,61,1,1,5,6,9,10,4,15,3
oc(3923-1),1,1961,2,1,1,3,11,6,4,6,18
oc(3923+1),2,981,0,1,1,2,6,12,12,15,24
oc(3943-1),1,1971,0,1,4,2,8,16,14,16,28
oc(3943+1),3,493,1,3,3,9,12,0,18,10,0

