# "Odd core neighbor" fingerprints by Collatz odd-to-odd stopping distance

desc,k,oc,m3,m5,m7,m11,m13,m17,m19,m23,m29
oc(2125+1),1,1063,1,3,6,7,10,9,18,5,19
oc(2129-1),4,133,1,3,0,1,3,14,0,18,17
oc(2129+1),1,1065,0,0,1,9,12,11,1,7,21
oc(2159-1),1,1079,2,4,1,1,0,8,15,21,6
oc(2159+1),4,135,0,0,2,3,5,16,2,20,19
oc(3937-1),5,123,0,3,4,2,6,4,9,8,7
oc(3937+1),1,1969,1,4,2,0,6,14,12,14,26
oc(4065-1),5,127,1,2,1,6,10,8,13,12,11
oc(4065+1),1,2033,2,3,3,9,5,10,0,9,3
oc(4091-1),1,2045,2,0,1,10,4,5,12,21,15
oc(4091+1),2,1023,0,3,1,0,9,3,16,11,8
oc(4117-1),2,1029,0,4,0,6,2,9,3,17,14
oc(4117+1),1,2059,1,4,1,2,5,2,7,12,0
oc(4131-1),1,2065,1,0,0,8,11,8,13,18,6
oc(4131+1),2,1033,1,3,4,10,6,13,7,21,18
oc(4141-1),2,1035,0,0,6,1,8,15,9,0,20
oc(4141+1),1,2071,1,1,6,3,4,14,0,1,12
oc(4149-1),2,1037,2,2,1,3,10,0,11,2,22
oc(4149+1),1,2075,2,0,3,7,8,1,4,5,16
oc(4165-1),2,1041,0,1,5,7,1,4,15,6,26
oc(4165+1),1,2083,1,3,4,4,3,9,12,13,24
oc(4171-1),1,2085,0,0,6,6,5,11,14,15,26
oc(4171+1),2,1043,2,3,0,9,3,6,17,8,28
oc(4173-1),2,1043,2,3,0,9,3,6,17,8,28
oc(4173+1),1,2087,2,2,1,8,7,13,16,17,28
oc(4177-1),4,261,0,1,2,8,1,6,14,8,0
oc(4177+1),1,2089,1,4,3,10,9,15,18,19,1
oc(4189-1),2,1047,0,2,4,2,7,10,2,12,3
oc(4189+1),1,2095,1,0,2,5,2,4,5,2,7
oc(4211-1),1,2105,2,0,5,4,12,14,15,12,17
oc(4211+1),2,1053,0,3,3,8,0,16,8,18,9
oc(4245-1),2,1061,2,1,4,5,8,7,16,3,17
oc(4245+1),1,2123,2,3,2,0,4,15,14,7,6
oc(4249-1),3,531,0,1,6,3,11,4,18,2,9
oc(4249+1),1,2125,1,0,4,2,6,0,16,9,8
oc(4259-1),1,2129,2,4,1,6,10,4,1,13,12
oc(4259+1),2,1065,0,0,1,9,12,11,1,7,21
oc(4263-1),1,2131,1,1,3,8,12,6,3,15,14
oc(4263+1),3,533,2,3,1,5,0,6,1,4,11
oc(4267-1),1,2133,0,3,5,10,1,8,5,17,16
oc(4267+1),2,1067,2,2,3,0,1,13,3,9,23
oc(4281-1),3,535,1,0,3,7,2,8,3,6,13
oc(4281+1),1,2141,2,1,6,7,9,16,13,2,24
oc(4283-1),1,2141,2,1,6,7,9,16,13,2,24
oc(4283+1),2,1071,0,1,0,4,5,0,7,13,27
oc(4287-1),1,2143,1,3,1,9,11,1,15,4,26
oc(4287+1),6,67,1,2,4,1,2,16,10,21,9
oc(4315-1),1,2157,0,2,1,1,12,15,10,18,11
oc(4315+1),2,1079,2,4,1,1,0,8,15,21,6
oc(4319-1),1,2159,2,4,3,3,1,0,12,20,13
oc(4319+1),5,135,0,0,2,3,5,16,2,20,19
oc(4331-1),1,2165,2,0,2,9,7,6,18,3,19
oc(4331+1),2,1083,0,3,5,5,4,12,0,2,10
oc(4395-1),1,2197,1,2,6,8,0,4,12,12,22
oc(4395+1),2,1099,1,4,0,10,7,11,16,18,26

# dist 43:
oc(97-1),5,3,0,3,3,3,3,3,3,3,3
oc(97+1),1,49,1,4,0,5,10,15,11,3,20
oc(193-1),6,3,0,3,3,3,3,3,3,3,3
oc(193+1),1,97,1,2,6,9,6,12,2,5,10
oc(195-1),1,97,1,2,6,9,6,12,2,5,10
oc(195+1),2,49,1,4,0,5,10,15,11,3,20
oc(199-1),1,99,0,4,1,0,8,14,4,7,12
oc(199+1),3,25,1,0,4,3,12,8,6,2,25
oc(387-1),1,193,1,3,4,6,11,6,3,9,19
oc(387+1),2,97,1,2,6,9,6,12,2,5,10
oc(389-1),2,97,1,2,6,9,6,12,2,5,10
oc(389+1),1,195,0,0,6,8,0,8,5,11,21
oc(391-1),1,195,0,0,6,8,0,8,5,11,21
oc(391+1),3,49,1,4,0,5,10,15,11,3,20
oc(399-1),1,199,1,4,3,1,4,12,9,15,25
oc(399+1),4,25,1,0,4,3,12,8,6,2,25
oc(773-1),2,193,1,3,4,6,11,6,3,9,19
oc(773+1),1,387,0,2,2,2,10,13,7,19,10
oc(781-1),2,195,0,0,6,8,0,8,5,11,21
oc(781+1),1,391,1,1,6,6,1,0,11,0,14
oc(783-1),1,391,1,1,6,6,1,0,11,0,14
oc(783+1),4,49,1,4,0,5,10,15,11,3,20
oc(785-1),4,49,1,4,0,5,10,15,11,3,20
oc(785+1),1,393,0,3,1,8,3,2,13,2,16
oc(797-1),2,199,1,4,3,1,4,12,9,15,25
oc(797+1),1,399,0,4,0,3,9,8,0,8,22
oc(1549-1),2,387,0,2,2,2,10,13,7,19,10
oc(1549+1),1,775,1,0,5,5,8,10,15,16,21
oc(1553-1),4,97,1,2,6,9,6,12,2,5,10
oc(1553+1),1,777,0,2,0,7,10,12,17,18,23
oc(1557-1),2,389,2,4,4,4,12,15,9,21,12
oc(1557+1),1,779,2,4,2,9,12,14,0,20,25
oc(1565-1),2,391,1,1,6,6,1,0,11,0,14
oc(1565+1),1,783,0,3,6,2,3,1,4,1,0
oc(1571-1),1,785,2,0,1,4,5,3,6,3,2
oc(1571+1),2,393,0,3,1,8,3,2,13,2,16
oc(1579-1),1,789,0,4,5,8,9,7,10,7,6
oc(1579+1),2,395,2,0,3,10,5,4,15,4,18
oc(1593-1),3,199,1,4,3,1,4,12,9,15,25
oc(1593+1),1,797,2,2,6,5,4,15,18,15,14
oc(1597-1),2,399,0,4,0,3,9,8,0,8,22
oc(1597+1),1,799,1,4,1,7,6,0,1,17,16
oc(2953-1),3,369,0,4,5,6,5,12,8,1,21
oc(2953+1),1,1477,1,2,0,3,8,15,14,5,27
oc(3049-1),3,381,0,1,3,7,4,7,1,13,4
oc(3049+1),1,1525,1,0,6,7,4,12,5,7,17
oc(3093-1),2,773,2,3,3,3,6,8,13,14,19
oc(3093+1),1,1547,2,2,0,7,0,0,8,6,10
oc(3107-1),1,1553,2,3,6,2,6,6,14,12,16
oc(3107+1),2,777,0,2,0,7,10,12,17,18,23
oc(3125-1),2,781,1,1,4,0,1,16,2,22,27
oc(3125+1),1,1563,0,3,2,1,3,16,5,22,26
oc(3133-1),2,783,0,3,6,2,3,1,4,1,0
oc(3133+1),1,1567,1,2,6,5,7,3,9,3,1
oc(3141-1),2,785,2,0,1,4,5,3,6,3,2
oc(3141+1),1,1571,2,1,3,9,11,7,13,7,5
oc(3147-1),1,1573,1,3,5,0,0,9,15,9,7
oc(3147+1),2,787,1,2,3,6,7,5,8,5,4
oc(3159-1),1,1579,1,4,4,6,6,15,2,15,13
oc(3159+1),3,395,2,0,3,10,5,4,15,4,18
oc(3187-1),1,1593,0,3,4,9,7,12,16,6,27
oc(3187+1),2,797,2,2,6,5,4,15,18,15,14
oc(3189-1),2,797,2,2,6,5,4,15,18,15,14
oc(3189+1),1,1595,2,0,6,0,9,14,18,8,0
oc(3211-1),1,1605,0,0,2,10,6,7,9,18,10
oc(3211+1),2,803,2,3,5,0,10,4,5,21,20
oc(3239-1),1,1619,2,4,2,2,7,4,4,9,24
oc(3239+1),3,405,0,0,6,9,2,14,6,14,28
oc(3297-1),5,103,1,3,5,4,12,1,8,11,16
oc(3297+1),1,1649,2,4,4,10,11,0,15,16,25

# dist 42:
oc(73-1),3,9,0,4,2,9,9,9,9,9,9
oc(73+1),1,37,1,2,2,4,11,3,18,14,8
oc(145-1),4,9,0,4,2,9,9,9,9,9,9
oc(145+1),1,73,1,3,3,7,8,5,16,4,15
oc(147-1),1,73,1,3,3,7,8,5,16,4,15
oc(147+1),2,37,1,2,2,4,11,3,18,14,8
oc(291-1),1,145,1,0,5,2,2,9,12,7,0
oc(291+1),2,73,1,3,3,7,8,5,16,4,15
oc(293-1),2,73,1,3,3,7,8,5,16,4,15
oc(293+1),1,147,0,2,0,4,4,11,14,9,2
oc(299-1),1,149,2,4,2,6,6,13,16,11,4
oc(299+1),2,75,0,0,5,9,10,7,18,6,17
oc(581-1),2,145,1,0,5,2,2,9,12,7,0
oc(581+1),1,291,0,1,4,5,5,2,6,15,1
oc(587-1),1,293,2,3,6,7,7,4,8,17,3
oc(587+1),2,147,0,2,0,4,4,11,14,9,2
oc(589-1),2,147,0,2,0,4,4,11,14,9,2
oc(589+1),1,295,1,0,1,9,9,6,10,19,5
oc(599-1),1,299,2,4,5,2,0,10,14,0,9
oc(599+1),3,75,0,0,5,9,10,7,18,6,17
oc(1165-1),2,291,0,1,4,5,5,2,6,15,1
oc(1165+1),1,583,1,3,2,0,11,5,13,8,3
oc(1173-1),2,293,2,3,6,7,7,4,8,17,3
oc(1173+1),1,587,2,2,6,4,2,9,17,12,7
oc(1175-1),1,587,2,2,6,4,2,9,17,12,7
oc(1175+1),3,147,0,2,0,4,4,11,14,9,2
oc(1195-1),1,597,0,2,2,3,12,2,8,22,17
oc(1195+1),2,299,2,4,5,2,0,10,14,0,9
oc(1197-1),2,299,2,4,5,2,0,10,14,0,9
oc(1197+1),1,599,2,4,4,5,1,4,10,1,19
oc(2215-1),1,1107,0,2,1,7,2,2,5,3,5
oc(2215+1),3,277,1,2,4,2,4,5,11,1,16
oc(2287-1),1,1143,0,3,2,10,12,4,3,16,12
oc(2287+1),4,143,2,3,3,0,0,7,10,5,27
oc(2325-1),2,581,2,1,0,9,9,3,11,6,1
oc(2325+1),1,1163,2,3,1,8,6,7,4,13,3
oc(2349-1),2,587,2,2,6,4,2,9,17,12,7
oc(2349+1),1,1175,2,0,6,9,5,2,16,2,15
oc(2357-1),2,589,1,4,1,6,4,11,0,14,9
oc(2357+1),1,1179,0,4,3,2,9,6,1,6,19
oc(2369-1),6,37,1,2,2,4,11,3,18,14,8
oc(2369+1),1,1185,0,0,2,8,2,12,7,12,25
oc(2391-1),1,1195,1,0,5,7,12,5,17,22,6
oc(2391+1),3,299,2,4,5,2,0,10,14,0,9
oc(2397-1),2,599,2,4,4,5,1,4,10,1,19
oc(2397+1),1,1199,2,4,2,0,3,9,2,3,10
oc(2409-1),3,301,1,1,0,4,2,12,16,2,11
oc(2409+1),1,1205,2,0,1,6,9,15,8,9,16
oc(2415-1),1,1207,1,2,3,8,11,0,10,11,18
oc(2415+1),4,151,1,1,4,8,8,15,18,13,6
oc(2427-1),1,1213,1,3,2,3,4,6,16,17,24
oc(2427+1),2,607,1,2,5,2,9,12,18,9,27
oc(2473-1),3,309,0,4,1,1,10,3,5,10,19
oc(2473+1),1,1237,1,2,5,5,2,13,2,18,19
oc(4431-1),1,2215,1,0,3,4,5,5,11,7,11
oc(4431+1),4,277,1,2,4,2,4,5,11,1,16
oc(4575-1),1,2287,1,2,5,10,12,9,7,10,25
oc(4575+1),5,143,2,3,3,0,0,7,10,5,27
oc(4587-1),1,2293,1,3,4,5,5,15,13,16,2
oc(4587+1),2,1147,1,2,6,3,3,8,7,20,16
oc(4603-1),1,2301,0,1,5,2,0,6,2,1,10
oc(4603+1),2,1151,2,1,3,7,7,12,11,1,20
oc(4661-1),2,1165,1,0,3,10,8,9,6,15,5
oc(4661+1),1,2331,0,1,0,10,4,2,13,8,11
oc(4693-1),2,1173,0,3,4,7,3,0,14,0,13
oc(4693+1),1,2347,1,2,2,4,7,1,10,1,27
oc(4701-1),2,1175,2,0,6,9,5,2,16,2,15
oc(4701+1),1,2351,2,1,6,8,11,5,14,5,2
oc(4721-1),4,295,1,0,1,9,9,6,10,19,5
oc(4721+1),1,2361,0,1,2,7,8,15,5,15,12
oc(4739-1),1,2369,2,4,3,4,3,6,13,0,20
oc(4739+1),2,1185,0,0,2,8,2,12,7,12,25
oc(4781-1),2,1195,1,0,5,7,12,5,17,22,6
oc(4781+1),1,2391,0,1,4,4,12,11,16,22,13
oc(4789-1),2,1197,0,2,0,9,1,7,0,1,8
oc(4789+1),1,2395,1,0,1,8,3,15,1,3,17
oc(4801-1),6,75,0,0,5,9,10,7,18,6,17
oc(4801+1),1,2401,1,1,0,3,9,4,7,9,23
oc(4807-1),1,2403,0,3,2,5,11,6,9,11,25
oc(4807+1),3,601,1,1,6,7,3,6,12,3,21
oc(4817-1),4,301,1,1,0,4,2,12,16,2,11
oc(4817+1),1,2409,0,4,1,0,4,12,15,17,2
oc(4819-1),1,2409,0,4,1,0,4,12,15,17,2
oc(4819+1),2,1205,2,0,1,6,9,15,8,9,16
oc(4831-1),1,2415,0,0,0,6,10,1,2,0,8
oc(4831+1),5,151,1,1,4,8,8,15,18,13,6
oc(4855-1),1,2427,0,2,5,7,9,13,14,12,20
oc(4855+1),3,607,1,2,5,2,9,12,18,9,27
oc(4859-1),1,2429,2,4,0,9,11,15,16,14,22
oc(4859+1),2,1215,0,0,4,5,6,8,18,19,26
oc(4873-1),3,609,0,4,0,4,11,14,1,11,0
oc(4873+1),1,2437,1,2,1,6,6,6,5,22,1
oc(4875-1),1,2437,1,2,1,6,6,6,5,22,1
oc(4875+1),2,1219,1,4,1,9,10,12,3,0,1
oc(4911-1),1,2455,1,0,5,2,11,7,4,17,19
oc(4911+1),4,307,1,2,6,10,8,1,3,8,17
oc(4945-1),4,309,0,4,1,1,10,3,5,10,19
oc(4945+1),1,2473,1,3,2,9,3,8,3,12,8
oc(4947-1),1,2473,1,3,2,9,3,8,3,12,8
oc(4947+1),2,1237,1,2,5,5,2,13,2,18,19

# dist 41:
oc(27-1),1,13,1,3,6,2,0,13,13,13,13
oc(27+1),2,7,1,2,0,7,7,7,7,7,7
oc(55-1),1,27,0,2,6,5,1,10,8,4,27
oc(55+1),3,7,1,2,0,7,7,7,7,7,7
oc(109-1),2,27,0,2,6,5,1,10,8,4,27
oc(109+1),1,55,1,0,6,0,3,4,17,9,26
oc(221-1),2,55,1,0,6,0,3,4,17,9,26
oc(221+1),1,111,0,1,6,1,7,9,16,19,24
oc(437-1),2,109,1,4,4,10,5,7,14,17,22
oc(437+1),1,219,0,4,2,10,11,15,10,12,16
oc(449-1),6,7,1,2,0,7,7,7,7,7,7
oc(449+1),1,225,0,0,1,5,4,4,16,18,22
oc(881-1),4,55,1,0,6,0,3,4,17,9,26
oc(881+1),1,441,0,1,0,1,12,16,4,4,6
oc(885-1),2,221,2,1,4,1,0,0,12,14,18
oc(885+1),1,443,2,3,2,3,1,1,6,6,8
oc(899-1),1,449,2,4,1,9,7,7,12,12,14
oc(899+1),2,225,0,0,1,5,4,4,16,18,22
oc(903-1),1,451,1,1,3,0,9,9,14,14,16
oc(903+1),3,113,2,3,1,3,9,11,18,21,26
oc(927-1),1,463,1,3,1,1,8,4,7,3,28
oc(927+1),5,29,2,4,1,7,3,12,10,6,0
oc(1749-1),2,437,2,2,3,8,8,12,0,0,2
oc(1749+1),1,875,2,0,0,6,4,8,1,1,5
oc(1763-1),1,881,2,1,6,1,10,14,7,7,11
oc(1763+1),2,441,0,1,0,1,12,16,4,4,6
oc(1777-1),4,111,0,1,6,1,7,9,16,19,24
oc(1777+1),1,889,1,4,0,9,5,5,15,15,19
oc(1793-1),8,7,1,2,0,7,7,7,7,7,7
oc(1793+1),1,897,0,2,1,6,0,13,4,0,27
oc(1797-1),2,449,2,4,1,9,7,7,12,12,14
oc(1797+1),1,899,2,4,3,8,2,15,6,2,0
oc(1807-1),1,903,0,3,0,1,6,2,10,6,4
oc(1807+1),4,113,2,3,1,3,9,11,18,21,26
oc(1855-1),1,927,0,2,3,3,4,9,15,7,28
oc(1855+1),6,29,2,4,1,7,3,12,10,6,0
oc(3323-1),1,1661,2,1,2,0,10,12,8,5,8
oc(3323+1),2,831,0,1,5,6,12,15,14,3,19
oc(3399-1),1,1699,1,4,5,5,9,16,8,20,17
oc(3399+1),3,425,2,0,5,7,9,0,7,11,19
oc(3431-1),1,1715,2,0,0,10,12,15,5,13,4
oc(3431+1),3,429,0,4,2,0,0,4,11,15,23
oc(3525-1),2,881,2,1,6,1,10,14,7,7,11
oc(3525+1),1,1763,2,3,6,3,8,12,15,15,23
oc(3541-1),2,885,0,0,3,5,1,1,11,11,15
oc(3541+1),1,1771,1,1,0,0,3,3,4,0,2
oc(3555-1),1,1777,1,2,6,6,9,9,10,6,8
oc(3555+1),2,889,1,4,0,9,5,5,15,15,19
oc(3587-1),1,1793,2,3,1,0,12,8,7,22,24
oc(3587+1),2,897,0,2,1,6,0,13,4,0,27
oc(3597-1),2,899,2,4,3,8,2,15,6,2,0
oc(3597+1),1,1799,2,4,0,6,5,14,13,5,1
oc(3601-1),4,225,0,0,1,5,4,4,16,18,22
oc(3601+1),1,1801,1,1,2,8,7,16,15,7,3
oc(3613-1),2,903,0,3,0,1,6,2,10,6,4
oc(3613+1),1,1807,1,2,1,3,0,5,2,13,9
oc(3623-1),1,1811,2,1,5,7,4,9,6,17,13
oc(3623+1),3,453,0,3,5,2,11,11,16,16,18
oc(3641-1),3,455,2,0,0,4,0,13,18,18,20
oc(3641+1),1,1821,0,1,1,6,1,2,16,4,23
oc(3655-1),1,1827,0,2,0,1,7,8,3,10,0
oc(3655+1),3,457,1,2,2,6,2,15,1,20,22
oc(3657-1),3,457,1,2,2,6,2,15,1,20,22
oc(3657+1),1,1829,2,4,2,3,9,10,5,12,2
oc(3709-1),2,927,0,2,3,3,4,9,15,7,28
oc(3709+1),1,1855,1,0,0,7,9,2,12,15,28

# dist 40:
oc(41-1),3,5,2,0,5,5,5,5,5,5,5
oc(41+1),1,21,0,1,0,10,8,4,2,21,21
oc(83-1),1,41,2,1,6,8,2,7,3,18,12
oc(83+1),2,21,0,1,0,10,8,4,2,21,21
oc(165-1),2,41,2,1,6,8,2,7,3,18,12
oc(165+1),1,83,2,3,6,6,5,15,7,14,25
oc(333-1),2,83,2,3,6,6,5,15,7,14,25
oc(333+1),1,167,2,2,6,2,11,14,15,6,22
oc(337-1),4,21,0,1,0,10,8,4,2,21,21
oc(337+1),1,169,1,4,1,4,0,16,17,8,24
oc(661-1),2,165,0,0,4,0,9,12,13,4,20
oc(661+1),1,331,1,1,2,1,6,8,8,9,12
oc(675-1),1,337,1,2,1,7,12,14,14,15,18
oc(675+1),2,169,1,4,1,4,0,16,17,8,24
oc(1333-1),2,333,0,3,4,3,8,10,10,11,14
oc(1333+1),1,667,1,2,2,7,4,4,2,0,0
oc(1345-1),6,21,0,1,0,10,8,4,2,21,21
oc(1345+1),1,673,1,3,1,2,10,10,8,6,6
oc(1349-1),2,337,1,2,1,7,12,14,14,15,18
oc(1349+1),1,675,0,0,3,4,12,12,10,8,8
oc(1355-1),1,677,2,2,5,6,1,14,12,10,10
oc(1355+1),2,339,0,4,3,9,1,16,16,17,20
oc(1371-1),1,685,1,0,6,3,9,5,1,18,18
oc(1371+1),2,343,1,3,0,2,5,3,1,21,24
oc(1391-1),1,695,2,0,2,2,6,15,11,5,28
oc(1391+1),4,87,0,2,3,10,9,2,11,18,0
oc(2559-1),1,1279,1,4,5,3,5,4,6,14,3
oc(2559+1),9,5,2,0,5,5,5,5,5,5,5
oc(2645-1),2,661,1,1,3,1,11,15,15,17,23
oc(2645+1),1,1323,0,3,0,3,10,14,12,12,18
oc(2673-1),4,167,2,2,6,2,11,14,15,6,22
oc(2673+1),1,1337,2,2,0,6,11,11,7,3,3
oc(2691-1),1,1345,1,0,1,3,6,2,15,11,11
oc(2691+1),2,673,1,3,1,2,10,10,8,6,6
oc(2701-1),2,675,0,0,3,4,12,12,10,8,8
oc(2701+1),1,1351,1,1,0,9,12,8,2,17,17
oc(2711-1),1,1355,2,0,4,2,3,12,6,21,21
oc(2711+1),3,339,0,4,3,9,1,16,16,17,20
oc(2731-1),1,1365,0,0,0,1,0,5,16,8,2
oc(2731+1),2,683,2,3,4,1,7,3,18,16,16
oc(2743-1),1,1371,0,1,6,7,6,11,3,14,8
oc(2743+1),3,343,1,3,0,2,5,3,1,21,24
oc(2783-1),1,1391,2,1,5,5,0,14,4,11,28
oc(2783+1),5,87,0,2,3,10,9,2,11,18,0
oc(4985-1),3,623,2,3,0,7,12,11,15,2,14
oc(4985+1),1,2493,0,3,1,7,10,11,4,9,28

# dist 39:
oc(31-1),1,15,0,0,1,4,2,15,15,15,15
oc(31+1),5,1,1,1,1,1,1,1,1,1,1
oc(63-1),1,31,1,1,3,9,5,14,12,8,2
oc(63+1),6,1,1,1,1,1,1,1,1,1,1
oc(125-1),2,31,1,1,3,9,5,14,12,8,2
oc(125+1),1,63,0,3,0,8,11,12,6,17,5
oc(253-1),2,63,0,3,0,8,11,12,6,17,5
oc(253+1),1,127,1,2,1,6,10,8,13,12,11
oc(501-1),2,125,2,0,6,4,8,6,11,10,9
oc(501+1),1,251,2,1,6,9,4,13,4,21,19
oc(1009-1),4,63,0,3,0,8,11,12,6,17,5
oc(1009+1),1,505,1,0,1,10,11,12,11,22,12
oc(1013-1),2,253,1,3,1,0,6,15,6,0,21
oc(1013+1),1,507,0,2,3,1,0,14,13,1,14
oc(2005-1),2,501,0,1,4,6,7,8,7,18,8
oc(2005+1),1,1003,1,3,2,2,2,0,15,14,17
oc(2019-1),1,1009,1,4,1,8,8,6,2,20,23
oc(2019+1),2,505,1,0,1,10,11,12,11,22,12
oc(2033-1),4,127,1,2,1,6,10,8,13,12,11
oc(2033+1),1,1017,0,2,2,5,3,14,10,5,2
oc(2057-1),3,257,2,2,5,4,10,2,10,4,25
oc(2057+1),1,1029,0,4,0,6,2,9,3,17,14
oc(2087-1),1,1043,2,3,0,9,3,6,17,8,28
oc(2087+1),3,261,0,1,2,8,1,6,14,8,0
oc(3739-1),1,1869,0,4,0,10,10,16,7,6,13
oc(3739+1),2,935,2,0,4,0,12,0,4,15,7
oc(3769-1),3,471,0,1,2,9,3,12,15,11,7
oc(3769+1),1,1885,1,0,2,4,0,15,4,22,0
oc(3771-1),1,1885,1,0,2,4,0,15,4,22,0
oc(3771+1),2,943,1,3,5,8,7,8,12,0,15
oc(3839-1),1,1919,2,4,1,5,8,15,0,10,5
oc(3839+1),8,15,0,0,1,4,2,15,15,15,15
oc(3871-1),1,1935,0,0,3,10,11,14,16,3,21
oc(3871+1),5,121,1,1,2,0,4,2,7,6,5
oc(4037-1),2,1009,1,4,1,8,8,6,2,20,23
oc(4037+1),1,2019,0,4,3,6,4,13,5,18,18
oc(4053-1),2,1013,2,3,5,1,12,10,6,1,27
oc(4053+1),1,2027,2,2,4,3,12,4,13,3,26
oc(4057-1),3,507,0,2,3,1,0,14,13,1,14
oc(4057+1),1,2029,1,4,6,5,1,6,15,5,28
oc(4067-1),1,2033,2,3,3,9,5,10,0,9,3
oc(4067+1),2,1017,0,2,2,5,3,14,10,5,2
oc(4097-1),12,1,1,1,1,1,1,1,1,1,1
oc(4097+1),1,2049,0,4,5,3,8,9,16,2,19
oc(4115-1),1,2057,2,2,6,0,3,0,5,10,27
oc(4115+1),2,1029,0,4,0,6,2,9,3,17,14
oc(4167-1),1,2083,1,3,4,4,3,9,12,13,24
oc(4167+1),3,521,2,1,3,4,1,11,8,15,28
oc(4175-1),1,2087,2,2,1,8,7,13,16,17,28
oc(4175+1),4,261,0,1,2,8,1,6,14,8,0

# dist 38:
oc(47-1),1,23,2,3,2,1,10,6,4,0,23
oc(47+1),4,3,0,3,3,3,3,3,3,3,3
oc(95-1),1,47,2,2,5,3,8,13,9,1,18
oc(95+1),5,3,0,3,3,3,3,3,3,3,3
oc(189-1),2,47,2,2,5,3,8,13,9,1,18
oc(189+1),1,95,2,0,4,7,4,10,0,3,8
oc(381-1),2,95,2,0,4,7,4,10,0,3,8
oc(381+1),1,191,2,1,2,4,9,4,1,7,17
oc(757-1),2,189,0,4,0,2,7,2,18,5,15
oc(757+1),1,379,1,4,1,5,2,5,18,11,2
oc(1521-1),4,95,2,0,4,7,4,10,0,3,8
oc(1521+1),1,761,2,1,5,2,7,13,1,2,7
oc(1525-1),2,381,0,1,3,7,4,7,1,13,4
oc(1525+1),1,763,1,3,0,4,9,15,3,4,9
oc(1543-1),1,771,0,1,1,1,4,6,11,12,17
oc(1543+1),3,193,1,3,4,6,11,6,3,9,19
oc(2793-1),3,349,1,4,6,8,11,9,7,4,1
oc(2793+1),1,1397,2,2,4,0,6,3,10,17,5
oc(2827-1),1,1413,0,3,6,5,9,2,7,10,21
oc(2827+1),2,707,2,2,0,3,5,10,4,17,11
oc(2913-1),5,91,1,1,0,3,0,6,15,22,4
oc(2913+1),1,1457,2,2,1,5,1,12,13,8,7
oc(3029-1),2,757,1,2,1,9,3,9,16,21,3
oc(3029+1),1,1515,0,0,3,8,7,2,14,20,7
oc(3043-1),1,1521,0,1,2,3,0,8,1,3,13
oc(3043+1),2,761,2,1,5,2,7,13,1,2,7
oc(3057-1),4,191,2,1,2,4,9,4,1,7,17
oc(3057+1),1,1529,2,4,3,0,8,16,9,11,21
oc(3073-1),10,3,0,3,3,3,3,3,3,3,3
oc(3073+1),1,1537,1,2,4,8,3,7,17,19,0
oc(3087-1),1,1543,1,3,3,3,9,13,4,2,6
oc(3087+1),4,193,1,3,4,6,11,6,3,9,19
oc(3129-1),3,391,1,1,6,6,1,0,11,0,14
oc(3129+1),1,1565,2,0,4,3,5,1,7,1,28
oc(3131-1),1,1565,2,0,4,3,5,1,7,1,28
oc(3131+1),2,783,0,3,6,2,3,1,4,1,0

# dist 37:
oc(71-1),1,35,2,0,0,2,9,1,16,12,6
oc(71+1),3,9,0,4,2,9,9,9,9,9,9
oc(143-1),1,71,2,1,1,5,6,3,14,2,13
oc(143+1),4,9,0,4,2,9,9,9,9,9,9
oc(285-1),2,71,2,1,1,5,6,3,14,2,13
oc(285+1),1,143,2,3,3,0,0,7,10,5,27
oc(573-1),2,143,2,3,3,0,0,7,10,5,27
oc(573+1),1,287,2,2,0,1,1,15,2,11,26
oc(1141-1),2,285,0,0,5,10,12,13,0,9,24
oc(1141+1),1,571,1,1,4,10,12,10,1,19,20
oc(2095-1),1,1047,0,2,4,2,7,10,2,12,3
oc(2095+1),4,131,2,1,5,10,1,12,17,16,15
oc(2121-1),3,265,1,0,6,1,5,10,18,12,4
oc(2121+1),1,1061,2,1,4,5,8,7,16,3,17
oc(2151-1),1,1075,1,0,4,8,9,4,11,17,2
oc(2151+1),3,269,2,4,3,5,9,14,3,16,8
oc(2185-1),3,273,0,3,0,9,0,1,7,20,12
oc(2185+1),1,1093,1,3,1,4,1,5,10,12,20
oc(2289-1),4,143,2,3,3,0,0,7,10,5,27
oc(2289+1),1,1145,2,0,4,1,1,6,5,18,14
oc(2293-1),2,573,0,3,6,1,1,12,3,21,22
oc(2293+1),1,1147,1,2,6,3,3,8,7,20,16
oc(2305-1),8,9,0,4,2,9,9,9,9,9,9
oc(2305+1),1,1153,1,3,5,9,9,14,13,3,22
oc(2313-1),3,289,1,4,2,3,3,0,4,13,28
oc(2313+1),1,1157,2,2,2,2,0,1,17,7,26
oc(2315-1),1,1157,2,2,2,2,0,1,17,7,26
oc(2315+1),2,579,0,4,5,7,7,1,9,4,28
oc(2331-1),1,1165,1,0,3,10,8,9,6,15,5
oc(2331+1),2,583,1,3,2,0,11,5,13,8,3
oc(2347-1),1,1173,0,3,4,7,3,0,14,0,13
oc(2347+1),2,587,2,2,6,4,2,9,17,12,7
oc(4191-1),1,2095,1,0,2,5,2,4,5,2,7
oc(4191+1),5,131,2,1,5,10,1,12,17,16,15
oc(4207-1),1,2103,0,3,3,2,10,12,13,10,15
oc(4207+1),4,263,2,3,4,10,3,8,16,10,2
oc(4241-1),4,265,1,0,6,1,5,10,18,12,4
