# `n`           a positive integer
# `factorzig`   the prime factors of n, indented by distance from the nearest prime
# `hsum`        the harmonic sum, the sum of the reciprocals of the prime factors of n
# `pi`          the prime counting function π(n), the number of primes less than or equal to n
# `piest`       an estimate of the prime counting function π(n), the number of primes less than or equal to n: n / (log n - 1)
# `riemannr`    the Riemann R function R(n)
# `riemannli`   the logarithmic integral Li(n)
# `cheby`       the Chebyshev θ(n) function, the sum of log p for primes p ≤ n
# `chebypow`    the Chebyshev ψ(n) function, the sum of log p for prime powers p^k ≤ n
# `vonmangoldt` the von Mangoldt function of n, Λ(n)
# `numdiv`      the number of divisors of n, τ(n)
# `sumdiv`      the sum of divisors of n, σ(n)
# `eulertot`    the Euler totient of n, φ(n)
# `carmichael`  the Carmichael function of n, λ(n)
# `dedekind`    the Dedekind ψ(n) function
# `mob`         the Möbius function of n, which is 1 if n is a product of an even number of distinct primes, -1 if odd, and 0 if any prime is repeated
# `numfacs`     the number of distinct prime factors of n, ω(n)
# `totfacs`     the total number of prime factors of n, counting multiplicity, Ω(n)
# `liouville`   the Liouville function of n, λ(n) = (-1)^Ω(n)
# `mertens`     the Mertens function M(n)
# `m*`          the prime residues of n modulo a set of primes
# `psym`        the symmetric primes at equal offsets around n
# `rad`         the radical of n, the product of its unique prime factors
# `mask`        the mask of prime factors (radical) of n, as a string

n,    factorzig,       hsum,     π,   π~,      R,       Li,       θ,        ψ,        Λ,      τ,   σ,     φ,    λ,    Dψ,    μ,   ω,  Ω,  λ,   M,   m2, m3, m5, m7, m11, m13, m17, m19, m23, m29, m31, psym,                              rad,  mask
   1,  ,                0.00000,   0,   0.000,   0.000,    0.000,    0.000,    0.000,  0.000,   1,     1,    1,    1,     1,   1,  0,  0,   1,   1,  1,  1,  1,  1,   1,   1,   1,   1,   1,   1,   1, ,                                     1,
   2, 2,                0.50000,   1,  -6.518,   1.045,    1.045,    0.693,    2.000,  0.693,   2,     3,    1,    1,     3,  -1,  1,  1,  -1,   0,  0,  2,  2,  2,   2,   2,   2,   2,   2,   2,   2, ,                                     2, X
   3, 3,                0.33333,   2,  30.422,   2.164,    2.164,    1.792,    3.099,  1.099,   2,     4,    2,    2,     4,  -1,  1,  1,  -1,  -1,  1,  0,  3,  3,   3,   3,   3,   3,   3,   3,   3, ,                                     3,  X
   4,  2²,              0.50000,   2,  10.355,   2.445,    2.968,    1.792,    3.693,  0.693,   3,     7,    2,    2,     6,   0,  1,  2,   1,  -1,  0,  1,  4,  4,   4,   4,   4,   4,   4,   4,   4, 1,                                    2, X
   5, 5,                0.20000,   3,   8.204,   2.954,    3.635,    3.401,    6.303,  1.609,   2,     6,    4,    4,     6,  -1,  1,  1,  -1,  -2,  1,  2,  0,  5,   5,   5,   5,   5,   5,   5,   5, 2,                                    5,   X
   6,  2⋅3,             0.83333,   3,   7.578,   3.416,    4.222,    3.401,    5.693,  0.000,   4,    12,    2,    2,    12,   1,  2,  2,   1,  -1,  0,  0,  1,  6,   6,   6,   6,   6,   6,   6,   6, 1,                                    6, XX
   7, 7,                0.14286,   4,   7.400,   3.846,    4.757,    5.347,    8.639,  1.946,   2,     8,    6,    6,     8,  -1,  1,  1,  -1,  -2,  1,  1,  2,  0,   7,   7,   7,   7,   7,   7,   7, 4,                                    7,    X
   8,  2³,              0.50000,   4,   7.411,   3.904,    5.254,    5.347,    8.386,  0.693,   4,    15,    4,    2,    12,   0,  1,  3,  -1,  -2,  0,  2,  3,  1,   8,   8,   8,   8,   8,   8,   8, 3 5,                                  2, X
   9,   3²,             0.33333,   4,   7.517,   4.254,    5.721,    5.347,   10.485,  1.099,   3,    13,    6,    6,    12,   0,  1,  2,   1,  -2,  1,  0,  4,  2,   9,   9,   9,   9,   9,   9,   9, 2 4,                                  3,  X
  10,  2⋅5,             0.70000,   4,   7.677,   4.593,    6.166,    5.347,   11.485,  0.000,   4,    18,    4,    4,    18,   1,  2,  2,   1,  -1,  0,  1,  0,  3,  10,  10,  10,  10,  10,  10,  10, 3 7,                                 10, X X
  11, 11,               0.09091,   5,   7.869,   4.923,    6.591,    7.745,   14.883,  2.398,   2,    12,   10,   10,    12,  -1,  1,  1,  -1,  -2,  1,  2,  1,  4,   0,  11,  11,  11,  11,  11,  11, 6 8,                                 11,     X
  12,  2²⋅3,            0.83333,   5,   8.081,   5.245,    7.001,    7.745,   13.485,  0.000,   6,    28,    4,    2,    24,   0,  2,  3,  -1,  -2,  0,  0,  2,  5,   1,  12,  12,  12,  12,  12,  12, 1 5 7,                                6, XX
  13, 13,               0.07692,   6,   8.307,   5.561,    7.397,   10.310,   17.050,  2.565,   2,    14,   12,   12,    14,  -1,  1,  1,  -1,  -3,  1,  1,  3,  6,   2,   0,  13,  13,  13,  13,  13, 6 10,                                13,      X
  14,  2⋅7,             0.64286,   6,   8.541,   5.870,    7.781,   10.310,   15.485,  0.000,   4,    24,    6,    6,    24,   1,  2,  2,   1,  -2,  0,  2,  4,  0,   3,   1,  14,  14,  14,  14,  14, 3 9,                                 14, X  X
  15,   3⋅5,            0.53333,   6,   8.782,   6.174,    8.155,   10.310,   16.485,  0.000,   4,    24,    8,    4,    23,   1,  2,  2,   1,  -1,  1,  0,  0,  1,   4,   2,  15,  15,  15,  15,  15, 2 4 8,                               15,  XX
  16,  2⁴,              0.50000,   6,   9.026,   6.473,    8.520,   10.310,   18.178,  0.693,   5,    31,    8,    4,    24,   0,  1,  4,   1,  -1,  0,  1,  1,  2,   5,   3,  16,  16,  16,  16,  16, 3 13,                                 2, X
  17, 17,               0.05882,   7,   9.273,   6.767,    8.876,   13.143,   22.011,  2.833,   2,    18,   16,   16,    18,  -1,  1,  1,  -1,  -2,  1,  2,  2,  3,   6,   4,   0,  17,  17,  17,  17, 6 12 14,                             17,       X
  18,  2⋅3²,            0.83333,   7,   9.522,   7.058,    9.226,   13.143,   20.178,  0.000,   6,    39,    6,    6,    36,   0,  2,  3,  -1,  -2,  0,  0,  3,  4,   7,   5,   1,  18,  18,  18,  18, 1 5 11 13,                            6, XX
  19, 19,               0.05263,   8,   9.771,   7.344,    9.569,   16.088,   24.122,  2.944,   2,    20,   18,   18,    20,  -1,  1,  1,  -1,  -3,  1,  1,  4,  5,   8,   6,   2,   0,  19,  19,  19, 12,                                  19,        X
  20,  2²⋅5,            0.70000,   8,  10.021,   7.627,    9.905,   16.088,   22.178,  0.000,   6,    42,    8,    4,    36,   0,  2,  3,  -1,  -3,  0,  2,  0,  6,   9,   7,   3,   1,  20,  20,  20, 3 9 17,                              10, X X
  21,   3⋅7,            0.47619,   8,  10.271,   7.907,   10.236,   16.088,   23.178,  0.000,   4,    32,   12,    6,    32,   1,  2,  2,   1,  -2,  1,  0,  1,  0,  10,   8,   4,   2,  21,  21,  21, 2 8 10 16,                           21,  X X
  22,  2⋅11,            0.59091,   8,  10.521,   8.184,   10.562,   16.088,   24.178,  0.000,   4,    36,   10,   10,    36,   1,  2,  2,   1,  -1,  0,  1,  2,  1,   0,   9,   5,   3,  22,  22,  22, 9 15 19,                             22, X   X
  23, 23,               0.04348,   9,  10.770,   8.458,   10.884,   19.223,   28.314,  3.135,   2,    24,   22,   22,    24,  -1,  1,  1,  -1,  -2,  1,  2,  3,  2,   1,  10,   6,   4,   0,  23,  23, 6 18 20,                             23,         X
  24,  2³⋅3,            0.83333,   9,  11.019,   8.729,   11.200,   19.223,   26.178,  0.000,   8,    60,    8,    2,    48,   0,  2,  4,   1,  -2,  0,  0,  4,  3,   2,  11,   7,   5,   1,  24,  24, 5 7 13 17 19,                         6, XX
  25,   5²,             0.20000,   9,  11.267,   8.998,   11.513,   19.223,   28.787,  1.609,   3,    31,   20,   20,    30,   0,  1,  2,   1,  -2,  1,  1,  0,  4,   3,  12,   8,   6,   2,  25,  25, 6 12 18 22,                           5,   X
  26,    2⋅13,          0.57692,   9,  11.514,   9.264,   11.822,   19.223,   29.787,  0.000,   4,    42,   12,   12,    42,   1,  2,  2,   1,  -1,  0,  2,  1,  5,   4,   0,   9,   7,   3,  26,  26, 3 15 21,                             26, X    X
  27,   3³,             0.33333,   9,  11.760,   9.528,   12.127,   19.223,   31.886,  1.099,   4,    40,   18,   18,    36,   0,  1,  3,  -1,  -1,  1,  0,  2,  6,   5,   1,  10,   8,   4,  27,  27, 4 10 14 16 20,                        3,  X
  28,  2²⋅7,            0.64286,   9,  12.006,   9.790,   12.429,   19.223,   32.886,  0.000,   6,    56,   12,    6,    48,   0,  2,  3,  -1,  -1,  0,  1,  3,  0,   6,   2,  11,   9,   5,  28,  28, 9 15 25,                             14, X  X
  29, 29,               0.03448,  10,  12.250,  10.050,   12.727,   22.590,   37.253,  3.367,   2,    30,   28,   28,    30,  -1,  1,  1,  -1,  -2,  1,  2,  4,  1,   7,   3,  12,  10,   6,   0,  29, 12 18 24,                            29,          X
  30,  2⋅3⋅5,           1.03333,  10,  12.494,  10.308,   13.023,   22.590,   34.886,  0.000,   8,    72,    8,    4,    72,  -1,  3,  3,  -1,  -3,  0,  0,  0,  2,   8,   4,  13,  11,   7,   1,  30, 1 7 11 13 17 23,                     30, XXX
  31, 31,               0.03226,  11,  12.736,  10.564,   13.315,   26.024,   39.320,  3.434,   2,    32,   30,   30,    32,  -1,  1,  1,  -1,  -4,  1,  1,  1,  3,   9,   5,  14,  12,   8,   2,   0, 12 28,                               31,           X
  32,  2⁵,              0.50000,  11,  12.978,  10.609,   13.605,   26.024,   37.579,  0.693,   6,    63,   16,    8,    48,   0,  1,  5,  -1,  -4,  0,  2,  2,  4,  10,   6,  15,  13,   9,   3,   1, 9 15 21 27 29,                        2, X
  33,   3⋅11,           0.42424,  11,  13.218,  10.859,   13.892,   26.024,   38.579,  0.000,   4,    48,   20,   10,    47,   1,  2,  2,   1,  -3,  1,  0,  3,  5,   0,   7,  16,  14,  10,   4,   2, 4 10 14 20 26 28,                    33,  X  X
  34,    2⋅17,          0.55882,  11,  13.458,  11.106,   14.177,   26.024,   39.579,  0.000,   4,    54,   16,   16,    54,   1,  2,  2,   1,  -2,  0,  1,  4,  6,   1,   8,   0,  15,  11,   5,   3, 3 27,                                34, X     X
  35,   5⋅7,            0.34286,  11,  13.697,  11.352,   14.460,   26.024,   40.579,  0.000,   4,    48,   24,   12,    47,   1,  2,  2,   1,  -1,  1,  2,  0,  0,   2,   9,   1,  16,  12,   6,   4, 6 12 18 24 32,                       35,   XX
  36,  2²⋅3²,           0.83333,  11,  13.934,  11.597,   14.740,   26.024,   41.579,  0.000,   9,    91,   12,    6,    72,   0,  2,  4,   1,  -1,  0,  0,  1,  1,   3,  10,   2,  17,  13,   7,   5, 5 7 17 23 25 31,                      6, XX
  37, 37,               0.02703,  12,  14.171,  11.840,   15.018,   29.635,   46.190,  3.611,   2,    38,   36,   36,    38,  -1,  1,  1,  -1,  -2,  1,  1,  2,  2,   4,  11,   3,  18,  14,   8,   6, 6 24 30 34,                          37,            X
  38,  2⋅19,            0.55263,  12,  14.407,  12.083,   15.294,   29.635,   43.579,  0.000,   4,    60,   18,   18,    60,   1,  2,  2,   1,  -1,  0,  2,  3,  3,   5,  12,   4,   0,  15,   9,   7, 9 15 21 33 35,                       38, X      X
  39,   3⋅13,           0.41026,  12,  14.642,  12.324,   15.568,   29.635,   44.579,  0.000,   4,    56,   24,   12,    55,   1,  2,  2,   1,   0,  1,  0,  4,  4,   6,   0,   5,   1,  16,  10,   8, 2 8 20 22 28 32 34,                  39,  X   X
  40,  2³⋅5,            0.70000,  12,  14.876,  12.563,   15.840,   29.635,   45.579,  0.000,   8,    90,   16,    4,    72,   0,  2,  4,   1,   0,  0,  1,  0,  5,   7,   1,   6,   2,  17,  11,   9, 3 21 27 33,                          10, X X
  41, 41,               0.02439,  13,  15.109,  12.802,   16.110,   33.349,   50.293,  3.714,   2,    42,   40,   40,    42,  -1,  1,  1,  -1,  -1,  1,  2,  1,  6,   8,   2,   7,   3,  18,  12,  10, 12 18 30 38,                         41,             X
  42,  2⋅3⋅7,           0.97619,  13,  15.342,  13.039,   16.378,   33.349,   47.579,  0.000,   8,    96,   12,    6,    96,  -1,  3,  3,  -1,  -2,  0,  0,  2,  0,   9,   3,   8,   4,  19,  13,  11, 1 5 11 19 25 29 31 37,               42, XX X
  43, 43,               0.02326,  14,  15.573,  13.275,   16.645,   37.110,   52.340,  3.761,   2,    44,   42,   42,    44,  -1,  1,  1,  -1,  -3,  1,  1,  3,  1,  10,   4,   9,   5,  20,  14,  12, 24 30 36 40,                         43,              X
  44,  2²⋅11,           0.59091,  14,  15.804,  13.511,   16.910,   37.110,   49.579,  0.000,   6,    84,   20,   10,    72,   0,  2,  3,  -1,  -3,  0,  2,  4,  2,   0,   5,  10,   6,  21,  15,  13, 3 15 27 39,                          22, X   X
  45,   3²⋅5,           0.53333,  14,  16.033,  13.745,   17.173,   37.110,   50.579,  0.000,   6,    78,   24,   12,    72,   0,  2,  3,  -1,  -3,  1,  0,  0,  3,   1,   6,  11,   7,  22,  16,  14, 2 8 14 16 22 26 28 34 …,             15,  XX
  46,  2⋅23,            0.54348,  14,  16.262,  13.978,   17.435,   37.110,   51.579,  0.000,   4,    72,   22,   22,    72,   1,  2,  2,   1,  -2,  0,  1,  1,  4,   2,   7,  12,   8,   0,  17,  15, 15 27 33 43,                         46, X       X
  47, 47,               0.02128,  15,  16.490,  14.210,   17.696,   40.960,   56.429,  3.850,   2,    48,   46,   46,    47,  -1,  1,  1,  -1,  -3,  1,  2,  2,  5,   3,   8,  13,   9,   1,  18,  16, 6 24 36 42,                          47,               X
