# Integer factorization table

n     - a positive integer
fact  - the prime factors of n, indented by distance from the nearest prime
π     - the prime counting function π(n), the number of primes less than or equal to n
π~    - an estimate of the prime counting function π(n), the number of primes less than or equal to n: n / (log n - 1)
R     - the Riemann R function R(n)
Li    - the logarithmic integral Li(n)
θ     - the Chebyshev θ(n) function, the sum of log p for primes p ≤ n
ψ     - the Chebyshev ψ(n) function, the sum of log p for prime powers p^k ≤ n
Λ     - the von Mangoldt function of n, Λ(n)
τ     - the number of divisors of n, τ(n)
σ     - the sum of divisors of n, σ(n)
φ     - the Euler totient of n, φ(n)
λ     - the Carmichael function of n, λ(n)
Dψ    - the Dedekind ψ(n) function
μ     - the Möbius function of n, which is 1 if n is a product of an even number of distinct primes, -1 if odd, and 0 if any prime is repeated
ω     - the number of distinct prime factors of n, ω(n)
Ω     - the total number of prime factors of n, counting multiplicity, Ω(n)
λ     - the Liouville function of n, λ(n) = (-1)^Ω(n)
M     - the Mertens function M(n)
m*    - the prime residues of n modulo a set of primes
psym  - the symmetric primes at equal offsets around n
rad   - the radical of n, the product of its unique prime factors
mask  - the mask of prime factors (radical) of n, as a string

```csv
    n, fact,                        π,       π~,        R,       Li,         θ,         ψ,      Λ,   τ,      σ,     φ,     λ,     Dψ,   μ,  ω,   Ω,   λ,    M, m2, m3, m5, m7, m11, m13, m17, m19, m23, m29, m31, psym,                                 rad, mask
   21,   3⋅7,                       8,   10.271,    7.907,   10.236,    16.088,    23.178,  0.000,   4,     32,    12,     6,     32,   1,  2,   2,   1,   -2,  1,  0,  1,  0,  10,   8,   4,   2,  21,  21,  21, 2 8 10 16,                             21,  X X
   22,  2⋅11,                       8,   10.521,    8.184,   10.562,    16.088,    24.178,  0.000,   4,     36,    10,    10,     36,   1,  2,   2,   1,   -1,  0,  1,  2,  1,   0,   9,   5,   3,  22,  22,  22, 9 15 19,                               22, X   X
   23, 23,                          9,   10.770,    8.458,   10.884,    19.223,    28.314,  3.135,   2,     24,    22,    22,     24,  -1,  1,   1,  -1,   -2,  1,  2,  3,  2,   1,  10,   6,   4,   0,  23,  23, 6 18 20,                               23,         X
   24,  2³⋅3,                       9,   11.019,    8.729,   11.200,    19.223,    26.178,  0.000,   8,     60,     8,     2,     48,   0,  2,   4,   1,   -2,  0,  0,  4,  3,   2,  11,   7,   5,   1,  24,  24, 5 7 13 17 19,                           6, XX
   25,   5²,                        9,   11.267,    8.998,   11.513,    19.223,    28.787,  1.609,   3,     31,    20,    20,     30,   0,  1,   2,   1,   -2,  1,  1,  0,  4,   3,  12,   8,   6,   2,  25,  25, 6 12 18 22,                             5,   X
   26,    2⋅13,                     9,   11.514,    9.264,   11.822,    19.223,    29.787,  0.000,   4,     42,    12,    12,     42,   1,  2,   2,   1,   -1,  0,  2,  1,  5,   4,   0,   9,   7,   3,  26,  26, 3 15 21,                               26, X    X
   27,   3³,                        9,   11.760,    9.528,   12.127,    19.223,    31.886,  1.099,   4,     40,    18,    18,     36,   0,  1,   3,  -1,   -1,  1,  0,  2,  6,   5,   1,  10,   8,   4,  27,  27, 4 10 14 16 20,                          3,  X
   28,  2²⋅7,                       9,   12.006,    9.790,   12.429,    19.223,    32.886,  0.000,   6,     56,    12,     6,     48,   0,  2,   3,  -1,   -1,  0,  1,  3,  0,   6,   2,  11,   9,   5,  28,  28, 9 15 25,                               14, X  X
   29, 29,                         10,   12.250,   10.050,   12.727,    22.590,    37.253,  3.367,   2,     30,    28,    28,     30,  -1,  1,   1,  -1,   -2,  1,  2,  4,  1,   7,   3,  12,  10,   6,   0,  29, 12 18 24,                              29,          X
   30,  2⋅3⋅5,                     10,   12.494,   10.308,   13.023,    22.590,    34.886,  0.000,   8,     72,     8,     4,     72,  -1,  3,   3,  -1,   -3,  0,  0,  0,  2,   8,   4,  13,  11,   7,   1,  30, 1 7 11 13 17 23,                       30, XXX
   31, 31,                         11,   12.736,   10.564,   13.315,    26.024,    39.320,  3.434,   2,     32,    30,    30,     32,  -1,  1,   1,  -1,   -4,  1,  1,  1,  3,   9,   5,  14,  12,   8,   2,   0, 12 28,                                 31,           X
   32,  2⁵,                        11,   12.978,   10.609,   13.605,    26.024,    37.579,  0.693,   6,     63,    16,     8,     48,   0,  1,   5,  -1,   -4,  0,  2,  2,  4,  10,   6,  15,  13,   9,   3,   1, 9 15 21 27 29,                          2, X
   33,   3⋅11,                     11,   13.218,   10.859,   13.892,    26.024,    38.579,  0.000,   4,     48,    20,    10,     47,   1,  2,   2,   1,   -3,  1,  0,  3,  5,   0,   7,  16,  14,  10,   4,   2, 4 10 14 20 26 28,                      33,  X  X
   34,    2⋅17,                    11,   13.458,   11.106,   14.177,    26.024,    39.579,  0.000,   4,     54,    16,    16,     54,   1,  2,   2,   1,   -2,  0,  1,  4,  6,   1,   8,   0,  15,  11,   5,   3, 3 27,                                  34, X     X
   35,   5⋅7,                      11,   13.697,   11.352,   14.460,    26.024,    40.579,  0.000,   4,     48,    24,    12,     47,   1,  2,   2,   1,   -1,  1,  2,  0,  0,   2,   9,   1,  16,  12,   6,   4, 6 12 18 24 32,                         35,   XX
   36,  2²⋅3²,                     11,   13.934,   11.597,   14.740,    26.024,    41.579,  0.000,   9,     91,    12,     6,     72,   0,  2,   4,   1,   -1,  0,  0,  1,  1,   3,  10,   2,  17,  13,   7,   5, 5 7 17 23 25 31,                        6, XX
   37, 37,                         12,   14.171,   11.840,   15.018,    29.635,    46.190,  3.611,   2,     38,    36,    36,     38,  -1,  1,   1,  -1,   -2,  1,  1,  2,  2,   4,  11,   3,  18,  14,   8,   6, 6 24 30 34,                            37,            X
   38,  2⋅19,                      12,   14.407,   12.083,   15.294,    29.635,    43.579,  0.000,   4,     60,    18,    18,     60,   1,  2,   2,   1,   -1,  0,  2,  3,  3,   5,  12,   4,   0,  15,   9,   7, 9 15 21 33 35,                         38, X      X
   39,   3⋅13,                     12,   14.642,   12.324,   15.568,    29.635,    44.579,  0.000,   4,     56,    24,    12,     55,   1,  2,   2,   1,    0,  1,  0,  4,  4,   6,   0,   5,   1,  16,  10,   8, 2 8 20 22 28 32 34,                    39,  X   X
   40,  2³⋅5,                      12,   14.876,   12.563,   15.840,    29.635,    45.579,  0.000,   8,     90,    16,     4,     72,   0,  2,   4,   1,    0,  0,  1,  0,  5,   7,   1,   6,   2,  17,  11,   9, 3 21 27 33,                            10, X X
   41, 41,                         13,   15.109,   12.802,   16.110,    33.349,    50.293,  3.714,   2,     42,    40,    40,     42,  -1,  1,   1,  -1,   -1,  1,  2,  1,  6,   8,   2,   7,   3,  18,  12,  10, 12 18 30 38,                           41,             X
   42,  2⋅3⋅7,                     13,   15.342,   13.039,   16.378,    33.349,    47.579,  0.000,   8,     96,    12,     6,     96,  -1,  3,   3,  -1,   -2,  0,  0,  2,  0,   9,   3,   8,   4,  19,  13,  11, 1 5 11 19 25 29 31 37,                 42, XX X
   43, 43,                         14,   15.573,   13.275,   16.645,    37.110,    52.340,  3.761,   2,     44,    42,    42,     44,  -1,  1,   1,  -1,   -3,  1,  1,  3,  1,  10,   4,   9,   5,  20,  14,  12, 24 30 36 40,                           43,              X
   44,  2²⋅11,                     14,   15.804,   13.511,   16.910,    37.110,    49.579,  0.000,   6,     84,    20,    10,     72,   0,  2,   3,  -1,   -3,  0,  2,  4,  2,   0,   5,  10,   6,  21,  15,  13, 3 15 27 39,                            22, X   X
   45,   3²⋅5,                     14,   16.033,   13.745,   17.173,    37.110,    50.579,  0.000,   6,     78,    24,    12,     72,   0,  2,   3,  -1,   -3,  1,  0,  0,  3,   1,   6,  11,   7,  22,  16,  14, 2 8 14 16 22 26 28 34 …,               15,  XX
   46,  2⋅23,                      14,   16.262,   13.978,   17.435,    37.110,    51.579,  0.000,   4,     72,    22,    22,     72,   1,  2,   2,   1,   -2,  0,  1,  1,  4,   2,   7,  12,   8,   0,  17,  15, 15 27 33 43,                           46, X       X
   47, 47,                         15,   16.490,   14.210,   17.696,    40.960,    56.429,  3.850,   2,     48,    46,    46,     47,  -1,  1,   1,  -1,   -3,  1,  2,  2,  5,   3,   8,  13,   9,   1,  18,  16, 6 24 36 42,                            47,               X
   48,  2⁴⋅3,                      15,   16.718,   14.442,   17.955,    40.960,    53.579,  0.000,  10,    124,    16,     4,     96,   0,  2,   5,  -1,   -3,  0,  0,  3,  6,   4,   9,  14,  10,   2,  19,  17, 5 11 19 25 31 35 41,                    6, XX
   49,   7²,                       15,   16.944,   14.672,   18.212,    40.960,    56.525,  1.946,   3,     57,    42,    42,     56,   0,  1,   2,   1,   -3,  1,  1,  4,  0,   5,  10,  15,  11,   3,  20,  18, 12 18 30,                               7,    X
   50,    2⋅5²,                    15,   17.170,   14.901,   18.469,    40.960,    57.525,  0.000,   6,     93,    20,    20,     89,   0,  2,   3,  -1,   -3,  0,  2,  0,  1,   6,  11,  16,  12,   4,  21,  19, 3 9 21 33 39 47,                       10, X X
   51,   3⋅17,                     15,   17.395,   15.130,   18.724,    40.960,    58.525,  0.000,   4,     72,    32,    16,     72,   1,  2,   2,   1,   -2,  1,  0,  1,  2,   7,  12,   0,  13,   5,  22,  20, 8 10 20 22 28 32 38 46,                51,  X    X
   52,  2²⋅13,                     15,   17.620,   15.358,   18.977,    40.960,    59.525,  0.000,   6,     98,    24,    12,     84,   0,  2,   3,  -1,   -2,  0,  1,  2,  3,   8,   0,   1,  14,   6,  23,  21, 9 15 21 45 49,                         26, X    X
   53, 53,                         16,   17.843,   15.585,   19.230,    44.931,    64.495,  3.970,   2,     54,    52,    52,     54,  -1,  1,   1,  -1,   -3,  1,  2,  3,  4,   9,   1,   2,  15,   7,  24,  22, 6 30 36 48 50,                         53,                X
   54,  2⋅3³,                      16,   18.066,   15.811,   19.481,    44.931,    61.525,  0.000,   8,    120,    18,    18,    108,   0,  2,   4,   1,   -3,  0,  0,  4,  5,  10,   2,   3,  16,   8,  25,  23, 7 13 17 25 35 43 47 49,                 6, XX
   55,   5⋅11,                     16,   18.289,   16.036,   19.731,    44.931,    62.525,  0.000,   4,     72,    40,    20,     71,   1,  2,   2,   1,   -2,  1,  1,  0,  6,   0,   3,   4,  17,   9,  26,  24, 12 18 24 42 48 52,                     55,   X X
   56,    2³⋅7,                    16,   18.510,   16.261,   19.980,    44.931,    63.525,  0.000,   8,    120,    24,     6,     96,   0,  2,   4,   1,   -2,  0,  2,  1,  0,   1,   4,   5,  18,  10,  27,  25, 3 15 27 33 45 51 53,                   14, X  X
