n,k,oc,m3,m5,m7,m11,m13,m17
770,1,385,1,0,0,0,8,11
771,0,771,0,1,1,1,4,6
772,2,193,1,3,4,6,11,6
773,0,773,2,3,3,3,6,8
774,1,387,0,2,2,2,10,13
775,0,775,1,0,5,5,8,10
776,3,97,1,2,6,9,6,12
777,0,777,0,2,0,7,10,12
778,1,389,2,4,4,4,12,15
779,0,779,2,4,2,9,12,14
780,2,195,0,0,6,8,0,8
781,0,781,1,1,4,0,1,16
782,1,391,1,1,6,6,1,0
783,0,783,0,3,6,2,3,1
784,4,49,1,4,0,5,10,15
785,0,785,2,0,1,4,5,3
786,1,393,0,3,1,8,3,2
787,0,787,1,2,3,6,7,5
788,2,197,2,2,1,10,2,10
789,0,789,0,4,5,8,9,7
790,1,395,2,0,3,10,5,4
791,0,791,2,1,0,10,11,9
792,3,99,0,4,1,0,8,14
793,0,793,1,3,2,1,0,11
794,1,397,1,2,5,1,7,6
795,0,795,0,0,4,3,2,13
796,2,199,1,4,3,1,4,12
797,0,797,2,2,6,5,4,15
798,1,399,0,4,0,3,9,8
799,0,799,1,4,1,7,6,0
800,5,25,1,0,4,3,12,8
801,0,801,0,1,3,9,8,2
802,1,401,2,1,2,5,11,10
803,0,803,2,3,5,0,10,4
804,2,201,0,1,5,3,6,14
805,0,805,1,0,0,2,12,6
806,1,403,1,3,4,7,0,12
807,0,807,0,2,2,4,1,8
808,3,101,2,1,3,2,10,16
809,0,809,2,4,4,6,3,10
810,1,405,0,0,6,9,2,14
811,0,811,1,1,6,8,5,12
812,2,203,2,3,0,5,8,16
813,0,813,0,3,1,10,7,14
814,1,407,2,2,1,0,4,16
815,0,815,2,0,3,1,9,16
816,4,51,0,1,2,7,12,0
817,0,817,1,2,5,3,11,1
818,1,409,1,4,3,2,6,1
819,0,819,0,4,0,5,0,3
820,2,205,1,0,2,7,10,1
821,0,821,2,1,2,7,2,5
822,1,411,0,1,5,4,8,3
823,0,823,1,3,4,9,4,7
824,3,103,1,3,5,4,12,1
825,0,825,0,0,6,0,6,9
826,1,413,2,3,0,6,10,5
827,0,827,2,2,1,2,8,11
828,2,207,0,2,4,9,12,3
829,0,829,1,4,3,4,10,13
830,1,415,1,0,2,8,12,7
831,0,831,0,1,5,6,12,15
832,6,13,1,3,6,2,0,13
833,0,833,2,3,0,8,1,0
834,1,417,0,2,4,10,1,9
835,0,835,1,0,2,10,3,2
836,2,209,2,4,6,0,1,5
837,0,837,0,2,4,1,5,4
838,1,419,2,4,6,1,3,11
839,0,839,2,4,6,3,7,6
840,3,105,0,0,0,6,1,3
841,0,841,1,1,1,5,9,8
842,1,421,1,1,1,3,5,13
843,0,843,0,3,3,7,11,10
844,2,211,1,1,1,2,3,7
845,0,845,2,0,5,9,0,12
846,1,423,0,3,3,5,7,15
847,0,847,1,2,0,0,2,14
848,4,53,2,3,4,9,1,2
849,0,849,0,4,2,2,4,16
850,1,425,2,0,5,7,9,0
851,0,851,2,1,4,4,6,1
852,2,213,0,3,3,4,5,9
853,0,853,1,3,6,6,8,3
854,1,427,1,2,0,9,11,2
855,0,855,0,0,1,8,10,5
856,3,107,2,2,2,8,3,5
857,0,857,2,2,3,10,12,7
858,1,429,0,4,2,0,0,4
859,0,859,1,4,5,1,1,9
860,2,215,2,0,5,6,7,11
861,0,861,0,1,0,3,3,11
862,1,431,2,1,4,2,2,6
863,0,863,2,3,2,5,5,13
864,5,27,0,2,6,5,1,10
865,0,865,1,0,4,7,7,15
866,1,433,1,3,6,4,4,8
867,0,867,0,2,6,9,9,0
868,2,217,1,2,0,8,9,13
869,0,869,2,4,1,0,11,2
870,1,435,0,0,1,6,6,10
871,0,871,1,1,3,2,0,4
872,3,109,1,4,4,10,5,7
873,0,873,0,3,5,4,2,6
874,1,437,2,2,3,8,8,12
875,0,875,2,0,0,6,4,8
876,2,219,0,4,2,10,11,15
877,0,877,1,2,2,8,6,10
878,1,439,1,4,5,10,10,14
879,0,879,0,4,4,10,8,12
880,4,55,1,0,6,0,3,4
881,0,881,2,1,6,1,10,14
882,1,441,0,1,0,1,12,16
883,0,883,1,3,1,3,12,16
884,2,221,2,1,4,1,0,0
885,0,885,0,0,3,5,1,1
886,1,443,2,3,2,3,1,1
887,0,887,2,2,5,7,3,3
888,3,111,0,1,6,1,7,9
889,0,889,1,4,0,9,5,5
890,1,445,1,0,4,5,3,3
891,0,891,0,1,2,0,7,7
892,2,223,1,3,6,3,2,2
893,0,893,2,3,4,2,9,9
894,1,447,0,2,6,7,5,5
895,0,895,1,0,6,4,11,11
896,7,7,1,2,0,7,7,7
897,0,897,0,2,1,6,0,13
898,1,449,2,4,1,9,7,7
899,0,899,2,4,3,8,2,15
900,2,225,0,0,1,5,4,4
901,0,901,1,1,5,10,4,0
902,1,451,1,1,3,0,9,9
903,0,903,0,3,0,1,6,2
904,3,113,2,3,1,3,9,11
905,0,905,2,0,2,3,8,4
906,1,453,0,3,5,2,11,11
907,0,907,1,2,4,5,10,6
908,2,227,2,2,3,7,6,6
909,0,909,0,4,6,7,12,8
910,1,455,2,0,0,4,0,13
911,0,911,2,1,1,9,1,10
912,4,57,0,2,1,2,5,6
913,0,913,1,3,3,0,3,12
914,1,457,1,2,2,6,2,15
915,0,915,0,0,5,2,5,14
916,2,229,1,4,5,9,8,8
917,0,917,2,2,0,4,7,16
918,1,459,0,4,4,8,4,0
919,0,919,1,4,2,6,9,1
920,3,115,1,0,3,5,11,13
921,0,921,0,1,4,8,11,3
922,1,461,2,1,6,10,6,2
923,0,923,2,3,6,10,0,5
924,2,231,0,1,0,0,10,10
925,0,925,1,0,1,1,2,7
926,1,463,1,3,1,1,8,4
927,0,927,0,2,3,3,4,9
928,5,29,2,4,1,7,3,12
929,0,929,2,4,5,5,6,11
930,1,465,0,0,3,3,10,6
931,0,931,1,1,0,7,8,13
932,2,233,2,3,2,2,12,12
933,0,933,0,3,2,9,10,15
934,1,467,2,2,5,5,12,8
935,0,935,2,0,4,0,12,0
936,3,117,0,2,5,7,0,15
937,0,937,1,2,6,2,1,2
938,1,469,1,4,0,7,1,10
939,0,939,0,4,1,4,3,4
940,2,235,1,0,4,4,1,14
941,0,941,2,1,3,6,5,6
942,1,471,0,1,2,9,3,12
943,0,943,1,3,5,8,7,8
944,4,59,2,4,3,4,7,8
945,0,945,0,0,0,10,9,10
946,1,473,2,3,4,0,5,14
947,0,947,2,2,2,1,11,12
948,2,237,0,2,6,6,3,16
949,0,949,1,4,4,3,0,14
950,1,475,1,0,6,2,7,16
951,0,951,0,1,6,5,2,16
952,3,119,2,4,0,9,2,0
953,0,953,2,3,1,7,4,1
954,1,477,0,2,1,4,9,1
955,0,955,1,0,3,9,6,3
956,2,239,2,4,1,8,5,1
957,0,957,0,2,5,0,8,5
958,1,479,2,4,3,6,11,3
959,0,959,2,4,0,2,10,7
960,6,15,0,0,1,4,2,15
961,0,961,1,1,2,4,12,9
962,1,481,1,1,5,8,0,5
963,0,963,0,3,4,6,1,11
964,2,241,1,1,3,10,7,3
965,0,965,2,0,6,8,3,13
966,1,483,0,3,0,10,2,7
967,0,967,1,2,1,10,5,15
968,3,121,1,1,2,0,4,2
969,0,969,0,4,3,1,7,0
970,1,485,2,0,2,1,4,9
971,0,971,2,1,5,3,9,2
972,2,243,0,3,5,1,9,5
973,0,973,1,3,0,5,11,4
974,1,487,1,2,4,3,6,11
975,0,975,0,0,2,7,0,6
976,4,61,1,1,5,6,9,10
977,0,977,2,2,4,9,2,8
978,1,489,0,4,6,5,8,13
979,0,979,1,4,6,0,4,10
980,2,245,2,0,0,3,11,7
981,0,981,0,1,1,2,6,12
982,1,491,2,1,1,7,10,15
983,0,983,2,3,3,4,8,14
984,3,123,0,3,4,2,6,4
985,0,985,1,0,5,6,10,16
986,1,493,1,3,3,9,12,0
987,0,987,0,2,0,8,12,1
988,2,247,1,2,2,5,0,9
989,0,989,2,4,2,10,1,3
990,1,495,0,0,5,0,1,2
991,0,991,1,1,4,1,3,5
992,5,31,1,1,3,9,5,14
993,0,993,0,3,6,3,5,7
994,1,497,2,2,0,2,3,4
995,0,995,2,0,1,5,7,9
996,2,249,0,4,4,7,2,11
997,0,997,1,2,3,7,9,11
998,1,499,1,4,2,4,5,6
999,0,999,0,4,5,9,11,13
1000,3,125,2,0,6,4,8,6
