# `factorzig` the prime factors of n, indented by distance from the nearest prime
# `primeness` notes if n is a prime, prime power, prime twin, radical, radical power, primorial, or primorial power

factorzig,          primeness
    17²,            prime power
   2⋅5⋅29,          radical
  3⋅97,             radical
 2²⋅73,             
293,                prime
 2⋅3⋅7²,            
  5⋅59,             radical
   2³⋅37,           
    3³⋅11,          
     2⋅149,         radical
      13⋅23,        radical
       2²⋅3⋅5²,     
      7⋅43,         radical
     2⋅151,         radical
    3⋅101,          radical
   2⁴⋅19,           
  5⋅61,             radical
 2⋅3²⋅17,           
307,                prime
 2²⋅7⋅11,           
  3⋅103,            radical
 2⋅5⋅31,            radical
311,                prime twin
 2³⋅3⋅13,           
313,                prime twin
 2⋅157,             radical
  3²⋅5⋅7,           
 2²⋅79,             
317,                prime
 2⋅3⋅53,            radical
  11⋅29,            radical
   2⁶⋅5,            
    3⋅107,          radical
     2⋅7⋅23,        radical
      17⋅19,        radical
       2²⋅3⁴,       
      5²⋅13,        
     2⋅163,         radical
    3⋅109,          radical
   2³⋅41,           
  7⋅47,             radical
 2⋅3⋅5⋅11,          radical
331,                prime
 2²⋅83,             
  3²⋅37,            
   2⋅167,           radical
  5⋅67,             radical
 2⁴⋅3⋅7,            
337,                prime
 2⋅13²,             
  3⋅113,            radical
   2²⋅5⋅17,         
    11⋅31,          radical
     2⋅3²⋅19,       
    7³,             prime power
   2³⋅43,           
  3⋅5⋅23,           radical
 2⋅173,             radical
347,                prime twin
 2²⋅3⋅29,           
349,                prime twin
 2⋅5²⋅7,            
  3³⋅13,            
 2⁵⋅11,             
353,                prime
 2⋅3⋅59,            radical
  5⋅71,             radical
   2²⋅89,           
  3⋅7⋅17,           radical
 2⋅179,             radical
359,                prime
 2³⋅3²⋅5,           
  19²,              prime power
   2⋅181,           radical
    3⋅11²,          
   2²⋅7⋅13,         
  5⋅73,             radical
 2⋅3⋅61,            radical
367,                prime
 2⁴⋅23,             
  3²⋅41,            
   2⋅5⋅37,          radical
  7⋅53,             radical
 2²⋅3⋅31,           
373,                prime
 2⋅11⋅17,           radical
  3⋅5³,             
   2³⋅47,           
  13⋅29,            radical
 2⋅3³⋅7,            
379,                prime
 2²⋅5⋅19,           
  3⋅127,            radical
 2⋅191,             radical
383,                prime
 2⁷⋅3,              
  5⋅7⋅11,           radical
   2⋅193,           radical
  3²⋅43,            
 2²⋅97,             
389,                prime
 2⋅3⋅5⋅13,          radical
  17⋅23,            radical
   2³⋅7²,           
    3⋅131,          radical
   2⋅197,           radical
  5⋅79,             radical
 2²⋅3²⋅11,          
397,                prime
 2⋅199,             radical
  3⋅7⋅19,           radical
 2⁴⋅5²,             
401,                prime
 2⋅3⋅67,            radical
  13⋅31,            radical
   2²⋅101,          
    3⁴⋅5,           
   2⋅7⋅29,          radical
  11⋅37,            radical
 2³⋅3⋅17,           
409,                prime
 2⋅5⋅41,            radical
  3⋅137,            radical
   2²⋅103,          
    7⋅59,           radical
     2⋅3²⋅23,       
    5⋅83,           radical
   2⁵⋅13,           
  3⋅139,            radical
 2⋅11⋅19,           radical
419,                prime twin
 2²⋅3⋅5⋅7,          
421,                prime twin
 2⋅211,             radical
  3²⋅47,            
   2³⋅53,           
    5²⋅17,          
     2⋅3⋅71,        radical
    7⋅61,           radical
   2²⋅107,          
  3⋅11⋅13,          radical
 2⋅5⋅43,            radical
431,                prime twin
 2⁴⋅3³,             
433,                prime twin
 2⋅7⋅31,            radical
  3⋅5⋅29,           radical
   2²⋅109,          
  19⋅23,            radical
 2⋅3⋅73,            radical
439,                prime
 2³⋅5⋅11,           
  3²⋅7²,            radical power
 2⋅13⋅17,           radical
443,                prime
 2²⋅3⋅37,           
  5⋅89,             radical
   2⋅223,           radical
  3⋅149,            radical
 2⁶⋅7,              
449,                prime
 2⋅3²⋅5²,           
  11⋅41,            radical
   2²⋅113,          
    3⋅151,          radical
   2⋅227,           radical
  5⋅7⋅13,           radical
 2³⋅3⋅19,           
457,                prime
 2⋅229,             radical
  3³⋅17,            
 2²⋅5⋅23,           
461,                prime twin
 2⋅3⋅7⋅11,          radical
463,                prime twin
 2⁴⋅29,             
  3⋅5⋅31,           radical
 2⋅233,             radical
467,                prime
 2²⋅3²⋅13,          
  7⋅67,             radical
   2⋅5⋅47,          radical
    3⋅157,          radical
     2³⋅59,         
      11⋅43,        radical
     2⋅3⋅79,        radical
    5²⋅19,          
   2²⋅7⋅17,         
  3²⋅53,            
 2⋅239,             radical
479,                prime
 2⁵⋅3⋅5,            
  13⋅37,            radical
   2⋅241,           radical
    3⋅7⋅23,         radical
