# `dist`      the number of odd-to-odd Collatz for n steps to reach 1
# `n`         a positive odd integer
# `factors`   the prime factors of n
# `ocldist`   the Collatz odd-to-odd distance of the odd core of n-1
# `nl`        the odd core valuation of the even number n-1 to the left of odd n
# `ofactorsl` the odd prime factors of n-1
# `ocrdist`   the Collatz odd-to-odd distance of the odd core of n+1
# `nr`        the odd core valuation of the even number n+1 to the right of odd n
# `ofactorsr` the odd prime factors of n+1
# `tcn`       the nearest "ternary core", among (0, 1, 2), after dividing out powers of three
# `base2`     the binary representation of n
# `base3`     the ternary representation of n
# `base5`     the base-5 representation of n
# `base7`     the base-7 representation of n
# `m*`        the prime residues of n modulo a set of primes
# `pre_total` the total number of preimages of n under the odd-to-odd Collatz map

dist,     n, factors,       ocldist,        nl, ofactorsl,    ocrdist,        nr, ofactorsr,      tcn,           base2,      base3,   base5,  base7, m3, m5, m7, m11, m13, m17, m19, m23, m29, m31, m37, m41, pre_total
   9,   177, {3 59},              4,    (11 4), {11},               9,    (89 1), {89},            59,        10110001,      20120,    1202,    342, 0,  2,  2,  1,   8,   7,   6,   16,  3,   22,  29,  13,          0
  33,   183, {3 61},             33,    (91 1), {7 13},             4,    (23 3), {23},            61,        10110111,      20210,    1213,    351, 0,  3,  1,  7,   1,   13,  12,  22,  9,   28,  35,  19,          0
  38,   189, {3 7},              38,    (47 2), {47},              38,    (95 1), {5 19},           7,        10111101,      21000,    1224,    360, 0,  4,  0,  2,   7,   2,   18,  5,   15,  3,   4,   25,          0
  43,   195, {3 5 13},           43,    (97 1), {97},               7,    (49 2), {7},             65,        11000011,      21020,    1240,    366, 0,  0,  6,  8,   0,   8,   5,   11,  21,  9,   10,  31,          0
   4,   201, {3 67},              7,    (25 3), {5},                7,   (101 1), {101},           67,        11001001,      21110,    1301,    405, 0,  1,  5,  3,   6,   14,  11,  17,  27,  15,  16,  37,          0
  31,   207, {3 23},             31,   (103 1), {103},              2,    (13 4), {13},            23,        11001111,      21200,    1312,    414, 0,  2,  4,  9,   12,  3,   17,  0,   4,   21,  22,  2,           0
   2,   213, {3 71},              2,    (53 2), {53},              36,   (107 1), {107},           71,        11010101,      21220,    1323,    423, 0,  3,  3,  4,   5,   9,   4,   6,   10,  27,  28,  8,           0
  17,   219, {3 73},             41,   (109 1), {109},             41,    (55 2), {5 11},          73,        11011011,      22010,    1334,    432, 0,  4,  2,  10,  11,  15,  10,  12,  16,  2,   34,  14,          0
  17,   225, {3 5},               5,     (7 5), {7},                2,   (113 1), {113},           25,        11100001,      22100,    1400,    441, 0,  0,  1,  5,   4,   4,   16,  18,  22,  8,   3,   20,          0
  46,   231, {3 7 11},           10,   (115 1), {5 23},             5,    (29 3), {29},            77,        11100111,      22120,    1411,    450, 0,  1,  0,  0,   10,  10,  3,   1,   28,  14,  9,   26,          0
  10,   237, {3 79},             10,    (59 2), {59},              10,   (119 1), {7 17},          79,        11101101,      22210,    1422,    456, 0,  2,  6,  6,   3,   16,  9,   7,   5,   20,  15,  32,          0
  34,   243, {3},                34,   (121 1), {11},               5,    (61 2), {61},             1,        11110011,     100000,    1433,    465, 0,  3,  5,  1,   9,   5,   15,  13,  11,  26,  21,  38,          0
  15,   249, {3 83},             39,    (31 3), {31},              39,   (125 1), {5},             83,        11111001,     100020,    1444,    504, 0,  4,  4,  7,   2,   11,  2,   19,  17,  1,   27,  3,           0
