# Natural order of prime factor sets

This is a list of the first 1000 integers in consecutive order. For every integer n:
- `oc` is the 2-adic "odd core" of the number, after removing all factors of 2. For odd numbers, oc is the number itself.
- `k` is the 2-adic exponent, the number of halvings (n = oc * 2^k). For odd numbers, k is always 0.
- `dist` is the odd-to-odd Collatz stopping distance of oc.
- ternary and binary representations of the oc are given.
- `factors` is a mask of the odd prime factor set of oc, where each bit represents a prime (3, 5, 7, etc)

The pattern of prime factors in integers is a cycle modulo the product of primes as you increment n. Call this the "natural" permutation, the one you get by simply adding 1. This transform is the only thing +1 knows how to do.

(The factor sets of the odd cores are shown for the even numbers below, but note that since they only differ by a power of 2, their odd prime factor mask is unchanged).

Successive numbers share no factors, which amounts to an information-preserving mechanism. The +1 operation is an invertible permutation over all prime factor rings of integers at once, which is a very complicated mapping, but it's also a cycle modulo the product of any subset of those rings, which makes things simple again if you don't care about the specific *order* of the permutation.

And we don't.

oc,k,dist,base3,base2,factors
169,0,16,20021,10101001,00001
85,1,1,10011,1010101,010001
171,0,45,20100,10101011,1000001
43,2,9,1121,101011,0000000000001
173,0,9,20102,10101101,000000000000000000000000000000000000001
87,1,9,10020,1010111,100000001
175,0,28,20111,10101111,011
11,4,4,102,1011,0001
177,0,9,20120,10110001,1000000000000001
89,1,9,10022,1011001,00000000000000000000001
179,0,9,20122,10110011,0000000000000000000000000000000000000001
45,2,4,1200,101101,11
181,0,4,20201,10110101,00000000000000000000000000000000000000001
91,1,33,10101,1011011,00101
183,0,33,20210,10110111,10000000000000001
23,3,4,212,10111,00000001
185,0,14,20212,10111001,01000000001
93,1,4,10110,1011101,1000000001
187,0,14,20221,10111011,000101
47,2,38,1202,101111,00000000000001
189,0,38,21000,10111101,101
95,1,38,10112,1011111,0100001
191,0,14,21002,10111111,000000000000000000000000000000000000000001
3,6,2,10,11,1
193,0,43,21011,11000001,0000000000000000000000000000000000000000001
97,1,43,10121,1100001,000000000000000000000001
195,0,43,21020,11000011,11001
49,2,7,1211,110001,001
197,0,7,21022,11000101,00000000000000000000000000000000000000000001
99,1,7,10200,1100011,1001
199,0,43,21101,11000111,000000000000000000000000000000000000000000001
25,3,7,221,11001,01
201,0,4,21110,11001001,100000000000000001
101,1,7,10202,1100101,0000000000000000000000001
203,0,12,21112,11001011,001000001
51,2,7,1220,110011,100001
205,0,7,21121,11001101,010000000001
103,1,31,10211,1100111,00000000000000000000000001
207,0,31,21200,11001111,10000001
13,4,2,111,1101,00001
209,0,12,21202,11010001,0001001
105,1,12,10220,1101001,111
211,0,12,21211,11010011,0000000000000000000000000000000000000000000001
53,2,2,1222,110101,000000000000001
213,0,2,21220,11010101,1000000000000000001
107,1,36,10222,1101011,000000000000000000000000001
215,0,36,21222,11010111,0100000000001
27,3,41,1000,11011,1
217,0,7,22001,11011001,0010000001
109,1,41,11001,1101101,0000000000000000000000000001
219,0,17,22010,11011011,10000000000000000001
55,2,41,2001,110111,0101
221,0,41,22012,11011101,000011
111,1,24,11010,1101111,10000000001
223,0,24,22021,11011111,00000000000000000000000000000000000000000000001
7,5,5,21,111,001
225,0,17,22100,11100001,11
113,1,2,11012,1110001,00000000000000000000000000001
227,0,2,22102,11100011,000000000000000000000000000000000000000000000001
57,2,10,2010,111001,1000001
229,0,10,22111,11100101,0000000000000000000000000000000000000000000000001
115,1,10,11021,1110011,01000001
231,0,46,22120,11100111,1011
29,3,5,1002,11101,000000001
233,0,29,22122,11101001,00000000000000000000000000000000000000000000000001
117,1,5,11100,1110101,10001
235,0,46,22201,11101011,01000000000001
59,2,10,2012,111011,0000000000000001
237,0,10,22210,11101101,100000000000000000001
119,1,10,11102,1110111,001001
239,0,17,22212,11101111,000000000000000000000000000000000000000000000000001
15,4,5,120,1111,11
241,0,5,22221,11110001,0000000000000000000000000000000000000000000000000001
121,1,34,11111,1111001,0001
243,0,34,100000,11110011,1
61,2,5,2021,111101,00000000000000001
245,0,5,100002,11110101,011
123,1,15,11120,1111011,100000000001
247,0,15,100011,11110111,0000101
31,3,39,1011,11111,0000000001
249,0,15,100020,11111001,1000000000000000000001
125,1,39,11122,1111101,01
251,0,22,100022,11111011,00000000000000000000000000000000000000000000000000001
63,2,39,2100,111111,101
253,0,39,100101,11111101,00010001
127,1,15,11201,1111111,000000000000000000000000000001
255,0,15,100110,11111111,110001
1,8,0,1,1,0
257,0,44,100112,100000001,000000000000000000000000000000000000000000000000000001
129,1,44,11210,10000001,1000000000001
259,0,44,100121,100000011,00100000001
65,2,8,2102,1000001,01001
261,0,8,100200,100000101,100000001
131,1,8,11212,10000011,0000000000000000000000000000001
263,0,27,100202,100000111,0000000000000000000000000000000000000000000000000000001
33,3,8,1020,100001,1001
265,0,44,100211,100001001,010000000000001
133,1,8,11221,10000101,0010001
267,0,5,100220,100001011,10000000000000000000001
67,2,8,2111,1000011,000000000000000001
269,0,8,100222,100001101,00000000000000000000000000000000000000000000000000000001
135,1,13,12000,10000111,11
271,0,13,101001,100001111,000000000000000000000000000000000000000000000000000000001
17,4,3,122,10001,000001
273,0,8,101010,100010001,10101
137,1,32,12002,10001001,00000000000000000000000000000001
275,0,32,101012,100010011,0101
69,2,3,2120,1000101,10000001
277,0,3,101021,100010101,0000000000000000000000000000000000000000000000000000000001
139,1,13,12011,10001011,000000000000000000000000000000001
279,0,13,101100,100010111,1000000001
35,3,3,1022,100011,011
281,0,13,101102,100011001,00000000000000000000000000000000000000000000000000000000001
141,1,3,12020,10001101,10000000000001
283,0,20,101111,100011011,000000000000000000000000000000000000000000000000000000000001
71,2,37,2122,1000111,0000000000000000001
285,0,37,101120,100011101,1100001
