# Natural order of prime factor sets

This is a list of the first 1000 integers in consecutive order. For every integer n:
- `oc` is the 2-adic "odd core" of the number, after removing all factors of 2. For odd numbers, oc is the number itself.
- `k` is the 2-adic exponent, the number of halvings (n = oc * 2^k). For odd numbers, k is always 0.
- `dist` is the odd-to-odd Collatz stopping distance of oc.
- ternary and binary representations of the oc are given.
- `factors` is a mask of the odd prime factor set of oc, where each bit represents a prime (3, 5, 7, etc)

The pattern of prime factors in integers is a cycle modulo the product of primes as you increment n. Call this the "natural" permutation, the one you get by simply adding 1. This transform is the only thing +1 knows how to do.

(The factor sets of the odd cores are shown for the even numbers below, but note that since they only differ by a power of 2, their odd prime factor mask is unchanged).

Successive numbers share no factors, which amounts to an information-preserving mechanism. The +1 operation is an invertible permutation over all prime factor rings of integers at once, which is a very complicated mapping, but it's also a cycle modulo the product of any subset of those rings, which makes things simple again if you don't care about the specific *order* of the permutation.

And we don't.

oc,k,dist,base3,base2,factors
569,0,18,210002,1000111001,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
285,1,37,101120,100011101,1100001
571,0,8,210011,1000111011,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
143,2,37,12022,10001111,00011
573,0,37,210020,1000111101,100000000000000000000000000000000000000001
287,1,13,101122,100011111,001000000001
575,0,13,210022,1000111111,01000001
9,6,6,100,1001,1
577,0,8,210101,1001000001,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
289,1,8,101201,100100001,000001
579,0,8,210110,1001000011,1000000000000000000000000000000000000000001
145,2,42,12101,10010001,010000001
581,0,42,210112,1001000101,0010000000000000000001
291,1,42,101210,100100011,100000000000000000000001
583,0,8,210121,1001000111,000100000000001
73,3,42,2201,1001001,00000000000000000001
585,0,18,210200,1001001001,11001
293,1,42,101212,100100101,0000000000000000000000000000000000000000000000000000000000001
587,0,42,210202,1001001011,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
147,2,42,12110,10010011,101
589,0,42,210211,1001001101,0000001001
295,1,18,101221,100100111,0100000000000001
591,0,18,210220,1001001111,10000000000000000000000000000000000000000001
37,4,6,1101,100101,00000000001
593,0,25,210222,1001010001,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
297,1,25,102000,100101001,1001
595,0,25,211001,1001010011,011001
149,2,6,12112,10010101,0000000000000000000000000000000001
597,0,6,211010,1001010101,100000000000000000000000000000000000000000001
299,1,42,102002,100101011,00001001
599,0,42,211012,1001010111,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
75,3,3,2210,1001011,11
601,0,18,211021,1001011001,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
301,1,3,102011,100101101,0010000000001
603,0,23,211100,1001011011,100000000000000001
151,2,3,12121,10010111,00000000000000000000000000000000001
605,0,3,211102,1001011101,0101
303,1,13,102020,100101111,1000000000000000000000001
607,0,13,211111,1001011111,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
19,5,6,201,10011,0000001
609,0,47,211120,1001100001,101000001
305,1,11,102022,100110001,01000000000000001
611,0,11,211122,1001100011,00001000000001
153,2,11,12200,10011001,100001
613,0,11,211201,1001100101,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
307,1,11,102101,100110011,00000000000000000000000000000000000000000000000000000000000001
615,0,23,211210,1001100111,110000000001
77,3,6,2212,1001101,0011
617,0,47,211212,1001101001,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
309,1,6,102110,100110101,10000000000000000000000001
619,0,47,211221,1001101011,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
155,2,30,12202,10011011,0100000001
621,0,30,212000,1001101101,10000001
311,1,30,102112,100110111,000000000000000000000000000000000000000000000000000000000000001
623,0,47,212002,1001101111,00100000000000000000001
39,4,11,1110,100111,10001
625,0,6,212011,1001110001,01
313,1,47,102121,100111001,0000000000000000000000000000000000000000000000000000000000000001
627,0,47,212020,1001110011,1001001
157,2,11,12211,10011101,000000000000000000000000000000000001
629,0,11,212022,1001110101,00000100001
315,1,11,102200,100111011,111
631,0,11,212101,1001110111,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
79,3,11,2221,1001111,000000000000000000001
633,0,8,212110,1001111001,1000000000000000000000000000000000000000000001
317,1,11,102202,100111101,00000000000000000000000000000000000000000000000000000000000000001
635,0,8,212112,1001111011,010000000000000000000000000001
159,2,18,12220,10011111,100000000000001
637,0,18,212121,1001111101,00101
319,1,18,102211,100111111,000100001
639,0,47,212200,1001111111,1000000000000000001
5,7,1,12,101,01
641,0,16,212202,1010000001,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
321,1,6,102220,101000001,100000000000000000000000001
643,0,6,212211,1010000011,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
161,2,35,12222,10100001,00100001
645,0,35,212220,1010000101,1100000000001
323,1,35,102222,101000011,0000011
647,0,11,212222,1010000111,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
81,3,6,10000,1010001,1
649,0,52,220001,1010001001,0001000000000001
325,1,6,110001,101000101,01001
651,0,35,220010,1010001011,1010000001
163,2,6,20001,10100011,0000000000000000000000000000000000001
653,0,6,220012,1010001101,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
327,1,52,110010,101000111,1000000000000000000000000001
655,0,52,220021,1010001111,0100000000000000000000000000001
41,4,40,1112,101001,000000000001
657,0,16,220100,1010010001,10000000000000000001
329,1,16,110012,101001001,00100000000001
659,0,16,220102,1010010011,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
165,2,40,20010,10100101,1101
661,0,40,220111,1010010101,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
331,1,6,110021,101001011,000000000000000000000000000000000000000000000000000000000000000001
663,0,6,220120,1010010111,100011
83,3,40,10002,1010011,0000000000000000000001
665,0,16,220122,1010011001,0110001
333,1,40,110100,101001101,10000000001
667,0,52,220201,1010011011,000000011
167,2,23,20012,10100111,00000000000000000000000000000000000001
669,0,23,220210,1010011101,10000000000000000000000000000000000000000000001
335,1,23,110102,101001111,010000000000000001
671,0,33,220212,1010011111,00010000000000001
21,5,1,210,10101,101
673,0,21,220221,1010100001,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
337,1,40,110111,101010001,0000000000000000000000000000000000000000000000000000000000000000001
675,0,40,221000,1010100011,11
169,2,16,20021,10101001,00001
677,0,16,221002,1010100101,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
339,1,16,110120,101010011,10000000000000000000000000001
679,0,21,221011,1010100111,001000000000000000000001
85,3,1,10011,1010101,010001
681,0,21,221020,1010101001,100000000000000000000000000000000000000000000001
341,1,1,110122,101010101,0001000001
683,0,11,221022,1010101011,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
171,2,45,20100,10101011,1000001
685,0,45,221101,1010101101,01000000000000000000000000000001
343,1,45,110201,101010111,001
687,0,11,221110,1010101111,1000000000000000000000000000000000000000000000001
43,4,9,1121,101011,0000000000001
689,0,45,221112,1010110001,000010000000001
345,1,45,110210,101011001,11000001
691,0,45,221121,1010110011,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
173,2,9,20102,10101101,000000000000000000000000000000000000001
693,0,9,221200,1010110101,1011
347,1,45,110212,101011011,00000000000000000000000000000000000000000000000000000000000000000001
695,0,45,221202,1010110111,010000000000000000000000000000001
87,3,9,10020,1010111,100000001
697,0,45,221211,1010111001,000001000001
349,1,9,110221,101011101,000000000000000000000000000000000000000000000000000000000000000000001
699,0,21,221220,1010111011,10000000000000000000000000000000000000000000000001
175,2,28,20111,10101111,011
701,0,28,221222,1010111101,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
351,1,28,111000,101011111,10001
703,0,62,222001,1010111111,00000010001
11,6,4,102,1011,0001
705,0,9,222010,1011000001,11000000000001
353,1,45,111002,101100001,0000000000000000000000000000000000000000000000000000000000000000000001
707,0,45,222012,1011000011,0010000000000000000000001
177,2,9,20120,10110001,1000000000000001
709,0,9,222021,1011000101,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
355,1,9,111011,101100011,0100000000000000001
711,0,21,222100,1011000111,100000000000000000001
89,3,9,10022,1011001,00000000000000000000001
713,0,6,222102,1011001001,0000000101
357,1,9,111020,101100101,101001
715,0,6,222111,1011001011,01011
179,2,9,20122,10110011,0000000000000000000000000000000000000001
717,0,9,222120,1011001101,100000000000000000000000000000000000000000000000001
359,1,16,111022,101100111,00000000000000000000000000000000000000000000000000000000000000000000001
719,0,16,222122,1011001111,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
45,4,4,1200,101101,11
721,0,14,222201,1011010001,00100000000000000000000001
361,1,14,111101,101101001,0000001
723,0,14,222210,1011010011,1000000000000000000000000000000000000000000000000001
181,2,4,20201,10110101,00000000000000000000000000000000000000001
725,0,4,222212,1011010101,010000001
363,1,14,111110,101101011,1001
727,0,14,222221,1011010111,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
91,3,33,10101,1011011,00101
729,0,9,1000000,1011011001,1
365,1,33,111112,101101101,01000000000000000001
731,0,50,1000002,1011011011,0000010000001
183,2,33,20210,10110111,10000000000000001
733,0,33,1000011,1011011101,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
367,1,14,111121,101101111,000000000000000000000000000000000000000000000000000000000000000000000001
735,0,14,1000020,1011011111,111
23,5,4,212,10111,00000001
737,0,50,1000022,1011100001,000100000000000001
369,1,4,111200,101110001,100000000001
739,0,4,1000101,1011100011,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
185,2,14,20212,10111001,01000000001
741,0,14,1000110,1011100101,1000101
371,1,14,111202,101110011,001000000000001
743,0,33,1000112,1011100111,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
93,3,4,10110,1011101,1000000001
745,0,31,1000121,1011101001,0100000000000000000000000000000001
373,1,4,111211,101110101,0000000000000000000000000000000000000000000000000000000000000000000000001
747,0,14,1000200,1011101011,1000000000000000000001
187,2,14,20221,10111011,000101
749,0,14,1000202,1011101101,001000000000000000000000001
375,1,14,111220,101110111,11
751,0,50,1000211,1011101111,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
47,4,38,1202,101111,00000000000001
753,0,4,1000220,1011110001,10000000000000000000000000000000000000000000000000001
377,1,21,111222,101111001,000010001
755,0,21,1000222,1011110011,01000000000000000000000000000000001
189,2,38,21000,10111101,101
757,0,38,1001001,1011110101,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
379,1,19,112001,101111011,00000000000000000000000000000000000000000000000000000000000000000000000001
759,0,19,1001010,1011110111,10010001
95,3,38,10112,1011111,0100001
761,0,9,1001012,1011111001,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
381,1,38,112010,101111101,100000000000000000000000000001
763,0,55,1001021,1011111011,0010000000000000000000000001
191,2,14,21002,10111111,000000000000000000000000000000000000000001
765,0,14,1001100,1011111101,110001
383,1,14,112012,101111111,000000000000000000000000000000000000000000000000000000000000000000000000001
767,0,19,1001102,1011111111,0000100000000001
3,8,2,10,11,1
769,0,9,1001111,1100000001,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
385,1,9,112021,110000001,0111
771,0,9,1001120,1100000011,100000000000000000000000000000000000000000000000000001
193,2,43,21011,11000001,0000000000000000000000000000000000000000001
773,0,43,1001122,1100000101,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
387,1,43,112100,110000011,1000000000001
775,0,55,1001201,1100000111,0100000001
97,3,43,10121,1100001,000000000000000000000001
777,0,9,1001210,1100001001,10100000001
389,1,43,112102,110000101,0000000000000000000000000000000000000000000000000000000000000000000000000001
779,0,19,1001212,1100001011,000000100001
195,2,43,21020,11000011,11001
781,0,43,1001221,1100001101,0001000000000000001
391,1,43,112111,110000111,00000101
783,0,43,1002000,1100001111,100000001
49,4,7,1211,110001,001
785,0,43,1002002,1100010001,010000000000000000000000000000000001
393,1,19,112120,110001001,1000000000000000000000000000001
787,0,19,1002011,1100010011,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
197,2,7,21022,11000101,00000000000000000000000000000000000000000001
789,0,7,1002020,1100010101,1000000000000000000000000000000000000000000000000000001
395,1,26,112122,110001011,010000000000000000001
791,0,26,1002022,1100010111,00100000000000000000000000001
99,3,7,10200,1100011,1001
793,0,26,1002101,1100011001,00001000000000001
397,1,7,112201,110001101,00000000000000000000000000000000000000000000000000000000000000000000000000001
795,0,36,1002110,1100011011,110000000000001
199,2,43,21101,11000111,000000000000000000000000000000000000000000001
797,0,43,1002112,1100011101,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
399,1,43,112210,110001111,1010001
799,0,24,1002121,1100011111,00000100000001
25,5,7,221,11001,01
801,0,19,1002200,1100100001,10000000000000000000001
401,1,4,112212,110010001,000000000000000000000000000000000000000000000000000000000000000000000000000001
803,0,4,1002202,1100100011,00010000000000000001
201,2,4,21110,11001001,100000000000000001
805,0,4,1002211,1100100101,01100001
403,1,4,112221,110010011,0000100001
807,0,24,1002220,1100100111,10000000000000000000000000000000000000000000000000000001
101,3,7,10202,1100101,0000000000000000000000001
809,0,14,1002222,1100101001,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
405,1,7,120000,110010101,11
811,0,48,1010001,1100101011,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
203,2,12,21112,11001011,001000001
813,0,12,1010010,1100101101,100000000000000000000000000000000000000000000000000000001
407,1,12,120002,110010111,00010000001
815,0,48,1010012,1100101111,0100000000000000000000000000000000001
51,4,7,1220,110011,100001
817,0,12,1010021,1100110001,0000001000001
409,1,12,120011,110011001,0000000000000000000000000000000000000000000000000000000000000000000000000000001
819,0,12,1010100,1100110011,10101
205,2,7,21121,11001101,010000000001
821,0,7,1010102,1100110101,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
411,1,48,120020,110011011,10000000000000000000000000000001
823,0,48,1010111,1100110111,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
103,3,31,10211,1100111,00000000000000000000000001
825,0,48,1010120,1100111001,1101
413,1,31,120022,110011101,0010000000000001
827,0,12,1010122,1100111011,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
207,2,31,21200,11001111,10000001
829,0,31,1010201,1100111101,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
415,1,48,120101,110011111,0100000000000000000001
831,0,48,1010210,1100111111,1000000000000000000000000000000000000000000000000000000001
13,6,2,111,1101,00001
833,0,7,1010212,1101000001,001001
417,1,48,120110,110100001,100000000000000000000000000000001
835,0,48,1010221,1101000011,01000000000000000000000000000000000001
209,2,12,21202,11010001,0001001
837,0,12,1011000,1101000101,1000000001
419,1,12,120112,110100011,00000000000000000000000000000000000000000000000000000000000000000000000000000001
839,0,29,1011002,1101000111,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
105,3,12,10220,1101001,111
841,0,12,1011011,1101001001,000000001
421,1,12,120121,110100101,000000000000000000000000000000000000000000000000000000000000000000000000000000001
843,0,12,1011020,1101001011,10000000000000000000000000000000000000000000000000000000001
211,2,12,21211,11010011,0000000000000000000000000000000000000000000001
845,0,12,1011022,1101001101,01001
423,1,9,120200,110100111,10000000000001
847,0,9,1011101,1101001111,0011
53,4,2,1222,110101,000000000000001
849,0,19,1011110,1101010001,100000000000000000000000000000000000000000000000000000000001
425,1,19,120202,110101001,010001
851,0,19,1011112,1101010011,00000001001
213,2,2,21220,11010101,1000000000000000001
853,0,2,1011121,1101010101,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
427,1,17,120211,110101011,00100000000000001
855,0,17,1011200,1101010111,1100001
107,3,36,10222,1101011,000000000000000000000000001
857,0,7,1011202,1101011001,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
429,1,36,120220,110101101,10011
859,0,53,1011211,1101011011,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
215,2,36,21222,11010111,0100000000001
861,0,36,1011220,1101011101,101000000001
431,1,12,120222,110101111,0000000000000000000000000000000000000000000000000000000000000000000000000000000001
863,0,12,1011222,1101011111,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
27,5,41,1000,11011,1
865,0,53,1012001,1101100001,010000000000000000000000000000000000001
433,1,7,121001,110110001,00000000000000000000000000000000000000000000000000000000000000000000000000000000001
867,0,7,1012010,1101100011,100001
217,2,7,22001,11011001,0010000001
869,0,7,1012012,1101100101,000100000000000000001
435,1,7,121010,110110011,110000001
871,0,65,1012021,1101100111,000010000000000001
109,3,41,11001,1101101,0000000000000000000000000001
873,0,53,1012100,1101101001,100000000000000000000001
437,1,41,121012,110110101,00000011
875,0,7,1012102,1101101011,011
219,2,17,22010,11011011,10000000000000000001
877,0,17,1012111,1101101101,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
439,1,17,121021,110110111,000000000000000000000000000000000000000000000000000000000000000000000000000000000001
879,0,53,1012120,1101101111,1000000000000000000000000000000000000000000000000000000000001
55,4,41,2001,110111,0101
881,0,41,1012122,1101110001,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
441,1,7,121100,110111001,101
883,0,7,1012201,1101110011,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
221,2,41,22012,11011101,000011
885,0,41,1012210,1101110101,1100000000000001
443,1,17,121102,110111011,0000000000000000000000000000000000000000000000000000000000000000000000000000000000001
887,0,17,1012212,1101110111,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
111,3,24,11010,1101111,10000000001
889,0,53,1012221,1101111001,001000000000000000000000000001
445,1,24,121111,110111101,01000000000000000000001
891,0,14,1020000,1101111011,1001
223,2,24,22021,11011111,00000000000000000000000000000000000000000000001
893,0,24,1020002,1101111101,00000010000001
447,1,34,121120,110111111,1000000000000000000000000000000001
895,0,34,1020011,1101111111,0100000000000000000000000000000000000001
7,7,5,21,111,001
897,0,22,1020020,1110000001,10001001
449,1,41,121122,111000001,00000000000000000000000000000000000000000000000000000000000000000000000000000000000001
899,0,41,1020022,1110000011,0000000011
225,2,17,22100,11100001,11
901,0,17,1020101,1110000101,000001000000001
451,1,17,121201,111000011,000100000001
903,0,41,1020110,1110000111,1010000000001
113,3,2,11012,1110001,00000000000000000000000000001
905,0,22,1020112,1110001001,01000000000000000000000000000000000000001
453,1,2,121210,111000101,10000000000000000000000000000000001
907,0,17,1020121,1110001011,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
227,2,2,22102,11100011,000000000000000000000000000000000000000000000001
909,0,2,1020200,1110001101,1000000000000000000000001
455,1,12,121212,111000111,01101
911,0,12,1020202,1110001111,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
57,4,10,2010,111001,1000001
913,0,46,1020211,1110010001,0001000000000000000001
457,1,46,121221,111001001,000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
915,0,46,1020220,1110010011,11000000000000001
229,2,10,22111,11100101,0000000000000000000000000000000000000000000000001
917,0,10,1020222,1110010101,0010000000000000000000000000001
459,1,46,122000,111001011,100001
919,0,46,1021001,1110010111,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
115,3,10,11021,1110011,01000001
921,0,46,1021010,1110011001,10000000000000000000000000000000000000000000000000000000000001
461,1,10,122002,111001101,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
923,0,22,1021012,1110011011,0000100000000000001
231,2,46,22120,11100111,1011
925,0,46,1021021,1110011101,01000000001
463,1,46,122011,111001111,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
927,0,41,1021100,1110011111,10000000000000000000000001
29,5,5,1002,11101,000000001
929,0,46,1021102,1110100001,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
465,1,10,122020,111010001,1100000001
931,0,10,1021111,1110100011,0010001
233,2,29,22122,11101001,00000000000000000000000000000000000000000000000001
933,0,29,1021120,1110100101,100000000000000000000000000000000000000000000000000000000000001
467,1,29,122022,111010011,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
935,0,46,1021122,1110100111,010101
117,3,5,11100,1110101,10001
937,0,63,1021201,1110101001,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
469,1,5,122101,111010101,001000000000000001
939,0,29,1021210,1110101011,1000000000000000000000000000000000000000000000000000000000000001
235,2,46,22201,11101011,01000000000001
941,0,46,1021212,1110101101,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
471,1,46,122110,111010111,100000000000000000000000000000000001
943,0,10,1021221,1110101111,000000010001
59,4,10,2012,111011,0000000000000001
945,0,10,1022000,1110110001,111
473,1,10,122112,111011001,0001000000001
947,0,10,1022002,1110110011,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
237,2,10,22210,11101101,100000000000000000001
949,0,10,1022011,1110110101,00001000000000000001
475,1,7,122121,111011011,0100001
951,0,7,1022020,1110110111,10000000000000000000000000000000000000000000000000000000000000001
119,3,10,11102,1110111,001001
953,0,7,1022022,1110111001,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
477,1,10,122200,111011101,100000000000001
955,0,7,1022101,1110111011,010000000000000000000000000000000000000001
239,2,17,22212,11101111,000000000000000000000000000000000000000000000000001
957,0,17,1022110,1110111101,100100001
479,1,17,122202,111011111,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
959,0,46,1022112,1110111111,00100000000000000000000000000001
15,6,5,120,1111,11
961,0,15,1022121,1111000001,0000000001
481,1,15,122211,111100001,00001000001
963,0,15,1022200,1111000011,100000000000000000000000001
241,2,5,22221,11110001,0000000000000000000000000000000000000000000000000001
965,0,5,1022202,1111000101,0100000000000000000000000000000000000000001
483,1,5,122220,111100011,10100001
967,0,51,1022211,1111000111,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
121,3,34,11111,1111001,0001
969,0,15,1022220,1111001001,1000011
485,1,34,122222,111100101,010000000000000000000001
971,0,10,1022222,1111001011,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
243,2,34,100000,11110011,1
973,0,34,1100001,1111001101,001000000000000000000000000000001
487,1,51,200001,111100111,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
975,0,51,1100010,1111001111,11001
61,4,5,2021,111101,00000000000000001
977,0,34,1100012,1111010001,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
489,1,15,200010,111101001,1000000000000000000000000000000000001
979,0,15,1100021,1111010011,00010000000000000000001
245,2,5,100002,11110101,011
981,0,5,1100100,1111010101,1000000000000000000000000001
491,1,51,200012,111101011,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
983,0,51,1100102,1111010111,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
123,3,15,11120,1111011,100000000001
985,0,5,1100111,1111011001,01000000000000000000000000000000000000000001
493,1,15,200021,111101101,000001001
987,0,10,1100120,1111011011,10100000000001
247,2,15,100011,11110111,0000101
989,0,15,1100122,1111011101,0000000100001
495,1,34,200100,111101111,1101
991,0,34,1100201,1111011111,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
31,5,39,1011,11111,0000000001
993,0,32,1100210,1111100001,100000000000000000000000000000000000000000000000000000000000000001
497,1,5,200102,111110001,0010000000000000001
995,0,5,1100212,1111100011,010000000000000000000000000000000000000000001
249,2,15,100020,11111001,1000000000000000000001
997,0,15,1100221,1111100101,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
499,1,15,200111,111110011,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
999,0,15,1101000,1111100111,10000000001
125,3,39,11122,1111101,01


