# `factorzig` the prime factors of n, indented by distance from the nearest prime
# `psym`      the symmetric primes at equal offsets around n

factorzig,          psym
 2³⋅19,             [15 21 39 45 81 99]
  3²⋅17,            [4 14 26 40 44 46 70 74]
   2⋅7⋅11,          [3 27 45 57 75 87]
  5⋅31,             [18 24 42 72 84 96]
 2²⋅3⋅13,           [7 17 25 43 55 67 73 77]
157,                [6 54 84]
 2⋅79,              [9 21 69 75 99]
  3⋅53,             [8 20 22 32 52 70 80 92]
   2⁵⋅5,            [3 21 33 51 63 81]
  7⋅23,             [12 30 72 78 90]
 2⋅3⁴,              [5 11 31 35 49 61 65 79]
163,                [36 60 66]
 2²⋅41,             [15 27 33 63 75 93]
  3⋅5⋅11,           [2 8 14 16 26 28 34 58]
 2⋅83,              [15 27 57 63]
167,                [30 60 66 84 96]
 2³⋅3⋅7,            [5 11 29 31 55 59 61 65]
  13²,              [12 30 42 60 72]
   2⋅5⋅17,          [3 21 57 63 69 81 87 99]
  3²⋅19,            [8 20 22 40 58 62 68 70]
 2²⋅43,             [9 21 69 99]
173,                [6 24 60 66 84 90]
 2⋅3⋅29,            [7 17 23 25 37 65 67 77]
  5²⋅7,             [18 24 36 48 66 96]
   2⁴⋅11,           [3 63 75 87 93]
  3⋅59,             [4 14 20 46 50 64 74 80]
 2⋅89,              [15 21 51 99]
179,                [12 48 72 78 90]
 2²⋅3²⋅5,           [1 13 17 31 43 49 53 71]
181,                [18 30 42]
 2⋅7⋅13,            [9 15 45 51 69 75 81 99]
  3⋅61,             [10 16 44 46 56 74 80 86]
   2³⋅23,           [27 45 57 87]
    5⋅37,           [6 12 48 54 72 78 84 96]
     2⋅3⋅31,        [5 7 13 37 47 55 77 83]
    11⋅17,          [6 24 36 84 90]
   2²⋅47,           [9 39 51 75 81]
  3³⋅7,             [8 10 22 38 40 50 52 62]
 2⋅5⋅19,            [9 33 39 51 81 87 93]
191,                [42 60 78 90]
 2⁶⋅3,              [1 19 35 41 65 79 85 89]
193,                [30 36 84 90]
 2⋅97,              [3 45 57 63 87]
  3⋅5⋅13,           [2 4 16 28 32 38 44 46]
 2²⋅7²,             [3 15 33 45 87]
197,                [30 60 66 84 96]
 2⋅3²⋅11,           [1 25 31 35 41 59 71 85]
199,                [42 72]
 2³⋅5²,             [27 33 51 63 69 93]
  3⋅67,             [10 22 28 38 50 62 70 92]
   2⋅101,           [9 21 39 75]
    7⋅29,           [24 30 36 54 66 90]
     2²⋅3⋅17,       [7 23 25 37 47 53 65 67]
      5⋅41,         [6 24 66 78]
     2⋅103,         [27 33 57 75]
    3²⋅23,          [16 26 34 44 50 56 70 76]
   2⁴⋅13,           [15 69 99]
  11⋅19,            [18 30 42 60 72]
 2⋅3⋅5⋅7,           [13 17 19 29 31 47 53 59]
211,                [12 18 30 60 72]
 2²⋅53,             [15 21 39 45 81 99]
  3⋅71,             [14 16 20 50 56 64 100]
   2⋅107,           [15 57 63]
    5⋅43,           [18 24 36 42 48 66 78]
     2³⋅3³,         [17 23 25 35 53 65 67 77]
      7⋅31,         [6 24 54 60 66 90]
     2⋅109,         [21 39 45 51]
    3⋅73,           [8 20 22 38 52 62 88 92]
   2²⋅5⋅11,         [9 21 57 63 93]
