# Root path traces

Here are some examples of the path taken by always following the odd core of the even neighbor with the lowest k value to the root of the tree (1).
The numbers in parentheses indicate the branch *not* taken at every step.
Some of these direct paths merge immediately, others after one or more steps.
That indicates any stopping time differentiation on the direct path has to be near the seed, as the end of the path is widely shared.

oc,k,dist,base3,base2,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71,m73,m79,m83,m89,m97,m101,m103,m107,m109,m113,m127

# Root path 31 -> 15(1) -> 7(1) -> 3(1) -> 1(1) -> 1

147,1,42,12110,10010011,0,2,0,4,4,11,14,9,2,23,36,24,18,6,41,29,25,13,5,1,68,64,58,50,46,44,40,38,34,20 # oc(293+1)

73,1,42,2201,1001001,1,3,3,7,8,5,16,4,15,11,36,32,30,26,20,14,12,6,2,0,73,73,73,73,73,73,73,73,73,73 # oc(147-1)
147,,42,12110,10010011,0,2,0,4,4,11,14,9,2,23,36,24,18,6,41,29,25,13,5,1,68,64,58,50,46,44,40,38,34,20 # 147 (Collatz next is 221)
37,2,6,1101,100101,1,2,2,4,11,3,18,14,8,6,0,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37 # oc(147+1)

9,3,6,100,1001,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 # oc(73-1)
73,,42,2201,1001001,1,3,3,7,8,5,16,4,15,11,36,32,30,26,20,14,12,6,2,0,73,73,73,73,73,73,73,73,73,73 # 73 (Collatz next is 55)
37,1,6,1101,100101,1,2,2,4,11,3,18,14,8,6,0,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37 # oc(73+1)

9,2,6,100,1001,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 # oc(37-1)
37,,6,1101,100101,1,2,2,4,11,3,18,14,8,6,0,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37 # 37 (Collatz next is 7)
19,1,6,201,10011,1,4,5,8,6,2,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19 # oc(37+1)

9,1,6,100,1001,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 # oc(19-1)
19,,6,201,10011,1,4,5,8,6,2,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19 # 19 (Collatz next is 29)
5,2,1,12,101,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5 # oc(19+1)

1,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 # oc(9-1)
9,,6,100,1001,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 # 9 (Collatz next is 7)
5,1,1,12,101,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5 # oc(9+1)

1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 # oc(5-1)
5,,1,12,101,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5 # 5 (Collatz next is 1)
3,1,2,10,11,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 # oc(5+1)

1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 # oc(3-1)
3,,2,10,11,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 # 3 (Collatz next is 5)
1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 # oc(3+1)

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 # oc(1-1)
1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 # 1
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 # oc(1+1)


# Root path 599 -> 299(75) -> 149(75) -> 75(37) -> 37(19) -> 19(9) -> 9(5) -> 5(1) -> 3(1) -> 1(1) -> 1

299,1,42,102002,100101011,2,4,5,2,0,10,14,0,9,20,3,12,41,17,34,4,55,31,15,7,62,50,32,8,97,93,85,81,73,45 # oc(599-1)
599,,42,211012,1001010111,2,4,4,5,1,4,10,1,19,10,7,25,40,35,16,9,50,63,31,15,46,18,65,17,94,84,64,54,34,91 # 599 (Collatz next is 899)
75,3,3,2210,1001011,0,0,5,9,10,7,18,6,17,13,1,34,32,28,22,16,14,8,4,2,75,75,75,75,75,75,75,75,75,75 # oc(599+1)

149,1,6,12112,10010101,2,4,2,6,6,13,16,11,4,25,1,26,20,8,43,31,27,15,7,3,70,66,60,52,48,46,42,40,36,22 # oc(299-1)
299,,42,102002,100101011,2,4,5,2,0,10,14,0,9,20,3,12,41,17,34,4,55,31,15,7,62,50,32,8,97,93,85,81,73,45 # 299 (Collatz next is 449)
75,2,3,2210,1001011,0,0,5,9,10,7,18,6,17,13,1,34,32,28,22,16,14,8,4,2,75,75,75,75,75,75,75,75,75,75 # oc(299+1)

37,2,6,1101,100101,1,2,2,4,11,3,18,14,8,6,0,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37 # oc(149-1)
149,,6,12112,10010101,2,4,2,6,6,13,16,11,4,25,1,26,20,8,43,31,27,15,7,3,70,66,60,52,48,46,42,40,36,22 # 149 (Collatz next is 7)
75,1,3,2210,1001011,0,0,5,9,10,7,18,6,17,13,1,34,32,28,22,16,14,8,4,2,75,75,75,75,75,75,75,75,75,75 # oc(149+1)

37,1,6,1101,100101,1,2,2,4,11,3,18,14,8,6,0,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37 # oc(75-1)
75,,3,2210,1001011,0,0,5,9,10,7,18,6,17,13,1,34,32,28,22,16,14,8,4,2,75,75,75,75,75,75,75,75,75,75 # 75 (Collatz next is 113)
19,2,6,201,10011,1,4,5,8,6,2,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19 # oc(75+1)

9,2,6,100,1001,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 # oc(37-1)
37,,6,1101,100101,1,2,2,4,11,3,18,14,8,6,0,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37 # 37 (Collatz next is 7)
19,1,6,201,10011,1,4,5,8,6,2,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19 # oc(37+1)

9,1,6,100,1001,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 # oc(19-1)
19,,6,201,10011,1,4,5,8,6,2,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19 # 19 (Collatz next is 29)
5,2,1,12,101,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5 # oc(19+1)

1,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 # oc(9-1)
9,,6,100,1001,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 # 9 (Collatz next is 7)
5,1,1,12,101,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5 # oc(9+1)

1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 # oc(5-1)
5,,1,12,101,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5 # 5 (Collatz next is 1)
3,1,2,10,11,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 # oc(5+1)

1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 # oc(3-1)
3,,2,10,11,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 # 3 (Collatz next is 5)
1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 # oc(3+1)

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 # oc(1-1)
1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 # 1
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 # oc(1+1)


# Root path 9895 -> 4947(1237) -> 2473(1237) -> 1237(309) -> 619(309) -> 309(155) -> 155(77) -> 77(39) -> 39(19) -> 19(5) -> 9(5) -> 5(1) -> 3(1) -> 1(1) -> 1

4947,1,42,20210020,1001101010011,0,2,5,8,7,0,7,2,17,18,26,27,2,12,18,50,6,56,48,56,49,50,52,0,99,3,25,42,88,121 # oc(9895-1)
9895,,42,111120111,10011010100111,1,0,4,6,2,1,15,5,6,6,16,14,5,25,37,42,13,46,26,40,20,18,16,1,98,7,51,85,64,116 # 9895 (Collatz next is 14843)
1237,3,6,1200211,10011010101,1,2,5,5,2,13,2,18,19,28,16,7,33,15,18,57,17,31,30,69,52,75,80,73,25,1,60,38,107,94 # oc(9895+1)

2473,1,42,10101121,100110101001,1,3,2,9,3,8,3,12,8,24,31,13,22,29,35,54,33,61,59,64,24,66,70,48,49,1,12,75,100,60 # oc(4947-1)
4947,,42,20210020,1001101010011,0,2,5,8,7,0,7,2,17,18,26,27,2,12,18,50,6,56,48,56,49,50,52,0,99,3,25,42,88,121 # 4947 (Collatz next is 7421)
1237,2,6,1200211,10011010101,1,2,5,5,2,13,2,18,19,28,16,7,33,15,18,57,17,31,30,69,52,75,80,73,25,1,60,38,107,94 # oc(4947+1)

309,3,6,102110,100110101,0,4,1,1,10,3,5,10,19,30,13,22,8,27,44,14,4,41,25,17,72,60,42,18,6,0,95,91,83,55 # oc(2473-1)
2473,,42,10101121,100110101001,1,3,2,9,3,8,3,12,8,24,31,13,22,29,35,54,33,61,59,64,24,66,70,48,49,1,12,75,100,60 # 2473 (Collatz next is 1855)
1237,1,6,1200211,10011010101,1,2,5,5,2,13,2,18,19,28,16,7,33,15,18,57,17,31,30,69,52,75,80,73,25,1,60,38,107,94 # oc(2473+1)

309,2,6,102110,100110101,0,4,1,1,10,3,5,10,19,30,13,22,8,27,44,14,4,41,25,17,72,60,42,18,6,0,95,91,83,55 # oc(1237-1)
1237,,6,1200211,10011010101,1,2,5,5,2,13,2,18,19,28,16,7,33,15,18,57,17,31,30,69,52,75,80,73,25,1,60,38,107,94 # 1237 (Collatz next is 29)
619,1,47,211221,1001101011,1,4,3,3,8,7,11,21,10,30,27,4,17,8,36,29,9,16,51,35,66,38,85,37,13,1,84,74,54,111 # oc(1237+1)

309,1,6,102110,100110101,0,4,1,1,10,3,5,10,19,30,13,22,8,27,44,14,4,41,25,17,72,60,42,18,6,0,95,91,83,55 # oc(619-1)
619,,47,211221,1001101011,1,4,3,3,8,7,11,21,10,30,27,4,17,8,36,29,9,16,51,35,66,38,85,37,13,1,84,74,54,111 # 619 (Collatz next is 929)
155,2,30,12202,10011011,2,0,1,1,12,2,3,17,10,0,7,32,26,14,49,37,33,21,13,9,76,72,66,58,54,52,48,46,42,28 # oc(619+1)

77,2,6,2212,1001101,2,2,0,0,12,9,1,8,19,15,3,36,34,30,24,18,16,10,6,4,77,77,77,77,77,77,77,77,77,77 # oc(309-1)
309,,6,102110,100110101,0,4,1,1,10,3,5,10,19,30,13,22,8,27,44,14,4,41,25,17,72,60,42,18,6,0,95,91,83,55 # 309 (Collatz next is 29)
155,1,30,12202,10011011,2,0,1,1,12,2,3,17,10,0,7,32,26,14,49,37,33,21,13,9,76,72,66,58,54,52,48,46,42,28 # oc(309+1)

77,1,6,2212,1001101,2,2,0,0,12,9,1,8,19,15,3,36,34,30,24,18,16,10,6,4,77,77,77,77,77,77,77,77,77,77 # oc(155-1)
155,,30,12202,10011011,2,0,1,1,12,2,3,17,10,0,7,32,26,14,49,37,33,21,13,9,76,72,66,58,54,52,48,46,42,28 # 155 (Collatz next is 233)
39,2,11,1110,100111,0,4,4,6,0,5,1,16,10,8,2,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39 # oc(155+1)

19,2,6,201,10011,1,4,5,8,6,2,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19 # oc(77-1)
77,,6,2212,1001101,2,2,0,0,12,9,1,8,19,15,3,36,34,30,24,18,16,10,6,4,77,77,77,77,77,77,77,77,77,77 # 77 (Collatz next is 29)
39,1,11,1110,100111,0,4,4,6,0,5,1,16,10,8,2,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39 # oc(77+1)

19,1,6,201,10011,1,4,5,8,6,2,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19 # oc(39-1)
39,,11,1110,100111,0,4,4,6,0,5,1,16,10,8,2,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39 # 39 (Collatz next is 59)
5,3,1,12,101,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5 # oc(39+1)

9,1,6,100,1001,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 # oc(19-1)
19,,6,201,10011,1,4,5,8,6,2,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19 # 19 (Collatz next is 29)
5,2,1,12,101,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5 # oc(19+1)

1,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 # oc(9-1)
9,,6,100,1001,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 # 9 (Collatz next is 7)
5,1,1,12,101,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5 # oc(9+1)

1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 # oc(5-1)
5,,1,12,101,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5 # 5 (Collatz next is 1)
3,1,2,10,11,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 # oc(5+1)

1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 # oc(3-1)
3,,2,10,11,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 # 3 (Collatz next is 5)
1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 # oc(3+1)

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 # oc(1-1)
1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 # 1
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 # oc(1+1)


