# Orbit traces of odd numbers under 1000

Here is the same table printed 3 times:
- in order of ascending n 
- sorted by stopping distance, to group numbers with similar fates 
- sorted by orbit (backwards), to show where they merge

Many adjacent odd numbers have the same stopping time, but diverge for (usually 3 or 6) steps before joining. The intermediate steps are often strongly correlated (part of a chain of almost-doublings).

# `n`          a positive odd integer
# `base2`      the binary representation of n
# `base3`      the ternary representation of n
# `factors`    the prime factors of n
# `dist`       the number of odd-to-odd Collatz for n steps to reach 1
# `nl`         the odd core valuation of the even number to the left of odd n
# `ocldist`    the Collatz odd-to-odd distance of the odd core of n-1
# `nr`         the odd core valuation of the even number to the right of odd n
# `ocrdist`    the Collatz odd-to-odd distance of the odd core of n+1
# `orbit_back` the remaining orbit of n under the odd-to-odd Collatz map, bacwards from 1

n,   base2,      base3,   factors,   dist, nl,      ocldist, nr,      ocrdist, orbit_back
65,  1000001,    2102,    {5 13},    8,    (1 6),   0,       (33 1),  8,       1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65
67,  1000011,    2111,    {67},      8,    (33 1),  8,       (17 2),  3,       1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 67
69,  1000101,    2120,    {3 23},    3,    (17 2),  3,       (35 1),  3,       1<- 5<- 13<- 69
71,  1000111,    2122,    {71},      37,   (35 1),  3,       (9 3),   6,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71
73,  1001001,    2201,    {73},      42,   (9 3),   6,       (37 1),  6,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 125<- 83<- 55<- 73
75,  1001011,    2210,    {3 5},     3,    (37 1),  6,       (19 2),  6,       1<- 85<- 113<- 75
77,  1001101,    2212,    {7 11},    6,    (19 2),  6,       (39 1),  11,      1<- 5<- 13<- 17<- 11<- 29<- 77
79,  1001111,    2221,    {79},      11,   (39 1),  11,      (5 4),   1,       1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 269<- 179<- 119<- 79
81,  1010001,    10000,   {3},       6,    (5 4),   1,       (41 1),  40,      1<- 5<- 53<- 35<- 23<- 61<- 81
83,  1010011,    10002,   {83},      40,   (41 1),  40,      (21 2),  1,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 125<- 83
85,  1010101,    10011,   {5 17},    1,    (21 2),  1,       (43 1),  9,       1<- 85
