# Orbit traces of odd numbers under 1000

Here is the same table printed 3 times:
- in order of ascending n 
- sorted by stopping distance, to group numbers with similar fates 
- sorted by orbit (backwards), to show where they merge

Many adjacent odd numbers have the same stopping time, but diverge for (usually 3 or 6) steps before joining. The intermediate steps are often strongly correlated (part of a chain of almost-doublings).

# `n`          a positive odd integer
# `base2`      the binary representation of n
# `base3`      the ternary representation of n
# `factors`    the prime factors of n
# `dist`       the number of odd-to-odd Collatz for n steps to reach 1
# `nl`         the odd core valuation of the even number to the left of odd n
# `ocldist`    the Collatz odd-to-odd distance of the odd core of n-1
# `nr`         the odd core valuation of the even number to the right of odd n
# `ocrdist`    the Collatz odd-to-odd distance of the odd core of n+1
# `orbit_back` the remaining orbit of n under the odd-to-odd Collatz map, bacwards from 1

n,   base2,      base3,   factors,   dist, nl,      ocldist, nr,      ocrdist, orbit_back
625, 1001110001, 212011,  {5},       6,    (39 4),  11,      (313 1), 47,      1<- 5<- 13<- 17<- 11<- 469<- 625
627, 1001110011, 212020,  {3 11 19}, 47,   (313 1), 47,      (157 2), 11,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 485<- 323<- 215<- 143<- 95<- 253<- 337<- 449<- 299<- 199<- 265<- 353<- 941<- 627
629, 1001110101, 212022,  {17 37},   11,   (157 2), 11,      (315 1), 11,      1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 67<- 89<- 59<- 629
631, 1001110111, 212101,  {631},     11,   (315 1), 11,      (79 3),  11,      1<- 5<- 13<- 17<- 11<- 29<- 19<- 25<- 533<- 1421<- 947<- 631
633, 1001111001, 212110,  {3 211},   8,    (79 3),  11,      (317 1), 11,      1<- 85<- 113<- 1205<- 803<- 535<- 713<- 475<- 633
635, 1001111011, 212112,  {5 127},   8,    (317 1), 11,      (159 2), 18,      1<- 341<- 227<- 151<- 805<- 1073<- 715<- 953<- 635
637, 1001111101, 212121,  {7 13},    18,   (159 2), 18,      (319 1), 18,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 607<- 809<- 539<- 359<- 239<- 637
639, 1001111111, 212200,  {3 71},    47,   (319 1), 18,      (5 7),   1,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 365<- 3893<- 10381<- 13841<- 9227<- 6151<- 8201<- 5467<- 7289<- 4859<- 3239<- 2159<- 1439<- 959<- 639
641, 1010000001, 212202,  {641},     16,   (5 7),   1,       (321 1), 6,       1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 43<- 917<- 611<- 407<- 271<- 361<- 481<- 641
643, 1010000011, 212211,  {643},     6,    (321 1), 6,       (161 2), 35,      1<- 5<- 13<- 17<- 181<- 965<- 643
645, 1010000101, 212220,  {3 5 43},  35,   (161 2), 35,      (323 1), 35,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 645
647, 1010000111, 212222,  {647},     11,   (323 1), 35,      (81 3),  6,       1<- 5<- 13<- 17<- 11<- 29<- 77<- 205<- 1093<- 1457<- 971<- 647
649, 1010001001, 220001,  {11 59},   52,   (81 3),  6,       (325 1), 6,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 31<- 661<- 881<- 587<- 1565<- 1043<- 695<- 1853<- 1235<- 823<- 1097<- 731<- 487<- 649
651, 1010001011, 220010,  {3 7 31},  35,   (325 1), 6,       (163 2), 6,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 413<- 275<- 733<- 977<- 651
653, 1010001101, 220012,  {653},     6,    (163 2), 6,       (327 1), 52,      1<- 5<- 53<- 35<- 23<- 245<- 653
655, 1010001111, 220021,  {5 131},   52,   (327 1), 52,      (41 4),  40,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 125<- 1333<- 1777<- 2369<- 1579<- 2105<- 1403<- 935<- 623<- 415<- 2213<- 1475<- 983<- 655
657, 1010010001, 220100,  {3 73},    16,   (41 4),  40,      (329 1), 16,      1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 67<- 89<- 59<- 157<- 209<- 139<- 185<- 493<- 657
659, 1010010011, 220102,  {659},     16,   (329 1), 16,      (165 2), 40,      1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 67<- 89<- 59<- 157<- 209<- 557<- 371<- 989<- 659
661, 1010010101, 220111,  {661},     40,   (165 2), 40,      (331 1), 6,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 31<- 661
663, 1010010111, 220120,  {3 13 17}, 6,    (331 1), 6,       (83 3),  40,      1<- 5<- 53<- 35<- 1493<- 995<- 663
665, 1010011001, 220122,  {5 7 19},  16,   (83 3),  40,      (333 1), 40,      1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 269<- 179<- 119<- 317<- 211<- 281<- 749<- 499<- 665
667, 1010011011, 220201,  {23 29},   52,   (333 1), 40,      (167 2), 23,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 485<- 323<- 215<- 143<- 6101<- 4067<- 2711<- 7229<- 4819<- 6425<- 4283<- 2855<- 1903<- 2537<- 1691<- 1127<- 751<- 1001<- 667
669, 1010011101, 220210,  {3 223},   23,   (167 2), 23,      (335 1), 23,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 669
671, 1010011111, 220212,  {11 61},   33,   (335 1), 23,      (21 5),  1,       1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 173<- 7381<- 9841<- 13121<- 8747<- 5831<- 3887<- 2591<- 1727<- 1151<- 767<- 2045<- 5453<- 3635<- 2423<- 1615<- 2153<- 5741<- 3827<- 2551<- 3401<- 2267<- 1511<- 1007<- 671
673, 1010100001, 220221,  {673},     21,   (21 5),  1,       (337 1), 40,      1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 43<- 917<- 611<- 407<- 271<- 361<- 481<- 641<- 427<- 569<- 379<- 505<- 673
675, 1010100011, 221000,  {3 5},     40,   (337 1), 40,      (169 2), 16,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 485<- 323<- 215<- 143<- 95<- 1013<- 675
677, 1010100101, 221002,  {677},     16,   (169 2), 16,      (339 1), 16,      1<- 5<- 13<- 17<- 11<- 29<- 77<- 205<- 1093<- 1457<- 971<- 647<- 431<- 287<- 191<- 127<- 677
679, 1010100111, 221011,  {7 97},    21,   (339 1), 16,      (85 3),  1,       1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 173<- 461<- 307<- 409<- 545<- 1453<- 1937<- 1291<- 1721<- 1147<- 1529<- 1019<- 679
681, 1010101001, 221020,  {3 227},   21,   (85 3),  1,       (341 1), 1,       1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 173<- 7381<- 9841<- 13121<- 8747<- 5831<- 3887<- 2591<- 1727<- 1151<- 767<- 511<- 681
683, 1010101011, 221022,  {683},     11,   (341 1), 1,       (171 2), 45,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 769<- 1025<- 683
685, 1010101101, 221101,  {5 137},   45,   (171 2), 45,      (343 1), 45,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 31<- 41<- 109<- 145<- 193<- 257<- 685
687, 1010101111, 221110,  {3 229},   11,   (343 1), 45,      (43 4),  9,       1<- 5<- 53<- 35<- 23<- 245<- 653<- 1741<- 2321<- 1547<- 1031<- 687
689, 1010110001, 221112,  {13 53},   45,   (43 4),  9,       (345 1), 45,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 125<- 83<- 55<- 73<- 97<- 517<- 689
691, 1010110011, 221121,  {691},     45,   (345 1), 45,      (173 2), 9,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 125<- 83<- 55<- 73<- 389<- 1037<- 691
693, 1010110101, 221200,  {3 7 11},  9,    (173 2), 9,       (347 1), 45,      1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 693
695, 1010110111, 221202,  {5 139},   45,   (347 1), 45,      (87 3),  9,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 31<- 661<- 881<- 587<- 1565<- 1043<- 695
697, 1010111001, 221211,  {17 41},   45,   (87 3),  9,       (349 1), 9,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 125<- 83<- 221<- 589<- 785<- 523<- 697
699, 1010111011, 221220,  {3 233},   21,   (349 1), 9,       (175 2), 28,      1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 269<- 179<- 119<- 317<- 211<- 281<- 749<- 499<- 665<- 443<- 1181<- 787<- 1049<- 699
701, 1010111101, 221222,  {701},     28,   (175 2), 28,      (351 1), 28,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 701
703, 1010111111, 222001,  {19 37},   62,   (351 1), 28,      (11 6),  4,       1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 67<- 89<- 59<- 157<- 3349<- 4465<- 23813<- 15875<- 10583<- 7055<- 4703<- 50165<- 33443<- 22295<- 14863<- 19817<- 13211<- 8807<- 23485<- 31313<- 83501<- 55667<- 37111<- 49481<- 32987<- 21991<- 29321<- 19547<- 13031<- 8687<- 5791<- 7721<- 5147<- 3431<- 2287<- 12197<- 32525<- 21683<- 14455<- 19273<- 25697<- 17131<- 22841<- 15227<- 10151<- 6767<- 4511<- 3007<- 4009<- 5345<- 3563<- 2375<- 1583<- 1055<- 703
705, 1011000001, 222010,  {3 5 47},  9,    (11 6),  4,       (353 1), 45,      1<- 5<- 13<- 17<- 11<- 7<- 149<- 397<- 529<- 705
707, 1011000011, 222012,  {7 101},   45,   (353 1), 45,      (177 2), 9,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 485<- 323<- 215<- 143<- 95<- 253<- 337<- 449<- 299<- 199<- 1061<- 707
709, 1011000101, 222021,  {709},     9,    (177 2), 9,       (355 1), 9,       1<- 5<- 13<- 17<- 11<- 29<- 19<- 25<- 133<- 709
711, 1011000111, 222100,  {3 79},    21,   (355 1), 9,       (89 3),  9,       1<- 5<- 13<- 17<- 11<- 29<- 77<- 205<- 1093<- 1457<- 971<- 647<- 431<- 287<- 191<- 127<- 169<- 901<- 1201<- 1601<- 1067<- 711
713, 1011001001, 222102,  {23 31},   6,    (89 3),  9,       (357 1), 9,       1<- 85<- 113<- 1205<- 803<- 535<- 713
715, 1011001011, 222111,  {5 11 13}, 6,    (357 1), 9,       (179 2), 9,       1<- 341<- 227<- 151<- 805<- 1073<- 715
717, 1011001101, 222120,  {3 239},   9,    (179 2), 9,       (359 1), 16,      1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 269<- 717
719, 1011001111, 222122,  {719},     16,   (359 1), 16,      (45 4),  4,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719
721, 1011010001, 222201,  {7 103},   14,   (45 4),  4,       (361 1), 14,      1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 43<- 229<- 305<- 203<- 541<- 721
723, 1011010011, 222210,  {3 241},   14,   (361 1), 14,      (181 2), 4,       1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 43<- 917<- 611<- 407<- 1085<- 723
725, 1011010101, 222212,  {5 29},    4,    (181 2), 4,       (363 1), 14,      1<- 5<- 13<- 17<- 725
727, 1011010111, 222221,  {727},     14,   (363 1), 14,      (91 3),  33,      1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 173<- 461<- 307<- 1637<- 1091<- 727
729, 1011011001, 1000000, {3},       9,    (91 3),  33,      (365 1), 33,      1<- 5<- 13<- 17<- 11<- 29<- 77<- 821<- 547<- 729
731, 1011011011, 1000002, {17 43},   50,   (365 1), 33,      (183 2), 33,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 31<- 661<- 881<- 587<- 1565<- 1043<- 695<- 1853<- 1235<- 823<- 1097<- 731
733, 1011011101, 1000011, {733},     33,   (183 2), 33,      (367 1), 14,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 413<- 275<- 733
735, 1011011111, 1000020, {3 5 7},   14,   (367 1), 14,      (23 5),  4,       1<- 5<- 13<- 17<- 11<- 7<- 37<- 197<- 131<- 1397<- 3725<- 2483<- 1655<- 1103<- 735
737, 1011100001, 1000022, {11 67},   50,   (23 5),  4,       (369 1), 4,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 125<- 1333<- 1777<- 2369<- 1579<- 2105<- 1403<- 935<- 623<- 415<- 553<- 737
739, 1011100011, 1000101, {739},     4,    (369 1), 4,       (185 2), 14,      1<- 5<- 13<- 1109<- 739
741, 1011100101, 1000110, {3 13 19}, 14,   (185 2), 14,      (371 1), 14,      1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 67<- 89<- 59<- 157<- 209<- 139<- 741
743, 1011100111, 1000112, {743},     33,   (371 1), 14,      (93 3),  4,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 607<- 809<- 539<- 359<- 239<- 637<- 3397<- 4529<- 3019<- 4025<- 2683<- 3577<- 4769<- 3179<- 2119<- 2825<- 1883<- 1255<- 1673<- 1115<- 743
745, 1011101001, 1000121, {5 149},   31,   (93 3),  4,       (373 1), 4,       1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 43<- 917<- 611<- 407<- 271<- 361<- 481<- 641<- 427<- 569<- 379<- 505<- 2693<- 1795<- 2393<- 1595<- 1063<- 1417<- 1889<- 1259<- 839<- 559<- 745
747, 1011101011, 1000200, {3 83},    14,   (373 1), 4,       (187 2), 14,      1<- 5<- 13<- 17<- 11<- 29<- 19<- 25<- 533<- 1421<- 947<- 631<- 841<- 1121<- 747
749, 1011101101, 1000202, {7 107},   14,   (187 2), 14,      (375 1), 14,      1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 269<- 179<- 119<- 317<- 211<- 281<- 749
751, 1011101111, 1000211, {751},     50,   (375 1), 14,      (47 4),  38,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 485<- 323<- 215<- 143<- 6101<- 4067<- 2711<- 7229<- 4819<- 6425<- 4283<- 2855<- 1903<- 2537<- 1691<- 1127<- 751
753, 1011110001, 1000220, {3 251},   4,    (47 4),  38,      (377 1), 21,      1<- 5<- 53<- 565<- 753
755, 1011110011, 1000222, {5 151},   21,   (377 1), 21,      (189 2), 38,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 1133<- 755
757, 1011110101, 1001001, {757},     38,   (189 2), 38,      (379 1), 19,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 757
759, 1011110111, 1001010, {3 11 23}, 19,   (379 1), 19,      (95 3),  38,      1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 43<- 917<- 611<- 407<- 271<- 361<- 481<- 641<- 1709<- 1139<- 759
761, 1011111001, 1001012, {761},     9,    (95 3),  38,      (381 1), 38,      1<- 5<- 13<- 17<- 181<- 965<- 643<- 857<- 571<- 761
763, 1011111011, 1001021, {7 109},   55,   (381 1), 38,      (191 2), 14,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 125<- 83<- 55<- 73<- 97<- 2069<- 1379<- 919<- 1225<- 1633<- 2177<- 1451<- 967<- 1289<- 859<- 1145<- 763
765, 1011111101, 1001100, {3 5 17},  14,   (191 2), 14,      (383 1), 14,      1<- 5<- 13<- 17<- 11<- 29<- 77<- 205<- 1093<- 1457<- 971<- 647<- 431<- 287<- 765
767, 1011111111, 1001102, {13 59},   19,   (383 1), 14,      (3 8),   2,       1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 173<- 7381<- 9841<- 13121<- 8747<- 5831<- 3887<- 2591<- 1727<- 1151<- 767
769, 1100000001, 1001111, {769},     9,    (3 8),   2,       (385 1), 9,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 769
771, 1100000011, 1001120, {3 257},   9,    (385 1), 9,       (193 2), 43,      1<- 5<- 53<- 35<- 23<- 245<- 163<- 217<- 1157<- 771
773, 1100000101, 1001122, {773},     43,   (193 2), 43,      (387 1), 43,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 31<- 41<- 109<- 145<- 773
775, 1100000111, 1001201, {5 31},    55,   (387 1), 43,      (97 3),  43,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 125<- 1333<- 1777<- 2369<- 1579<- 2105<- 1403<- 935<- 623<- 415<- 553<- 737<- 491<- 1309<- 1745<- 1163<- 775
777, 1100001001, 1001210, {3 7 37},  9,    (97 3),  43,      (389 1), 43,      1<- 5<- 13<- 1109<- 739<- 985<- 1313<- 875<- 583<- 777
779, 1100001011, 1001212, {19 41},   19,   (389 1), 43,      (195 2), 43,      1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 67<- 89<- 59<- 157<- 209<- 557<- 371<- 247<- 329<- 877<- 1169<- 779
781, 1100001101, 1001221, {11 71},   43,   (195 2), 43,      (391 1), 43,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 125<- 83<- 55<- 293<- 781
783, 1100001111, 1002000, {3 29},    43,   (391 1), 43,      (49 4),  7,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 31<- 2645<- 1763<- 1175<- 783
785, 1100010001, 1002002, {5 157},   43,   (49 4),  7,       (393 1), 19,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 125<- 83<- 221<- 589<- 785
787, 1100010011, 1002011, {787},     19,   (393 1), 19,      (197 2), 7,       1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 269<- 179<- 119<- 317<- 211<- 281<- 749<- 499<- 665<- 443<- 1181<- 787
789, 1100010101, 1002020, {3 263},   7,    (197 2), 7,       (395 1), 26,      1<- 5<- 13<- 17<- 11<- 7<- 37<- 789
791, 1100010111, 1002022, {7 113},   26,   (395 1), 26,      (99 3),  7,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 1781<- 1187<- 791
793, 1100011001, 1002101, {13 61},   26,   (99 3),  7,       (397 1), 7,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 1133<- 755<- 503<- 335<- 893<- 595<- 793
795, 1100011011, 1002110, {3 5 53},  36,   (397 1), 7,       (199 2), 43,      1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 173<- 7381<- 9841<- 13121<- 8747<- 5831<- 3887<- 2591<- 1727<- 1151<- 767<- 2045<- 5453<- 3635<- 2423<- 1615<- 2153<- 5741<- 3827<- 10205<- 6803<- 4535<- 3023<- 2015<- 1343<- 895<- 1193<- 795
797, 1100011101, 1002112, {797},     43,   (199 2), 43,      (399 1), 43,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 485<- 323<- 215<- 143<- 95<- 253<- 337<- 449<- 299<- 797
799, 1100011111, 1002121, {17 47},   24,   (399 1), 43,      (25 5),  7,       1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 43<- 917<- 611<- 407<- 271<- 361<- 481<- 641<- 1709<- 1139<- 3037<- 4049<- 2699<- 1799<- 1199<- 799
801, 1100100001, 1002200, {3 89},    19,   (25 5),  7,       (401 1), 4,       1<- 5<- 13<- 17<- 11<- 29<- 77<- 205<- 1093<- 1457<- 971<- 647<- 431<- 287<- 191<- 127<- 677<- 451<- 601<- 801
803, 1100100011, 1002202, {11 73},   4,    (401 1), 4,       (201 2), 4,       1<- 85<- 113<- 1205<- 803
805, 1100100101, 1002211, {5 7 23},  4,    (201 2), 4,       (403 1), 4,       1<- 341<- 227<- 151<- 805
807, 1100100111, 1002220, {3 269},   24,   (403 1), 4,       (101 3), 7,       1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 173<- 7381<- 9841<- 13121<- 8747<- 5831<- 3887<- 2591<- 1727<- 1151<- 767<- 2045<- 1363<- 1817<- 1211<- 807
809, 1100101001, 1002222, {809},     14,   (101 3), 7,       (405 1), 7,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 607<- 809
