n,k,oc,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71,m73
2928,4,183,0,3,1,7,1,13,12,22,9,28,35,19,11,42,24,6,0,49,41,37
2929,0,2929,1,4,3,3,4,5,3,8,0,15,6,18,5,15,14,38,1,48,18,9
2930,1,1465,1,0,2,2,9,3,2,16,15,8,22,30,3,8,34,49,1,58,45,5
2931,0,2931,0,1,5,5,6,7,5,10,2,17,8,20,7,17,16,40,3,50,20,11
2932,2,733,1,3,5,7,5,2,11,20,8,20,30,36,2,28,44,25,1,63,23,3
2933,0,2933,2,3,0,7,8,9,7,12,4,19,10,22,9,19,18,42,5,52,22,13
2934,1,1467,0,2,4,4,11,5,4,18,17,10,24,32,5,10,36,51,3,60,47,7
2935,0,2935,1,0,2,9,10,11,9,14,6,21,12,24,11,21,20,44,7,54,24,15
2936,3,367,1,2,3,4,3,10,6,22,19,26,34,39,23,38,49,13,1,32,12,2
2937,0,2937,0,2,4,0,12,13,11,16,8,23,14,26,13,23,22,46,9,56,26,17
2938,1,1469,2,4,6,6,0,7,6,20,19,12,26,34,7,12,38,53,5,62,49,9
2939,0,2939,2,4,6,2,1,15,13,18,10,25,16,28,15,25,24,48,11,58,28,19
2940,2,735,0,0,0,9,7,4,13,22,10,22,32,38,4,30,46,27,3,65,25,5
2941,0,2941,1,1,1,4,3,0,15,20,12,27,18,30,17,27,26,50,13,60,30,21
2942,1,1471,1,1,1,8,2,9,8,22,21,14,28,36,9,14,40,55,7,64,51,11
2943,0,2943,0,3,3,6,5,2,17,22,14,29,20,32,19,29,28,52,15,62,32,23
2944,7,23,2,3,2,1,10,6,4,0,23,23,23,23,23,23,23,23,23,23,23,23
2945,0,2945,2,0,5,8,7,4,0,1,16,0,22,34,21,31,30,54,17,64,34,25
2946,1,1473,0,3,3,10,4,11,10,1,23,16,30,38,11,16,42,57,9,66,53,13
2947,0,2947,1,2,0,10,9,6,2,3,18,2,24,36,23,33,32,56,19,66,36,27
2948,2,737,2,2,2,0,9,6,15,1,12,24,34,40,6,32,48,29,5,0,27,7
2949,0,2949,0,4,2,1,11,8,4,5,20,4,26,38,25,35,34,58,21,1,38,29
2950,1,1475,2,0,5,1,6,13,12,3,25,18,32,40,13,18,44,0,11,1,55,15
2951,0,2951,2,1,4,3,0,10,6,7,22,6,28,40,27,37,36,1,23,3,40,31
2952,3,369,0,4,5,6,5,12,8,1,21,28,36,0,25,40,51,15,3,34,14,4
2953,0,2953,1,3,6,5,2,12,8,9,24,8,30,1,29,39,38,3,25,5,42,33
2954,1,1477,1,2,0,3,8,15,14,5,27,20,34,1,15,20,46,2,13,3,57,17
2955,0,2955,0,0,1,7,4,14,10,11,26,10,32,3,31,41,40,5,27,7,44,35
2956,2,739,1,4,4,2,11,8,17,3,14,26,36,1,8,34,50,31,7,2,29,9
2957,0,2957,2,2,3,9,6,16,12,13,28,12,34,5,33,43,42,7,29,9,46,37
2958,1,1479,0,4,2,5,10,0,16,7,0,22,36,3,17,22,48,4,15,5,59,19
2959,0,2959,1,4,5,0,8,1,14,15,1,14,36,7,35,45,44,9,31,11,48,39
2960,4,185,2,0,3,9,3,15,14,1,11,30,0,21,13,44,26,8,2,51,43,39
2961,0,2961,0,1,0,2,10,3,16,17,3,16,1,9,37,0,46,11,33,13,50,41
2962,1,1481,2,1,4,7,12,2,18,9,2,24,1,5,19,24,50,6,17,7,61,21
2963,0,2963,2,3,2,4,12,5,18,19,5,18,3,11,39,2,48,13,35,15,52,43
2964,2,741,0,1,6,4,0,10,0,5,16,28,1,3,10,36,52,33,9,4,31,11
2965,0,2965,1,0,4,6,1,7,1,21,7,20,5,13,41,4,50,15,37,17,54,45
2966,1,1483,1,3,6,9,1,4,1,11,4,26,3,7,21,26,52,8,19,9,63,23
2967,0,2967,0,2,6,8,3,9,3,0,9,22,7,15,0,6,52,17,39,19,56,47
2968,3,371,2,1,0,8,7,14,10,3,23,30,1,2,27,42,0,17,5,36,16,6
2969,0,2969,2,4,1,10,5,11,5,2,11,24,9,17,2,8,1,19,41,21,58,49
2970,1,1485,0,0,1,0,3,6,3,13,6,28,5,9,23,28,1,10,21,11,65,25
2971,0,2971,1,1,3,1,7,13,7,4,13,26,11,19,4,10,3,21,43,23,60,51
2972,2,743,2,3,1,6,2,12,2,7,18,30,3,5,12,38,1,35,11,6,33,13
2973,0,2973,0,3,5,3,9,15,9,6,15,28,13,21,6,12,5,23,45,25,62,53
2974,1,1487,2,2,3,2,5,8,5,15,8,30,7,11,25,30,3,12,23,13,67,27
2975,0,2975,2,0,0,5,11,0,11,8,17,30,15,23,8,14,7,25,47,27,64,55
2976,5,93,0,3,2,5,2,8,17,1,6,0,19,11,7,46,40,34,32,26,22,20
2977,0,2977,1,2,2,7,0,2,13,10,19,1,17,25,10,16,9,27,49,29,66,57
2978,1,1489,1,4,5,4,7,10,7,17,10,1,9,13,27,32,5,14,25,15,69,29
2979,0,2979,0,4,4,9,2,4,15,12,21,3,19,27,12,18,11,29,51,31,68,59
2980,2,745,1,0,3,8,4,14,4,9,20,1,5,7,14,40,3,37,13,8,35,15
2981,0,2981,2,1,6,0,4,6,17,14,23,5,21,29,14,20,13,31,53,33,70,61
2982,1,1491,0,1,0,6,9,12,9,19,12,3,11,15,29,34,7,16,27,17,0,31
2983,0,2983,1,3,1,2,6,8,0,16,25,7,23,31,16,22,15,33,55,35,1,63
2984,3,373,1,3,2,10,9,16,12,5,25,1,3,4,29,44,2,19,7,38,18,8
2985,0,2985,0,0,3,4,8,10,2,18,27,9,25,33,18,24,17,35,57,37,3,65
2986,1,1493,2,3,2,8,11,14,11,21,14,5,13,17,31,36,9,18,29,19,2,33
2987,0,2987,2,2,5,6,10,12,4,20,0,11,27,35,20,26,19,37,59,39,5,67
2988,2,747,0,2,5,10,6,16,6,11,22,3,7,9,16,42,5,39,15,10,37,17
2989,0,2989,1,4,0,8,12,14,6,22,2,13,29,37,22,28,21,39,0,41,7,69
2990,1,1495,1,0,4,10,0,16,13,0,16,7,15,19,33,38,11,20,31,21,4,35
2991,0,2991,0,1,2,10,1,16,8,1,4,15,31,39,24,30,23,41,2,43,9,71
2992,4,187,1,2,5,0,5,0,16,3,13,1,2,23,15,46,28,10,4,53,45,41
2993,0,2993,2,3,4,1,3,1,10,3,6,17,33,0,26,32,25,43,4,45,11,0
2994,1,1497,0,2,6,1,2,1,15,2,18,9,17,21,35,40,13,22,33,23,6,37
2995,0,2995,1,0,6,3,5,3,12,5,8,19,35,2,28,34,27,45,6,47,13,2
2996,2,749,2,4,0,1,8,1,8,13,24,5,9,11,18,44,7,41,17,12,39,19
2997,0,2997,0,2,1,5,7,5,14,7,10,21,0,4,30,36,29,47,8,49,15,4
2998,1,1499,2,4,1,3,4,3,17,4,20,11,19,23,37,42,15,24,35,25,8,39
2999,0,2999,2,4,3,7,9,7,16,9,12,23,2,6,32,38,31,49,10,51,17,6
3000,3,375,0,0,4,1,11,1,14,7,27,3,5,6,31,46,4,21,9,40,20,10
3001,0,3001,1,1,5,9,11,9,18,11,14,25,4,8,34,40,33,51,12,53,19,8
3002,1,1501,1,1,3,5,6,5,0,6,22,13,21,25,39,44,17,26,37,27,10,41
3003,0,3003,0,3,0,0,0,11,1,13,16,27,6,10,36,42,35,53,14,55,21,10
3004,2,751,1,1,2,3,10,3,10,15,26,7,11,13,20,46,9,43,19,14,41,21
3005,0,3005,2,0,2,2,2,13,3,15,18,29,8,12,38,44,37,55,16,57,23,12
3006,1,1503,0,3,5,7,8,7,2,8,24,15,23,27,41,46,19,28,39,29,12,43
3007,0,3007,1,2,4,4,4,15,5,17,20,0,10,14,40,46,39,57,18,59,25,14
3008,6,47,2,2,5,3,8,13,9,1,18,16,10,6,4,0,47,47,47,47,47,47
3009,0,3009,0,4,6,6,6,0,7,19,22,2,12,16,42,1,41,0,20,61,27,16
3010,1,1505,2,0,0,9,10,9,4,10,26,17,25,29,0,1,21,30,41,31,14,45
3011,0,3011,2,1,1,8,8,2,9,21,24,4,14,18,1,3,43,2,22,63,29,18
3012,2,753,0,3,4,5,12,5,12,17,28,9,13,15,22,1,11,45,21,16,43,23
3013,0,3013,1,3,3,10,10,4,11,0,26,6,16,20,3,5,45,4,24,65,31,20
3014,1,1507,1,2,2,0,12,11,6,12,28,19,27,31,2,3,23,32,43,33,16,47
3015,0,3015,0,0,5,1,12,6,13,2,28,8,18,22,5,7,47,6,26,0,33,22
3016,3,377,2,2,6,3,0,3,16,9,0,5,7,8,33,1,6,23,11,42,22,12
3017,0,3017,2,2,0,3,1,8,15,4,1,10,20,24,7,9,49,8,28,2,35,24
3018,1,1509,0,4,4,2,1,13,8,14,1,21,29,33,4,5,25,34,45,35,18,49
3019,0,3019,1,4,2,5,3,10,17,6,3,12,22,26,9,11,51,10,30,4,37,26
3020,2,755,2,0,6,7,1,7,14,19,1,11,15,17,24,3,13,47,23,18,45,25
3021,0,3021,0,1,4,7,5,12,0,8,5,14,24,28,11,13,0,12,32,6,39,28
3022,1,1511,2,1,6,4,3,15,10,16,3,23,31,35,6,7,27,36,47,37,20,51
3023,0,3023,2,3,6,9,7,14,2,10,7,16,26,30,13,15,2,14,34,8,41,30
3024,4,189,0,4,0,2,7,2,18,5,15,3,4,25,17,1,30,12,6,55,47,43
3025,0,3025,1,0,1,0,9,16,4,12,9,18,28,32,15,17,4,16,36,10,43,32
3026,1,1513,1,3,1,6,5,0,12,18,5,25,33,37,8,9,29,38,49,39,22,53
3027,0,3027,0,2,3,2,11,1,6,14,11,20,30,34,17,19,6,18,38,12,45,34
3028,2,757,1,2,1,9,3,9,16,21,3,13,17,19,26,5,15,49,25,20,47,27
3029,0,3029,2,4,5,4,0,3,8,16,13,22,32,36,19,21,8,20,40,14,47,36
3030,1,1515,0,0,3,8,7,2,14,20,7,27,35,39,10,11,31,40,51,41,24,55
3031,0,3031,1,1,0,6,2,5,10,18,15,24,34,38,21,23,10,22,42,16,49,38
3032,3,379,1,4,1,5,2,5,18,11,2,7,9,10,35,3,8,25,13,44,24,14
3033,0,3033,0,3,2,8,4,7,12,20,17,26,36,40,23,25,12,24,44,18,51,40
3034,1,1517,2,2,5,10,9,4,16,22,9,29,0,0,12,13,33,42,53,43,26,57
3035,0,3035,2,0,4,10,6,9,14,22,19,28,1,1,25,27,14,26,46,20,53,42
3036,2,759,0,4,3,0,5,11,18,0,5,15,19,21,28,7,17,51,27,22,49,29
3037,0,3037,1,2,6,1,8,11,16,1,21,30,3,3,27,29,16,28,48,22,55,44
3038,1,1519,1,4,0,1,11,6,18,1,11,0,2,2,14,15,35,44,55,45,28,59
3039,0,3039,0,4,1,3,10,13,18,3,23,1,5,5,29,31,18,30,50,24,57,46
3040,5,95,2,0,4,7,4,10,0,3,8,2,21,13,9,1,42,36,34,28,24,22
3041,0,3041,2,1,3,5,12,15,1,5,25,3,7,7,31,33,20,32,52,26,59,48
3042,1,1521,0,1,2,3,0,8,1,3,13,2,4,4,16,17,37,46,57,47,30,61
3043,0,3043,1,3,5,7,1,0,3,7,27,5,9,9,33,35,22,34,54,28,61,50
3044,2,761,2,1,5,2,7,13,1,2,7,17,21,23,30,9,19,53,29,24,51,31
3045,0,3045,0,0,0,9,3,2,5,9,0,7,11,11,35,37,24,36,56,30,63,52
3046,1,1523,2,3,4,5,2,10,3,5,15,4,6,6,18,19,39,48,59,49,32,63
3047,0,3047,2,2,2,0,5,4,7,11,2,9,13,13,37,39,26,38,58,32,65,54
3048,3,381,0,1,3,7,4,7,1,13,4,9,11,12,37,5,10,27,15,46,26,16
3049,0,3049,1,4,4,2,7,6,9,13,4,11,15,15,39,41,28,40,60,34,67,56
3050,1,1525,1,0,6,7,4,12,5,7,17,6,8,8,20,21,41,50,0,51,34,65
3051,0,3051,0,1,6,4,9,8,11,15,6,13,17,17,41,43,30,42,1,36,69,58
3052,2,763,1,3,0,4,9,15,3,4,9,19,23,25,32,11,21,55,31,26,53,33
3053,0,3053,2,3,1,6,11,10,13,17,8,15,19,19,0,45,32,44,3,38,0,60
3054,1,1527,0,2,1,9,6,14,7,9,19,8,10,10,22,23,43,52,2,53,36,67
3055,0,3055,1,0,3,8,0,12,15,19,10,17,21,21,2,0,34,46,5,40,2,62
3056,4,191,2,1,2,4,9,4,1,7,17,5,6,27,19,3,32,14,8,57,49,45
3057,0,3057,0,2,5,10,2,14,17,21,12,19,23,23,4,2,36,48,7,42,4,64
3058,1,1529,2,4,3,0,8,16,9,11,21,10,12,12,24,25,45,54,4,55,38,69
3059,0,3059,2,4,0,1,4,16,0,0,14,21,25,25,6,4,38,50,9,44,6,66
3060,2,765,0,0,2,6,11,0,5,6,11,21,25,27,34,13,23,57,33,28,55,35
3061,0,3061,1,1,2,3,6,1,2,2,16,23,27,27,8,6,40,52,11,46,8,68
3062,1,1531,1,1,5,2,10,1,11,13,23,12,14,14,26,27,47,56,6,57,40,71
3063,0,3063,0,3,4,5,8,3,4,4,18,25,29,29,10,8,42,54,13,48,10,70
3064,3,383,2,3,5,9,6,9,3,15,6,11,13,14,39,7,12,29,17,48,28,18
3065,0,3065,2,0,6,7,10,5,6,6,20,27,31,31,12,10,44,56,15,50,12,72
3066,1,1533,0,3,0,4,12,3,13,15,25,14,16,16,28,29,49,58,8,59,42,0
3067,0,3067,1,2,1,9,12,7,8,8,22,29,33,33,14,12,46,58,17,52,14,1
3068,2,767,2,2,4,8,0,2,7,8,13,23,27,29,36,15,25,0,35,30,57,37
3069,0,3069,0,4,3,0,1,9,10,10,24,0,35,35,16,14,48,1,19,54,16,3
3070,1,1535,2,0,2,6,1,5,15,17,27,16,18,18,30,31,51,1,10,61,44,2
3071,0,3071,2,1,5,2,3,11,12,12,26,2,0,37,18,16,50,3,21,56,18,5
3072,10,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3073,0,3073,1,3,0,4,5,13,14,14,28,4,2,39,20,18,52,5,23,58,20,7
3074,1,1537,1,2,4,8,3,7,17,19,0,18,20,20,32,33,0,3,12,63,46,4
3075,0,3075,0,0,2,6,7,15,16,16,1,6,4,0,22,20,1,7,25,60,22,9
3076,2,769,1,4,6,10,2,4,9,10,15,25,29,31,38,17,27,2,37,32,59,39
3077,0,3077,2,2,4,8,9,0,18,18,3,8,6,2,24,22,3,9,27,62,24,11
3078,1,1539,0,4,6,10,5,9,0,21,2,20,22,22,34,35,2,5,14,65,48,6
3079,0,3079,1,4,6,10,11,2,1,20,5,10,8,4,26,24,5,11,29,64,26,13
3080,3,385,1,0,0,0,8,11,5,17,8,13,15,16,41,9,14,31,19,50,30,20
3081,0,3081,0,1,1,1,0,4,3,22,7,12,10,6,28,26,7,13,31,66,28,15
3082,1,1541,2,1,1,1,7,11,2,0,4,22,24,24,36,37,4,7,16,0,50,8
3083,0,3083,2,3,3,3,2,6,5,1,9,14,12,8,30,28,9,15,33,1,30,17
3084,2,771,0,1,1,1,4,6,11,12,17,27,31,33,40,19,29,4,39,34,61,41
3085,0,3085,1,0,5,5,4,8,7,3,11,16,14,10,32,30,11,17,35,3,32,19
3086,1,1543,1,3,3,3,9,13,4,2,6,24,26,26,38,39,6,9,18,2,52,10
3087,0,3087,0,2,0,7,6,10,9,5,13,18,16,12,34,32,13,19,37,5,34,21
3088,4,193,1,3,4,6,11,6,3,9,19,7,8,29,21,5,34,16,10,59,51,47
3089,0,3089,2,4,2,9,8,12,11,7,15,20,18,14,36,34,15,21,39,7,36,23
3090,1,1545,0,0,5,5,11,15,6,4,8,26,28,28,40,41,8,11,20,4,54,12
3091,0,3091,1,1,4,0,10,14,13,9,17,22,20,16,38,36,17,23,41,9,38,25
3092,2,773,2,3,3,3,6,8,13,14,19,29,33,35,42,21,31,6,41,36,63,43
3093,0,3093,0,3,6,2,12,16,15,11,19,24,22,18,40,38,19,25,43,11,40,27
3094,1,1547,2,2,0,7,0,0,8,6,10,28,30,30,42,43,10,13,22,6,56,14
3095,0,3095,2,0,1,4,1,1,17,13,21,26,24,20,42,40,21,27,45,13,42,29
3096,3,387,0,2,2,2,10,13,7,19,10,15,17,18,0,11,16,33,21,52,32,22
3097,0,3097,1,2,3,6,3,3,0,15,23,28,26,22,1,42,23,29,47,15,44,31
3098,1,1549,1,4,2,9,2,2,10,8,12,30,32,32,1,45,12,15,24,8,58,16
3099,0,3099,0,4,5,8,5,5,2,17,25,30,28,24,3,44,25,31,49,17,46,33
3100,2,775,1,0,5,5,8,10,15,16,21,0,35,37,1,23,33,8,43,38,65,45
3101,0,3101,2,1,0,10,7,7,4,19,27,1,30,26,5,46,27,33,51,19,48,35
3102,1,1551,0,1,4,0,4,4,12,10,14,1,34,34,3,0,14,17,26,10,60,18
3103,0,3103,1,3,2,1,9,9,6,21,0,3,32,28,7,1,29,35,53,21,50,37
3104,5,97,1,2,6,9,6,12,2,5,10,4,23,15,11,3,44,38,36,30,26,24
3105,0,3105,0,0,4,3,11,11,8,0,2,5,34,30,9,3,31,37,55,23,52,39
3106,1,1553,2,3,6,2,6,6,14,12,16,3,36,36,5,2,16,19,28,12,62,20
3107,0,3107,2,2,6,5,0,13,10,2,4,7,36,32,11,5,33,39,57,25,54,41
3108,2,777,0,2,0,7,10,12,17,18,23,2,0,39,3,25,35,10,45,40,67,47
3109,0,3109,1,4,1,7,2,15,12,4,6,9,1,34,13,7,35,41,59,27,56,43
3110,1,1555,1,0,1,4,8,8,16,14,18,5,1,38,7,4,18,21,30,14,64,22
3111,0,3111,0,1,3,9,4,0,14,6,8,11,3,36,15,9,37,43,0,29,58,45
3112,3,389,2,4,4,4,12,15,9,21,12,17,19,20,2,13,18,35,23,54,34,24
3113,0,3113,2,3,5,0,6,2,16,8,10,13,5,38,17,11,39,45,2,31,60,47
3114,1,1557,0,2,3,6,10,10,18,16,20,7,3,40,9,6,20,23,32,16,66,24
3115,0,3115,1,0,0,2,8,4,18,10,12,15,7,40,19,13,41,47,4,33,62,49
3116,2,779,2,4,2,9,12,14,0,20,25,4,2,0,5,27,37,12,47,42,69,49
3117,0,3117,0,2,2,4,10,6,1,12,14,17,9,1,21,15,43,49,6,35,64,51
3118,1,1559,2,4,5,8,12,12,1,18,22,9,5,1,11,8,22,25,34,18,68,26
3119,0,3119,2,4,4,6,12,8,3,14,16,19,11,3,23,17,45,51,8,37,66,53
3120,4,195,0,0,6,8,0,8,5,11,21,9,10,31,23,7,36,18,12,61,53,49
3121,0,3121,1,1,6,8,1,10,5,16,18,21,13,5,25,19,47,53,10,39,68,55
3122,1,1561,1,1,0,10,1,14,3,20,24,11,7,3,13,10,24,27,36,20,70,28
3123,0,3123,0,3,1,10,3,12,7,18,20,23,15,7,27,21,49,55,12,41,70,57
3124,2,781,1,1,4,0,1,16,2,22,27,6,4,2,7,29,39,14,49,44,0,51
3125,0,3125,2,0,3,1,5,14,9,20,22,25,17,9,29,23,51,57,14,43,1,59
3126,1,1563,0,3,2,1,3,16,5,22,26,13,9,5,15,12,26,29,38,22,1,30
3127,0,3127,1,2,5,3,7,16,11,22,24,27,19,11,31,25,0,0,16,45,3,61
3128,3,391,1,1,6,6,1,0,11,0,14,19,21,22,4,15,20,37,25,56,36,26
3129,0,3129,0,4,0,5,9,1,13,1,26,29,21,13,33,27,2,2,18,47,5,63
3130,1,1565,2,0,4,3,5,1,7,1,28,15,11,7,17,14,28,31,40,24,3,32
3131,0,3131,2,1,2,7,11,3,15,3,28,0,23,15,35,29,4,4,20,49,7,65
3132,2,783,0,3,6,2,3,1,4,1,0,8,6,4,9,31,41,16,51,46,2,53
3133,0,3133,1,3,4,9,0,5,17,5,1,2,25,17,37,31,6,6,22,51,9,67
3134,1,1567,1,2,6,5,7,3,9,3,1,17,13,9,19,16,30,33,42,26,5,34
3135,0,3135,0,0,6,0,2,7,0,7,3,4,27,19,39,33,8,8,24,53,11,69
3136,6,49,1,4,0,5,10,15,11,3,20,18,12,8,6,2,49,49,49,49,49,49
3137,0,3137,2,2,1,2,4,9,2,9,5,6,29,21,41,35,10,10,26,55,13,71
3138,1,1569,0,4,1,7,9,5,11,5,3,19,15,11,21,18,32,35,44,28,7,36
3139,0,3139,1,4,3,4,6,11,4,11,7,8,31,23,0,37,12,12,28,57,15,0
3140,2,785,2,0,1,4,5,3,6,3,2,10,8,6,11,33,43,18,53,48,4,55
3141,0,3141,0,1,5,6,8,13,6,13,9,10,33,25,2,39,14,14,30,59,17,2
3142,1,1571,2,1,3,9,11,7,13,7,5,21,17,13,23,20,34,37,46,30,9,38
3143,0,3143,2,3,0,8,10,15,8,15,11,12,35,27,4,41,16,16,32,61,19,4
3144,3,393,0,3,1,8,3,2,13,2,16,21,23,24,6,17,22,39,27,58,38,28
3145,0,3145,1,0,2,10,12,0,10,17,13,14,0,29,6,43,18,18,34,63,21,6
3146,1,1573,1,3,5,0,0,9,15,9,7,23,19,15,25,22,36,39,48,32,11,40
3147,0,3147,0,2,4,1,1,2,12,19,15,16,2,31,8,45,20,20,36,65,23,8
3148,2,787,1,2,3,6,7,5,8,5,4,12,10,8,13,35,45,20,55,50,6,57
3149,0,3149,2,4,6,3,3,4,14,21,17,18,4,33,10,0,22,22,38,0,25,10
3150,1,1575,0,0,0,2,2,11,17,11,9,25,21,17,27,24,38,41,50,34,13,42
3151,0,3151,1,1,1,5,5,6,16,0,19,20,6,35,12,2,24,24,40,2,27,12
3152,4,197,2,2,1,10,2,10,7,13,23,11,12,33,25,9,38,20,14,63,55,51
3153,0,3153,0,3,3,7,7,8,18,2,21,22,8,37,14,4,26,26,42,4,29,14
3154,1,1577,2,2,2,4,4,13,0,13,11,27,23,19,29,26,40,43,52,36,15,44
3155,0,3155,2,0,5,9,9,10,1,4,23,24,10,39,16,6,28,28,44,6,31,16
3156,2,789,0,4,5,8,9,7,10,7,6,14,12,10,15,37,47,22,57,52,8,59
3157,0,3157,1,2,0,0,11,12,3,6,25,26,12,0,18,8,30,30,46,8,33,18
3158,1,1579,1,4,4,6,6,15,2,15,13,29,25,21,31,28,42,45,54,38,17,46
3159,0,3159,0,4,2,2,0,14,5,8,27,28,14,2,20,10,32,32,48,10,35,20
3160,3,395,2,0,3,10,5,4,15,4,18,23,25,26,8,19,24,41,29,60,40,30
3161,0,3161,2,1,4,4,2,16,7,10,0,30,16,4,22,12,34,34,50,12,37,22
3162,1,1581,0,1,6,8,8,0,4,17,15,0,27,23,33,30,44,47,56,40,19,48
3163,0,3163,1,3,6,6,4,1,9,12,2,1,18,6,24,14,36,36,52,14,39,24
3164,2,791,2,1,0,10,11,9,12,9,8,16,14,12,17,39,49,24,59,54,10,61
3165,0,3165,0,0,1,8,6,3,11,14,4,3,20,8,26,16,38,38,54,16,41,26
3166,1,1583,2,3,1,10,10,2,6,19,17,2,29,25,35,32,46,49,58,42,21,50
3167,0,3167,2,2,3,10,8,5,13,16,6,5,22,10,28,18,40,40,56,18,43,28
3168,5,99,0,4,1,0,8,14,4,7,12,6,25,17,13,5,46,40,38,32,28,26
3169,0,3169,1,4,5,1,10,7,15,18,8,7,24,12,30,20,42,42,58,20,45,30
3170,1,1585,1,0,3,1,12,4,8,21,19,4,31,27,37,34,48,51,60,44,23,52
3171,0,3171,0,1,0,3,12,9,17,20,10,9,26,14,32,22,44,44,60,22,47,32
3172,2,793,1,3,2,1,0,11,14,11,10,18,16,14,19,41,51,26,0,56,12,63
3173,0,3173,2,3,2,5,1,11,0,22,12,11,28,16,34,24,46,46,1,24,49,34
3174,1,1587,0,2,5,3,1,6,10,0,21,6,33,29,39,36,50,53,1,46,25,54
3175,0,3175,1,0,4,7,3,13,2,1,14,13,30,18,36,26,48,48,3,26,51,36
3176,3,397,1,2,5,1,7,6,17,6,20,25,27,28,10,21,26,43,31,62,42,32
3177,0,3177,0,2,6,9,5,15,4,3,16,15,32,20,38,28,50,50,5,28,53,38
3178,1,1589,2,4,0,5,3,8,12,2,23,8,35,31,41,38,52,55,3,48,27,56
3179,0,3179,2,4,1,0,7,0,6,5,18,17,34,22,40,30,52,52,7,30,55,40
3180,2,795,0,0,4,3,2,13,16,13,12,20,18,16,21,43,0,28,2,58,14,65
3181,0,3181,1,1,3,2,9,2,8,7,20,19,36,24,42,32,1,54,9,32,57,42
3182,1,1591,1,1,2,7,5,10,14,4,25,10,0,33,0,40,1,57,5,50,29,58
3183,0,3183,0,3,5,4,11,4,10,9,22,21,1,26,1,34,3,56,11,34,59,44
3184,4,199,1,4,3,1,4,12,9,15,25,13,14,35,27,11,40,22,16,65,57,53
3185,0,3185,2,0,0,6,0,6,12,11,24,23,3,28,3,36,5,58,13,36,61,46
3186,1,1593,0,3,4,9,7,12,16,6,27,12,2,35,2,42,3,0,7,52,31,60
3187,0,3187,1,2,2,8,2,8,14,13,26,25,5,30,5,38,7,1,15,38,63,48
3188,2,797,2,2,6,5,4,15,18,15,14,22,20,18,23,45,2,30,4,60,16,67
3189,0,3189,0,4,4,10,4,10,16,15,28,27,7,32,7,40,9,3,17,40,65,50
3190,1,1595,2,0,6,0,9,14,18,8,0,14,4,37,4,44,5,2,9,54,33,62
3191,0,3191,2,1,6,1,6,12,18,17,1,29,9,34,9,42,11,5,19,42,67,52
3192,3,399,0,4,0,3,9,8,0,8,22,27,29,30,12,23,28,45,33,64,44,34
3193,0,3193,1,3,1,3,8,14,1,19,3,0,11,36,11,44,13,7,21,44,69,54
3194,1,1597,1,2,1,2,11,16,1,10,2,16,6,39,6,46,7,4,11,56,35,64
3195,0,3195,0,0,3,5,10,16,3,21,5,2,13,38,13,46,15,9,23,46,0,56
3196,2,799,1,4,1,7,6,0,1,17,16,24,22,20,25,0,4,32,6,62,18,69
3197,0,3197,2,2,5,7,12,1,5,0,7,4,15,40,15,1,17,11,25,48,2,58
3198,1,1599,0,4,3,4,0,1,3,12,4,18,8,0,8,1,9,6,13,58,37,66
3199,0,3199,1,4,0,9,1,3,7,2,9,6,17,1,17,3,19,13,27,50,4,60
3200,7,25,1,0,4,3,12,8,6,2,25,25,25,25,25,25,25,25,25,25,25,25
3201,0,3201,0,1,2,0,3,5,9,4,11,8,19,3,19,5,21,15,29,52,6,62
3202,1,1601,2,1,5,6,2,3,5,14,6,20,10,2,10,3,11,8,15,60,39,68
3203,0,3203,2,3,4,2,5,7,11,6,13,10,21,5,21,7,23,17,31,54,8,64
3204,2,801,0,1,3,9,8,2,3,19,18,26,24,22,27,2,6,34,8,64,20,71
3205,0,3205,1,0,6,4,7,9,13,8,15,12,23,7,23,9,25,19,33,56,10,66
3206,1,1603,1,3,0,8,4,5,7,16,8,22,12,4,12,5,13,10,17,62,41,70
3207,0,3207,0,2,1,6,9,11,15,10,17,14,25,9,25,11,27,21,35,58,12,68
3208,3,401,2,1,2,5,11,10,2,10,24,29,31,32,14,25,30,47,35,66,46,36
3209,0,3209,2,4,3,8,11,13,17,12,19,16,27,11,27,13,29,23,37,60,14,70
3210,1,1605,0,0,2,10,6,7,9,18,10,24,14,6,14,7,15,12,19,64,43,72
3211,0,3211,1,1,5,10,0,15,0,14,21,18,29,13,29,15,31,25,39,62,16,72
3212,2,803,2,3,5,0,10,4,5,21,20,28,26,24,29,4,8,36,10,66,22,0
3213,0,3213,0,3,0,1,2,0,2,16,23,20,31,15,31,17,33,27,41,64,18,1
3214,1,1607,2,2,4,1,8,9,11,20,12,26,16,8,16,9,17,14,21,66,45,1
3215,0,3215,2,0,2,3,4,2,4,18,25,22,33,17,33,19,35,29,43,66,20,3
3216,4,201,0,1,5,3,6,14,11,17,27,15,16,37,29,13,42,24,18,0,59,55
3217,0,3217,1,2,4,5,6,4,6,20,27,24,35,19,35,21,37,31,45,1,22,5
3218,1,1609,1,4,6,3,10,11,13,22,14,28,18,10,18,11,19,16,23,1,47,3
