# `n`       a positive integer
# `factors` the prime factors of n
# `gbpairs` the Goldbach prime pairs that sum to n, if n is even and greater than 4

n,     factors,    gbpairs
730,   2⋅5⋅73,     3+727 11+719 29+701 47+683 53+677 71+659 83+647 89+641 113+617 131+599 137+593 167+563 173+557 227+503 239+491 251+479 263+467 269+461 281+449 311+419 347+383
731,   17⋅43,      
732,   2²⋅3⋅61,    5+727 13+719 23+709 31+701 41+691 59+673 71+661 73+659 79+653 89+643 101+631 113+619 131+601 139+593 163+569 191+541 211+521 223+509 229+503 233+499 241+491 269+463 271+461 283+449 293+439 311+421 313+419 331+401 349+383 353+379 359+373
733,   733,        
734,   2⋅367,      7+727 43+691 61+673 73+661 103+631 127+607 157+577 163+571 193+541 211+523 271+463 277+457 313+421 337+397 367+367
735,   3⋅5⋅7²,     
736,   2⁵⋅23,      3+733 17+719 53+683 59+677 83+653 89+647 137+599 149+587 167+569 173+563 179+557 227+509 233+503 257+479 269+467 293+443 317+419 347+389 353+383
737,   11⋅67,      
738,   2⋅3²⋅41,    5+733 11+727 19+719 29+709 37+701 47+691 61+677 79+659 97+641 107+631 131+607 137+601 139+599 151+587 167+571 181+557 191+547 197+541 229+509 239+499 251+487 271+467 277+461 281+457 307+431 317+421 337+401 349+389 359+379
739,   739,        
740,   2²⋅5⋅37,    7+733 13+727 31+709 67+673 79+661 97+643 109+631 127+613 139+601 163+577 193+547 199+541 241+499 277+463 283+457 307+433 331+409 367+373
741,   3⋅13⋅19,    
742,   2⋅7⋅53,     3+739 23+719 41+701 59+683 83+659 89+653 101+641 149+593 173+569 179+563 233+509 239+503 251+491 263+479 281+461 293+449 311+431 353+389 359+383
743,   743,        
744,   2³⋅3⋅31,    5+739 11+733 17+727 43+701 53+691 61+683 67+677 71+673 83+661 97+647 101+643 103+641 113+631 127+617 131+613 137+607 151+593 157+587 167+577 173+571 181+563 197+547 223+521 241+503 257+487 277+467 281+463 283+461 311+433 313+431 347+397
745,   5⋅149,      
746,   2⋅373,      3+743 7+739 13+733 19+727 37+709 73+673 103+643 127+619 139+607 199+547 223+523 283+463 307+439 313+433 337+409 349+397 367+379 373+373
747,   3²⋅83,      
748,   2²⋅11⋅17,   5+743 29+719 47+701 71+677 89+659 101+647 107+641 131+617 149+599 179+569 191+557 227+521 239+509 257+491 269+479 281+467 317+431 347+401 359+389
749,   7⋅107,      
750,   2⋅3⋅5³,     7+743 11+739 17+733 23+727 31+719 41+709 59+691 67+683 73+677 89+661 97+653 103+647 107+643 109+641 131+619 137+613 149+601 151+599 157+593 163+587 173+577 179+571 181+569 193+557 227+523 229+521 241+509 251+499 263+487 271+479 283+467 293+457 307+443 311+439 317+433 331+419 349+401 353+397 367+383
751,   751,        
752,   2⁴⋅47,      13+739 19+733 43+709 61+691 79+673 109+643 139+613 151+601 181+571 211+541 229+523 313+439 331+421 373+379
753,   3⋅251,      
754,   2⋅13⋅29,    3+751 11+743 53+701 71+683 101+653 107+647 113+641 137+617 167+587 191+563 197+557 233+521 251+503 263+491 293+461 311+443 353+401
755,   5⋅151,      
756,   2²⋅3³⋅7,    5+751 13+743 17+739 23+733 29+727 37+719 47+709 73+683 79+677 83+673 97+659 103+653 109+647 113+643 137+619 139+617 149+607 157+599 163+593 179+577 193+563 199+557 233+523 257+499 269+487 277+479 293+463 307+449 313+443 317+439 337+419 347+409 359+397 367+389 373+383
757,   757,        
758,   2⋅379,      7+751 19+739 31+727 67+691 97+661 127+631 139+619 151+607 157+601 181+577 211+547 271+487 337+421 349+409 379+379
759,   3⋅11⋅23,    
760,   2³⋅5⋅19,    3+757 17+743 41+719 59+701 83+677 101+659 107+653 113+647 167+593 173+587 191+569 197+563 239+521 251+509 257+503 269+491 281+479 293+467 311+449 317+443 359+401
761,   761,        
762,   2⋅3⋅127,    5+757 11+751 19+743 23+739 29+733 43+719 53+709 61+701 71+691 79+683 89+673 101+661 103+659 109+653 131+631 149+613 163+599 191+571 193+569 199+563 239+523 241+521 263+499 271+491 283+479 313+449 331+431 353+409 373+389 379+383
763,   7⋅109,      
764,   2²⋅191,     3+761 7+757 13+751 31+733 37+727 73+691 103+661 151+613 157+607 163+601 193+571 223+541 241+523 277+487 307+457 331+433 367+397
765,   3²⋅5⋅17,    
766,   2⋅383,      5+761 23+743 47+719 83+683 89+677 107+659 113+653 149+617 167+599 173+593 179+587 197+569 257+509 263+503 317+449 347+419 383+383
767,   13⋅59,      
768,   2⁸⋅3,       7+761 11+757 17+751 29+739 41+727 59+709 67+701 107+661 109+659 127+641 137+631 149+619 151+617 167+601 181+587 191+577 197+571 199+569 211+557 227+541 269+499 277+491 281+487 307+461 311+457 337+431 347+421 349+419 359+409 367+401 379+389
769,   769,        
770,   2⋅5⋅7⋅11,   13+757 19+751 31+739 37+733 43+727 61+709 79+691 97+673 109+661 127+643 139+631 151+619 157+613 163+607 193+577 199+571 223+547 229+541 271+499 283+487 307+463 313+457 331+439 337+433 349+421 373+397
771,   3⋅257,      
772,   2²⋅193,     3+769 11+761 29+743 53+719 71+701 89+683 113+659 131+641 173+599 179+593 251+521 263+509 269+503 281+491 293+479 311+461 353+419 383+389
773,   773,        
774,   2⋅3²⋅43,    5+769 13+761 17+757 23+751 31+743 41+733 47+727 73+701 83+691 97+677 101+673 113+661 127+647 131+643 157+617 167+607 173+601 181+593 197+577 211+563 227+547 233+541 251+523 271+503 283+491 307+467 311+463 313+461 317+457 331+443 353+421 373+401
775,   5²⋅31,      
776,   2³⋅97,      3+773 7+769 19+757 37+739 43+733 67+709 103+673 157+619 163+613 199+577 229+547 277+499 313+463 337+439 367+409 379+397
777,   3⋅7⋅37,     
778,   2⋅389,      5+773 17+761 59+719 101+677 131+647 137+641 179+599 191+587 257+521 269+509 311+467 317+461 347+431 359+419 389+389
779,   19⋅41,      
780,   2²⋅3⋅5⋅13,  7+773 11+769 19+761 23+757 29+751 37+743 41+739 47+733 53+727 61+719 71+709 79+701 89+691 97+683 103+677 107+673 127+653 137+643 139+641 149+631 163+617 167+613 173+607 179+601 181+599 193+587 211+569 223+557 233+547 239+541 257+523 271+509 277+503 281+499 293+487 313+467 317+463 331+449 337+443 347+433 349+431 359+421 379+401 383+397
781,   11⋅71,      
782,   2⋅17⋅23,    13+769 31+751 43+739 73+709 109+673 139+643 151+631 163+619 181+601 211+571 241+541 283+499 349+433 373+409
783,   3³⋅29,      
784,   2⁴⋅7²,      11+773 23+761 41+743 83+701 101+683 107+677 131+653 137+647 167+617 191+593 197+587 227+557 263+521 281+503 293+491 317+467 353+431 383+401
785,   5⋅157,      
786,   2⋅3⋅131,    13+773 17+769 29+757 43+743 47+739 53+733 59+727 67+719 103+683 109+677 113+673 127+659 139+647 167+619 173+613 179+607 193+593 199+587 223+563 229+557 239+547 263+523 277+509 283+503 307+479 337+449 347+439 353+433 367+419 389+397
787,   787,        
788,   2²⋅197,     19+769 31+757 37+751 61+727 79+709 97+691 127+661 157+631 181+607 211+577 241+547 331+457 349+439 367+421 379+409
789,   3⋅263,      
790,   2⋅5⋅79,     3+787 17+773 29+761 47+743 71+719 89+701 107+683 113+677 131+659 137+653 149+641 173+617 191+599 197+593 227+563 233+557 269+521 281+509 311+479 347+443 359+431 389+401
791,   7⋅113,      
792,   2³⋅3²⋅11,   5+787 19+773 23+769 31+761 41+751 53+739 59+733 73+719 83+709 101+691 109+683 131+661 139+653 149+643 151+641 173+619 179+613 191+601 193+599 199+593 223+569 229+563 251+541 269+523 271+521 283+509 293+499 313+479 331+461 349+443 353+439 359+433 373+419 383+409
793,   13⋅61,      
794,   2⋅397,      7+787 37+757 43+751 61+733 67+727 103+691 151+643 163+631 181+613 193+601 223+571 271+523 307+487 331+463 337+457 373+421 397+397
795,   3⋅5⋅53,     
796,   2²⋅199,     23+773 53+743 113+683 137+659 149+647 179+617 197+599 227+569 233+563 239+557 293+503 317+479 347+449 353+443
797,   797,        
798,   2⋅3⋅7⋅19,   11+787 29+769 37+761 41+757 47+751 59+739 71+727 79+719 89+709 97+701 107+691 137+661 139+659 151+647 157+641 167+631 179+619 181+617 191+607 197+601 199+599 211+587 227+571 229+569 241+557 251+547 257+541 277+521 307+491 311+487 331+467 337+461 349+449 359+439 367+431 379+419 389+409 397+401
799,   17⋅47,      
800,   2⁵⋅5²,      3+797 13+787 31+769 43+757 61+739 67+733 73+727 109+691 127+673 139+661 157+643 181+619 193+607 199+601 223+577 229+571 277+523 313+487 337+463 367+433 379+421
801,   3²⋅89,      
802,   2⋅401,      5+797 29+773 41+761 59+743 83+719 101+701 149+653 233+569 239+563 281+521 293+509 311+491 353+449 359+443 383+419 401+401
803,   11⋅73,      
804,   2²⋅3⋅67,    7+797 17+787 31+773 43+761 47+757 53+751 61+743 71+733 103+701 113+691 127+677 131+673 151+653 157+647 163+641 173+631 191+613 197+607 211+593 227+577 233+571 241+563 257+547 263+541 281+523 283+521 313+491 317+487 337+467 347+457 373+431 383+421
805,   5⋅7⋅23,     
806,   2⋅13⋅31,    19+787 37+769 67+739 73+733 79+727 97+709 163+643 193+613 199+607 229+577 283+523 307+499 349+457 367+439 373+433 397+409
807,   3⋅269,      
808,   2³⋅101,     11+797 47+761 89+719 107+701 131+677 149+659 167+641 191+617 239+569 251+557 317+491 347+461 359+449 389+419
809,   809,        
810,   2⋅3⁴⋅5,     13+797 23+787 37+773 41+769 53+757 59+751 67+743 71+739 83+727 101+709 109+701 127+683 137+673 149+661 151+659 157+653 163+647 167+643 179+631 191+619 193+617 197+613 211+599 223+587 233+577 239+571 241+569 263+547 269+541 307+503 311+499 331+479 347+463 349+461 353+457 367+443 379+431 389+421 401+409
811,   811,        
812,   2²⋅7⋅29,    3+809 43+769 61+751 73+739 79+733 103+709 139+673 151+661 181+631 193+619 199+613 211+601 241+571 271+541 313+499 349+463 373+439 379+433
813,   3⋅271,      
814,   2⋅11⋅37,    3+811 5+809 17+797 41+773 53+761 71+743 113+701 131+683 137+677 167+647 173+641 197+617 227+587 251+563 257+557 293+521 311+503 347+467 353+461 383+431
815,   5⋅163,      
816,   2⁴⋅3⋅17,    5+811 7+809 19+797 29+787 43+773 47+769 59+757 73+743 83+733 89+727 97+719 107+709 139+677 157+659 163+653 173+643 197+619 199+617 223+593 229+587 239+577 269+547 293+523 307+509 313+503 317+499 337+479 349+467 353+463 359+457 367+449 373+443 383+433 397+419
817,   19⋅43,      
818,   2⋅409,      7+811 31+787 61+757 67+751 79+739 109+709 127+691 157+661 199+619 211+607 241+577 271+547 277+541 331+487 379+439 397+421 409+409
819,   3²⋅7⋅13,    
820,   2²⋅5⋅41,    11+809 23+797 47+773 59+761 101+719 137+683 167+653 173+647 179+641 227+593 233+587 251+569 257+563 263+557 311+509 317+503 353+467 359+461 389+431 401+419
821,   821,        
822,   2⋅3⋅137,    11+811 13+809 53+769 61+761 71+751 79+743 83+739 89+733 103+719 113+709 131+691 139+683 149+673 163+659 179+643 181+641 191+631 223+599 229+593 251+571 281+541 313+509 331+491 359+463 373+449 379+443 383+439 389+433 401+421
823,   823,        
824,   2³⋅103,     3+821 13+811 37+787 67+757 73+751 97+727 151+673 163+661 181+643 193+631 211+613 223+601 277+547 283+541 337+487 367+457
825,   3⋅5²⋅11,    
826,   2⋅7⋅59,     3+823 5+821 17+809 29+797 53+773 83+743 107+719 149+677 167+659 173+653 179+647 227+599 233+593 239+587 257+569 263+563 269+557 317+509 347+479 359+467 383+443
827,   827,        
828,   2²⋅3²⋅23,   5+823 7+821 17+811 19+809 31+797 41+787 59+769 67+761 71+757 89+739 101+727 109+719 127+701 137+691 151+677 167+661 181+647 197+631 211+617 227+601 229+599 241+587 251+577 257+571 271+557 281+547 307+521 337+491 349+479 367+461 379+449 389+439 397+431 409+419
829,   829,        
830,   2⋅5⋅83,     3+827 7+823 19+811 43+787 61+769 73+757 79+751 97+733 103+727 139+691 157+673 199+631 211+619 223+607 229+601 283+547 307+523 331+499 367+463 373+457 397+433 409+421
831,   3⋅277,      
832,   2⁶⋅13,      3+829 5+827 11+821 23+809 59+773 71+761 89+743 113+719 131+701 149+683 173+659 179+653 191+641 233+599 239+593 263+569 269+563 311+521 353+479 383+449 389+443 401+431
833,   7²⋅17,      
834,   2⋅3⋅139,    5+829 7+827 11+823 13+821 23+811 37+797 47+787 61+773 73+761 83+751 101+733 107+727 151+683 157+677 173+661 181+653 191+643 193+641 227+607 233+601 241+593 257+577 263+571 271+563 277+557 293+541 311+523 313+521 331+503 347+487 367+467 373+461 401+433
835,   5⋅167,      
836,   2²⋅11⋅19,   7+829 13+823 67+769 79+757 97+739 103+733 109+727 127+709 163+673 193+643 223+613 229+607 313+523 337+499 349+487 373+463 379+457 397+439
837,   3³⋅31,      
838,   2⋅419,      11+827 17+821 29+809 41+797 137+701 179+659 191+647 197+641 239+599 251+587 269+569 281+557 317+521 347+491 359+479 389+449 419+419
839,   839,        
840,   2³⋅3⋅5⋅7,   11+829 13+827 17+823 19+821 29+811 31+809 43+797 53+787 67+773 71+769 79+761 83+757 89+751 97+743 101+739 107+733 113+727 131+709 139+701 149+691 157+683 163+677 167+673 179+661 181+659 193+647 197+643 199+641 223+617 227+613 233+607 239+601 241+599 263+577 269+571 271+569 277+563 283+557 293+547 317+523 331+509 337+503 349+491 353+487 373+467 379+461 383+457 397+443 401+439 409+431 419+421
841,   29²,        
842,   2⋅421,      3+839 13+829 19+823 31+811 73+769 103+739 109+733 151+691 181+661 199+643 211+631 223+619 229+613 241+601 271+571 379+463 409+433 421+421
843,   3⋅281,      
844,   2²⋅211,     5+839 17+827 23+821 47+797 71+773 83+761 101+743 167+677 191+653 197+647 227+617 251+593 257+587 281+563 353+491 383+461 401+443
845,   5⋅13²,      
846,   2⋅3²⋅47,    7+839 17+829 19+827 23+823 37+809 59+787 73+773 89+757 103+743 107+739 113+733 127+719 137+709 163+683 173+673 193+653 199+647 227+619 229+617 233+613 239+607 269+577 277+569 283+563 337+509 347+499 359+487 367+479 379+467 383+463 389+457 397+449
847,   7⋅11²,      
848,   2⁴⋅53,      19+829 37+811 61+787 79+769 97+751 109+739 139+709 157+691 229+619 241+607 271+577 277+571 307+541 349+499 409+439
849,   3⋅283,      
850,   2⋅5²⋅17,    11+839 23+827 29+821 41+809 53+797 89+761 107+743 131+719 149+701 167+683 173+677 191+659 197+653 233+617 251+599 257+593 263+587 281+569 293+557 347+503 359+491 383+467 389+461 401+449 419+431
851,   23⋅37,      
852,   2²⋅3⋅71,    13+839 23+829 29+823 31+821 41+811 43+809 79+773 83+769 101+751 109+743 113+739 151+701 179+673 191+661 193+659 199+653 211+641 233+619 239+613 251+601 281+571 283+569 311+541 331+521 349+503 353+499 373+479 389+463 409+443 419+433 421+431
853,   853,        
854,   2⋅7⋅61,     31+823 43+811 67+787 97+757 103+751 127+727 163+691 181+673 193+661 211+643 223+631 241+613 277+577 283+571 307+547 313+541 331+523 367+487 397+457 421+433
855,   3²⋅5⋅19,    
856,   2³⋅107,     3+853 17+839 29+827 47+809 59+797 83+773 113+743 137+719 173+683 179+677 197+659 239+617 257+599 263+593 269+587 293+563 347+509 353+503 389+467
857,   857,        
858,   2⋅3⋅11⋅13,  5+853 19+839 29+829 31+827 37+821 47+811 61+797 71+787 89+769 97+761 101+757 107+751 131+727 139+719 149+709 157+701 167+691 181+677 197+661 199+659 211+647 227+631 239+619 241+617 251+607 257+601 271+587 281+577 311+547 317+541 337+521 349+509 359+499 367+491 379+479 397+461 401+457 409+449 419+439
859,   859,        
860,   2²⋅5⋅43,    3+857 7+853 31+829 37+823 73+787 103+757 109+751 127+733 151+709 199+661 229+631 241+619 283+577 313+547 337+523 373+487 397+463 421+439
861,   3⋅7⋅41,     
862,   2⋅431,      3+859 5+857 23+839 41+821 53+809 89+773 101+761 179+683 263+599 269+593 293+569 353+509 359+503 383+479 401+461 419+443 431+431
863,   863,        
864,   2⁵⋅3³,      5+859 7+857 11+853 37+827 41+823 43+821 53+811 67+797 103+761 107+757 113+751 131+733 137+727 163+701 173+691 181+683 191+673 211+653 223+641 233+631 251+613 257+607 263+601 271+593 277+587 293+571 307+557 317+547 373+491 397+467 401+463 421+443 431+433
865,   5⋅173,      
866,   2⋅433,      3+863 7+859 13+853 37+829 43+823 79+787 97+769 109+757 127+739 139+727 157+709 193+673 223+643 367+499 379+487 409+457 433+433
867,   3⋅17²,      
868,   2²⋅7⋅31,    5+863 11+857 29+839 41+827 47+821 59+809 71+797 107+761 149+719 167+701 191+677 227+641 251+617 269+599 281+587 311+557 347+521 359+509 389+479 401+467 419+449
869,   11⋅79,      
870,   2⋅3⋅5⋅29,   7+863 11+859 13+857 17+853 31+839 41+829 43+827 47+823 59+811 61+809 73+797 83+787 97+773 101+769 109+761 113+757 127+743 131+739 137+733 151+719 179+691 193+677 197+673 211+659 223+647 227+643 229+641 239+631 251+619 257+613 263+607 269+601 271+599 277+593 283+587 293+577 307+563 313+557 347+523 349+521 367+503 379+491 383+487 409+461 421+449 431+439
871,   13⋅67,      
872,   2³⋅109,     13+859 19+853 43+829 61+811 103+769 139+733 163+709 181+691 199+673 211+661 229+643 241+631 271+601 331+541 349+523 373+499 409+463 433+439
873,   3²⋅97,      
874,   2⋅19⋅23,    11+863 17+857 47+827 53+821 101+773 113+761 131+743 173+701 191+683 197+677 227+647 233+641 257+617 281+593 311+563 317+557 353+521 383+491 431+443
875,   5³⋅7,       
876,   2²⋅3⋅73,    13+863 17+859 19+857 23+853 37+839 47+829 53+823 67+809 79+797 89+787 103+773 107+769 137+739 149+727 157+719 167+709 193+683 199+677 223+653 229+647 233+643 257+619 263+613 269+607 277+599 283+593 307+569 313+563 353+523 367+509 373+503 389+487 397+479 409+467 419+457 433+443
877,   877,        
878,   2⋅439,      19+859 67+811 109+769 127+751 139+739 151+727 271+607 277+601 307+571 331+547 337+541 379+499 421+457 439+439
879,   3⋅293,      
880,   2⁴⋅5⋅11,    3+877 17+863 23+857 41+839 53+827 59+821 71+809 83+797 107+773 137+743 179+701 197+683 227+653 233+647 239+641 263+617 281+599 293+587 311+569 317+563 359+521 389+491 401+479 419+461 431+449
881,   881,        
882,   2⋅3²⋅7²,    5+877 19+863 23+859 29+853 43+839 53+829 59+823 61+821 71+811 73+809 109+773 113+769 131+751 139+743 149+733 163+719 173+709 181+701 191+691 199+683 223+659 229+653 239+643 241+641 251+631 263+619 269+613 281+601 283+599 311+571 313+569 359+523 373+509 379+503 383+499 419+463 421+461 433+449 439+443
883,   883,        
884,   2²⋅13⋅17,   3+881 7+877 31+853 61+823 73+811 97+787 127+757 151+733 157+727 193+691 211+673 223+661 241+643 271+613 277+607 283+601 307+577 313+571 337+547 397+487 421+463
885,   3⋅5⋅59,     
886,   2⋅443,      3+883 5+881 23+863 29+857 47+839 59+827 89+797 113+773 167+719 227+659 233+653 239+647 269+617 293+593 317+569 383+503 419+467 443+443
887,   887,        
888,   2³⋅3⋅37,    5+883 7+881 11+877 29+859 31+857 59+829 61+827 67+821 79+809 101+787 127+761 131+757 137+751 149+739 179+709 197+691 211+677 227+661 229+659 241+647 257+631 269+619 271+617 281+607 311+577 317+571 331+557 347+541 367+521 379+509 389+499 397+491 401+487 409+479 421+467 431+457 439+449
889,   7⋅127,      
890,   2⋅5⋅89,     3+887 7+883 13+877 31+859 37+853 61+829 67+823 79+811 103+787 139+751 151+739 157+733 163+727 181+709 199+691 229+661 271+619 277+613 283+607 313+577 349+541 367+523 433+457
891,   3⁴⋅11,      
892,   2²⋅223,     5+887 11+881 29+863 53+839 71+821 83+809 131+761 149+743 173+719 191+701 233+659 239+653 251+641 293+599 383+509 389+503 401+491 431+461 443+449
893,   19⋅47,      
894,   2⋅3⋅149,    7+887 11+883 13+881 17+877 31+863 37+857 41+853 67+827 71+823 73+821 83+811 97+797 107+787 137+757 151+743 167+727 193+701 211+683 233+661 241+653 251+643 263+631 277+617 281+613 293+601 307+587 317+577 331+563 337+557 347+547 353+541 373+521 431+463 433+461
895,   5⋅179,      
896,   2⁷⋅7,       13+883 19+877 37+859 43+853 67+829 73+823 109+787 127+769 139+757 157+739 163+733 223+673 277+619 283+613 349+547 373+523 397+499 409+487 433+463 439+457
897,   3⋅13⋅23,    
898,   2⋅449,      11+887 17+881 41+857 59+839 71+827 89+809 101+797 137+761 179+719 197+701 239+659 251+647 257+641 281+617 311+587 389+509 419+479 431+467 449+449
899,   29⋅31,      
900,   2²⋅3²⋅5²,   13+887 17+883 19+881 23+877 37+863 41+859 43+857 47+853 61+839 71+829 73+827 79+821 89+811 103+797 113+787 127+773 131+769 139+761 149+751 157+743 167+733 173+727 181+719 191+709 199+701 223+677 227+673 239+661 241+659 257+643 269+631 281+619 283+617 293+607 307+593 313+587 331+569 337+563 353+547 359+541 379+521 397+503 401+499 409+491 421+479 433+467 439+461 443+457
901,   17⋅53,      
902,   2⋅11⋅41,    19+883 43+859 73+829 79+823 151+751 163+739 193+709 211+691 229+673 241+661 271+631 283+619 331+571 379+523 439+463
903,   3⋅7⋅43,     
904,   2³⋅113,     17+887 23+881 41+863 47+857 83+821 107+797 131+773 227+677 251+653 257+647 263+641 311+593 317+587 347+557 383+521 401+503 443+461
905,   5⋅181,      
906,   2⋅3⋅151,    19+887 23+883 29+877 43+863 47+859 53+853 67+839 79+827 83+823 97+809 109+797 137+769 149+757 163+743 167+739 173+733 179+727 197+709 223+683 229+677 233+673 263+643 293+613 307+599 313+593 337+569 349+557 359+547 383+523 397+509 419+487 439+467 443+463 449+457
907,   907,        
908,   2²⋅227,     31+877 79+829 97+811 139+769 151+757 157+751 181+727 199+709 277+631 307+601 331+577 337+571 367+541 409+499 421+487
909,   3²⋅101,     
910,   2⋅5⋅7⋅13,   3+907 23+887 29+881 47+863 53+857 71+839 83+827 89+821 101+809 113+797 137+773 149+761 167+743 191+719 227+683 233+677 251+659 257+653 263+647 269+641 293+617 311+599 317+593 347+563 353+557 389+521 401+509 419+491 431+479 443+467 449+461
911,   911,        
912,   2⁴⋅3⋅19,    5+907 29+883 31+881 53+859 59+853 73+839 83+829 89+823 101+811 103+809 139+773 151+761 173+739 179+733 193+719 211+701 229+683 239+673 251+661 269+643 271+641 281+631 293+619 311+601 313+599 349+563 389+523 409+503 421+491 433+479 449+463
913,   11⋅83,      
914,   2⋅457,      3+911 7+907 31+883 37+877 61+853 103+811 127+787 157+757 163+751 181+733 223+691 241+673 271+643 283+631 307+607 313+601 337+577 367+547 373+541 457+457
915,   3⋅5⋅61,     
916,   2²⋅229,     5+911 29+887 53+863 59+857 89+827 107+809 173+743 197+719 233+683 239+677 257+659 263+653 269+647 317+599 347+569 353+563 359+557 449+467
917,   7⋅131,      
918,   2⋅3³⋅17,    7+911 11+907 31+887 37+881 41+877 59+859 61+857 79+839 89+829 97+821 107+811 109+809 131+787 149+769 157+761 167+751 179+739 191+727 199+719 227+691 241+677 257+661 271+647 277+641 311+607 317+601 331+587 347+571 349+569 397+521 409+509 419+499 431+487 439+479 457+461
919,   919,        
920,   2³⋅5⋅23,    13+907 37+883 43+877 61+859 67+853 97+823 109+811 151+769 163+757 181+739 193+727 211+709 229+691 277+643 307+613 313+607 349+571 373+547 379+541 397+523 421+499 433+487 457+463
921,   3⋅307,      
922,   2⋅461,      3+919 11+911 41+881 59+863 83+839 101+821 113+809 149+773 179+743 239+683 263+659 269+653 281+641 353+569 359+563 401+521 419+503 431+491 443+479 461+461
923,   13⋅71,      
924,   2²⋅3⋅7⋅11,  5+919 13+911 17+907 37+887 41+883 43+881 47+877 61+863 67+857 71+853 97+827 101+823 103+821 113+811 127+797 137+787 151+773 163+761 167+757 173+751 181+743 191+733 197+727 223+701 233+691 241+683 251+673 263+661 271+653 277+647 281+643 283+641 293+631 307+617 311+613 317+607 331+593 337+587 347+577 353+571 367+557 383+541 401+523 421+503 433+491 457+467 461+463
925,   5²⋅37,      
926,   2⋅463,      7+919 19+907 43+883 67+859 73+853 97+829 103+823 139+787 157+769 193+733 199+727 283+643 307+619 313+613 349+577 379+547 439+487 463+463
927,   3²⋅103,     
928,   2⁵⋅29,      17+911 41+887 47+881 71+857 89+839 101+827 107+821 131+797 167+761 227+701 251+677 269+659 281+647 311+617 359+569 419+509 449+479 461+467
929,   929,        
930,   2⋅3⋅5⋅31,   11+919 19+911 23+907 43+887 47+883 53+877 67+863 71+859 73+857 101+829 103+827 107+823 109+821 157+773 173+757 179+751 191+739 197+733 211+719 229+701 239+691 257+673 269+661 271+659 277+653 283+647 311+619 313+617 317+613 331+599 337+593 353+577 359+571 367+563 373+557 383+547 389+541 409+521 421+509 431+499 439+491 443+487 463+467
931,   7²⋅19,      
932,   2²⋅233,     3+929 13+919 73+859 79+853 103+829 109+823 163+769 181+751 193+739 199+733 223+709 241+691 271+661 313+619 331+601 409+523 433+499
933,   3⋅311,      
934,   2⋅467,      5+929 23+911 47+887 53+881 71+863 107+827 113+821 137+797 173+761 191+743 233+701 251+683 257+677 281+653 293+641 317+617 347+587 431+503 443+491 467+467
935,   5⋅11⋅17,    
936,   2³⋅3²⋅13,   7+929 17+919 29+907 53+883 59+877 73+863 79+857 83+853 97+839 107+829 109+827 113+823 127+809 139+797 149+787 163+773 167+769 179+757 193+743 197+739 227+709 263+673 277+659 283+653 293+643 317+619 337+599 349+587 359+577 367+569 373+563 379+557 389+547 433+503 449+487 457+479
937,   937,        
938,   2⋅7⋅67,     19+919 31+907 61+877 79+859 109+829 127+811 151+787 181+757 199+739 211+727 229+709 277+661 307+631 331+607 337+601 367+571 397+541 439+499
939,   3⋅313,      
940,   2²⋅5⋅47,    3+937 11+929 29+911 53+887 59+881 83+857 101+839 113+827 131+809 167+773 179+761 197+743 239+701 257+683 263+677 281+659 293+647 347+593 353+587 383+557 419+521 431+509 449+491 461+479
941,   941,        
942,   2⋅3⋅157,    5+937 13+929 23+919 31+911 59+883 61+881 79+863 83+859 89+853 103+839 113+829 131+811 173+769 181+761 191+751 199+743 223+719 233+709 241+701 251+691 269+673 281+661 283+659 311+631 349+593 373+569 379+563 401+541 419+523 421+521 433+509 439+503 443+499 463+479
943,   23⋅41,      
944,   2⁴⋅59,      3+941 7+937 37+907 61+883 67+877 157+787 193+751 211+733 271+673 283+661 313+631 331+613 337+607 367+577 373+571 397+547 421+523 457+487
945,   3³⋅5⋅7,     
946,   2⋅11⋅43,    5+941 17+929 59+887 83+863 89+857 107+839 137+809 149+797 173+773 227+719 263+683 269+677 293+653 347+599 353+593 359+587 383+563 389+557 443+503 467+479
947,   947,        
948,   2²⋅3⋅79,    7+941 11+937 19+929 29+919 37+911 41+907 61+887 67+881 71+877 89+859 109+839 127+821 137+811 139+809 151+797 179+769 191+757 197+751 229+719 239+709 257+691 271+677 307+641 317+631 331+617 347+601 349+599 379+569 401+547 439+509 449+499 457+491 461+487
949,   13⋅73,      
950,   2⋅5²⋅19,    3+947 13+937 31+919 43+907 67+883 73+877 97+853 127+823 139+811 163+787 181+769 193+757 199+751 211+739 223+727 241+709 277+673 307+643 331+619 337+613 349+601 373+577 379+571 409+541 463+487
951,   3⋅317,      
952,   2³⋅7⋅17,    5+947 11+941 23+929 41+911 71+881 89+863 113+839 131+821 179+773 191+761 233+719 251+701 269+683 293+659 311+641 353+599 359+593 383+569 389+563 431+521 443+509 449+503 461+491
953,   953,        
954,   2⋅3²⋅53,    7+947 13+941 17+937 43+911 47+907 67+887 71+883 73+881 97+857 101+853 127+827 131+823 157+797 167+787 181+773 193+761 197+757 211+743 227+727 263+691 271+683 277+677 281+673 293+661 307+647 311+643 313+641 337+617 347+607 353+601 367+587 383+571 397+557 431+523 433+521 463+491 467+487
955,   5⋅191,      
956,   2²⋅239,     3+953 19+937 37+919 73+883 79+877 97+859 103+853 127+829 199+757 223+733 229+727 283+673 313+643 337+619 349+607 379+577 409+547 433+523 457+499
957,   3⋅11⋅29,    
