n,k,oc,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71,m73
69,0,69,0,4,6,3,4,1,12,0,11,7,32,28,26,22,16,10,8,2,69,69
70,1,35,2,0,0,2,9,1,16,12,6,4,35,35,35,35,35,35,35,35,35,35
71,0,71,2,1,1,5,6,3,14,2,13,9,34,30,28,24,18,12,10,4,0,71
72,3,9,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
73,0,73,1,3,3,7,8,5,16,4,15,11,36,32,30,26,20,14,12,6,2,0
74,1,37,1,2,2,4,11,3,18,14,8,6,0,37,37,37,37,37,37,37,37,37
75,0,75,0,0,5,9,10,7,18,6,17,13,1,34,32,28,22,16,14,8,4,2
76,2,19,1,4,5,8,6,2,0,19,19,19,19,19,19,19,19,19,19,19,19,19
77,0,77,2,2,0,0,12,9,1,8,19,15,3,36,34,30,24,18,16,10,6,4
78,1,39,0,4,4,6,0,5,1,16,10,8,2,39,39,39,39,39,39,39,39,39
79,0,79,1,4,2,2,1,11,3,10,21,17,5,38,36,32,26,20,18,12,8,6
80,4,5,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
81,0,81,0,1,4,4,3,13,5,12,23,19,7,40,38,34,28,22,20,14,10,8
82,1,41,2,1,6,8,2,7,3,18,12,10,4,0,41,41,41,41,41,41,41,41
83,0,83,2,3,6,6,5,15,7,14,25,21,9,1,40,36,30,24,22,16,12,10
84,2,21,0,1,0,10,8,4,2,21,21,21,21,21,21,21,21,21,21,21,21,21
85,0,85,1,0,1,8,7,0,9,16,27,23,11,3,42,38,32,26,24,18,14,12
86,1,43,1,3,1,10,4,9,5,20,14,12,6,2,0,43,43,43,43,43,43,43
87,0,87,0,2,3,10,9,2,11,18,0,25,13,5,1,40,34,28,26,20,16,14
88,3,11,2,1,4,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
89,0,89,2,4,5,1,11,4,13,20,2,27,15,7,3,42,36,30,28,22,18,16
90,1,45,0,0,3,1,6,11,7,22,16,14,8,4,2,45,45,45,45,45,45,45
91,0,91,1,1,0,3,0,6,15,22,4,29,17,9,5,44,38,32,30,24,20,18
92,2,23,2,3,2,1,10,6,4,0,23,23,23,23,23,23,23,23,23,23,23,23
93,0,93,0,3,2,5,2,8,17,1,6,0,19,11,7,46,40,34,32,26,22,20
94,1,47,2,2,5,3,8,13,9,1,18,16,10,6,4,0,47,47,47,47,47,47
95,0,95,2,0,4,7,4,10,0,3,8,2,21,13,9,1,42,36,34,28,24,22
96,5,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
97,0,97,1,2,6,9,6,12,2,5,10,4,23,15,11,3,44,38,36,30,26,24
98,1,49,1,4,0,5,10,15,11,3,20,18,12,8,6,2,49,49,49,49,49,49
99,0,99,0,4,1,0,8,14,4,7,12,6,25,17,13,5,46,40,38,32,28,26
100,2,25,1,0,4,3,12,8,6,2,25,25,25,25,25,25,25,25,25,25,25,25
101,0,101,2,1,3,2,10,16,6,9,14,8,27,19,15,7,48,42,40,34,30,28
102,1,51,0,1,2,7,12,0,13,5,22,20,14,10,8,4,51,51,51,51,51,51
103,0,103,1,3,5,4,12,1,8,11,16,10,29,21,17,9,50,44,42,36,32,30
104,3,13,1,3,6,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
105,0,105,0,0,0,6,1,3,10,13,18,12,31,23,19,11,52,46,44,38,34,32
106,1,53,2,3,4,9,1,2,15,7,24,22,16,12,10,6,0,53,53,53,53,53
107,0,107,2,2,2,8,3,5,12,15,20,14,33,25,21,13,1,48,46,40,36,34
108,2,27,0,2,6,5,1,10,8,4,27,27,27,27,27,27,27,27,27,27,27,27
109,0,109,1,4,4,10,5,7,14,17,22,16,35,27,23,15,3,50,48,42,38,36
110,1,55,1,0,6,0,3,4,17,9,26,24,18,14,12,8,2,55,55,55,55,55
111,0,111,0,1,6,1,7,9,16,19,24,18,0,29,25,17,5,52,50,44,40,38
112,4,7,1,2,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
113,0,113,2,3,1,3,9,11,18,21,26,20,2,31,27,19,7,54,52,46,42,40
114,1,57,0,2,1,2,5,6,0,11,28,26,20,16,14,10,4,57,57,57,57,57
