# Twin prime centers up to 100000

# `n`       a positive even integer sitting between two prime numbers
# `base3`   the ternary representation of n
# `symbol3` symbolic representation of the ternary encoding of n (1 = "░", 2 = "▒", 3 = "█")
# `base2`   the binary representation of n
# `symbol2` symbolic representation of the binary encoding of n (1 = "░", 2 = "█")
# `factors` the prime factors of n

     n,        base3,      symbol3,              base2,            symbol2, factors
 15330,    210000210,    █▒░░░░█▒░,     11101111100010,     ███░█████░░░█░, {2 3 5 7 73}
 15360,    210001220,    █▒░░░▒██░,     11110000000000,     ████░░░░░░░░░░, {2 3 5}
 15582,    210101010,    █▒░▒░▒░▒░,     11110011011110,     ████░░██░████░, {2 3 7 53}
 15642,    210110100,    █▒░▒▒░▒░░,     11110100011010,     ████░█░░░██░█░, {2 3 11 79}
 15648,    210110120,    █▒░▒▒░▒█░,     11110100100000,     ████░█░░█░░░░░, {2 3 163}
 15732,    210120200,    █▒░▒█░█░░,     11110101110100,     ████░█░███░█░░, {2 3 19 23}
 15738,    210120220,    █▒░▒█░██░,     11110101111010,     ████░█░████░█░, {2 3 43 61}
 15888,    210210110,    █▒░█▒░▒▒░,     11111000010000,     █████░░░░█░░░░, {2 3 331}
 15972,    210220120,    █▒░██░▒█░,     11111001100100,     █████░░██░░█░░, {2 3 11}
 16062,    211000220,    █▒▒░░░██░,     11111010111110,     █████░█░█████░, {2 3 2677}
 16068,    211001010,    █▒▒░░▒░▒░,     11111011000100,     █████░██░░░█░░, {2 3 13 103}
 16140,    211010210,    █▒▒░▒░█▒░,     11111100001100,     ██████░░░░██░░, {2 3 5 269}
 16188,    211012120,    █▒▒░▒█▒█░,     11111100111100,     ██████░░████░░, {2 3 19 71}
 16230,    211021010,    █▒▒░█▒░▒░,     11111101100110,     ██████░██░░██░, {2 3 5 541}
 16362,    211110000,    █▒▒▒▒░░░░,     11111111101010,     █████████░█░█░, {2 3 101}
 16452,    211120100,    █▒▒▒█░▒░░,    100000001000100,    █░░░░░░░█░░░█░░, {2 3 457}
 16632,    211211000,    █▒▒█▒▒░░░,    100000011111000,    █░░░░░░█████░░░, {2 3 7 11}
 16650,    211211200,    █▒▒█▒▒█░░,    100000100001010,    █░░░░░█░░░░█░█░, {2 3 5 37}
 16692,    211220020,    █▒▒██░░█░,    100000100110100,    █░░░░░█░░██░█░░, {2 3 13 107}
 16830,    212002100,    █▒█░░█▒░░,    100000110111110,    █░░░░░██░█████░, {2 3 5 11 17}
 16902,    212012000,    █▒█░▒█░░░,    100001000000110,    █░░░░█░░░░░░██░, {2 3 313}
 16980,    212021220,    █▒█░█▒██░,    100001001010100,    █░░░░█░░█░█░█░░, {2 3 5 283}
 17028,    212100200,    █▒█▒░░█░░,    100001010000100,    █░░░░█░█░░░░█░░, {2 3 11 43}
 17190,    212120200,    █▒█▒█░█░░,    100001100100110,    █░░░░██░░█░░██░, {2 3 5 191}
 17208,    212121100,    █▒█▒█▒▒░░,    100001100111000,    █░░░░██░░███░░░, {2 3 239}
 17292,    212201110,    █▒██░▒▒▒░,    100001110001100,    █░░░░███░░░██░░, {2 3 11 131}
 17388,    212212000,    █▒██▒█░░░,    100001111101100,    █░░░░█████░██░░, {2 3 7 23}
 17418,    212220010,    █▒███░░▒░,    100010000001010,    █░░░█░░░░░░█░█░, {2 3 2903}
 17490,    212222210,    █▒█████▒░,    100010001010010,    █░░░█░░░█░█░░█░, {2 3 5 11 53}
 17580,    220010010,    ██░░▒░░▒░,    100010010101100,    █░░░█░░█░█░██░░, {2 3 5 293}
 17598,    220010210,    ██░░▒░█▒░,    100010010111110,    █░░░█░░█░█████░, {2 3 7 419}
 17658,    220020000,    ██░░█░░░░,    100010011111010,    █░░░█░░█████░█░, {2 3 109}
 17682,    220020220,    ██░░█░██░,    100010100010010,    █░░░█░█░░░█░░█░, {2 3 7 421}
 17748,    220100100,    ██░▒░░▒░░,    100010101010100,    █░░░█░█░█░█░█░░, {2 3 17 29}
 17790,    220101220,    ██░▒░▒██░,    100010101111110,    █░░░█░█░██████░, {2 3 5 593}
 17838,    220110200,    ██░▒▒░█░░,    100010110101110,    █░░░█░██░█░███░, {2 3 991}
 17910,    220120100,    ██░▒█░▒░░,    100010111110110,    █░░░█░█████░██░, {2 3 5 199}
 17922,    220120210,    ██░▒█░█▒░,    100011000000010,    █░░░██░░░░░░░█░, {2 3 29 103}
 17958,    220122010,    ██░▒██░▒░,    100011000100110,    █░░░██░░░█░░██░, {2 3 41 73}
 17988,    220200020,    ██░█░░░█░,    100011001000100,    █░░░██░░█░░░█░░, {2 3 1499}
 18042,    220202020,    ██░█░█░█░,    100011001111010,    █░░░██░░████░█░, {2 3 31 97}
 18048,    220202110,    ██░█░█▒▒░,    100011010000000,    █░░░██░█░░░░░░░, {2 3 47}
 18060,    220202220,    ██░█░███░,    100011010001100,    █░░░██░█░░░██░░, {2 3 5 7 43}
 18120,    220212010,    ██░█▒█░▒░,    100011011001000,    █░░░██░██░░█░░░, {2 3 5 151}
 18132,    220212120,    ██░█▒█▒█░,    100011011010100,    █░░░██░██░█░█░░, {2 3 1511}
 18252,    221001000,    ██▒░░▒░░░,    100011101001100,    █░░░███░█░░██░░, {2 3 13}
 18288,    221002100,    ██▒░░█▒░░,    100011101110000,    █░░░███░███░░░░, {2 3 127}
 18312,    221010020,    ██▒░▒░░█░,    100011110001000,    █░░░████░░░█░░░, {2 3 7 109}
 18522,    221102000,    ██▒▒░█░░░,    100100001011010,    █░░█░░░░█░██░█░, {2 3 7}
 18540,    221102200,    ██▒▒░██░░,    100100001101100,    █░░█░░░░██░██░░, {2 3 5 103}
 18912,    221221110,    ██▒██▒▒▒░,    100100111100000,    █░░█░░████░░░░░, {2 3 197}
 18918,    221221200,    ██▒██▒█░░,    100100111100110,    █░░█░░████░░██░, {2 3 1051}
 19080,    222011200,    ███░▒▒█░░,    100101010001000,    █░░█░█░█░░░█░░░, {2 3 5 53}
 19140,    222020220,    ███░█░██░,    100101011000100,    █░░█░█░██░░░█░░, {2 3 5 11 29}
 19182,    222022110,    ███░██▒▒░,    100101011101110,    █░░█░█░███░███░, {2 3 23 139}
 19212,    222100120,    ███▒░░▒█░,    100101100001100,    █░░█░██░░░░██░░, {2 3 1601}
 19380,    222120210,    ███▒█░█▒░,    100101110110100,    █░░█░███░██░█░░, {2 3 5 17 19}
 19422,    222122100,    ███▒██▒░░,    100101111011110,    █░░█░████░████░, {2 3 13 83}
 19428,    222122120,    ███▒██▒█░,    100101111100100,    █░░█░█████░░█░░, {2 3 1619}
 19470,    222201010,    ████░▒░▒░,    100110000001110,    █░░██░░░░░░███░, {2 3 5 11 59}
 19542,    222210210,    ████▒░█▒░,    100110001010110,    █░░██░░░█░█░██░, {2 3 3257}
 19698,   1000000120,   ▒░░░░░░▒█░,    100110011110010,    █░░██░░████░░█░, {2 3 7 67}
 19752,   1000002120,   ▒░░░░░█▒█░,    100110100101000,    █░░██░█░░█░█░░░, {2 3 823}
 19842,   1000012220,   ▒░░░░▒███░,    100110110000010,    █░░██░██░░░░░█░, {2 3 3307}
 19890,   1000021200,   ▒░░░░█▒█░░,    100110110110010,    █░░██░██░██░░█░, {2 3 5 13 17}
 19962,   1000101100,   ▒░░░▒░▒▒░░,    100110111111010,    █░░██░██████░█░, {2 3 1109}
 19992,   1000102110,   ▒░░░▒░█▒▒░,    100111000011000,    █░░███░░░░██░░░, {2 3 7 17}
 20022,   1000110120,   ▒░░░▒▒░▒█░,    100111000110110,    █░░███░░░██░██░, {2 3 47 71}
 20148,   1000122020,   ▒░░░▒██░█░,    100111010110100,    █░░███░█░██░█░░, {2 3 23 73}
 20232,   1000202100,   ▒░░░█░█▒░░,    100111100001000,    █░░████░░░░█░░░, {2 3 281}
 20358,   1000221000,   ▒░░░██▒░░░,    100111110000110,    █░░█████░░░░██░, {2 3 13 29}
 20442,   1001001010,   ▒░░▒░░▒░▒░,    100111111011010,    █░░██████░██░█░, {2 3 3407}
 20478,   1001002110,   ▒░░▒░░█▒▒░,    100111111111110,    █░░███████████░, {2 3 3413}
 20508,   1001010120,   ▒░░▒░▒░▒█░,    101000000011100,    █░█░░░░░░░███░░, {2 3 1709}
 20550,   1001012010,   ▒░░▒░▒█░▒░,    101000001000110,    █░█░░░░░█░░░██░, {2 3 5 137}
 20640,   1001022110,   ▒░░▒░██▒▒░,    101000010100000,    █░█░░░░█░█░░░░░, {2 3 5 43}
 20718,   1001102100,   ▒░░▒▒░█▒░░,    101000011101110,    █░█░░░░███░███░, {2 3 1151}
 20748,   1001110110,   ▒░░▒▒▒░▒▒░,    101000100001100,    █░█░░░█░░░░██░░, {2 3 7 13 19}
 20772,   1001111100,   ▒░░▒▒▒▒▒░░,    101000100100100,    █░█░░░█░░█░░█░░, {2 3 577}
 20808,   1001112200,   ▒░░▒▒▒██░░,    101000101001000,    █░█░░░█░█░░█░░░, {2 3 17}
 20898,   1001200000,   ▒░░▒█░░░░░,    101000110100010,    █░█░░░██░█░░░█░, {2 3 43}
 20982,   1001210010,   ▒░░▒█▒░░▒░,    101000111110110,    █░█░░░█████░██░, {2 3 13 269}
 21012,   1001211020,   ▒░░▒█▒▒░█░,    101001000010100,    █░█░░█░░░░█░█░░, {2 3 17 103}
 21018,   1001211110,   ▒░░▒█▒▒▒▒░,    101001000011010,    █░█░░█░░░░██░█░, {2 3 31 113}
 21060,   1001220000,   ▒░░▒██░░░░,    101001001000100,    █░█░░█░░█░░░█░░, {2 3 5 13}
 21192,   1002001220,   ▒░░█░░▒██░,    101001011001000,    █░█░░█░██░░█░░░, {2 3 883}
 21318,   1002020120,   ▒░░█░█░▒█░,    101001101000110,    █░█░░██░█░░░██░, {2 3 11 17 19}
 21378,   1002022210,   ▒░░█░███▒░,    101001110000010,    █░█░░███░░░░░█░, {2 3 7 509}
 21492,   1002111000,   ▒░░█▒▒▒░░░,    101001111110100,    █░█░░██████░█░░, {2 3 199}
 21522,   1002112010,   ▒░░█▒▒█░▒░,    101010000010010,    █░█░█░░░░░█░░█░, {2 3 17 211}
 21558,   1002120110,   ▒░░█▒█░▒▒░,    101010000110110,    █░█░█░░░░██░██░, {2 3 3593}
 21588,   1002121120,   ▒░░█▒█▒▒█░,    101010001010100,    █░█░█░░░█░█░█░░, {2 3 7 257}
 21600,   1002122000,   ▒░░█▒██░░░,    101010001100000,    █░█░█░░░██░░░░░, {2 3 5}
 21612,   1002122110,   ▒░░█▒██▒▒░,    101010001101100,    █░█░█░░░██░██░░, {2 3 1801}
 21648,   1002200210,   ▒░░██░░█▒░,    101010010010000,    █░█░█░░█░░█░░░░, {2 3 11 41}
 21738,   1002211010,   ▒░░██▒▒░▒░,    101010011101010,    █░█░█░░███░█░█░, {2 3 3623}
 21840,   1002221220,   ▒░░███▒██░,    101010101010000,    █░█░█░█░█░█░░░░, {2 3 5 7 13}
 22038,   1010020020,   ▒░▒░░█░░█░,    101011000010110,    █░█░██░░░░█░██░, {2 3 3673}
 22092,   1010022020,   ▒░▒░░██░█░,    101011001001100,    █░█░██░░█░░██░░, {2 3 7 263}
 22110,   1010022220,   ▒░▒░░████░,    101011001011110,    █░█░██░░█░████░, {2 3 5 11 67}
 22158,   1010101200,   ▒░▒░▒░▒█░░,    101011010001110,    █░█░██░█░░░███░, {2 3 1231}
 22272,   1010112220,   ▒░▒░▒▒███░,    101011100000000,    █░█░███░░░░░░░░, {2 3 29}
 22278,   1010120010,   ▒░▒░▒█░░▒░,    101011100000110,    █░█░███░░░░░██░, {2 3 47 79}
 22368,   1010200110,   ▒░▒░█░░▒▒░,    101011101100000,    █░█░███░██░░░░░, {2 3 233}
 22482,   1010211200,   ▒░▒░█▒▒█░░,    101011111010010,    █░█░█████░█░░█░, {2 3 1249}
 22542,   1010220220,   ▒░▒░██░██░,    101100000001110,    █░██░░░░░░░███░, {2 3 13 17}
 22572,   1010222000,   ▒░▒░███░░░,    101100000101100,    █░██░░░░░█░██░░, {2 3 11 19}
 22620,   1011000210,   ▒░▒▒░░░█▒░,    101100001011100,    █░██░░░░█░███░░, {2 3 5 13 29}
 22638,   1011001110,   ▒░▒▒░░▒▒▒░,    101100001101110,    █░██░░░░██░███░, {2 3 7 11}
 22698,   1011010200,   ▒░▒▒░▒░█░░,    101100010101010,    █░██░░░█░█░█░█░, {2 3 13 97}
 22740,   1011012020,   ▒░▒▒░▒█░█░,    101100011010100,    █░██░░░██░█░█░░, {2 3 5 379}
 22860,   1011100200,   ▒░▒▒▒░░█░░,    101100101001100,    █░██░░█░█░░██░░, {2 3 5 127}
 22962,   1011111110,   ▒░▒▒▒▒▒▒▒░,    101100110110010,    █░██░░██░██░░█░, {2 3 43 89}
 23028,   1011120220,   ▒░▒▒▒█░██░,    101100111110100,    █░██░░█████░█░░, {2 3 19 101}
 23040,   1011121100,   ▒░▒▒▒█▒▒░░,    101101000000000,    █░██░█░░░░░░░░░, {2 3 5}
 23058,   1011122000,   ▒░▒▒▒██░░░,    101101000010010,    █░██░█░░░░█░░█░, {2 3 7 61}
 23202,   1011211100,   ▒░▒▒█▒▒▒░░,    101101010100010,    █░██░█░█░█░░░█░, {2 3 1289}
 23292,   1011221200,   ▒░▒▒██▒█░░,    101101011111100,    █░██░█░██████░░, {2 3 647}
 23370,   1012001120,   ▒░▒█░░▒▒█░,    101101101001010,    █░██░██░█░░█░█░, {2 3 5 19 41}
 23538,   1012021210,   ▒░▒█░█▒█▒░,    101101111110010,    █░██░██████░░█░, {2 3 3923}
 23562,   1012022200,   ▒░▒█░███░░,    101110000001010,    █░███░░░░░░█░█░, {2 3 7 11 17}
 23628,   1012102010,   ▒░▒█▒░█░▒░,    101110001001100,    █░███░░░█░░██░░, {2 3 11 179}
 23670,   1012110200,   ▒░▒█▒▒░█░░,    101110001110110,    █░███░░░███░██░, {2 3 5 263}
 23688,   1012111100,   ▒░▒█▒▒▒▒░░,    101110010001000,    █░███░░█░░░█░░░, {2 3 7 47}
 23742,   1012120100,   ▒░▒█▒█░▒░░,    101110010111110,    █░███░░█░█████░, {2 3 1319}
 23832,   1012200200,   ▒░▒██░░█░░,    101110100011000,    █░███░█░░░██░░░, {2 3 331}
 23910,   1012210120,   ▒░▒██▒░▒█░,    101110101100110,    █░███░█░██░░██░, {2 3 5 797}
 24108,   1020001220,   ▒░█░░░▒██░,    101111000101100,    █░████░░░█░██░░, {2 3 7 41}
 24180,   1020011120,   ▒░█░░▒▒▒█░,    101111001110100,    █░████░░███░█░░, {2 3 5 13 31}
 24372,   1020102200,   ▒░█░▒░██░░,    101111100110100,    █░█████░░██░█░░, {2 3 677}
 24420,   1020111110,   ▒░█░▒▒▒▒▒░,    101111101100100,    █░█████░██░░█░░, {2 3 5 11 37}
 24918,   1021011220,   ▒░█▒░▒▒██░,    110000101010110,    ██░░░░█░█░█░██░, {2 3 4153}
 24978,   1021021010,   ▒░█▒░█▒░▒░,    110000110010010,    ██░░░░██░░█░░█░, {2 3 23 181}
 25032,   1021100010,   ▒░█▒▒░░░▒░,    110000111001000,    ██░░░░███░░█░░░, {2 3 7 149}
 25170,   1021112020,   ▒░█▒▒▒█░█░,    110001001010010,    ██░░░█░░█░█░░█░, {2 3 5 839}
 25302,   1021201010,   ▒░█▒█░▒░▒░,    110001011010110,    ██░░░█░██░█░██░, {2 3 4217}
 25308,   1021201100,   ▒░█▒█░▒▒░░,    110001011011100,    ██░░░█░██░███░░, {2 3 19 37}
 25410,   1021212010,   ▒░█▒█▒█░▒░,    110001101000010,    ██░░░██░█░░░░█░, {2 3 5 7 11}
 25470,   1021221100,   ▒░█▒██▒▒░░,    110001101111110,    ██░░░██░██████░, {2 3 5 283}
 25578,   1022002100,   ▒░██░░█▒░░,    110001111101010,    ██░░░█████░█░█░, {2 3 7 29}
 25602,   1022010020,   ▒░██░▒░░█░,    110010000000010,    ██░░█░░░░░░░░█░, {2 3 17 251}
 25800,   1022101120,   ▒░██▒░▒▒█░,    110010011001000,    ██░░█░░██░░█░░░, {2 3 5 43}
 25848,   1022110100,   ▒░██▒▒░▒░░,    110010011111000,    ██░░█░░█████░░░, {2 3 359}
 25932,   1022120110,   ▒░██▒█░▒▒░,    110010101001100,    ██░░█░█░█░░██░░, {2 3 2161}
 25998,   1022122220,   ▒░██▒████░,    110010110001110,    ██░░█░██░░░███░, {2 3 7 619}
 26112,   1022211010,   ▒░███▒▒░▒░,    110011000000000,    ██░░██░░░░░░░░░, {2 3 17}
 26250,   1100000020,   ▒▒░░░░░░█░,    110011010001010,    ██░░██░█░░░█░█░, {2 3 5 7}
 26262,   1100000200,   ▒▒░░░░░█░░,    110011010010110,    ██░░██░█░░█░██░, {2 3 1459}
 26682,   1100121020,   ▒▒░░▒█▒░█░,    110100000111010,    ██░█░░░░░███░█░, {2 3 4447}
 26700,   1100121220,   ▒▒░░▒█▒██░,    110100001001100,    ██░█░░░░█░░██░░, {2 3 5 89}
 26712,   1100122100,   ▒▒░░▒██▒░░,    110100001011000,    ██░█░░░░█░██░░░, {2 3 7 53}
 26730,   1100200000,   ▒▒░░█░░░░░,    110100001101010,    ██░█░░░░██░█░█░, {2 3 5 11}
 26862,   1100211220,   ▒▒░░█▒▒██░,    110100011101110,    ██░█░░░███░███░, {2 3 11 37}
 26880,   1100212120,   ▒▒░░█▒█▒█░,    110100100000000,    ██░█░░█░░░░░░░░, {2 3 5 7}
 26892,   1100220000,   ▒▒░░██░░░░,    110100100001100,    ██░█░░█░░░░██░░, {2 3 83}
 26952,   1100222020,   ▒▒░░███░█░,    110100101001000,    ██░█░░█░█░░█░░░, {2 3 1123}
 27060,   1101010020,   ▒▒░▒░▒░░█░,    110100110110100,    ██░█░░██░██░█░░, {2 3 5 11 41}
 27108,   1101012000,   ▒▒░▒░▒█░░░,    110100111100100,    ██░█░░████░░█░░, {2 3 251}
 27240,   1101100220,   ▒▒░▒▒░░██░,    110101001101000,    ██░█░█░░██░█░░░, {2 3 5 227}
 27282,   1101102110,   ▒▒░▒▒░█▒▒░,    110101010010010,    ██░█░█░█░░█░░█░, {2 3 4547}
 27408,   1101121010,   ▒▒░▒▒█▒░▒░,    110101100010000,    ██░█░██░░░█░░░░, {2 3 571}
 27480,   1101200210,   ▒▒░▒█░░█▒░,    110101101011000,    ██░█░██░█░██░░░, {2 3 5 229}
 27528,   1101202120,   ▒▒░▒█░█▒█░,    110101110001000,    ██░█░███░░░█░░░, {2 3 31 37}
 27540,   1101210000,   ▒▒░▒█▒░░░░,    110101110010100,    ██░█░███░░█░█░░, {2 3 5 17}
 27582,   1101211120,   ▒▒░▒█▒▒▒█░,    110101110111110,    ██░█░███░█████░, {2 3 4597}
 27690,   1101222120,   ▒▒░▒███▒█░,    110110000101010,    ██░██░░░░█░█░█░, {2 3 5 13 71}
 27738,   1102001100,   ▒▒░█░░▒▒░░,    110110001011010,    ██░██░░░█░██░█░, {2 3 23 67}
 27750,   1102001210,   ▒▒░█░░▒█▒░,    110110001100110,    ██░██░░░██░░██░, {2 3 5 37}
 27792,   1102010100,   ▒▒░█░▒░▒░░,    110110010010000,    ██░██░░█░░█░░░░, {2 3 193}
 27918,   1102022000,   ▒▒░█░██░░░,    110110100001110,    ██░██░█░░░░███░, {2 3 11 47}
 27942,   1102022220,   ▒▒░█░████░,    110110100100110,    ██░██░█░░█░░██░, {2 3 4657}
 28098,   1102112200,   ▒▒░█▒▒██░░,    110110111000010,    ██░██░███░░░░█░, {2 3 7 223}
 28110,   1102120010,   ▒▒░█▒█░░▒░,    110110111001110,    ██░██░███░░███░, {2 3 5 937}
 28182,   1102122210,   ▒▒░█▒███▒░,    110111000010110,    ██░███░░░░█░██░, {2 3 7 11 61}
 28278,   1102210100,   ▒▒░██▒░▒░░,    110111001110110,    ██░███░░███░██░, {2 3 1571}
 28308,   1102211110,   ▒▒░██▒▒▒▒░,    110111010010100,    ██░███░█░░█░█░░, {2 3 7 337}
 28350,   1102220000,   ▒▒░███░░░░,    110111010111110,    ██░███░█░█████░, {2 3 5 7}
 28410,   1102222020,   ▒▒░████░█░,    110111011111010,    ██░███░█████░█░, {2 3 5 947}
 28548,   1110011100,   ▒▒▒░░▒▒▒░░,    110111110000100,    ██░█████░░░░█░░, {2 3 13 61}
 28572,   1110012020,   ▒▒▒░░▒█░█░,    110111110011100,    ██░█████░░███░░, {2 3 2381}
 28620,   1110021000,   ▒▒▒░░█▒░░░,    110111111001100,    ██░██████░░██░░, {2 3 5 53}
 28662,   1110022120,   ▒▒▒░░██▒█░,    110111111110110,    ██░████████░██░, {2 3 17 281}
 28752,   1110102220,   ▒▒▒░▒░███░,    111000001010000,    ███░░░░░█░█░░░░, {2 3 599}
 29022,   1110210220,   ▒▒▒░█▒░██░,    111000101011110,    ███░░░█░█░████░, {2 3 7 691}
 29130,   1110221220,   ▒▒▒░██▒██░,    111000111001010,    ███░░░███░░█░█░, {2 3 5 971}
 29208,   1111001210,   ▒▒▒▒░░▒█▒░,    111001000011000,    ███░░█░░░░██░░░, {2 3 1217}
 29388,   1111022110,   ▒▒▒▒░██▒▒░,    111001011001100,    ███░░█░██░░██░░, {2 3 31 79}
 29400,   1111022220,   ▒▒▒▒░████░,    111001011011000,    ███░░█░██░██░░░, {2 3 5 7}
 29568,   1111120010,   ▒▒▒▒▒█░░▒░,    111001110000000,    ███░░███░░░░░░░, {2 3 7 11}
 29670,   1111200220,   ▒▒▒▒█░░██░,    111001111100110,    ███░░█████░░██░, {2 3 5 23 43}
 29760,   1111211020,   ▒▒▒▒█▒▒░█░,    111010001000000,    ███░█░░░█░░░░░░, {2 3 5 31}
 29880,   1111222200,   ▒▒▒▒████░░,    111010010111000,    ███░█░░█░███░░░, {2 3 5 83}
 30012,   1112011120,   ▒▒▒█░▒▒▒█░,    111010100111100,    ███░█░█░░████░░, {2 3 41 61}
 30090,   1112021110,   ▒▒▒█░█▒▒▒░,    111010110001010,    ███░█░██░░░█░█░, {2 3 5 17 59}
 30138,   1112100020,   ▒▒▒█▒░░░█░,    111010110111010,    ███░█░██░███░█░, {2 3 5023}
 30270,   1112112010,   ▒▒▒█▒▒█░▒░,    111011000111110,    ███░██░░░█████░, {2 3 5 1009}
 30390,   1112200120,   ▒▒▒██░░▒█░,    111011010110110,    ███░██░█░██░██░, {2 3 5 1013}
 30468,   1112210110,   ▒▒▒██▒░▒▒░,    111011100000100,    ███░███░░░░░█░░, {2 3 2539}
 30492,   1112211100,   ▒▒▒██▒▒▒░░,    111011100011100,    ███░███░░░███░░, {2 3 7 11}
 30558,   1112220210,   ▒▒▒███░█▒░,    111011101011110,    ███░███░█░████░, {2 3 11 463}
 30840,   1120022020,   ▒▒█░░██░█░,    111100001111000,    ████░░░░████░░░, {2 3 5 257}
 30852,   1120022200,   ▒▒█░░███░░,    111100010000100,    ████░░░█░░░░█░░, {2 3 857}
 30870,   1120100100,   ▒▒█░▒░░▒░░,    111100010010110,    ████░░░█░░█░██░, {2 3 5 7}
 31080,   1120122010,   ▒▒█░▒██░▒░,    111100101101000,    ████░░█░██░█░░░, {2 3 5 7 37}
 31122,   1120200200,   ▒▒█░█░░█░░,    111100110010010,    ████░░██░░█░░█░, {2 3 7 13 19}
 31152,   1120201210,   ▒▒█░█░▒█▒░,    111100110110000,    ████░░██░██░░░░, {2 3 11 59}
 31182,   1120202220,   ▒▒█░█░███░,    111100111001110,    ████░░███░░███░, {2 3 5197}
 31248,   1120212100,   ▒▒█░█▒█▒░░,    111101000010000,    ████░█░░░░█░░░░, {2 3 7 31}
 31320,   1120222000,   ▒▒█░███░░░,    111101001011000,    ████░█░░█░██░░░, {2 3 5 29}
 31392,   1121001200,   ▒▒█▒░░▒█░░,    111101010100000,    ████░█░█░█░░░░░, {2 3 109}
 31512,   1121020010,   ▒▒█▒░█░░▒░,    111101100011000,    ████░██░░░██░░░, {2 3 13 101}
 31542,   1121021020,   ▒▒█▒░█▒░█░,    111101100110110,    ████░██░░██░██░, {2 3 7 751}
 31722,   1121111220,   ▒▒█▒▒▒▒██░,    111101111101010,    ████░█████░█░█░, {2 3 17 311}
 31728,   1121112010,   ▒▒█▒▒▒█░▒░,    111101111110000,    ████░██████░░░░, {2 3 661}
 31770,   1121120200,   ▒▒█▒▒█░█░░,    111110000011010,    █████░░░░░██░█░, {2 3 5 353}
 31848,   1121200120,   ▒▒█▒█░░▒█░,    111110001101000,    █████░░░██░█░░░, {2 3 1327}
 32028,   1121221020,   ▒▒█▒██▒░█░,    111110100011100,    █████░█░░░███░░, {2 3 17 157}
 32058,   1121222100,   ▒▒█▒███▒░░,    111110100111010,    █████░█░░███░█░, {2 3 13 137}
 32118,   1122001120,   ▒▒██░░▒▒█░,    111110101110110,    █████░█░███░██░, {2 3 53 101}
 32142,   1122002110,   ▒▒██░░█▒▒░,    111110110001110,    █████░██░░░███░, {2 3 11 487}
 32190,   1122011020,   ▒▒██░▒▒░█░,    111110110111110,    █████░██░█████░, {2 3 5 29 37}
 32298,   1122022020,   ▒▒██░██░█░,    111111000101010,    ██████░░░█░█░█░, {2 3 7 769}
 32322,   1122100010,   ▒▒██▒░░░▒░,    111111001000010,    ██████░░█░░░░█░, {2 3 5387}
 32370,   1122101220,   ▒▒██▒░▒██░,    111111001110010,    ██████░░███░░█░, {2 3 5 13 83}
 32412,   1122110110,   ▒▒██▒▒░▒▒░,    111111010011100,    ██████░█░░███░░, {2 3 37 73}
 32442,   1122111120,   ▒▒██▒▒▒▒█░,    111111010111010,    ██████░█░███░█░, {2 3 5407}
 32532,   1122121220,   ▒▒██▒█▒██░,    111111100010100,    ███████░░░█░█░░, {2 3 2711}
 32562,   1122200000,   ▒▒███░░░░░,    111111100110010,    ███████░░██░░█░, {2 3 67}
 32610,   1122201210,   ▒▒███░▒█▒░,    111111101100010,    ███████░██░░░█░, {2 3 5 1087}
 32718,   1122212210,   ▒▒███▒██▒░,    111111111001110,    █████████░░███░, {2 3 7 19 41}
 32802,   1122222220,   ▒▒███████░,   1000000000100010,   █░░░░░░░░░█░░░█░, {2 3 7 11 71}
 32832,   1200001000,   ▒█░░░░▒░░░,   1000000001000000,   █░░░░░░░░█░░░░░░, {2 3 19}
 32910,   1200010220,   ▒█░░░▒░██░,   1000000010001110,   █░░░░░░░█░░░███░, {2 3 5 1097}
 32940,   1200012000,   ▒█░░░▒█░░░,   1000000010101100,   █░░░░░░░█░█░██░░, {2 3 5 61}
 32970,   1200020010,   ▒█░░░█░░▒░,   1000000011001010,   █░░░░░░░██░░█░█░, {2 3 5 7 157}
 33072,   1200100220,   ▒█░░▒░░██░,   1000000100110000,   █░░░░░░█░░██░░░░, {2 3 13 53}
 33150,   1200110210,   ▒█░░▒▒░█▒░,   1000000101111110,   █░░░░░░█░██████░, {2 3 5 13 17}
 33180,   1200111220,   ▒█░░▒▒▒██░,   1000000110011100,   █░░░░░░██░░███░░, {2 3 5 7 79}
 33288,   1200122220,   ▒█░░▒████░,   1000001000001000,   █░░░░░█░░░░░█░░░, {2 3 19 73}
 33330,   1200201110,   ▒█░░█░▒▒▒░,   1000001000110010,   █░░░░░█░░░██░░█░, {2 3 5 11 101}
 33348,   1200202010,   ▒█░░█░█░▒░,   1000001001000100,   █░░░░░█░░█░░░█░░, {2 3 7 397}
 33588,   1201002000,   ▒█░▒░░█░░░,   1000001100110100,   █░░░░░██░░██░█░░, {2 3 311}
 33600,   1201002110,   ▒█░▒░░█▒▒░,   1000001101000000,   █░░░░░██░█░░░░░░, {2 3 5 7}
 33618,   1201010010,   ▒█░▒░▒░░▒░,   1000001101010010,   █░░░░░██░█░█░░█░, {2 3 13 431}
 33750,   1201022000,   ▒█░▒░██░░░,   1000001111010110,   █░░░░░████░█░██░, {2 3 5}
 33768,   1201022200,   ▒█░▒░███░░,   1000001111101000,   █░░░░░█████░█░░░, {2 3 7 67}
