# Twin prime centers up to 10000

# `n`       a positive even integer sitting between two prime numbers
# `base3`   the ternary representation of n
# `symbol3` symbolic representation of the ternary encoding of n (1 = "░", 2 = "▒", 3 = "█")
# `base2`   the binary representation of n
# `symbol2` symbolic representation of the binary encoding of n (1 = "░", 2 = "█")
# `factors` the prime factors of n

    n,      base3,    symbol3,           base2,         symbol2, factors
 2382,   10021020,   ▒░░█▒░█░,    100101001110,    █░░█░█░░███░, {2 3 397}
 2550,   10111110,   ▒░▒▒▒▒▒░,    100111110110,    █░░█████░██░, {2 3 5 17}
 2592,   10120000,   ▒░▒█░░░░,    101000100000,    █░█░░░█░░░░░, {2 3}
 2658,   10122110,   ▒░▒██▒▒░,    101001100010,    █░█░░██░░░█░, {2 3 443}
 2688,   10200120,   ▒░█░░▒█░,    101010000000,    █░█░█░░░░░░░, {2 3 7}
 2712,   10201110,   ▒░█░▒▒▒░,    101010011000,    █░█░█░░██░░░, {2 3 113}
 2730,   10202010,   ▒░█░█░▒░,    101010101010,    █░█░█░█░█░█░, {2 3 5 7 13}
 2790,   10211100,   ▒░█▒▒▒░░,    101011100110,    █░█░███░░██░, {2 3 5 31}
 2802,   10211210,   ▒░█▒▒█▒░,    101011110010,    █░█░████░░█░, {2 3 467}
 2970,   11002000,   ▒▒░░█░░░,    101110011010,    █░███░░██░█░, {2 3 5 11}
 3000,   11010010,   ▒▒░▒░░▒░,    101110111000,    █░███░███░░░, {2 3 5}
 3120,   11021120,   ▒▒░█▒▒█░,    110000110000,    ██░░░░██░░░░, {2 3 5 13}
 3168,   11100100,   ▒▒▒░░▒░░,    110001100000,    ██░░░██░░░░░, {2 3 11}
 3252,   11110110,   ▒▒▒▒░▒▒░,    110010110100,    ██░░█░██░█░░, {2 3 271}
 3258,   11110200,   ▒▒▒▒░█░░,    110010111010,    ██░░█░███░█░, {2 3 181}
 3300,   11112020,   ▒▒▒▒█░█░,    110011100100,    ██░░███░░█░░, {2 3 5 11}
 3330,   11120100,   ▒▒▒█░▒░░,    110100000010,    ██░█░░░░░░█░, {2 3 5 37}
 3360,   11121110,   ▒▒▒█▒▒▒░,    110100100000,    ██░█░░█░░░░░, {2 3 5 7}
 3372,   11121220,   ▒▒▒█▒██░,    110100101100,    ██░█░░█░██░░, {2 3 281}
 3390,   11122120,   ▒▒▒██▒█░,    110100111110,    ██░█░░█████░, {2 3 5 113}
 3462,   11202020,   ▒▒█░█░█░,    110110000110,    ██░██░░░░██░, {2 3 577}
 3468,   11202110,   ▒▒█░█▒▒░,    110110001100,    ██░██░░░██░░, {2 3 17}
 3528,   11211200,   ▒▒█▒▒█░░,    110111001000,    ██░███░░█░░░, {2 3 7}
 3540,   11212010,   ▒▒█▒█░▒░,    110111010100,    ██░███░█░█░░, {2 3 5 59}
 3558,   11212210,   ▒▒█▒██▒░,    110111100110,    ██░████░░██░, {2 3 593}
 3582,   11220200,   ▒▒██░█░░,    110111111110,    ██░████████░, {2 3 199}
 3672,   12001000,   ▒█░░▒░░░,    111001011000,    ███░░█░██░░░, {2 3 17}
 3768,   12011120,   ▒█░▒▒▒█░,    111010111000,    ███░█░███░░░, {2 3 157}
 3822,   12020120,   ▒█░█░▒█░,    111011101110,    ███░███░███░, {2 3 7 13}
 3852,   12021200,   ▒█░█▒█░░,    111100001100,    ████░░░░██░░, {2 3 107}
 3918,   12101010,   ▒█▒░▒░▒░,    111101001110,    ████░█░░███░, {2 3 653}
 3930,   12101120,   ▒█▒░▒▒█░,    111101011010,    ████░█░██░█░, {2 3 5 131}
 4002,   12111020,   ▒█▒▒▒░█░,    111110100010,    █████░█░░░█░, {2 3 23 29}
 4020,   12111220,   ▒█▒▒▒██░,    111110110100,    █████░██░█░░, {2 3 5 67}
 4050,   12120000,   ▒█▒█░░░░,    111111010010,    ██████░█░░█░, {2 3 5}
 4092,   12121120,   ▒█▒█▒▒█░,    111111111100,    ██████████░░, {2 3 11 31}
 4128,   12122220,   ▒█▒████░,   1000000100000,   █░░░░░░█░░░░░, {2 3 43}
 4158,   12201000,   ▒██░▒░░░,   1000000111110,   █░░░░░░█████░, {2 3 7 11}
 4218,   12210020,   ▒██▒░░█░,   1000001111010,   █░░░░░████░█░, {2 3 19 37}
 4230,   12210200,   ▒██▒░█░░,   1000010000110,   █░░░░█░░░░██░, {2 3 5 47}
 4242,   12211010,   ▒██▒▒░▒░,   1000010010010,   █░░░░█░░█░░█░, {2 3 7 101}
 4260,   12211210,   ▒██▒▒█▒░,   1000010100100,   █░░░░█░█░░█░░, {2 3 5 71}
 4272,   12212020,   ▒██▒█░█░,   1000010110000,   █░░░░█░██░░░░, {2 3 89}
 4338,   12221200,   ▒███▒█░░,   1000011110010,   █░░░░████░░█░, {2 3 241}
