# `factorzig` the prime factors of n, indented by distance from the nearest prime
# `psym`      the symmetric primes at equal offsets around n

factorzig,                     psym
  29⋅79,                       [18 48]
 2²⋅3⋅191,                     [5 19 41 49 55 79 85 89]
2293,                          [54 90]
 2⋅31⋅37,                      [57 87]
  3³⋅5⋅17,                     [2 14 44 52 56 82 88]
 2³⋅7⋅41,                      [15 45 75 93]
2297,                          [54 60 84]
 2⋅3⋅383,                      [11 59 85 91 95]
  11²⋅19,                      [12 48 78]
   2²⋅5²⋅23,                   [33 57 93]
    3⋅13⋅59,                   [8 32 50 80 88 98]
     2⋅1151,                   [9 81]
      7²⋅47,                   [6 30 36 90 96]
     2⁸⋅3²,                    [7 35 37 53 67]
    5⋅461,                     [36 66 84]
   2⋅1153,                     [33 93]
  3⋅769,                       [26 34 40 64 70 86]
 2²⋅577,                       [39 69]
2309,                          [42 72]
 2⋅3⋅5⋅7⋅11,                   [1 23 29 37 41 67 71 73]
2311,                          [30 60 72]
 2³⋅17²,                       [39 45 69 99]
  3²⋅257,                      [20 26 44 70 76]
   2⋅13⋅89,                    [27 33 63 75]
    5⋅463,                     [18 42 78]
     2²⋅3⋅193,                 [23 35 65 73 77 95]
      7⋅331,                   [24 30 66]
       2⋅19⋅61,                [21 75 81]
        3⋅773,                 [22 32 38 52 80 98]
         2⁴⋅5⋅29,              [27 51 69]
          11⋅211,              [12 78]
           2⋅3³⋅43,            [11 25 29 35 49 55 71]
          23⋅101,              [54]
         2²⋅7⋅83,              [15 27 57 87]
        3⋅5²⋅31,               [14 16 32 52 56 58 74 86]
       2⋅1163,                 [15 45 57]
      13⋅179,                  [30 54 84 90]
     2³⋅3⋅97,                  [19 55 61 89]
    17⋅137,                    [18 42 48 60]
   2⋅5⋅233,                    [21 63 87 93]
  3²⋅7⋅37,                     [20 50 58 62 80 92]
 2²⋅11⋅53,                     [39 45 51]
2333,                          [24 60 66 90]
 2⋅3⋅389,                      [23 37 47 65 83]
  5⋅467,                       [42 48 54]
   2⁵⋅73,                      [3 63]
  3⋅19⋅41,                     [4 40 44 56 86 100]
 2⋅7⋅167,                      [45 51 99]
2339,                          [42 72]
 2²⋅3²⋅5⋅13,                   [1 7 31 43 53 59 71 97]
2341,                          [30 48]
 2⋅1171,                       [9 69 75 99]
  3⋅11⋅71,                     [4 34 46 50 56 74]
   2³⋅293,                     [3 33 93]
  5⋅7⋅67,                      [6 12 36 48 72 78]
 2⋅3⋅17⋅23,                    [5 35 37 53 65 77 95]
2347,                          [36]
 2²⋅587,                       [9 51 75]
  3⁴⋅29,                       [2 8 40 62 68 98]
 2⋅5²⋅47,                      [39]
2351,                          [42]
 2⁴⋅3⋅7²,                      [5 19 41 59 65 71 85]
  13⋅181,                      [84]
   2⋅11⋅107,                   [3 45 57 87]
  3⋅5⋅157,                     [16 22 44 62 68 82 86]
 2²⋅19⋅31,                     [15]
2357,                          [24 60 84 90]
 2⋅3²⋅131,                     [19 25 65 89]
  7⋅337,                       [12 18 78]
   2³⋅5⋅59,                    [21 51 63 87]
    3⋅787,                     [10 20 22 28 50 80]
     2⋅1181,                   [15 21 75]
      17⋅139,                  [30 54 96]
       2²⋅3⋅197,               [7 13 17 25 53 77 83 95]
      5⋅11⋅43,                 [18 24 72]
     2⋅7⋅13²,                  [15 27 33 57 93]
    3²⋅263,                    [10 16 26 56 70 74 80 100]
   2⁶⋅37,                      [21 99]
  23⋅103,                      [12 30 72]
 2⋅3⋅5⋅79,                     [13 19 23 29 77 89 97]
2371,                          []
 2²⋅593,                       [21 39 75]
  3⋅7⋅113,                     [16 26 64 86 100]
   2⋅1187,                     [3 63 93]
  5³⋅19,                       [18 24 36 42 66]
 2³⋅3³⋅11,                     [5 35 65 83]
2377,                          [6 90 96]
 2⋅29⋅41,                      [21 39 45 69 81]
  3⋅13⋅61,                     [2 32 38 68 98]
 2²⋅5⋅7⋅17,                    [3 9 87 93]
2381,                          [30 42]
 2⋅3⋅397,                      [1 11 35 41 85 95]
2383,                          [6 90]
 2⁴⋅149,                       [27 33 75]
  3²⋅5⋅53,                     [4 8 14 38 52 74 88 92]
   2⋅1193,                     [3]
  7⋅11⋅31,                     [6 30 36 54 90]
 2²⋅3⋅199,                     [5 11 49 79]
2389,                          [48 78]
 2⋅5⋅239,                      [9 33 51 57]
  3⋅797,                       [2 8 20 50 82]
 2³⋅13⋅23,                     [45 81]
2393,                          [54 84]
 2⋅3²⋅7⋅19,                    [5 17 23 43 47 53 83]
  5⋅479,                       []
   2²⋅599,                     [3 15 45 63]
  3⋅17⋅47,                     [14 20 26 40 50]
 2⋅11⋅109,                     []
2399,                          [18 42 48 60]
 2⁵⋅3⋅5²,                      [11 17 23 59 67]
  7⁴,                          []
   2⋅1201,                     [9 21 45]
    3³⋅89,                     [14 20 56 64 70]
     2²⋅601,                   [33 63]
      5⋅13⋅37,                 [6 12 54 72]
     2⋅3⋅401,                  [17 35 67 97]
    29⋅83,                     [30 60 66 96]
   2³⋅7⋅43,                    [9 15 51 69]
  3⋅11⋅73,                     [28 32 38 58 68]
 2⋅5⋅241,                      [27 63]
2411,                          [12 30]
 2²⋅3²⋅67,                     [29 35 55 61 65]
  19⋅127,                      [24]
   2⋅17⋅71,                    [3 33 63]
  3⋅5⋅7⋅23,                    [22 26 32 44 58]
 2⁴⋅151,                       []
2417,                          [6 24 60]
 2⋅3⋅13⋅31,                    [19 29 41 85]
  41⋅59,                       [48]
   2²⋅5⋅11²,                   [3 21 27 39]
  3²⋅269,                      [38 82]
 2⋅7⋅173,                      [45 51 81]
2423,                          [24]
 2³⋅3⋅101,                     [13 35 43 53]
  5²⋅97,                       [42 48 78]
   2⋅1213,                     [15 33]
    3⋅809,                     [10 46 50 76 94]
     2²⋅607,                   [39 45]
      7⋅347,                   [12 18 30 48]
       2⋅3⁵⋅5,                 [7 37 47 73 91]
      11⋅13⋅17,                [42 90]
     2⁷⋅19,                    [9 15 99]
    3⋅811,                     [34 40 44]
   2⋅1217,                     [87]
  5⋅487,                       [12 24 42 96]
 2²⋅3⋅7⋅29,                    [37 85 95]
2437,                          [66]
 2⋅23⋅53,                      [21 39]
  3²⋅271,                      [2 28 82 92 100]
 2³⋅5⋅61,                      [63 99]
2441,                          [18 90]
 2⋅3⋅11⋅37,                    [5 25 31 61]
  7⋅349,                       [60 96]
   2²⋅13⋅47,                   [3 33 87]
  3⋅5⋅163,                     [22 28 94 98]
 2⋅1223,                       [57 75]
2447,                          [30 96]
 2⁴⋅3²⋅17,                     [11 25 55 91]
  31⋅79,                       [72]
   2⋅5²⋅7²,                    [9 27 93 99]
    3⋅19⋅43,                   [52 70 80 100]
     2²⋅613,                   [15 69]
      11⋅223,                  [6 96]
     2⋅3⋅409,                  [13 77 97]
    5⋅491,                     [18 66 84]
   2³⋅307,                     [75]
  3³⋅7⋅13,                     [10 16 20 46 64 74 86 100]
 2⋅1229,                       [81]
2459,                          [18]
 2²⋅3⋅5⋅41,                    [13 43 61 71 79 83 89]
  23⋅107,                      [78 90]
   2⋅1231,                     [15 69 81]
    3⋅821,                     [4 40 80 86]
   2⁵⋅7⋅11,                    [75 87 93]
  5⋅17⋅29,                     [66 84]
 2⋅3²⋅137,                     [7 55 73 77 83 85]
2467,                          [84 90]
 2²⋅617,                       [9 75]
  3⋅823,                       [52 70 80 88]
   2⋅5⋅13⋅19,                  [3 33 81 87]
  7⋅353,                       [60 72 78]
 2³⋅3⋅103,                     [5 31 49 79]
2473,                          [84]
 2⋅1237,                       [57 75]
  3²⋅5²⋅11,                    [2 28 64 76 82]
 2²⋅619,                       []
2477,                          [54 66]
 2⋅3⋅7⋅59,                     [61 79]
  37⋅67,                       [42]
   2⁴⋅5⋅31,                    [63 69 99]
    3⋅827,                     [22 40 58 70 98]
     2⋅17⋅73,                  []
      13⋅191,                  [60 66]
       2²⋅3³⋅23,               [37 47 67 73 95]
        5⋅7⋅71,                [18]
         2⋅11⋅113,             [45 63 93]
          3⋅829,               [64 70]
           2³⋅311,             [15 51]
            19⋅131,            [42 90]
             2⋅3⋅5⋅83,         [13 31 49 53 67]
            47⋅53,             []
           2²⋅7⋅89,            [51 99]
          3²⋅277,              [46 56 100]
         2⋅29⋅43,              [27 57]
        5⋅499,                 [36 48 54 84 96]
       2⁶⋅3⋅13,                [55 97]
      11⋅227,                  [24 60]
     2⋅1249,                   [51 81]
    3⋅7²⋅17,                   [22 32 40 52 58]
   2²⋅5⁴,                      []
  41⋅61,                       [42 78 90]
 2⋅3²⋅139,                     [29 55 91]
2503,                          [36]
 2³⋅313,                       [27 45 87]
  3⋅5⋅167,                     [38 46 88]
   2⋅7⋅179,                    [33]
    23⋅109,                    [84]
     2²⋅3⋅11⋅19,               [31 35 41 49 71 85]
      13⋅193,                  [42]
       2⋅5⋅251,                [33 69 99]
        3⁴⋅31,                 [38]
         2⁴⋅157,               [9 39 45]
        7⋅359,                 [36 66 96]
       2⋅3⋅419,                [37 77]
      5⋅503,                   [42 78]
     2²⋅17⋅37,                 [75 93]
    3⋅839,                     [14 40 76 100]
   2⋅1259,                     []
  11⋅229,                      [60 72]
 2³⋅3²⋅5⋅7,                    [73 97]
2521,                          [18]
 2⋅13⋅97,                      [99]
  3⋅29²,                       [20 56 86]
   2²⋅631,                     []
    5²⋅101,                    [66 84]
     2⋅3⋅421,                  [5 23 53 67]
    7⋅19²,                     [24 90]
   2⁵⋅79,                      [51 81]
  3²⋅281,                      [62 88 92]
 2⋅5⋅11⋅23,                    [9 27 63]
2531,                          [90]
 2²⋅3⋅211,                     [11 59 85]
  17⋅149,                      [60]
   2⋅7⋅181,                    [57 75 87]
    3⋅5⋅13²,                   [4 14 58 98]
   2³⋅317,                     [15]
  43⋅59,                       [6 96]
 2⋅3³⋅47,                      [71 79]
2539,                          [18]
 2²⋅5⋅127,                     [9 81 93]
  3⋅7⋅11²,                     [2 10 38 68]
 2⋅31⋅41,                      [75]
2543,                          [66]
 2⁴⋅3⋅53,                      [5 13 77]
  5⋅509,                       [6 72]
   2⋅19⋅67,                    [3 87]
  3²⋅283,                      [4 44 70 74 100]
 2²⋅7²⋅13,                     [9 45]
2549,                          [72]
 2⋅3⋅5²⋅17,                    [1 7 29 83]
2551,                          []
 2³⋅11⋅29,                     []
  3⋅23⋅37,                     [4 80 94]
   2⋅1277,                     [3]
  5⋅7⋅73,                      [24 78]
 2²⋅3²⋅71,                     [35 53]
2557,                          [36 90]
 2⋅1279,                       [99]
  3⋅853,                       [20 100]
   2⁹⋅5,                       [57 87]
    13⋅197,                    [18 30]
     2⋅3⋅7⋅61,                 [31 59 85 95]
      11⋅233,                  [96]
       2²⋅641,                 [15]
        3³⋅5⋅19,               [14 26 44 92 98]
         2⋅1283,               [27 93]
          17⋅151,              [24 90]
           2³⋅3⋅107,           [11 25 65 91 95]
          7⋅367,               [48]
         2⋅5⋅257,              [21 39 93]
        3⋅857,                 [20 22 50]
       2²⋅643,                 [21 99]
      31⋅83,                   []
     2⋅3²⋅11⋅13,               [17 35 43 97]
    5²⋅103,                    [18 72]
   2⁴⋅7⋅23,                    [33 45]
  3⋅859,                       [56 100]
 2⋅1289,                       [39]
2579,                          [30]
 2²⋅3⋅5⋅43,                    [29 37 41 77]
  29⋅89,                       [78]
   2⋅1291,                     [39 51]
    3²⋅7⋅41,                   [26 34 80]
     2³⋅17⋅19,                 [33 63]
      5⋅11⋅47,                 [6 36]
     2⋅3⋅431,                  [7 35 47]
    13⋅199,                    [30 84]
   2²⋅647,                     [45]
  3⋅863,                       [32 58 68]
 2⋅5⋅7⋅37,                     [69 87]
2591,                          [42]
 2⁵⋅3⁴,                        [1 41 71]
2593,                          [54 90]
 2⋅1297,                       [15 63]
  3⋅5⋅173,                     [38 52 64 92]
   2²⋅11⋅59,                   [75 93]
    7²⋅53,                     [66]
     2⋅3⋅433,                  [19 49 59 95]
      23⋅113,                  [48 60 78]
       2³⋅5²⋅13,               [9 21 57]
        3²⋅17²,                [8 58 62 70 98]
       2⋅1301,                 [45 81]
      19⋅137,                  [54 60]
     2²⋅3⋅7⋅31,                [13 53 55 73 83]
    5⋅521,                     [12 54 66 84]
   2⋅1303,                     [15 27 57]
  3⋅11⋅79,                     [14 50 56 64 76 86]
 2⁴⋅163,                       [51 69]
2609,                          [78]
 2⋅3²⋅5⋅29,                    [53 61 67 79 89]
  7⋅373,                       [60 72]
   2²⋅653,                     [21 81]
    3⋅13⋅67,                   [4 20 34 64 70 74]
   2⋅1307,                     [57 63 75 93]
  5⋅523,                       [6 72 84]
 2³⋅3⋅109,                     [67 73 77 95]
2617,                          [60 66 96]
 2⋅7⋅11⋅17,                    [39 69 75]
  3³⋅97,                       [2 28 40 68 70 80 88]
 2²⋅5⋅131,                     [27 63 69 99]
2621,                          [12 42 72 78 90]
 2⋅3⋅19⋅23,                    [65 71 91]
  43⋅61,                       [66 84]
   2⁶⋅41,                      [33 75]
    3⋅5³⋅7,                    [8 32 34 46 68 74 82 86]
     2⋅13⋅101,                 [33 87]
      37⋅71,                   [6 36 84]
     2²⋅3²⋅73,                 [19 35 49 71 79 85]
    11⋅239,                    [78 90]
   2⋅5⋅263,                    [81 99]
  3⋅877,                       [40 52 80 82 88 100]
 2³⋅7⋅47,                      [15 39 75 81]
2633,                          [24 54]
 2⋅3⋅439,                      [13 25 43 55 77 85 95]
  5⋅17⋅31,                     [42 78 84 96]
   2²⋅659,                     [27 57 93]
    3²⋅293,                    [20 46 94]
     2⋅1319,                   [21 45 81]
      7⋅13⋅29,                 [18 48 60 90]
       2⁴⋅3⋅5⋅11,              [7 19 23 31 47 49 89 91]
      19⋅139,                  [48 90]
     2⋅1321,                   [21 51 99]
    3⋅881,                     [34 50 64 86]
   2²⋅661,                     [27 87]
  5⋅23²,                       [12 54 66 96]
 2⋅3³⋅7²,                      [13 25 37 53 67 95]
2647,                          [30]
 2³⋅331,                       [15 39]
  3⋅883,                       [28 40 58 70 92 100]
   2⋅5²⋅53,                    [33 57 99]
    11⋅241,                    [42 60]
     2²⋅3⋅13⋅17,               [5 19 31 35 59 61]
    7⋅379,                     [6 36 60 96]
   2⋅1327,                     [33 45 75]
  3²⋅5⋅59,                     [8 22 34 38 64 76 98]
 2⁵⋅83,                        [63]
2657,                          [36]
 2⋅3⋅443,                      [1 25 41 49]
2659,                          [12]
 2²⋅5⋅7⋅19,                    [3 27 39 51 69 81]
  3⋅887,                       [2 28 52 68 70]
 2⋅11³,                        [15 45 69]
2663,                          [30]
 2³⋅3²⋅37,                     [7 43 47 55 85]
  5⋅13⋅41,                     [6 18 48]
   2⋅31⋅43,                    [33 45 75 87]
    3⋅7⋅127,                   [4 10 20 46 74]
   2²⋅23⋅29,                   [9 21 51]
  17⋅157,                      [60]
 2⋅3⋅5⋅89,                     [7 13 23 37 49 61 79]
2671,                          [12 78]
 2⁴⋅167,                       [15 39 81]
  3⁵⋅11,                       [10 14 16 26 40 56 80 94]
   2⋅7⋅191,                    [3 15 57]
  5²⋅107,                      [12 18 54 66]
 2²⋅3⋅223,                     [13 17 43 55]
2677,                          [6 30]
 2⋅13⋅103,                     [15 21 99]
  3⋅19⋅47,                     [8 20 32 62 70 88]
   2³⋅5⋅67,                    [3 9 33 87]
  7⋅383,                       [18 48 60 72]
 2⋅3²⋅149,                     [5 11 25 49]
2683,                          [6 24 36 66]
 2²⋅11⋅61,                     [27 93]
  3⋅5⋅179,                     [2 8 14 22 26 28 64 68]
 2⋅17⋅79,                      [3 27]
2687,                          [24 54 66]
 2⁷⋅3⋅7,                       [1 5 11 25 31 41 79]
2689,                          [18 30 42]
 2⋅5⋅269,                      [3 99]
  3²⋅13⋅23,                    [2 8 20 28 58 98 100]
 2²⋅673,                       [15 21 75 99]
2693,                          [6 36 60 84]
 2⋅3⋅449,                      [5 17 35 37 47 73]
  5⋅7²⋅11,                     [12 18 24 36]
   2³⋅337,                     [3 33]
  3⋅29⋅31,                     [10 14 34 80]
 2⋅19⋅71,                      [9 15 21 51]
2699,                          [12 42 78 90]
 2²⋅3³⋅5²,                     [7 11 13 29 41 53 67 91]
  37⋅73,                       [12 18 30]
   2⋅7⋅193,                    [9 39]
    3⋅17⋅53,                   [4 10 16 26 46 86 94]
   2⁴⋅13²,                     [15 27 45 87]
  5⋅541,                       [6 48 72 84 96]
 2⋅3⋅11⋅41,                    [7 13 23 35 43 47 85 97]
2707,                          [24 60 90]
 2²⋅677,                       [21 45]
  3²⋅7⋅43,                     [2 10 20 22 32 88 92]
 2⋅5⋅271,                      [3 21 39 93]
2711,                          [18 78 90]
 2³⋅3⋅113,                     [1 19 29 41 55 65 79 91]
2713,                          [6 36 54]
 2⋅23⋅59,                      [15 27]
  3⋅5⋅181,                     [4 16 26 38 52 82]
   2²⋅7⋅97,                    [3 33]
  11⋅13⋅19,                    [24 60 84]
 2⋅3²⋅151,                     [11 31 35 59 71 85]
2719,                          [12 30 48 72]
 2⁵⋅5⋅17,                      [9 21 33 57 99]
  3⋅907,                       [8 10 28 32]
   2⋅1361,                     [9 45 75]
    7⋅389,                     [30 66]
     2²⋅3⋅227,                 [5 17 25 53 65 67 77]
    5²⋅109,                    [6 42 66 78]
   2⋅29⋅47,                    [15 27 63 93]
  3³⋅101,                      [14 40 50 64 70]
 2³⋅11⋅31,                     [21 39 69]
2729,                          [72]
 2⋅3⋅5⋅7⋅13,                   [1 11 19 23 37 47 59 67]
2731,                          [18 60 72]
 2²⋅683,                       [21 45 69]
  3⋅911,                       [20 34 44 56 70 86 100]
   2⋅1367,                     [15 57 63]
    5⋅547,                     [6 42]
     2⁴⋅3²⋅19,                 [5 17 53 65]
    7⋅17⋅23,                   [30 54 60 66]
   2⋅37²,                      [39 51 81]
  3⋅11⋅83,                     [10 28 50 52 62 80]
 2²⋅5⋅137,                     [9 27 51 57 63 93]
2741,                          [12 48 78]
 2⋅3⋅457,                      [11 35 49 55 59 95]
  13⋅211,                      [24 54 60]
   2³⋅7³,                      [33 45 57]
    3²⋅5⋅61,                   [4 32 46 52 56 58 74 88]
   2⋅1373,                     [57 87]
  41⋅67,                       [6 54 90]
 2²⋅3⋅229,                     [19 29 41 49 55 71 85 89]
2749,                          [18 42]
 2⋅5³⋅11,                      [39 51 87 93]
  3⋅7⋅131,                     [2 38 40 52 68 92]
 2⁶⋅43,                        [39 45 81]
2753,                          [24 66 90]
 2⋅3⁴⋅17,                      [13 23 35 43 47 65 83 97]
  5⋅19⋅29,                     [36 42 48 78 96]
   2²⋅13⋅53,                   [45 63]
    3⋅919,                     [44 46 80 86 94 100]
     2⋅7⋅197,                  [9 39 45 75 99]
      31⋅89,                   [18 30 60]
       2³⋅3⋅5⋅23,              [7 29 31 41 73 77 83 97]
      11⋅251,                  [30 42 72 90]
     2⋅1381,                   [75 99]
    3²⋅307,                    [14 34 56 70 74 80]
   2²⋅691,                     [33 87 93]
  5⋅7⋅79,                      [12 24 36 54 72 78]
 2⋅3⋅461,                      [25 35 37 53 67 77 95]
2767,                          [36 84 90]
 2⁴⋅173,                       [69 75]
  3⋅13⋅71,                     [20 28 50 82 92]
   2⋅5⋅277,                    [21 63 81 87]
    17⋅163,                    [18 30 72]
     2²⋅3²⋅7⋅11,               [5 19 31 61 65 79 85 89]
    47⋅59,                     [24 60 84]
   2⋅19⋅73,                    [45 63 87]
  3⋅5²⋅37,                     [22 26 44 62 68 76 82 86]
 2³⋅347,                       [27 57]
2777,                          [24 66 84]
 2⋅3⋅463,                      [11 25 59 65 79]
  7⋅397,                       [12 72]
   2²⋅5⋅139,                   [39 81]
    3³⋅103,                    [52 62 70 98]
     2⋅13⋅107,                 [15 51 69 75]
      11²⋅23,                  [6 54 96]
     2⁵⋅3⋅29,                  [7 17 35 53 73 77 95]
    5⋅557,                     [18 66 72]
   2⋅7⋅199,                    [33 57 75 93]
  3⋅929,                       [10 46 56 74 100]
 2²⋅17⋅41,                     [69 99]
2789,                          [12 48 90]
 2⋅3²⋅5⋅31,                    [1 13 61 71 97]
2791,                          [42 60]
 2³⋅349,                       [51]
  3⋅7²⋅19,                     [4 26 40 44 64 86 94]
   2⋅11⋅127,                   [3 63]
  5⋅13⋅43,                     [6 42 66 84]
 2²⋅3⋅233,                     [5 7 47 55 65 83]
2797,                          [6 90]
 2⋅1399,                       [21 45 99]
  3²⋅311,                      [2 58 80 88]
 2⁴⋅5²⋅7,                      [3 33 51 87]
2801,                          [60]
 2⋅3⋅467,                      [1 35 49 95]
2803,                          [54 84]
 2²⋅701,                       [15 75 93]
  3⋅5⋅11⋅17,                   [14 28 38 52 56 74 92 98]
   2⋅23⋅61,                    []
    7⋅401,                     [30 54 96]
     2³⋅3³⋅13,                 [11 79 89 95]
      53²,                     [42 78]
       2⋅5⋅281,                [9 33 69 99]
        3⋅937,                 [8 22 92 98]
       2²⋅19⋅37,               [21 45]
      29⋅97,                   [24 84]
     2⋅3⋅7⋅67,                 [23 37 47 65 73 83 95]
    5⋅563,                     [18]
   2⁸⋅11,                      [27 63 87]
  3²⋅313,                      [16 20 26 40 86]
 2⋅1409,                       [15 69 99]
2819,                          [18 42 78 90]
 2²⋅3⋅5⋅47,                    [17 23 31 67 89]
  7⋅13⋅31,                     [30]
   2⋅17⋅83,                    [21 81]
    3⋅941,                     [20 34 56 74 94]
     2³⋅353,                   [27 33 93]
      5²⋅113,                  [36 72 84]
       2⋅3²⋅157,               [7 25 35 77]
      11⋅257,                  [24 30 60]
     2²⋅7⋅101,                 [9 51 75 99]
    3⋅23⋅41,                   [28 32 80 88 98]
   2⋅5⋅283,                    [27]
  19⋅149,                      [12 30 78]
 2⁴⋅3⋅59,                      [29 55 65]
2833,                          [84]
 2⋅13⋅109,                     [45 93]
  3⁴⋅5⋅7,                      [2 16 44 68 82]
 2²⋅709,                       []
2837,                          [60]
 2⋅3⋅11⋅43,                    [5 19 41 49 71 89]
  17⋅167,                      [48]
   2³⋅5⋅71,                    [3 21 39 63 87 99]
  3⋅947,                       [38]
 2⋅7²⋅29,                      [9 45 75]
2843,                          [54 66]
 2²⋅3²⋅79,                     [7 43 53 95]
  5⋅569,                       [12 42]
   2⋅1423,                     [57 93]
    3⋅13⋅73,                   [4 10 14 50 56 70 80]
   2⁵⋅89,                      []
  7⋅11⋅37,                     [12 30 48 60]
 2⋅3⋅5²⋅19,                    [7 47 53 59]
2851,                          []
 2²⋅23⋅31,                     [9 51 75]
  3²⋅317,                      [34 50 56 64 86 100]
   2⋅1427,                     [3 63]
  5⋅571,                       [54]
 2³⋅3⋅7⋅17,                    [5 23 53]
2857,                          [60]
 2⋅1429,                       [21 39 69 81]
  3⋅953,                       [2 58 68]
 2²⋅5⋅11⋅13,                   [27 57 93]
2861,                          [18 42]
 2⋅3³⋅53,                      [25 65 95]
  7⋅409,                       []
   2⁴⋅179,                     [45 63 75]
    3⋅5⋅191,                   [14 22 32 62 74 88 98]
     2⋅1433,                   []
      47⋅61,                   [30 90]
       2²⋅3⋅239,               [11 35 49 71]
        19⋅151,                [18]
         2⋅5⋅7⋅41,             [9 27 33 69 93]
        3²⋅11⋅29,              [38 68 82]
       2³⋅359,                 [15 81]
      13²⋅17,                  [30 36 54 84 96]
     2⋅3⋅479,                  [13 23 83 97]
    5³⋅23,                     [42 78]
   2²⋅719,                     [33 87]
  3⋅7⋅137,                     [20 26 40 76 80 86]
 2⋅1439,                       [75]
2879,                          [18 60 78 90]
 2⁶⋅3²⋅5,                      [23 29 37 47 77 83 89 91]
  43⋅67,                       [90]
   2⋅11⋅131,                   [21 45 81]
    3⋅31²,                     [4 26 80 86]
   2²⋅7⋅103,                   [33 87]
  5⋅577,                       [24 42 84]
 2⋅3⋅13⋅37,                    [53 67 83 85]
2887,                          [30 84]
 2³⋅19²,                       [9 51 69]
  3³⋅107,                      [28 38]
   2⋅5⋅17²,                    []
    7²⋅59,                     [12 48 72]
     2²⋅3⋅241,                 [5 35]
    11⋅263,                    [60]
   2⋅1447,                     [15 33 75]
  3⋅5⋅193,                     [8 44 58 62 76]
 2⁴⋅181,                       []
2897,                          [60]
 2⋅3²⋅7⋅23,                    [11 19 41 55 65]
  13⋅223,                      []
   2²⋅5²⋅29,                   [3 39 57 63 99]
  3⋅967,                       [68 98 100]
 2⋅1451,                       [15 51 69 99]
2903,                          [6 24 60 66]
 2³⋅3⋅11²,                     [53 67]
  5⋅7⋅83,                      [48]
   2⋅1453,                     [3 63]
  3²⋅17⋅19,                    [10 20 46 50 56 64]
 2²⋅727,                       []
2909,                          [30 48 90]
 2⋅3⋅5⋅97,                     [7 53 59 91]
  41⋅71,                       [60]
   2⁵⋅7⋅13,                    [15 51]
    3⋅971,                     [4 26 56]
   2⋅31⋅47,                    [57]
  5⋅11⋅53,                     [12 54 96]
 2²⋅3⁶,                        [37 55 83]
2917,                          [84]
 2⋅1459,                       [9 21 39 81]
  3⋅7⋅139,                     [82 100]
   2³⋅5⋅73,                    [33]
    23⋅127,                    [18 42 78]
     2⋅3⋅487,                  [5 35 79 89]
    37⋅79,                     []
   2²⋅17⋅43,                   [15 45 87]
  3²⋅5²⋅13,                    [28 38 46 74]
 2⋅7⋅11⋅19,                    [75 93]
2927,                          [30 84]
 2⁴⋅3⋅61,                      [11 25 41 71 91 95]
  29⋅101,                      [42 72]
   2⋅5⋅293,                    [27 33 69 93]
    3⋅977,                     [22 70 80 88]
     2²⋅733,                   []
      7⋅419,                   [6 24 30 36 90]
     2⋅3²⋅163,                 [37 77]
    5⋅587,                     [18 84]
   2³⋅367,                     [27 33 75]
  3⋅11⋅89,                     [20 34 86 100]
 2⋅13⋅113,                     [81]
2939,                          [30 60]
 2²⋅3⋅5⋅7²,                    [13 23 31 61 79 83 97]
  17⋅173,                      []
   2⋅1471,                     [15 81 99]
    3³⋅109,                    [26 56]
     2⁷⋅23,                    [27 57 93]
      5⋅19⋅31,                 [18 66]
       2⋅3⋅491,                [7 95]
      7⋅421,                   [90]
     2²⋅11⋅67,                 [9 21 51]
    3⋅983,                     [22 52 62 70 88 92]
   2⋅5²⋅59,                    [99]
  13⋅227,                      [12 48 72 90]
 2³⋅3²⋅41,                     [49]
2953,                          [66 96]
 2⋅7⋅211,                      [15 45 57]
  3⋅5⋅197,                     [2 16 46 68 94]
 2²⋅739,                       []
2957,                          [54]
 2⋅3⋅17⋅29,                    [5 41 61 79]
  11⋅269,                      [42]
   2⁴⋅5⋅37,                    [3 51 63 81]
  3²⋅7⋅47,                     [8 58 100]
 2⋅1481,                       [9 75]
2963,                          [6 36 60]
 2²⋅3⋅13⋅19,                   [7 37 47 55 77 85]
  5⋅593,                       []
   2⋅1483,                     [3 57]
  3⋅23⋅43,                     [4 70]
 2³⋅7⋅53,                      [51 81]
2969,                          [30 42 72]
 2⋅3³⋅5⋅11,                    [1 31 53 67 91]
2971,                          []
 2²⋅743,                       [69]
  3⋅991,                       [46 64 76 94]
   2⋅1487,                     [87]
    5²⋅7⋅17,                   [36 48 66]
     2⁵⋅3⋅31,                  [23 73]
      13⋅229,                  [24 60 90]
       2⋅1489,                 [21]
        3²⋅331,                [22 40 62 70 82 100]
         2²⋅5⋅149,             []
          11⋅271,              [18 42]
           2⋅3⋅7⋅71,           [19 29 55 79 85]
            19⋅157,            [66 96]
             2³⋅373,           [15 27 57]
              3⋅5⋅199,         [14 16 76 82 98]
             2⋅1493,           [15 33]
            29⋅103,            [24]
           2²⋅3²⋅83,           [31 35 49 61 79 91]
          7²⋅61,               [72]
         2⋅5⋅13⋅23,            [21 33 51 93]
        3⋅997,                 [20 28 88]
       2⁴⋅11⋅17,               [75]
      41⋅73,                   [30 90 96]
     2⋅3⋅499,                  [25 55 67 85]
    5⋅599,                     [24 42]
   2²⋅7⋅107,                   [27 87 93]
  3⁴⋅37,                       [26 40 44 70]
 2⋅1499,                       [81]
2999,                          [42 90]
