# `n`             a positive integer
# `factorization` the prime factorization of n, including exponents
# `primeness`     notes if n is a prime, prime power, radical, radical power, or primorial
# `m*`            the prime residues of n modulo a set of primes

    n, factorization, primeness,      m3, m5, m7, m11, m13, m17, m19, m23, m29, m31, m37, m41, m43, m47, m53, m59, m61, m67, m71, m73
  175, 5² 7,          ,               1,  0,  0,  10,  6,   5,   4,   14,  1,   20,  27,  11,  3,   34,  16,  57,  53,  41,  33,  29
  176, 2⁴ 11,         ,               2,  1,  1,  0,   7,   6,   5,   15,  2,   21,  28,  12,  4,   35,  17,  58,  54,  42,  34,  30
  177, 3 59,          radical,        0,  2,  2,  1,   8,   7,   6,   16,  3,   22,  29,  13,  5,   36,  18,  0,   55,  43,  35,  31
  178, 2 89,          radical,        1,  3,  3,  2,   9,   8,   7,   17,  4,   23,  30,  14,  6,   37,  19,  1,   56,  44,  36,  32
  179, 179,           prime,          2,  4,  4,  3,   10,  9,   8,   18,  5,   24,  31,  15,  7,   38,  20,  2,   57,  45,  37,  33
  180, 2² 3² 5,       ,               0,  0,  5,  4,   11,  10,  9,   19,  6,   25,  32,  16,  8,   39,  21,  3,   58,  46,  38,  34
  181, 181,           prime,          1,  1,  6,  5,   12,  11,  10,  20,  7,   26,  33,  17,  9,   40,  22,  4,   59,  47,  39,  35
  182, 2 7 13,        radical,        2,  2,  0,  6,   0,   12,  11,  21,  8,   27,  34,  18,  10,  41,  23,  5,   60,  48,  40,  36
  183, 3 61,          radical,        0,  3,  1,  7,   1,   13,  12,  22,  9,   28,  35,  19,  11,  42,  24,  6,   0,   49,  41,  37
  184, 2³ 23,         ,               1,  4,  2,  8,   2,   14,  13,  0,   10,  29,  36,  20,  12,  43,  25,  7,   1,   50,  42,  38
  185, 5 37,          radical,        2,  0,  3,  9,   3,   15,  14,  1,   11,  30,  0,   21,  13,  44,  26,  8,   2,   51,  43,  39
  186, 2 3 31,        radical,        0,  1,  4,  10,  4,   16,  15,  2,   12,  0,   1,   22,  14,  45,  27,  9,   3,   52,  44,  40
  187, 11 17,         radical,        1,  2,  5,  0,   5,   0,   16,  3,   13,  1,   2,   23,  15,  46,  28,  10,  4,   53,  45,  41
  188, 2² 47,         ,               2,  3,  6,  1,   6,   1,   17,  4,   14,  2,   3,   24,  16,  0,   29,  11,  5,   54,  46,  42
  189, 3³ 7,          ,               0,  4,  0,  2,   7,   2,   18,  5,   15,  3,   4,   25,  17,  1,   30,  12,  6,   55,  47,  43
  190, 2 5 19,        radical,        1,  0,  1,  3,   8,   3,   0,   6,   16,  4,   5,   26,  18,  2,   31,  13,  7,   56,  48,  44
  191, 191,           prime,          2,  1,  2,  4,   9,   4,   1,   7,   17,  5,   6,   27,  19,  3,   32,  14,  8,   57,  49,  45
  192, 2⁶ 3,          ,               0,  2,  3,  5,   10,  5,   2,   8,   18,  6,   7,   28,  20,  4,   33,  15,  9,   58,  50,  46
  193, 193,           prime,          1,  3,  4,  6,   11,  6,   3,   9,   19,  7,   8,   29,  21,  5,   34,  16,  10,  59,  51,  47
  194, 2 97,          radical,        2,  4,  5,  7,   12,  7,   4,   10,  20,  8,   9,   30,  22,  6,   35,  17,  11,  60,  52,  48
  195, 3 5 13,        radical,        0,  0,  6,  8,   0,   8,   5,   11,  21,  9,   10,  31,  23,  7,   36,  18,  12,  61,  53,  49
  196, 2² 7²,         radical power,  1,  1,  0,  9,   1,   9,   6,   12,  22,  10,  11,  32,  24,  8,   37,  19,  13,  62,  54,  50
  197, 197,           prime,          2,  2,  1,  10,  2,   10,  7,   13,  23,  11,  12,  33,  25,  9,   38,  20,  14,  63,  55,  51
  198, 2 3² 11,       ,               0,  3,  2,  0,   3,   11,  8,   14,  24,  12,  13,  34,  26,  10,  39,  21,  15,  64,  56,  52
  199, 199,           prime,          1,  4,  3,  1,   4,   12,  9,   15,  25,  13,  14,  35,  27,  11,  40,  22,  16,  65,  57,  53
  200, 2³ 5²,         ,               2,  0,  4,  2,   5,   13,  10,  16,  26,  14,  15,  36,  28,  12,  41,  23,  17,  66,  58,  54
  201, 3 67,          radical,        0,  1,  5,  3,   6,   14,  11,  17,  27,  15,  16,  37,  29,  13,  42,  24,  18,  0,   59,  55
  202, 2 101,         radical,        1,  2,  6,  4,   7,   15,  12,  18,  28,  16,  17,  38,  30,  14,  43,  25,  19,  1,   60,  56
  203, 7 29,          radical,        2,  3,  0,  5,   8,   16,  13,  19,  0,   17,  18,  39,  31,  15,  44,  26,  20,  2,   61,  57
  204, 2² 3 17,       ,               0,  4,  1,  6,   9,   0,   14,  20,  1,   18,  19,  40,  32,  16,  45,  27,  21,  3,   62,  58
  205, 5 41,          radical,        1,  0,  2,  7,   10,  1,   15,  21,  2,   19,  20,  0,   33,  17,  46,  28,  22,  4,   63,  59
  206, 2 103,         radical,        2,  1,  3,  8,   11,  2,   16,  22,  3,   20,  21,  1,   34,  18,  47,  29,  23,  5,   64,  60
  207, 3² 23,         ,               0,  2,  4,  9,   12,  3,   17,  0,   4,   21,  22,  2,   35,  19,  48,  30,  24,  6,   65,  61
  208, 2⁴ 13,         ,               1,  3,  5,  10,  0,   4,   18,  1,   5,   22,  23,  3,   36,  20,  49,  31,  25,  7,   66,  62
  209, 11 19,         radical,        2,  4,  6,  0,   1,   5,   0,   2,   6,   23,  24,  4,   37,  21,  50,  32,  26,  8,   67,  63
  210, 2 3 5 7,       primorial,      0,  0,  0,  1,   2,   6,   1,   3,   7,   24,  25,  5,   38,  22,  51,  33,  27,  9,   68,  64
  211, 211,           prime,          1,  1,  1,  2,   3,   7,   2,   4,   8,   25,  26,  6,   39,  23,  52,  34,  28,  10,  69,  65
  212, 2² 53,         ,               2,  2,  2,  3,   4,   8,   3,   5,   9,   26,  27,  7,   40,  24,  0,   35,  29,  11,  70,  66
  213, 3 71,          radical,        0,  3,  3,  4,   5,   9,   4,   6,   10,  27,  28,  8,   41,  25,  1,   36,  30,  12,  0,   67
  214, 2 107,         radical,        1,  4,  4,  5,   6,   10,  5,   7,   11,  28,  29,  9,   42,  26,  2,   37,  31,  13,  1,   68
  215, 5 43,          radical,        2,  0,  5,  6,   7,   11,  6,   8,   12,  29,  30,  10,  0,   27,  3,   38,  32,  14,  2,   69
  216, 2³ 3³,         radical power,  0,  1,  6,  7,   8,   12,  7,   9,   13,  30,  31,  11,  1,   28,  4,   39,  33,  15,  3,   70
  217, 7 31,          radical,        1,  2,  0,  8,   9,   13,  8,   10,  14,  0,   32,  12,  2,   29,  5,   40,  34,  16,  4,   71
  218, 2 109,         radical,        2,  3,  1,  9,   10,  14,  9,   11,  15,  1,   33,  13,  3,   30,  6,   41,  35,  17,  5,   72
  219, 3 73,          radical,        0,  4,  2,  10,  11,  15,  10,  12,  16,  2,   34,  14,  4,   31,  7,   42,  36,  18,  6,   0
  220, 2² 5 11,       ,               1,  0,  3,  0,   12,  16,  11,  13,  17,  3,   35,  15,  5,   32,  8,   43,  37,  19,  7,   1
  221, 13 17,         radical,        2,  1,  4,  1,   0,   0,   12,  14,  18,  4,   36,  16,  6,   33,  9,   44,  38,  20,  8,   2
  222, 2 3 37,        radical,        0,  2,  5,  2,   1,   1,   13,  15,  19,  5,   0,   17,  7,   34,  10,  45,  39,  21,  9,   3
  223, 223,           prime,          1,  3,  6,  3,   2,   2,   14,  16,  20,  6,   1,   18,  8,   35,  11,  46,  40,  22,  10,  4
  224, 2⁵ 7,          ,               2,  4,  0,  4,   3,   3,   15,  17,  21,  7,   2,   19,  9,   36,  12,  47,  41,  23,  11,  5
  225, 3² 5²,         radical power,  0,  0,  1,  5,   4,   4,   16,  18,  22,  8,   3,   20,  10,  37,  13,  48,  42,  24,  12,  6
  226, 2 113,         radical,        1,  1,  2,  6,   5,   5,   17,  19,  23,  9,   4,   21,  11,  38,  14,  49,  43,  25,  13,  7
  227, 227,           prime,          2,  2,  3,  7,   6,   6,   18,  20,  24,  10,  5,   22,  12,  39,  15,  50,  44,  26,  14,  8
  228, 2² 3 19,       ,               0,  3,  4,  8,   7,   7,   0,   21,  25,  11,  6,   23,  13,  40,  16,  51,  45,  27,  15,  9
  229, 229,           prime,          1,  4,  5,  9,   8,   8,   1,   22,  26,  12,  7,   24,  14,  41,  17,  52,  46,  28,  16,  10
  230, 2 5 23,        radical,        2,  0,  6,  10,  9,   9,   2,   0,   27,  13,  8,   25,  15,  42,  18,  53,  47,  29,  17,  11
  231, 3 7 11,        radical,        0,  1,  0,  0,   10,  10,  3,   1,   28,  14,  9,   26,  16,  43,  19,  54,  48,  30,  18,  12
  232, 2³ 29,         ,               1,  2,  1,  1,   11,  11,  4,   2,   0,   15,  10,  27,  17,  44,  20,  55,  49,  31,  19,  13
  233, 233,           prime,          2,  3,  2,  2,   12,  12,  5,   3,   1,   16,  11,  28,  18,  45,  21,  56,  50,  32,  20,  14
  234, 2 3² 13,       ,               0,  4,  3,  3,   0,   13,  6,   4,   2,   17,  12,  29,  19,  46,  22,  57,  51,  33,  21,  15
  235, 5 47,          radical,        1,  0,  4,  4,   1,   14,  7,   5,   3,   18,  13,  30,  20,  0,   23,  58,  52,  34,  22,  16
  236, 2² 59,         ,               2,  1,  5,  5,   2,   15,  8,   6,   4,   19,  14,  31,  21,  1,   24,  0,   53,  35,  23,  17
  237, 3 79,          radical,        0,  2,  6,  6,   3,   16,  9,   7,   5,   20,  15,  32,  22,  2,   25,  1,   54,  36,  24,  18
  238, 2 7 17,        radical,        1,  3,  0,  7,   4,   0,   10,  8,   6,   21,  16,  33,  23,  3,   26,  2,   55,  37,  25,  19
  239, 239,           prime,          2,  4,  1,  8,   5,   1,   11,  9,   7,   22,  17,  34,  24,  4,   27,  3,   56,  38,  26,  20
  240, 2⁴ 3 5,        ,               0,  0,  2,  9,   6,   2,   12,  10,  8,   23,  18,  35,  25,  5,   28,  4,   57,  39,  27,  21
  241, 241,           prime,          1,  1,  3,  10,  7,   3,   13,  11,  9,   24,  19,  36,  26,  6,   29,  5,   58,  40,  28,  22
  242, 2 11²,         ,               2,  2,  4,  0,   8,   4,   14,  12,  10,  25,  20,  37,  27,  7,   30,  6,   59,  41,  29,  23
  243, 3⁵,            prime power,    0,  3,  5,  1,   9,   5,   15,  13,  11,  26,  21,  38,  28,  8,   31,  7,   60,  42,  30,  24
  244, 2² 61,         ,               1,  4,  6,  2,   10,  6,   16,  14,  12,  27,  22,  39,  29,  9,   32,  8,   0,   43,  31,  25
  245, 5 7²,          ,               2,  0,  0,  3,   11,  7,   17,  15,  13,  28,  23,  40,  30,  10,  33,  9,   1,   44,  32,  26
  246, 2 3 41,        radical,        0,  1,  1,  4,   12,  8,   18,  16,  14,  29,  24,  0,   31,  11,  34,  10,  2,   45,  33,  27
  247, 13 19,         radical,        1,  2,  2,  5,   0,   9,   0,   17,  15,  30,  25,  1,   32,  12,  35,  11,  3,   46,  34,  28
  248, 2³ 31,         ,               2,  3,  3,  6,   1,   10,  1,   18,  16,  0,   26,  2,   33,  13,  36,  12,  4,   47,  35,  29
  249, 3 83,          radical,        0,  4,  4,  7,   2,   11,  2,   19,  17,  1,   27,  3,   34,  14,  37,  13,  5,   48,  36,  30
  250, 2 5³,          ,               1,  0,  5,  8,   3,   12,  3,   20,  18,  2,   28,  4,   35,  15,  38,  14,  6,   49,  37,  31
  251, 251,           prime,          2,  1,  6,  9,   4,   13,  4,   21,  19,  3,   29,  5,   36,  16,  39,  15,  7,   50,  38,  32
  252, 2² 3² 7,       ,               0,  2,  0,  10,  5,   14,  5,   22,  20,  4,   30,  6,   37,  17,  40,  16,  8,   51,  39,  33
  253, 11 23,         radical,        1,  3,  1,  0,   6,   15,  6,   0,   21,  5,   31,  7,   38,  18,  41,  17,  9,   52,  40,  34
  254, 2 127,         radical,        2,  4,  2,  1,   7,   16,  7,   1,   22,  6,   32,  8,   39,  19,  42,  18,  10,  53,  41,  35
  255, 3 5 17,        radical,        0,  0,  3,  2,   8,   0,   8,   2,   23,  7,   33,  9,   40,  20,  43,  19,  11,  54,  42,  36
  256, 2⁸,            prime power,    1,  1,  4,  3,   9,   1,   9,   3,   24,  8,   34,  10,  41,  21,  44,  20,  12,  55,  43,  37
  257, 257,           prime,          2,  2,  5,  4,   10,  2,   10,  4,   25,  9,   35,  11,  42,  22,  45,  21,  13,  56,  44,  38
  258, 2 3 43,        radical,        0,  3,  6,  5,   11,  3,   11,  5,   26,  10,  36,  12,  0,   23,  46,  22,  14,  57,  45,  39
  259, 7 37,          radical,        1,  4,  0,  6,   12,  4,   12,  6,   27,  11,  0,   13,  1,   24,  47,  23,  15,  58,  46,  40
  260, 2² 5 13,       ,               2,  0,  1,  7,   0,   5,   13,  7,   28,  12,  1,   14,  2,   25,  48,  24,  16,  59,  47,  41
  261, 3² 29,         ,               0,  1,  2,  8,   1,   6,   14,  8,   0,   13,  2,   15,  3,   26,  49,  25,  17,  60,  48,  42
  262, 2 131,         radical,        1,  2,  3,  9,   2,   7,   15,  9,   1,   14,  3,   16,  4,   27,  50,  26,  18,  61,  49,  43
  263, 263,           prime,          2,  3,  4,  10,  3,   8,   16,  10,  2,   15,  4,   17,  5,   28,  51,  27,  19,  62,  50,  44
  264, 2³ 3 11,       ,               0,  4,  5,  0,   4,   9,   17,  11,  3,   16,  5,   18,  6,   29,  52,  28,  20,  63,  51,  45
  265, 5 53,          radical,        1,  0,  6,  1,   5,   10,  18,  12,  4,   17,  6,   19,  7,   30,  0,   29,  21,  64,  52,  46
  266, 2 7 19,        radical,        2,  1,  0,  2,   6,   11,  0,   13,  5,   18,  7,   20,  8,   31,  1,   30,  22,  65,  53,  47
  267, 3 89,          radical,        0,  2,  1,  3,   7,   12,  1,   14,  6,   19,  8,   21,  9,   32,  2,   31,  23,  66,  54,  48
  268, 2² 67,         ,               1,  3,  2,  4,   8,   13,  2,   15,  7,   20,  9,   22,  10,  33,  3,   32,  24,  0,   55,  49
  269, 269,           prime,          2,  4,  3,  5,   9,   14,  3,   16,  8,   21,  10,  23,  11,  34,  4,   33,  25,  1,   56,  50
  270, 2 3³ 5,        ,               0,  0,  4,  6,   10,  15,  4,   17,  9,   22,  11,  24,  12,  35,  5,   34,  26,  2,   57,  51
  271, 271,           prime,          1,  1,  5,  7,   11,  16,  5,   18,  10,  23,  12,  25,  13,  36,  6,   35,  27,  3,   58,  52
  272, 2⁴ 17,         ,               2,  2,  6,  8,   12,  0,   6,   19,  11,  24,  13,  26,  14,  37,  7,   36,  28,  4,   59,  53
  273, 3 7 13,        radical,        0,  3,  0,  9,   0,   1,   7,   20,  12,  25,  14,  27,  15,  38,  8,   37,  29,  5,   60,  54
  274, 2 137,         radical,        1,  4,  1,  10,  1,   2,   8,   21,  13,  26,  15,  28,  16,  39,  9,   38,  30,  6,   61,  55
  275, 5² 11,         ,               2,  0,  2,  0,   2,   3,   9,   22,  14,  27,  16,  29,  17,  40,  10,  39,  31,  7,   62,  56
  276, 2² 3 23,       ,               0,  1,  3,  1,   3,   4,   10,  0,   15,  28,  17,  30,  18,  41,  11,  40,  32,  8,   63,  57
  277, 277,           prime,          1,  2,  4,  2,   4,   5,   11,  1,   16,  29,  18,  31,  19,  42,  12,  41,  33,  9,   64,  58
  278, 2 139,         radical,        2,  3,  5,  3,   5,   6,   12,  2,   17,  30,  19,  32,  20,  43,  13,  42,  34,  10,  65,  59
  279, 3² 31,         ,               0,  4,  6,  4,   6,   7,   13,  3,   18,  0,   20,  33,  21,  44,  14,  43,  35,  11,  66,  60
  280, 2³ 5 7,        ,               1,  0,  0,  5,   7,   8,   14,  4,   19,  1,   21,  34,  22,  45,  15,  44,  36,  12,  67,  61
  281, 281,           prime,          2,  1,  1,  6,   8,   9,   15,  5,   20,  2,   22,  35,  23,  46,  16,  45,  37,  13,  68,  62
  282, 2 3 47,        radical,        0,  2,  2,  7,   9,   10,  16,  6,   21,  3,   23,  36,  24,  0,   17,  46,  38,  14,  69,  63
  283, 283,           prime,          1,  3,  3,  8,   10,  11,  17,  7,   22,  4,   24,  37,  25,  1,   18,  47,  39,  15,  70,  64
  284, 2² 71,         ,               2,  4,  4,  9,   11,  12,  18,  8,   23,  5,   25,  38,  26,  2,   19,  48,  40,  16,  0,   65
  285, 3 5 19,        radical,        0,  0,  5,  10,  12,  13,  0,   9,   24,  6,   26,  39,  27,  3,   20,  49,  41,  17,  1,   66
  286, 2 11 13,       radical,        1,  1,  6,  0,   0,   14,  1,   10,  25,  7,   27,  40,  28,  4,   21,  50,  42,  18,  2,   67
  287, 7 41,          radical,        2,  2,  0,  1,   1,   15,  2,   11,  26,  8,   28,  0,   29,  5,   22,  51,  43,  19,  3,   68
  288, 2⁵ 3²,         ,               0,  3,  1,  2,   2,   16,  3,   12,  27,  9,   29,  1,   30,  6,   23,  52,  44,  20,  4,   69
  289, 17²,           prime power,    1,  4,  2,  3,   3,   0,   4,   13,  28,  10,  30,  2,   31,  7,   24,  53,  45,  21,  5,   70
  290, 2 5 29,        radical,        2,  0,  3,  4,   4,   1,   5,   14,  0,   11,  31,  3,   32,  8,   25,  54,  46,  22,  6,   71
  291, 3 97,          radical,        0,  1,  4,  5,   5,   2,   6,   15,  1,   12,  32,  4,   33,  9,   26,  55,  47,  23,  7,   72
  292, 2² 73,         ,               1,  2,  5,  6,   6,   3,   7,   16,  2,   13,  33,  5,   34,  10,  27,  56,  48,  24,  8,   0
  293, 293,           prime,          2,  3,  6,  7,   7,   4,   8,   17,  3,   14,  34,  6,   35,  11,  28,  57,  49,  25,  9,   1
  294, 2 3 7²,        ,               0,  4,  0,  8,   8,   5,   9,   18,  4,   15,  35,  7,   36,  12,  29,  58,  50,  26,  10,  2
  295, 5 59,          radical,        1,  0,  1,  9,   9,   6,   10,  19,  5,   16,  36,  8,   37,  13,  30,  0,   51,  27,  11,  3
  296, 2³ 37,         ,               2,  1,  2,  10,  10,  7,   11,  20,  6,   17,  0,   9,   38,  14,  31,  1,   52,  28,  12,  4
  297, 3³ 11,         ,               0,  2,  3,  0,   11,  8,   12,  21,  7,   18,  1,   10,  39,  15,  32,  2,   53,  29,  13,  5
  298, 2 149,         radical,        1,  3,  4,  1,   12,  9,   13,  22,  8,   19,  2,   11,  40,  16,  33,  3,   54,  30,  14,  6
  299, 13 23,         radical,        2,  4,  5,  2,   0,   10,  14,  0,   9,   20,  3,   12,  41,  17,  34,  4,   55,  31,  15,  7
  300, 2² 3 5²,       ,               0,  0,  6,  3,   1,   11,  15,  1,   10,  21,  4,   13,  42,  18,  35,  5,   56,  32,  16,  8
  301, 7 43,          radical,        1,  1,  0,  4,   2,   12,  16,  2,   11,  22,  5,   14,  0,   19,  36,  6,   57,  33,  17,  9
  302, 2 151,         radical,        2,  2,  1,  5,   3,   13,  17,  3,   12,  23,  6,   15,  1,   20,  37,  7,   58,  34,  18,  10
  303, 3 101,         radical,        0,  3,  2,  6,   4,   14,  18,  4,   13,  24,  7,   16,  2,   21,  38,  8,   59,  35,  19,  11
  304, 2⁴ 19,         ,               1,  4,  3,  7,   5,   15,  0,   5,   14,  25,  8,   17,  3,   22,  39,  9,   60,  36,  20,  12
  305, 5 61,          radical,        2,  0,  4,  8,   6,   16,  1,   6,   15,  26,  9,   18,  4,   23,  40,  10,  0,   37,  21,  13
  306, 2 3² 17,       ,               0,  1,  5,  9,   7,   0,   2,   7,   16,  27,  10,  19,  5,   24,  41,  11,  1,   38,  22,  14
  307, 307,           prime,          1,  2,  6,  10,  8,   1,   3,   8,   17,  28,  11,  20,  6,   25,  42,  12,  2,   39,  23,  15
  308, 2² 7 11,       ,               2,  3,  0,  0,   9,   2,   4,   9,   18,  29,  12,  21,  7,   26,  43,  13,  3,   40,  24,  16
  309, 3 103,         radical,        0,  4,  1,  1,   10,  3,   5,   10,  19,  30,  13,  22,  8,   27,  44,  14,  4,   41,  25,  17
  310, 2 5 31,        radical,        1,  0,  2,  2,   11,  4,   6,   11,  20,  0,   14,  23,  9,   28,  45,  15,  5,   42,  26,  18
  311, 311,           prime,          2,  1,  3,  3,   12,  5,   7,   12,  21,  1,   15,  24,  10,  29,  46,  16,  6,   43,  27,  19
  312, 2³ 3 13,       ,               0,  2,  4,  4,   0,   6,   8,   13,  22,  2,   16,  25,  11,  30,  47,  17,  7,   44,  28,  20
  313, 313,           prime,          1,  3,  5,  5,   1,   7,   9,   14,  23,  3,   17,  26,  12,  31,  48,  18,  8,   45,  29,  21
  314, 2 157,         radical,        2,  4,  6,  6,   2,   8,   10,  15,  24,  4,   18,  27,  13,  32,  49,  19,  9,   46,  30,  22
  315, 3² 5 7,        ,               0,  0,  0,  7,   3,   9,   11,  16,  25,  5,   19,  28,  14,  33,  50,  20,  10,  47,  31,  23
  316, 2² 79,         ,               1,  1,  1,  8,   4,   10,  12,  17,  26,  6,   20,  29,  15,  34,  51,  21,  11,  48,  32,  24
  317, 317,           prime,          2,  2,  2,  9,   5,   11,  13,  18,  27,  7,   21,  30,  16,  35,  52,  22,  12,  49,  33,  25
  318, 2 3 53,        radical,        0,  3,  3,  10,  6,   12,  14,  19,  28,  8,   22,  31,  17,  36,  0,   23,  13,  50,  34,  26
  319, 11 29,         radical,        1,  4,  4,  0,   7,   13,  15,  20,  0,   9,   23,  32,  18,  37,  1,   24,  14,  51,  35,  27
  320, 2⁶ 5,          ,               2,  0,  5,  1,   8,   14,  16,  21,  1,   10,  24,  33,  19,  38,  2,   25,  15,  52,  36,  28
  321, 3 107,         radical,        0,  1,  6,  2,   9,   15,  17,  22,  2,   11,  25,  34,  20,  39,  3,   26,  16,  53,  37,  29
  322, 2 7 23,        radical,        1,  2,  0,  3,   10,  16,  18,  0,   3,   12,  26,  35,  21,  40,  4,   27,  17,  54,  38,  30
  323, 17 19,         radical,        2,  3,  1,  4,   11,  0,   0,   1,   4,   13,  27,  36,  22,  41,  5,   28,  18,  55,  39,  31
  324, 2² 3⁴,         ,               0,  4,  2,  5,   12,  1,   1,   2,   5,   14,  28,  37,  23,  42,  6,   29,  19,  56,  40,  32
  325, 5² 13,         ,               1,  0,  3,  6,   0,   2,   2,   3,   6,   15,  29,  38,  24,  43,  7,   30,  20,  57,  41,  33
  326, 2 163,         radical,        2,  1,  4,  7,   1,   3,   3,   4,   7,   16,  30,  39,  25,  44,  8,   31,  21,  58,  42,  34
  327, 3 109,         radical,        0,  2,  5,  8,   2,   4,   4,   5,   8,   17,  31,  40,  26,  45,  9,   32,  22,  59,  43,  35
  328, 2³ 41,         ,               1,  3,  6,  9,   3,   5,   5,   6,   9,   18,  32,  0,   27,  46,  10,  33,  23,  60,  44,  36
  329, 7 47,          radical,        2,  4,  0,  10,  4,   6,   6,   7,   10,  19,  33,  1,   28,  0,   11,  34,  24,  61,  45,  37
  330, 2 3 5 11,      radical,        0,  0,  1,  0,   5,   7,   7,   8,   11,  20,  34,  2,   29,  1,   12,  35,  25,  62,  46,  38
  331, 331,           prime,          1,  1,  2,  1,   6,   8,   8,   9,   12,  21,  35,  3,   30,  2,   13,  36,  26,  63,  47,  39
  332, 2² 83,         ,               2,  2,  3,  2,   7,   9,   9,   10,  13,  22,  36,  4,   31,  3,   14,  37,  27,  64,  48,  40
  333, 3² 37,         ,               0,  3,  4,  3,   8,   10,  10,  11,  14,  23,  0,   5,   32,  4,   15,  38,  28,  65,  49,  41
  334, 2 167,         radical,        1,  4,  5,  4,   9,   11,  11,  12,  15,  24,  1,   6,   33,  5,   16,  39,  29,  66,  50,  42
  335, 5 67,          radical,        2,  0,  6,  5,   10,  12,  12,  13,  16,  25,  2,   7,   34,  6,   17,  40,  30,  0,   51,  43
  336, 2⁴ 3 7,        ,               0,  1,  0,  6,   11,  13,  13,  14,  17,  26,  3,   8,   35,  7,   18,  41,  31,  1,   52,  44
  337, 337,           prime,          1,  2,  1,  7,   12,  14,  14,  15,  18,  27,  4,   9,   36,  8,   19,  42,  32,  2,   53,  45
  338, 2 13²,         ,               2,  3,  2,  8,   0,   15,  15,  16,  19,  28,  5,   10,  37,  9,   20,  43,  33,  3,   54,  46
  339, 3 113,         radical,        0,  4,  3,  9,   1,   16,  16,  17,  20,  29,  6,   11,  38,  10,  21,  44,  34,  4,   55,  47
  340, 2² 5 17,       ,               1,  0,  4,  10,  2,   0,   17,  18,  21,  30,  7,   12,  39,  11,  22,  45,  35,  5,   56,  48
  341, 11 31,         radical,        2,  1,  5,  0,   3,   1,   18,  19,  22,  0,   8,   13,  40,  12,  23,  46,  36,  6,   57,  49
  342, 2 3² 19,       ,               0,  2,  6,  1,   4,   2,   0,   20,  23,  1,   9,   14,  41,  13,  24,  47,  37,  7,   58,  50
  343, 7³,            prime power,    1,  3,  0,  2,   5,   3,   1,   21,  24,  2,   10,  15,  42,  14,  25,  48,  38,  8,   59,  51
  344, 2³ 43,         ,               2,  4,  1,  3,   6,   4,   2,   22,  25,  3,   11,  16,  0,   15,  26,  49,  39,  9,   60,  52
  345, 3 5 23,        radical,        0,  0,  2,  4,   7,   5,   3,   0,   26,  4,   12,  17,  1,   16,  27,  50,  40,  10,  61,  53
  346, 2 173,         radical,        1,  1,  3,  5,   8,   6,   4,   1,   27,  5,   13,  18,  2,   17,  28,  51,  41,  11,  62,  54
  347, 347,           prime,          2,  2,  4,  6,   9,   7,   5,   2,   28,  6,   14,  19,  3,   18,  29,  52,  42,  12,  63,  55
  348, 2² 3 29,       ,               0,  3,  5,  7,   10,  8,   6,   3,   0,   7,   15,  20,  4,   19,  30,  53,  43,  13,  64,  56
  349, 349,           prime,          1,  4,  6,  8,   11,  9,   7,   4,   1,   8,   16,  21,  5,   20,  31,  54,  44,  14,  65,  57
  350, 2 5² 7,        ,               2,  0,  0,  9,   12,  10,  8,   5,   2,   9,   17,  22,  6,   21,  32,  55,  45,  15,  66,  58
  351, 3³ 13,         ,               0,  1,  1,  10,  0,   11,  9,   6,   3,   10,  18,  23,  7,   22,  33,  56,  46,  16,  67,  59
  352, 2⁵ 11,         ,               1,  2,  2,  0,   1,   12,  10,  7,   4,   11,  19,  24,  8,   23,  34,  57,  47,  17,  68,  60
  353, 353,           prime,          2,  3,  3,  1,   2,   13,  11,  8,   5,   12,  20,  25,  9,   24,  35,  58,  48,  18,  69,  61
  354, 2 3 59,        radical,        0,  4,  4,  2,   3,   14,  12,  9,   6,   13,  21,  26,  10,  25,  36,  0,   49,  19,  70,  62
  355, 5 71,          radical,        1,  0,  5,  3,   4,   15,  13,  10,  7,   14,  22,  27,  11,  26,  37,  1,   50,  20,  0,   63
  356, 2² 89,         ,               2,  1,  6,  4,   5,   16,  14,  11,  8,   15,  23,  28,  12,  27,  38,  2,   51,  21,  1,   64
  357, 3 7 17,        radical,        0,  2,  0,  5,   6,   0,   15,  12,  9,   16,  24,  29,  13,  28,  39,  3,   52,  22,  2,   65
  358, 2 179,         radical,        1,  3,  1,  6,   7,   1,   16,  13,  10,  17,  25,  30,  14,  29,  40,  4,   53,  23,  3,   66
  359, 359,           prime,          2,  4,  2,  7,   8,   2,   17,  14,  11,  18,  26,  31,  15,  30,  41,  5,   54,  24,  4,   67
  360, 2³ 3² 5,       ,               0,  0,  3,  8,   9,   3,   18,  15,  12,  19,  27,  32,  16,  31,  42,  6,   55,  25,  5,   68
  361, 19²,           prime power,    1,  1,  4,  9,   10,  4,   0,   16,  13,  20,  28,  33,  17,  32,  43,  7,   56,  26,  6,   69
  362, 2 181,         radical,        2,  2,  5,  10,  11,  5,   1,   17,  14,  21,  29,  34,  18,  33,  44,  8,   57,  27,  7,   70
  363, 3 11²,         ,               0,  3,  6,  0,   12,  6,   2,   18,  15,  22,  30,  35,  19,  34,  45,  9,   58,  28,  8,   71
  364, 2² 7 13,       ,               1,  4,  0,  1,   0,   7,   3,   19,  16,  23,  31,  36,  20,  35,  46,  10,  59,  29,  9,   72
