# `n`         a positive integer
# `factors`   the prime factorization of n
# `psym`      the symmetric primes at equal offsets around n
# `primeness` notes if n is a prime, prime power, prime twin, radical, radical power, primorial, or primorial power

n,      factors,       psym,                        primeness
129,    3 43,          [2 20 22 28 50 62 68 70],    radical
130,    2 5 13,        [21 27 33 51 63 69 93 99],   radical
131,    131,           [18 42 48 60],               prime
132,    2² 3 11,       [5 19 25 31 35 49 59 61],    
133,    7 19,          [6 24 30 60 66 90 96],       radical
134,    2 67,          [3 33 45 63 93],             radical
135,    3³ 5,          [4 22 28 32 38 46 56 62],    
136,    2³ 17,         [27 57 63 75 93],            
137,    137,           [30 36 54 90 96],            prime twin
138,    2 3 23,        [1 11 25 29 35 41 55 59],    radical
139,    139,           [12 42 60 72],               prime twin
140,    2² 5 7,        [9 27 33 39 51 57 87 93],    
141,    3 47,          [10 32 38 40 52 58 70 82],   radical
142,    2 71,          [15 39 69 81 99],            radical
143,    11 13,         [6 30 36 54 84 90 96],       radical
144,    2⁴ 3²,         [5 7 13 35 37 47 55 83],     
145,    5 29,          [6 18 36 48 66 78 84],       radical
146,    2 73,          [33 45 87 93],               radical
147,    3 7²,          [10 16 20 34 44 46 50 64],   
148,    2² 37,         [9 45 51 75 81],             
149,    149,           [18 42 48 78 90],            prime twin
150,    2 3 5²,        [1 13 23 41 43 47 49 61],    
151,    151,           [12 42 48 72 78 90],         prime twin
152,    2³ 19,         [15 21 39 45 81 99],         
153,    3² 17,         [4 14 26 40 44 46 70 74],    
154,    2 7 11,        [3 27 45 57 75 87],          radical
155,    5 31,          [18 24 42 72 84 96],         radical
156,    2² 3 13,       [7 17 25 43 55 67 73 77],    
157,    157,           [6 54 84],                   prime
158,    2 79,          [9 21 69 75 99],             radical
159,    3 53,          [8 20 22 32 52 70 80 92],    radical
160,    2⁵ 5,          [3 21 33 51 63 81],          
161,    7 23,          [12 30 72 78 90],            radical
162,    2 3⁴,          [5 11 31 35 49 61 65 79],    
163,    163,           [36 60 66],                  prime
164,    2² 41,         [15 27 33 63 75 93],         
165,    3 5 11,        [2 8 14 16 26 28 34 58],     radical
166,    2 83,          [15 27 57 63],               radical
167,    167,           [30 60 66 84 96],            prime
168,    2³ 3 7,        [5 11 29 31 55 59 61 65],    
169,    13²,           [12 30 42 60 72],            prime power
170,    2 5 17,        [3 21 57 63 69 81 87 99],    radical
171,    3² 19,         [8 20 22 40 58 62 68 70],    
172,    2² 43,         [9 21 69 99],                
173,    173,           [6 24 60 66 84 90],          prime
174,    2 3 29,        [7 17 23 25 37 65 67 77],    radical
175,    5² 7,          [18 24 36 48 66 96],         
176,    2⁴ 11,         [3 63 75 87 93],             
177,    3 59,          [4 14 20 46 50 64 74 80],    radical
178,    2 89,          [15 21 51 99],               radical
179,    179,           [12 48 72 78 90],            prime twin
180,    2² 3² 5,       [1 13 17 31 43 49 53 71],    
181,    181,           [18 30 42],                  prime twin
182,    2 7 13,        [9 15 45 51 69 75 81 99],    radical
183,    3 61,          [10 16 44 46 56 74 80 86],   radical
184,    2³ 23,         [27 45 57 87],               
185,    5 37,          [6 12 48 54 72 78 84 96],    radical
186,    2 3 31,        [5 7 13 37 47 55 77 83],     radical
187,    11 17,         [6 24 36 84 90],             radical
188,    2² 47,         [9 39 51 75 81],             
189,    3³ 7,          [8 10 22 38 40 50 52 62],    
190,    2 5 19,        [9 33 39 51 81 87 93],       radical
191,    191,           [42 60 78 90],               prime twin
192,    2⁶ 3,          [1 19 35 41 65 79 85 89],    
193,    193,           [30 36 84 90],               prime twin
194,    2 97,          [3 45 57 63 87],             radical
195,    3 5 13,        [2 4 16 28 32 38 44 46],     radical
196,    2² 7²,         [3 15 33 45 87],             radical power
197,    197,           [30 60 66 84 96],            prime twin
198,    2 3² 11,       [1 25 31 35 41 59 71 85],    
199,    199,           [42 72],                     prime twin
200,    2³ 5²,         [27 33 51 63 69 93],         
201,    3 67,          [10 22 28 38 50 62 70 92],   radical
202,    2 101,         [9 21 39 75],                radical
203,    7 29,          [24 30 36 54 66 90],         radical
204,    2² 3 17,       [7 23 25 37 47 53 65 67],    
205,    5 41,          [6 24 66 78],                radical
206,    2 103,         [27 33 57 75],               radical
207,    3² 23,         [16 26 34 44 50 56 70 76],   
208,    2⁴ 13,         [15 69 99],                  
209,    11 19,         [18 30 42 60 72],            radical
210,    2 3 5 7,       [13 17 19 29 31 47 53 59],   radical
211,    211,           [12 18 30 60 72],            prime
212,    2² 53,         [15 21 39 45 81 99],         
213,    3 71,          [14 16 20 50 56 64 100],     radical
214,    2 107,         [15 57 63],                  radical
215,    5 43,          [18 24 36 42 48 66 78],      radical
216,    2³ 3³,         [17 23 25 35 53 65 67 77],   radical power
217,    7 31,          [6 24 54 60 66 90],          radical
218,    2 109,         [21 39 45 51],               radical
219,    3 73,          [8 20 22 38 52 62 88 92],    radical
220,    2² 5 11,       [9 21 57 63 93],             
221,    13 17,         [30 42 48 72 90],            radical
222,    2 3 37,        [11 29 41 49 55 59 71 85],   radical
223,    223,           [60 84],                     prime
224,    2⁵ 7,          [27 33 45 57 87 93],         
225,    3² 5²,         [2 14 26 32 44 46 52 58],    radical power
226,    2 113,         [3 15 45 87],                radical
227,    227,           [30 36 54 90],               prime twin
228,    2² 3 19,       [1 5 29 35 49 55 65 79],     
229,    229,           [48 78],                     prime twin
230,    2 5 23,        [3 33 39 51 63 81],          radical
231,    3 7 11,        [2 8 20 32 38 40 50 52],     radical
232,    2³ 29,         [9 39 51 75 81],             
233,    233,           [6 36 60 84],                prime
234,    2 3² 13,       [5 7 23 35 37 43 77 83],     
235,    5 47,          [6 36 42 72 78 96],          radical
236,    2² 59,         [3 45 57],                   
237,    3 79,          [4 14 26 40 44 46 56 70],    radical
238,    2 7 17,        [39 45 75 99],               radical
239,    239,           [12 42 72],                  prime twin
240,    2⁴ 3 5,        [1 11 17 29 41 43 67 73],    
241,    241,           [30 42 90],                  prime twin
242,    2 11²,         [9 15 51 69 75],             
243,    3⁵,            [14 20 50 64 70 94],         prime power
244,    2² 61,         [33 63 87 93],               
245,    5 7²,          [6 12 18 48 66 72],          
246,    2 3 41,        [5 17 23 35 47 65 67],       radical
247,    13 19,         [24 36 66 84 90],            radical
248,    2³ 31,         [9 15 21 69 99],             
249,    3 83,          [8 20 22 58 68 82 98 100],   radical
250,    2 5³,          [21 27 57 87 99],            
251,    251,           [12 18 60],                  prime
252,    2² 3² 7,       [11 19 25 29 41 55 59 61],   
253,    11 23,         [24 30 54 60 96],            radical
254,    2 127,         [3 15 27 57 63],             radical
255,    3 5 17,        [14 16 22 26 28 56 58 62],   radical
256,    2⁸,            [15 27 57 75 93],            prime power
257,    257,           [6 24 60 90],                prime
258,    2 3 43,        [19 25 35 59 79 91 95],      radical
259,    7 37,          [18 48 78],                  radical
260,    2² 5 13,       [3 9 21 33 87 93],           
261,    3² 29,         [10 20 22 32 50 70 88 98],   
262,    2 131,         [21 51 69],                  radical
263,    263,           [6 30 84 90 96],             prime
264,    2³ 3 11,       [7 13 53 67 73 83 85],       
265,    5 53,          [42 66 72 84],               radical
266,    2 7 19,        [3 15 27 87 93],             radical
267,    3 89,          [4 10 16 26 40 44 70 86],    radical
268,    2² 67,         [39 45 69],                  
269,    269,           [12 42 78 90],               prime twin
270,    2 3³ 5,        [1 7 13 37 41 43 47 77],     
271,    271,           [42 60 78],                  prime twin
272,    2⁴ 17,         [9 21 39 45 75 81],          
273,    3 7 13,        [4 10 34 40 44 74 76 80],    radical
274,    2 137,         [3 33 63 75 93],             radical
275,    5² 11,         [6 18 36 42 78 84],          
276,    2² 3 23,       [5 7 35 37 77 83 97],        
277,    277,           [6 36 54 96],                prime
278,    2 139,         [15 39 81],                  radical
279,    3² 31,         [2 28 38 52 68 80 88 100],   
280,    2³ 5 7,        [3 51 57 69 87 99],          
281,    281,           [12 30],                     prime twin
282,    2 3 47,        [1 11 25 31 49 55 71 85],    radical
283,    283,           [54 84 90],                  prime twin
284,    2² 71,         [27 33],                     
285,    3 5 19,        [8 22 28 46 52 62 74 88],    radical
286,    2 11 13,       [45 63 87 93],               radical
287,    7 41,          [6 24 30 60 96],             radical
288,    2⁵ 3²,         [5 19 25 49 59 61 65 91],    
289,    17²,           [18 48 60 78 90],            prime power
290,    2 5 29,        [21 27 57 63 93 99],         radical
291,    3 97,          [20 22 40 58 62 68 92 98],   radical
292,    2² 73,         [15 21 81],                  
293,    293,           [24 54 60 66 96],            prime
294,    2 3 7²,        [13 17 23 37 43 53 55 65],   
295,    5 59,          [12 18 54 72 84],            radical
296,    2³ 37,         [15 57 63],                  
297,    3³ 11,         [14 16 20 34 40 56 70 86],   
298,    2 149,         [15 69 75 99],               radical
299,    13 23,         [18 48 60],                  radical
300,    2² 3 5²,       [7 17 31 37 49 59 67 73],    
301,    7 43,          [30 72 78],                  radical
302,    2 151,         [9 45 51],                   radical
303,    3 101,         [10 34 46 64 70 76 80],      radical
304,    2⁴ 19,         [27 33 63 75 93],            
305,    5 61,          [12 42 48 54 78],            radical
306,    2 3² 17,       [25 43 67 73 77 83 95],      
307,    307,           [24 30 66],                  prime
308,    2² 7 11,       [39 45 51 75 81],            
309,    3 103,         [2 28 38 40 58 70 80],       radical
310,    2 5 31,        [3 27 39 69 87 99],          radical
311,    311,           [42 48 72 78],               prime twin
312,    2³ 3 13,       [1 5 19 35 41 55 61 71],     
313,    313,           [36 84],                     prime twin
314,    2 157,         [3 33 45 75 87],             radical
315,    3² 5 7,        [2 22 32 34 38 44 52 58],    
316,    2² 79,         [33 93],                     
317,    317,           [36 66 84],                  prime
318,    2 3 53,        [35 41 49 55 61 79 91],      radical
319,    11 29,         [12 48 78 90],               radical
320,    2⁶ 5,          [27 39 63 69 81],            
321,    3 107,         [10 28 38 52 58 80 88 98],   radical
322,    2 7 23,        [9 15 45 51 99],             radical
323,    17 19,         [30 60 66 96],               radical
324,    2² 3⁴,         [7 13 43 55 73 85 95 97],    
325,    5² 13,         [12 42 48 54 84 96],         
326,    2 163,         [33 57 63 75 93],            radical
327,    3 109,         [10 20 46 56 70 94],         radical
328,    2³ 41,         [21 45 51],                  
329,    7 47,          [18 60 72 90],               radical
330,    2 3 5 11,      [17 19 23 37 49 53 59 67],   radical
331,    331,           [18 48 90],                  prime
332,    2² 83,         [15 21 51 69 99],            
333,    3² 37,         [16 20 26 40 50 56 64 76],   
334,    2 167,         [3 63],                      radical
335,    5 67,          [18 24 54 66 84 96],         radical
336,    2⁴ 3 7,        [23 43 53 65 73 85 95 97],   
337,    337,           [30 60 96],                  prime
338,    2 13²,         [21 45 81],                  
339,    3 113,         [8 28 58 62 70 82 100],      radical
340,    2² 5 17,       [9 27 33 57 69 99],          
341,    11 31,         [48 60 78 90],               radical
342,    2 3² 19,       [5 11 25 31 59 79 91],       
343,    7³,            [6 30 36 66],                prime power
344,    2³ 43,         [75 87],                     
345,    3 5 23,        [8 14 28 34 38 52 64 74],    radical
346,    2 173,         [33 63 75],                  radical
347,    347,           [36 54 84 96],               prime twin
348,    2² 3 29,       [1 11 31 35 41 71 85 91],    
349,    349,           [18 72],                     prime twin
350,    2 5² 7,        [3 33 39 69 81 93 99],       
351,    3³ 13,         [2 38 58 68 70 80 82 88],    
352,    2⁵ 11,         [15 21 45 69 81],            
353,    353,           [6 36 90 96],                prime
354,    2 3 59,        [5 43 47 77 85],             radical
355,    5 71,          [18 24 42 78 84],            radical
356,    2² 89,         [3 45 63 75 87 93],          
357,    3 7 17,        [10 26 40 44 64 74 76 86],   radical
358,    2 179,         [9 21 51 75 81],             radical
359,    359,           [42 90],                     prime
360,    2³ 3² 5,       [7 13 23 29 49 79 83 89],    
361,    19²,           [12 48 78],                  prime power
362,    2 181,         [69 81 99],                  radical
363,    3 11²,         [4 10 16 26 46 56 70 80],    
364,    2² 7 13,       [15 33 57 93],               
365,    5 73,          [18 54 84 96],               radical
366,    2 3 61,        [7 13 17 35 53 55 73 83],    radical
367,    367,           [30 54 90 96],               prime
368,    2⁴ 23,         [15 21 51 75 99],            
369,    3² 41,         [10 20 32 52 62 88 92 98],   
370,    2 5 37,        [3 39 63 87 93],             radical
371,    7 53,          [12 18 60 78 90],            radical
372,    2² 3 31,       [25 59 61 89 91 95],         
373,    373,           [6 24 36 60 66 90],          prime
374,    2 11 17,       [15 27 57 93],               radical
375,    3 5³,          [8 22 26 44 58 64 68 82],    
376,    2³ 47,         [3 45 63],                   
377,    13 29,         [24 66 84],                  radical
378,    2 3³ 7,        [5 11 19 31 41 61 65 71],    
379,    379,           [30 42],                     prime
380,    2² 5 19,       [21 63 69 87 99],            
381,    3 127,         [2 8 28 50 68 98],           radical
382,    2 191,         [15 51 75],                  radical
383,    383,           [36 66],                     prime
384,    2⁷ 3,          [5 17 25 35 37 47 73 77],    
385,    5 7 11,        [12 36 48 54 72 78],         radical
386,    2 193,         [3 33 75 93],                radical
387,    3² 43,         [14 34 56 70 74 76 80],      
388,    2² 97,         [9 21 51 75],                
389,    389,           [30 42 72 78],               prime
390,    2 3 5 13,      [7 11 31 41 43 53 59 73],    radical
391,    17 23,         [18 42],                     radical
392,    2³ 7²,         [9 39 75 99],                
393,    3 131,         [4 26 40 46 56 86],          radical
394,    2 197,         [15 27 45 63],               radical
395,    5 79,          [6 36 48 84],                radical
396,    2² 3² 11,      [13 23 37 43 47 65 83],      
397,    397,           [24 60 66 90],               prime
398,    2 199,         [45 51 81],                  radical
399,    3 7 19,        [2 10 20 32 40 50 62 68],    radical
400,    2⁴ 5²,         [21 33 63 87],               
401,    401,           [18 42 48 90],               prime
402,    2 3 67,        [19 29 55 65 85 89],         radical
403,    13 31,         [6 30 36 54 96],             radical
404,    2² 101,        [15 45 57 87],               
405,    3⁴ 5,          [4 16 26 38 52 56 58 74],    
406,    2 7 29,        [27 33 57 93],               radical
407,    11 37,         [24 54 60 96],               radical
408,    2³ 3 17,       [11 25 35 41 49 55 59 71],   
409,    409,           [12 30 78],                  prime
410,    2 5 41,        [9 21 51 57 93 99],          radical
411,    3 137,         [10 22 28 32 38 52 80 98],   radical
412,    2² 103,        [45 75],                     
413,    7 59,          [30 54 66 96],               radical
414,    2 3² 23,       [5 17 25 35 47 65 77],       
415,    5 83,          [6 18 42 48 84],             radical
416,    2⁵ 13,         [15 27 33 63],               
417,    3 139,         [16 44 50 70 86],            radical
418,    2 11 19,       [21 39 45 69 81],            radical
419,    419,           [30 60 72],                  prime twin
420,    2² 3 5 7,      [1 11 19 23 37 41 47 67],    
421,    421,           [12 42],                     prime twin
422,    2 211,         [21 39 69],                  radical
423,    3² 47,         [26 34 40 44 56 64 76 86],   
424,    2³ 53,         [15 75],                     
425,    5² 17,         [6 24 36 42 66 78],          
426,    2 3 71,        [5 7 17 37 53 73 77 95],     radical
427,    7 61,          [6 30 60 96],                radical
428,    2² 107,        [39 75 81],                  
429,    3 11 13,       [10 20 28 32 50 62 70 80],   radical
430,    2 5 43,        [9 33 57 93],                radical
431,    431,           [12 30 48 72 78],            prime twin
432,    2⁴ 3³,         [1 11 31 35 59],             
433,    433,           [24 54 66],                  prime twin
434,    2 7 31,        [15 33 45 75 87],            radical
435,    3 5 29,        [4 14 26 52 56 68 86 88],    radical
436,    2² 109,        [3 27 63 87],                
437,    19 23,         [6 54 84],                   radical
438,    2 3 73,        [5 19 29 41 49 65 71 85],    radical
439,    439,           [18 60],                     prime
440,    2³ 5 11,       [9 21 39 51 81],             
441,    3² 7²,         [2 8 20 22 58 62 68 82],     radical power
442,    2 13 17,       [21 45],                     radical
443,    443,           [24 60],                     prime
444,    2² 3 37,       [5 13 23 35 43 47 55 65],    
445,    5 89,          [12 78 96],                  radical
446,    2 223,         [3 15 45 57 63],             radical
447,    3 149,         [14 16 74 94 100],           radical
448,    2⁶ 7,          [9 15 39 51 75 99],          
449,    449,           [18 30 60],                  prime
450,    2 3² 5²,       [7 11 17 29 41 49 53 71],    
451,    11 41,         [12 72],                     radical
452,    2² 113,        [9 51 69],                   
453,    3 151,         [4 10 14 34 56 70 94],       radical
454,    2 227,         [33 45 87],                  radical
455,    5 7 13,        [6 12 24 36 54 66],          radical
456,    2³ 3 19,       [7 23 35 47 67],             
457,    457,           [84 90],                     prime
458,    2 229,         [9 99],                      radical
459,    3³ 17,         [2 20 28 40 50 62],          
460,    2² 5 23,       [3 27 39 63 81 87],          
461,    461,           [18 30 42 60],               prime twin
462,    2 3 7 11,      [1 5 29 41 61 79 95],        radical
463,    463,           [24 84],                     prime twin
464,    2⁴ 29,         [3 15 45],                   
465,    3 5 31,        [2 22 26 34 44 56 76 82],    radical
466,    2 233,         [33 57],                     radical
467,    467,           [24 36],                     prime
468,    2² 3² 13,      [11 19 35 79 89 95],         
469,    7 67,          [30 72],                     radical
470,    2 5 47,        [9 21 39 51 87],             radical
471,    3 157,         [8 28 32 38 50 52 70 92],    radical
472,    2³ 59,         [15 51 75 99],               
473,    11 43,         [6 30 84 90],                radical
474,    2 3 79,        [13 17 25 35 73 95],         radical
475,    5² 19,         [12 66 96],                  
476,    2² 7 17,       [15 27 33 45 87 93],         
477,    3² 53,         [10 14 44 46 80 94],         
478,    2 239,         [21 45 69 99],               radical
479,    479,           [12 30 78 90],               prime
480,    2⁵ 3 5,        [19 23 41 61 83 91 97],      
481,    13 37,         [18 42 60],                  radical
482,    2 241,         [21 39 81],                  radical
483,    3 7 23,        [4 16 20 26 40 64 74 86],    radical
484,    2² 11²,        [63 87],                     radical power
485,    5 97,          [6 18 24 36 84],             radical
486,    2 3⁵,          [23 37 55 77 85],            
487,    487,           [54 90],                     prime
488,    2³ 61,         [21 69 99],                  
489,    3 163,         [2 10 32 58 68 80 88],       radical
490,    2 5 7²,        [33 51 57 81],               
491,    491,           [12 30 72],                  prime
492,    2² 3 41,       [29 31 49 71 95],            
493,    17 29,         [6 30 54 84],                radical
494,    2 13 19,       [15 27 63 75 93],            radical
495,    3² 5 11,       [4 8 28 46 52 62 74 76],     
496,    2⁴ 31,         [75],                        
497,    7 71,          [6 66 96],                   radical
498,    2 3 83,        [11 49 59 65 79 89],         radical
499,    499,           [42 78],                     prime
500,    2² 5³,         [9 21 57 69 99],             
501,    3 167,         [2 22 40 62 68 70 92 100],   radical
502,    2 251,         [39 45 69],                  radical
503,    503,           [54 60 84],                  prime
504,    2³ 3² 7,       [5 17 37 43 65 73 83 95],    
505,    5 101,         [18 42 66 72 96],            radical
506,    2 11 23,       [3 15 57 63 87],             radical
507,    3 13²,         [16 40 50 64 86],            
508,    2² 127,        [69 99],                     
509,    509,           [48 60 78 90],               prime
510,    2 3 5 17,      [11 31 47 53 61 67 77 89],   radical
511,    7 73,          [12 90],                     radical
512,    2⁹,            [9 45 51 81],                prime power
513,    3³ 19,         [10 34 50 56 64 74 80 94],   
514,    2 257,         [27 57 93],                  radical
515,    5 103,         [6 48 54 72 84],             radical
516,    2² 3 43,       [7 25 53 55 77 83 85 97],    
517,    11 47,         [30 54 60 84 96],            radical
518,    2 7 37,        [39 51 69 75 99],            radical
519,    3 173,         [28 52 58 80 88 98 100],     radical
520,    2³ 5 13,       [21 57 81 87 99],            
521,    521,           [42 72 78],                  prime twin
522,    2 3² 29,       [1 19 35 55 65 79 91],       
523,    523,           [24 84 90],                  prime twin
524,    2² 131,        [33 45 63 75 93],            
525,    3 5² 7,        [16 22 38 46 62 68 76 82],   
526,    2 263,         [87 93],                     radical
527,    17 31,         [36 60 66],                  radical
