# `n`         a positive integer
# `factors`   the prime factorization of n
# `psym`      the symmetric primes at equal offsets around n
# `primeness` notes if n is a prime, prime power, prime twin, radical, radical power, primorial, or primorial power

n,      factors,       psym,                        primeness
1183,   7 13²,         [30 54 66 96],               
1184,   2⁵ 37,         [3 33 75 93],                
1185,   3 5 79,        [32 92 94 98],               radical
1186,   2 593,         [15 63 93],                  radical
1187,   1187,          [6 36 90 96],                prime
1188,   2² 3³ 11,      [25 35 71 91 95],            
1189,   29 41,         [60],                        radical
1190,   2 5 7 17,      [3 27 39 87 93 99],          radical
1191,   3 397,         [10 38 40 68 88 98 100],     radical
1192,   2³ 149,        [21 39 99],                  
1193,   1193,          [30 84 90 96],               prime
1194,   2 3 199,       [7 23 43 65 85 97],          radical
1195,   5 239,         [42],                        radical
1196,   2² 13 23,      [33 87 93],                  
1197,   3² 7 19,       [4 16 26 34 80 94 100],      
1198,   2 599,         [81],                        radical
1199,   11 109,        [18 90],                     radical
1200,   2⁴ 3 5²,       [13 29 37 49 77 83 91 97],   
1201,   1201,          [30 48 78],                  prime
1202,   2 601,         [15 21 99],                  radical
1203,   3 401,         [10 74 80 86 94 100],        radical
1204,   2² 7 43,       [33 75 87],                  
1205,   5 241,         [12 18 24 54 96],            radical
1206,   2 3² 67,       [25 43 53 77 83 97],         
1207,   17 71,         [6 84 90],                   radical
1208,   2³ 151,        [15 21 99],                  
1209,   3 13 31,       [8 22 28 80 92],             radical
1210,   2 5 11²,       [39 81 87 93],               
1211,   7 173,         [18 48],                     radical
1212,   2² 3 101,      [11 19 25 89 95],            
1213,   1213,          [84 90],                     prime
1214,   2 607,         [63],                        radical
1215,   3⁵ 5,          [2 14 22 34 44 62 64 86],    
1216,   2⁶ 19,         [15 63 87],                  
1217,   1217,          [66],                        prime
1218,   2 3 7 29,      [5 31 65 89],                radical
1219,   23 53,         [18],                        radical
1220,   2² 5 61,       [3 39 57 69],                
1221,   3 11 37,       [8 28 58 68 70 98],          radical
1222,   2 13 47,       [9 69 99],                   radical
1223,   1223,          [6 36 60],                   prime
1224,   2³ 3² 17,      [7 53 73 95],                
1225,   5² 7²,         [12 24 54 72 96],            radical power
1226,   2 613,         [3 33 63 75],                radical
1227,   3 409,         [4 10 56 64 74 76],          radical
1228,   2² 307,        [75 99],                     
1229,   1229,          [48 78],                     prime twin
1230,   2 3 5 41,      [1 7 29 49 59 67 77],        radical
1231,   1231,          [18 60],                     prime twin
1232,   2⁴ 7 11,       [45 51 69],                  
1233,   3² 137,        [4 16 46 70],                
1234,   2 617,         [3 63],                      radical
1235,   5 13 19,       [42 48 54 72 84],            radical
1236,   2² 3 103,      [13 23 43 55 65 83 85],      
1237,   1237,          [66 84],                     prime
1238,   2 619,         [21 45 51],                  radical
1239,   3 7 59,        [10 38 52 58 68 88],         radical
1240,   2³ 5 31,       [9 39 87],                   
1241,   17 73,         [18 48 60 78],               radical
1242,   2 3³ 23,       [41 49 55 61 79],            
1243,   11 113,        [6],                         radical
1244,   2² 311,        [15 57 63],                  
1245,   3 5 83,        [14 32 44 52 58 74 82],      radical
1246,   2 7 89,        [33 45 75],                  radical
1247,   29 43,         [30 54 60],                  radical
1248,   2⁵ 3 13,       [11 31 35 55],               
1249,   1249,          [48 78],                     prime
1250,   2 5⁴,          [27 33 57 69],               
1251,   3² 139,        [28 38 50 70],               
1252,   2² 313,        [39 51],                     
1253,   7 179,         [24 30 36 66],               radical
1254,   2 3 11 19,     [5 23 25 37 53 67 73],       radical
1255,   5 251,         [24 42],                     radical
1256,   2³ 157,        [27 33 63],                  
1257,   3 419,         [20 26 34 40 44 64 70],      radical
1258,   2 17 37,       [21 45],                     radical
1259,   1259,          [30 42],                     prime
1260,   2² 3² 5 7,     [23 29 31 37 43 47 59 67],   
1261,   13 97,         [30 60],                     radical
1262,   2 631,         [39 45 99],                  radical
1263,   3 421,         [14 26 34 40],               radical
1264,   2⁴ 79,         [15 27 33 63],               
1265,   5 11 23,       [36 42],                     radical
1266,   2 3 211,       [17 35 37 53 95],            radical
1267,   7 181,         [30 36 54],                  radical
1268,   2² 317,        [9 39 51],                   
1269,   3³ 47,         [10 20 32 38 52 98],         
1270,   2 5 127,       [21 33 57],                  radical
1271,   31 41,         [12 48 90],                  radical
1272,   2³ 3 53,       [35 49 55],                  
1273,   19 67,         [24],                        radical
1274,   2 7² 13,       [15 45 87 93],               
1275,   3 5² 17,       [16 26 44 46 52],            
1276,   2² 11 29,      [27 45],                     
1277,   1277,          [84 90 96],                  prime twin
1278,   2 3² 71,       [1 19 29 41 49],             
1279,   1279,          [42 48],                     prime twin
1280,   2⁸ 5,          [3 21 87 93],                
1281,   3 7 61,        [2 22 80 100],               radical
1282,   2 641,         [45],                        radical
1283,   1283,          [6 24 90],                   prime
1284,   2² 3 107,      [5 7 35 83 97],              
1285,   5 257,         [6 36],                      radical
1286,   2 643,         [3],                         radical
1287,   3² 11 13,      [4 10 74 86 94],             
1288,   2³ 7 23,       [9 39],                      
1289,   1289,          [12 30 72],                  prime twin
1290,   2 3 5 43,      [1 7 11 13 31 77],           radical
1291,   1291,          [12 90],                     prime twin
1292,   2² 17 19,      [9 15 69 75],                
1293,   3 431,         [4 10 14 34 80],             radical
1294,   2 647,         [3],                         radical
1295,   5 7 37,        [6 12 66 72 78],             radical
1296,   2⁴ 3⁴,         [5 7 65],                    radical power
1297,   1297,          [6 84],                      prime
1298,   2 11 59,       [9 21 69 75],                radical
1299,   3 433,         [2 8 20 22 62 68 82],        radical
1300,   2² 5² 13,      [3 21 99],                   
1301,   1301,          [18 72],                     prime twin
1302,   2 3 7 31,      [1 5 19 25 65 71 79],        radical
1303,   1303,          [24],                        prime twin
1304,   2³ 163,        [3 15],                      
1305,   3² 5 29,       [2 14 16 22 56 68 76],       
1306,   2 653,         [15 75 93],                  radical
1307,   1307,          [],                          prime
1308,   2² 3 109,      [11 19 59 91],               
1309,   7 11 17,       [12 18 72],                  radical
1310,   2 5 131,       [9 51],                      radical
1311,   3 19 23,       [8 10 62 88 98],             radical
1312,   2⁵ 41,         [9 15],                      
1313,   13 101,        [6 54 96],                   radical
1314,   2 3² 73,       [7 13 85],                   
1315,   5 263,         [12 66 84],                  radical
1316,   2² 7 47,       [57 93],                     
1317,   3 439,         [10],                        radical
1318,   2 659,         [81],                        radical
1319,   1319,          [42 90],                     prime twin
1320,   2³ 3 5 11,     [1 41 61 89],                
1321,   1321,          [],                          prime twin
1322,   2 661,         [39 45],                     radical
1323,   3³ 7²,         [4 44 86 100],               
1324,   2² 331,        [3 75],                      
1325,   5² 53,         [36 42 48],                  
1326,   2 3 13 17,     [35 47 97],                  radical
1327,   1327,          [96],                        prime
1328,   2⁴ 83,         [39 45 99],                  
1329,   3 443,         [32 38 52 70 80 98 100],     radical
1330,   2 5 7 19,      [51 93 99],                  radical
1331,   11³,           [30 42],                     prime power
1332,   2² 3² 37,      [29 35 41 49 95],            
1333,   31 43,         [96],                        radical
1334,   2 23 29,       [27 33 75],                  radical
1335,   3 5 89,        [32 38 46 98],               radical
1336,   2³ 167,        [45 87],                     
1337,   7 191,         [30 36],                     radical
1338,   2 3 223,       [35 61 89],                  radical
1339,   13 103,        [42 60 90],                  radical
1340,   2² 5 67,       [21 33],                     
1341,   3² 149,        [20 40 58 82 92],            
1342,   2 11 61,       [39],                        radical
1343,   17 79,         [24 66 84],                  radical
1344,   2⁶ 3 7,        [17 23 37 55 65 85 95],      
1345,   5 269,         [54],                        radical
1346,   2 673,         [27 63 87],                  radical
1347,   3 449,         [20 26],                     radical
1348,   2² 337,        [51 99],                     
1349,   19 71,         [60 90],                     radical
1350,   2 3³ 5²,       [23 31 49 59 73],            
1351,   7 193,         [30 48 72],                  radical
1352,   2³ 13²,        [75],                        
1353,   3 11 41,       [46 56 70 74 76 94],         radical
1354,   2 677,         [27 75],                     radical
1355,   5 271,         [54 72 78 96],               radical
1356,   2² 3 113,      [53 67 73 77 97],            
1357,   23 59,         [66],                        radical
1358,   2 7 97,        [51 69 75 81],               radical
1359,   3² 151,        [40 68 70 80 100],           
1360,   2⁴ 5 17,       [39 63 69],                  
1361,   1361,          [72 78],                     prime
1362,   2 3 227,       [61 65 71 85],               radical
1363,   29 47,         [36 60 66 84],               radical
1364,   2² 11 31,      [3 45 63 75 87],             
1365,   3 5 7 13,      [44 58 62 64 68 74 82 86],   radical
1366,   2 683,         [63 87],                     radical
1367,   1367,          [6 60 66 84],                prime
1368,   2³ 3² 19,      [41 61 65 71 79 85 91],      
1369,   37²,           [78 90],                     prime power
1370,   2 5 137,       [3 63 69 81],                radical
1371,   3 457,         [10 52 68 80 82 88],         radical
1372,   2² 7³,         [51 75 81],                  
1373,   1373,          [54 66],                     prime
1374,   2 3 229,       [7 53 55 73 77 85 97],       radical
1375,   5³ 11,         [48 54 72 78 84 96],         
1376,   2⁵ 43,         [57 75],                     
1377,   3⁴ 17,         [4 50 56 70 74 76 94],       
1378,   2 13 53,       [51 75 81],                  radical
1379,   7 197,         [60 72],                     radical
1380,   2² 3 5 23,     [19 53 59 73 79 91],         
1381,   1381,          [78 90],                     prime
1382,   2 691,         [99],                        radical
1383,   3 461,         [16 56 64 76 100],           radical
1384,   2³ 173,        [63 87],                     
1385,   5 277,         [24 66 96],                  radical
1386,   2 3² 7 11,     [13 65 67 85 95 97],         
1387,   19 73,         [60 66 84 96],               radical
1388,   2² 347,        [21 99],                     
1389,   3 463,         [62 70 82 92 98 100],        radical
1390,   2 5 139,       [9 63 69 93 99],             radical
1391,   13 107,        [18 90],                     radical
1392,   2⁴ 3 29,       [31 89 91 95],               
1393,   7 199,         [66 90 96],                  radical
1394,   2 17 41,       [33 87 93],                  radical
1395,   3² 5 31,       [14 28 34 76 88 92 94 98],   
1396,   2² 349,        [75 93],                     
1397,   11 127,        [30 36 90 96],               radical
1398,   2 3 233,       [25 31 91 95],               radical
1399,   1399,          [72],                        prime
1400,   2³ 5² 7,       [27 33 39 81 93 99],         
1401,   3 467,         [28 80 82 98],               radical
1402,   2 701,         [21 81],                     radical
1403,   23 61,         [30 36 84 96],               radical
1404,   2² 3³ 13,      [5 23 43 77 83 85],          
1405,   5 281,         [24 78 84],                  radical
1406,   2 19 37,       [33 45 87],                  radical
1407,   3 7 67,        [26 40 46 80 86],            radical
1408,   2⁷ 11,         [81],                        
1409,   1409,          [42 90],                     prime
1410,   2 3 5 47,      [29 37 43 49 83 89],         radical
1411,   17 83,         [12],                        radical
1412,   2² 353,        [39],                        
1413,   3² 157,        [14 40 46 86],               
1414,   2 7 101,       [15 33],                     radical
1415,   5 283,         [96],                        radical
1416,   2³ 3 59,       [7 17 35 43 55 95],          
1417,   13 109,        [36],                        radical
1418,   2 709,         [9],                         radical
1419,   3 11 43,       [10 20 52 92],               radical
1420,   2² 5 71,       [39],                        
1421,   7² 29,         [12 60],                     
1422,   2 3² 79,       [49 61],                     
1423,   1423,          [24],                        prime
1424,   2⁴ 89,         [15 57 63],                  
1425,   3 5² 19,       [2 26 58 64 98],             
1426,   2 23 31,       [3 27 45],                   radical
1427,   1427,          [54 60 66],                  prime twin
1428,   2² 3 7 17,     [1 5 19 55 61],              
1429,   1429,          [30],                        prime twin
1430,   2 5 11 13,     [3 21 57 63 69],             radical
1431,   3³ 53,         [2 8 22 50 58],              
1432,   2³ 179,        [51],                        
1433,   1433,          [6 60 66],                   prime
1434,   2 3 239,       [5 25 53],                   radical
1435,   5 7 41,        [12 36 54],                  radical
1436,   2² 359,        [3 63 75],                   
1437,   3 479,         [10 14 56],                  radical
1438,   2 719,         [9 15],                      radical
1439,   1439,          [12 72],                     prime
1440,   2⁵ 3² 5,       [7 11 13 31 41 59],          
1441,   11 131,        [12 18 42],                  radical
1442,   2 7 103,       [9 69 81],                   radical
1443,   3 13 37,       [4 10 16 44],                radical
1444,   2² 19²,        [15 45],                     radical power
1445,   5 17²,         [6 36 78],                   
1446,   2 3 241,       [7 13 37 47 65 85],          radical
1447,   1447,          [24],                        prime
1448,   2³ 181,        [39 75],                     
1449,   3² 7 23,       [2 10 22 40 50 82],          
1450,   2 5² 29,       [3 21],                      
1451,   1451,          [42],                        prime twin
1452,   2² 3 11²,      [1 19 29 71 79 91],          
1453,   1453,          [6 30],                      prime twin
1454,   2 727,         [27 45],                     radical
1455,   3 5 97,        [4 16 26 28 32 56 88 94],    radical
1456,   2⁴ 7 13,       [3 27 33 75],                
1457,   31 47,         [24 30 96],                  radical
1458,   2 3⁶,          [25 29 31 35 85 91],         
1459,   1459,          [12 30],                     prime
1460,   2² 5 73,       [21 27 33 51 93 99],         
1461,   3 487,         [10 22 28 32 38 62 88],      radical
1462,   2 17 43,       [9 81],                      radical
1463,   7 11 19,       [24 30 36 90 96],            radical
1464,   2³ 3 61,       [17 25 35],                  
1465,   5 293,         [6 18 66 84],                radical
1466,   2 733,         [15 27 33 57 93],            radical
1467,   3² 163,        [14 16 20 44 86 100],        
1468,   2² 367,        [15 21],                     
1469,   13 113,        [18 30 42],                  radical
1470,   2 3 5 7²,      [11 17 19 23 41 61 89 97],   
1471,   1471,          [12 18 72],                  prime
1472,   2⁶ 23,         [21 39 99],                  
1473,   3 491,         [14 20 26 50],               radical
1474,   2 11 67,       [15 75 93],                  radical
1475,   5² 59,         [24 36 48],                  
1476,   2² 3² 41,      [5 17 23 47 67 77 95],       
1477,   7 211,         [6 54],                      radical
1478,   2 739,         [45],                        radical
1479,   3 17 29,       [8 20 32 52 70 80],          radical
1480,   2³ 5 37,       [9 51 99],                   
1481,   1481,          [30 42 72],                  prime twin
1482,   2 3 13 19,     [1 11 29 49],                radical
1483,   1483,          [60 84],                     prime twin
1484,   2² 7 53,       [3 75],                      
1485,   3³ 5 11,       [2 4 14 26 38 46 58 86],     
1486,   2 743,         [3 57 63],                   radical
1487,   1487,          [6 36],                      prime twin
1488,   2⁴ 3 31,       [1 5 35 55 61 65 79],        
1489,   1489,          [42 60 90],                  prime twin
1490,   2 5 149,       [3 9 63 81],                 radical
1491,   3 7 71,        [2 8 20 32 40 52 58 62],     radical
1492,   2² 373,        [39],                        
1493,   1493,          [6 60 66],                   prime
1494,   2 3² 83,       [5 55 65 85],                
1495,   5 13 23,       [36 48 72],                  radical
1496,   2³ 11 17,      [3 15 57 63 87],             
1497,   3 499,         [14 26 46 70 74],            radical
1498,   2 7 107,       [45 51 69 99],               radical
1499,   1499,          [12 60 72],                  prime
1500,   2² 3 5³,       [11 49 53 67 71],            
1501,   19 79,         [30 42 48 78],               radical
1502,   2 751,         [9 21 51 69],                radical
1503,   3² 167,        [20 50 56 64 76 80 94],      
1504,   2⁵ 47,         [45 75],                     
1505,   5 7 43,        [6 18 54 66 78 96],          radical
1506,   2 3 251,       [17 25 47 53 73 77],         radical
1507,   11 137,        [24 36 60],                  radical
1508,   2² 13 29,      [15 75 99],                  
1509,   3 503,         [22 50 58 62 70 100],        radical
1510,   2 5 151,       [21 39 57 87],               radical
1511,   1511,          [12 60 72],                  prime
1512,   2³ 3³ 7,       [19 31 41 59 85 89],         
1513,   17 89,         [30 54 66 84],               radical
1514,   2 757,         [87],                        radical
1515,   3 5 101,       [16 28 34 44 56 64 68 82],   radical
1516,   2² 379,        [27 33 63 93],               
1517,   37 41,         [6 36 66 84 90],             radical
1518,   2 3 11 23,     [25 31 35 65 79 89 91 95],   radical
1519,   7² 31,         [30 48 60 90],               
1520,   2⁴ 5 19,       [33 39 81 87 93],            
1521,   3² 13²,        [10 22 28 32 38 50 62 88],   radical power
1522,   2 761,         [75 99],                     radical
1523,   1523,          [30 36 84 90 96],            prime
1524,   2² 3 127,      [25 35 43 73 77 85 95 97],   
1525,   5² 61,         [42 54 72 96],               
1526,   2 7 109,       [27 33 45 75 87 93],         radical
1527,   3 509,         [4 16 40 44 56 74 80 94],    radical
1528,   2³ 191,        [39 69 81 99],               
1529,   11 139,        [30 42 78 90],               radical
1530,   2 3² 5 17,     [19 37 41 49 71 77 79 83],   
1531,   1531,          [48 78],                     prime
1532,   2² 383,        [21 39 51 81],               
1533,   3 7 73,        [10 34 46 50 74 80 86 94],   radical
1534,   2 13 59,       [45 63 75 87],               radical
1535,   5 307,         [24 36 48 84],               radical
1536,   2⁹ 3,          [13 43 47 65 77 83 85],      
1537,   29 53,         [6 84 90],                   radical
1538,   2 769,         [15 45 99],                  radical
1539,   3⁴ 19,         [28 40 58 68 80 88],         
1540,   2² 5 7 11,     [9 57 69 81 87],             
1541,   23 67,         [18 30 42 60],               radical
1542,   2 3 257,       [11 55 59 71 95],            radical
1543,   1543,          [54 84],                     prime
1544,   2³ 193,        [57 63 93],                  
1545,   3 5 103,       [14 22 34 52 56 62 64 74],   radical
1546,   2 773,         [3 63 75],                   radical
1547,   7 13 17,       [24 36 54 60 66],            radical
1548,   2² 3² 43,      [5 49 59 61 65 89],          
1549,   1549,          [18 60 78],                  prime
1550,   2 5² 31,       [51 57 63 69],               
1551,   3 11 47,       [2 8 20 28 58 62 68 70],     radical
1552,   2⁴ 97,         [69],                        
1553,   1553,          [30 54 60 66],               prime
1554,   2 3 7 37,      [5 43 55 65 67 73 83],       radical
1555,   5 311,         [12 24 66 72],               radical
1556,   2² 389,        [3 45 57 63],                
1557,   3² 173,        [14 26 64 70],               
1558,   2 19 41,       [9 69 99],                   radical
1559,   1559,          [48 60 78],                  prime
1560,   2³ 3 5 13,     [7 11 37 49 61 67 77],       
1561,   7 223,         [18],                        radical
1562,   2 11 71,       [9 39 51 75],                radical
1563,   3 521,         [4 20 64 74],                radical
1564,   2² 17 23,      [15 33 93],                  
1565,   5 313,         [6 42 54 72],                radical
1566,   2 3³ 29,       [13 17 35 43 55],            
1567,   1567,          [96],                        prime
1568,   2⁵ 7²,         [15 45 69],                  
1569,   3 523,         [2 10 38 58 88 98],          radical
1570,   2 5 157,       [27 39 87 99],               radical
1571,   1571,          [12 48],                     prime
1572,   2² 3 131,      [29 41 49 85 91],            
1573,   11² 13,        [6 24 84 90],                
1574,   2 787,         [63 93],                     radical
1575,   3² 5² 7,       [4 8 22 26 32 44 52 82],     
1576,   2³ 197,        [33 45 87 93],               
1577,   19 83,         [6 24 90],                   radical
1578,   2 3 263,       [19 29 35 79 85 89 91],      radical
1579,   1579,          [30 48 90],                  prime
1580,   2² 5 79,       [21 27 57 87],               
1581,   3 17 31,       [2 28 32 38 82 88],          radical
1582,   2 7 113,       [15 39],                     radical
1583,   1583,          [24 30 84],                  prime
1584,   2⁴ 3² 11,      [13 17 25 35 53 73 85],      
1585,   5 317,         [36 42],                     radical
1586,   2 13 61,       [15 27 33],                  radical
1587,   3 23²,         [20 34 76],                  
1588,   2² 397,        [9 21 39],                   
1589,   7 227,         [18 30 78],                  radical
1590,   2 3 5 53,      [7 11 19 23 31 37 47 67],    radical
1591,   37 43,         [],                          radical
1592,   2³ 199,        [9 21],                      
1593,   3³ 59,         [14 26 34 44 70 100],        
1594,   2 797,         [15 27 63],                  radical
1595,   5 11 29,       [12 24 42 72],               radical
1596,   2² 3 7 19,     [13 17 25 73 97],            
1597,   1597,          [30 66],                     prime
1598,   2 17 47,       [15 39 99],                  radical
1599,   3 13 41,       [2 20 28 68 100],            radical
1600,   2⁶ 5²,         [21 57 69],                  
1601,   1601,          [18],                        prime
1602,   2 3² 89,       [5 19 35 91],                
1603,   7 229,         [6 24 54 60],                radical
1604,   2² 401,        [3 33 93],                   
1605,   3 5 107,       [4 8 22 52 62 94],           radical
1606,   2 11 73,       [57 63],                     radical
1607,   1607,          [6],                         prime twin
1608,   2³ 3 67,       [1 11 29 49 55 59 85],       
1609,   1609,          [12 60],                     prime twin
1610,   2 5 7 23,      [3 9 27 57 87 99],           radical
1611,   3² 179,        [2 10 52 58 88],             
1612,   2² 13 31,      [15 45 81],                  
1613,   1613,          [6 54],                      prime
1614,   2 3 269,       [5 7 13 43 55 83],           radical
1615,   5 17 19,       [6 48 84],                   radical
1616,   2⁴ 101,        [3 93],                      
1617,   3 7² 11,       [4 10 20 46 50],             
1618,   2 809,         [9 39 51 75],                radical
1619,   1619,          [18 48],                     prime twin
1620,   2² 3⁴ 5,       [1 7 37 49 77 89],           
1621,   1621,          [42 72 78],                  prime twin
1622,   2 811,         [15 99],                     radical
1623,   3 541,         [4 14 40 44 70 74 100],      radical
1624,   2³ 7 29,       [3 45 75],                   
1625,   5³ 13,         [12 42 72],                  
1626,   2 3 271,       [43 67 73 83 95],            radical
1627,   1627,          [30 96],                     prime
1628,   2² 11 37,      [9 69],                      
1629,   3² 181,        [8 28 70 80],                
1630,   2 5 163,       [33 63],                     radical
1631,   7 233,         [78],                        radical
1632,   2⁵ 3 17,       [5 25 31 35 61 65 89],       
1633,   23 71,         [24 36 66 90],               radical
1634,   2 19 43,       [33 63 75],                  radical
1635,   3 5 109,       [22 28 34 64 86],            radical
1636,   2² 409,        [27 57 87],                  
1637,   1637,          [30 84],                     prime
1638,   2 3² 7 13,     [19 25 29 31 55 59 71 85],   
1639,   11 149,        [18 30 60],                  radical
1640,   2³ 5 41,       [27 57 69 81],               
1641,   3 547,         [22 28 58 82 92],            radical
1642,   2 821,         [15 21 99],                  radical
1643,   31 53,         [24 90],                     radical
1644,   2² 3 137,      [23 25 65 77],               
1645,   5 7 47,        [18 24 48 78 96],            radical
1646,   2 823,         [63 75 87],                  radical
1647,   3³ 61,         [10 20 46 50 76 94],         
1648,   2⁴ 103,        [21 51 99],                  
1649,   17 97,         [48],                        radical
1650,   2 3 5² 11,     [13 43 49 71 83 91 97],      
1651,   13 127,        [42 72],                     radical
1652,   2² 7 59,       [15 45 69 81],               
1653,   3 19 29,       [16 40 44 46 56 70 94 100],  radical
1654,   2 827,         [45 87],                     radical
1655,   5 331,         [42 54],                     radical
1656,   2³ 3² 23,      [37 43 77 85 97],            
1657,   1657,          [36 90],                     prime
1658,   2 829,         [39 51 75],                  radical
1659,   3 7 79,        [38 40 50 62 88 100],        radical
1660,   2² 5 83,       [3 33 39 63 81 93],          
1661,   11 151,        [48 60],                     radical
1662,   2 3 277,       [5 35 61 79 91],             radical
1663,   1663,          [6 36 84 96],                prime
1664,   2⁷ 13,         [45 57],                     
1665,   3² 5 37,       [2 28 44 56 58 68 82 94],    
1666,   2 7² 17,       [3 57 87],                   
1667,   1667,          [30 54 66],                  prime twin
1668,   2² 3 139,      [1 31 41 55 85],             
1669,   1669,          [72 90],                     prime twin
1670,   2 5 167,       [51 63],                     radical
1671,   3 557,         [50 52 62 70 88],            radical
1672,   2³ 11 19,      [51 75],                     
1673,   7 239,         [36 60],                     radical
1674,   2 3³ 31,       [47 67 73],                  
1675,   5² 67,         [18 48 66 78],               
1676,   2² 419,        [57],                        
1677,   3 13 43,       [20 56 64 70 76],            radical
1678,   2 839,         [15 21 69 81 99],            radical
1679,   23 73,         [42],                        radical
1680,   2⁴ 3 5 7,      [13 17 43 53 61 67 73 79],   
1681,   41²,           [12 18 60 72],               prime power
1682,   2 29²,         [15],                        
1683,   3² 11 17,      [14 16 26 64 70 76 100],     
1684,   2² 421,        [15 57 63 75],               
1685,   5 337,         [48],                        radical
1686,   2 3 281,       [23 67 73],                  radical
1687,   7 241,         [60 66 90],                  radical
1688,   2³ 211,        [21],                        
1689,   3 563,         [20 32 52 70 88],            radical
1690,   2 5 13²,       [33 63 69 93],               
1691,   19 89,         [],                          radical
1692,   2² 3² 47,      [29 55 85 91 95],            
1693,   1693,          [30 66 84 96],               prime
1694,   2 7 11²,       [27 93],                     
1695,   3 5 113,       [2 26 28 38 58 82 88 94],    radical
1696,   2⁵ 53,         [3 27 87],                   
1697,   1697,          [90],                        prime twin
1698,   2 3 283,       [1 35 61 79 85 89 91],       radical
1699,   1699,          [42 78 90],                  prime twin
1700,   2² 5² 17,      [33 87],                     
1701,   3⁵ 7,          [8 32 82 88 100],            
1702,   2 23 37,       [39 45 75 81],               radical
1703,   13 131,        [6 84],                      radical
1704,   2³ 3 71,       [5 37 83 85 97],             
1705,   5 11 31,       [36 42 48 78 84 96],         radical
1706,   2 853,         [],                          radical
1707,   3 569,         [14 40 70 80 94],            radical
1708,   2² 7 61,       [15 39 45 51 81],            
1709,   1709,          [12],                        prime
1710,   2 3² 5 19,     [11 13 43 73 91],            
1711,   29 59,         [12 42 48 90],               radical
1712,   2⁴ 107,        [75 99],                     
1713,   3 571,         [20 46 76],                  radical
1714,   2 857,         [45 87],                     radical
1715,   5 7³,          [6 18 96],                   
1716,   2² 3 11 13,    [7 17 95],                   
1717,   17 101,        [24 60],                     radical
1718,   2 859,         [],                          radical
1719,   3² 191,        [22 82 92],                  
1720,   2³ 5 43,       [21 27 57 63],               
1721,   1721,          [12],                        prime twin
1722,   2 3 7 41,      [1 25 55 65],                radical
1723,   1723,          [24 30 54 60 66],            prime twin
1724,   2² 431,        [87],                        
1725,   3 5² 23,       [16 28 58 62 98],            
1726,   2 863,         [27 33 57 63],               radical
1727,   11 157,        [6 60],                      radical
1728,   2⁶ 3³,         [5 19 31 59 61],             
1729,   7 13 19,       [30 60 72],                  radical
1730,   2 5 173,       [93],                        radical
1731,   3 577,         [10 22],                     radical
1732,   2² 433,        [9 69],                      
1733,   1733,          [],                          prime
1734,   2 3 17²,       [13 25 67 77 97],            
1735,   5 347,         [12 42 66],                  radical
1736,   2³ 7 31,       [],                          
1737,   3² 193,        [4 16 40 74],                
1738,   2 11 79,       [15 39 45],                  radical
1739,   37 47,         [72],                        radical
1740,   2² 3 5 29,     [7 19 43 47 71 83],          
1741,   1741,          [18 42 48],                  prime
1742,   2 13 67,       [45],                        radical
1743,   3 7 83,        [10 34 44 46 80],            radical
1744,   2⁴ 109,        [3 45 87],                   
1745,   5 349,         [78],                        radical
1746,   2 3² 97,       [13 37 77],                  
1747,   1747,          [6 54 84],                   prime
1748,   2² 19 23,      [39],                        
1749,   3 11 53,       [28 40 52 82],               radical
1750,   2 5³ 7,        [3 9 27 51 81],              
1751,   17 103,        [],                          radical
1752,   2³ 3 73,       [31 59 95],                  
1753,   1753,          [6 30],                      prime
1754,   2 877,         [33 57],                     radical
1755,   3³ 5 13,       [22 32 34 46 56 92],         
1756,   2² 439,        [3 33],                      
1757,   7 251,         [90],                        radical
1758,   2 3 293,       [25 65 89],                  radical
1759,   1759,          [18],                        prime
1760,   2⁵ 5 11,       [27 51 63],                  
1761,   3 587,         [28 40 62],                  radical
1762,   2 881,         [15 21 39 69 99],            radical
1763,   41 43,         [],                          radical
1764,   2² 3² 7²,      [23 67 97],                  radical power
1765,   5 353,         [12 18 24 66 96],            radical
1766,   2 883,         [45 57],                     radical
1767,   3 19 31,       [20 34 44 100],              radical
1768,   2³ 13 17,      [9 15 21 99],                
1769,   29 61,         [],                          radical
1770,   2 3 5 59,      [17 61 77],                  radical
1771,   7 11 23,       [12 18 30],                  radical
1772,   2² 443,        [39 51 75],                  
1773,   3² 197,        [14 50 74],                  
1774,   2 887,         [15 27],                     radical
1775,   5² 71,         [],                          
1776,   2⁴ 3 37,       [35 55],                     
1777,   1777,          [24 54 84],                  prime
1778,   2 7 127,       [45 69],                     radical
1779,   3 593,         [32 82],                     radical
1780,   2² 5 89,       [3 21 81 87],                
1781,   13 137,        [],                          radical
1782,   2 3⁴ 11,       [5 29 41 49 85 89],          
1783,   1783,          [6 84 90],                   prime
1784,   2³ 223,        [63 87],                     
1785,   3 5 7 17,      [2 26 38 62 76 86 88 92],    radical
1786,   2 19 47,       [3 45 87 93],                radical
1787,   1787,          [90],                        prime twin
1788,   2² 3 149,      [1 35 79 89 91],             
1789,   1789,          [12 42 90],                  prime twin
1790,   2 5 179,       [57 81],                     radical
1791,   3² 199,        [32 70 82 98],               
1792,   2⁸ 7,          [9 39 69],                   
1793,   11 163,        [84 96],                     radical
1794,   2 3 13 23,     [7 17 53 73 85 95],          radical
1795,   5 359,         [6 36 72],                   radical
