# `n`             a positive integer
# `factorization` the prime factorization of n, including exponents
# `primeness`     notes if n is a prime, prime power, radical, radical power, or primorial

    n, factorization, primeness
  186, 2 3 31,        radical
  187, 11 17,         radical
  188, 2² 47,         
  189, 3³ 7,          
  190, 2 5 19,        radical
  191, 191,           prime
  192, 2⁶ 3,          
  193, 193,           prime
  194, 2 97,          radical
  195, 3 5 13,        radical
  196, 2² 7²,         radical power
  197, 197,           prime
  198, 2 3² 11,       
  199, 199,           prime
  200, 2³ 5²,         
  201, 3 67,          radical
  202, 2 101,         radical
  203, 7 29,          radical
  204, 2² 3 17,       
  205, 5 41,          radical
  206, 2 103,         radical
  207, 3² 23,         
  208, 2⁴ 13,         
  209, 11 19,         radical
  210, 2 3 5 7,       primorial
  211, 211,           prime
  212, 2² 53,         
  213, 3 71,          radical
  214, 2 107,         radical
  215, 5 43,          radical
  216, 2³ 3³,         radical power
  217, 7 31,          radical
  218, 2 109,         radical
  219, 3 73,          radical
  220, 2² 5 11,       
  221, 13 17,         radical
  222, 2 3 37,        radical
  223, 223,           prime
  224, 2⁵ 7,          
  225, 3² 5²,         radical power
  226, 2 113,         radical
  227, 227,           prime
  228, 2² 3 19,       
  229, 229,           prime
  230, 2 5 23,        radical
  231, 3 7 11,        radical
  232, 2³ 29,         
  233, 233,           prime
  234, 2 3² 13,       
  235, 5 47,          radical
  236, 2² 59,         
  237, 3 79,          radical
  238, 2 7 17,        radical
  239, 239,           prime
  240, 2⁴ 3 5,        
  241, 241,           prime
  242, 2 11²,         
  243, 3⁵,            prime power
  244, 2² 61,         
  245, 5 7²,          
  246, 2 3 41,        radical
  247, 13 19,         radical
  248, 2³ 31,         
  249, 3 83,          radical
  250, 2 5³,          
  251, 251,           prime
  252, 2² 3² 7,       
  253, 11 23,         radical
  254, 2 127,         radical
  255, 3 5 17,        radical
  256, 2⁸,            prime power
  257, 257,           prime
  258, 2 3 43,        radical
  259, 7 37,          radical
  260, 2² 5 13,       
  261, 3² 29,         
  262, 2 131,         radical
  263, 263,           prime
  264, 2³ 3 11,       
  265, 5 53,          radical
  266, 2 7 19,        radical
  267, 3 89,          radical
  268, 2² 67,         
  269, 269,           prime
  270, 2 3³ 5,        
  271, 271,           prime
  272, 2⁴ 17,         
  273, 3 7 13,        radical
  274, 2 137,         radical
  275, 5² 11,         
  276, 2² 3 23,       
  277, 277,           prime
  278, 2 139,         radical
  279, 3² 31,         
  280, 2³ 5 7,        
  281, 281,           prime
  282, 2 3 47,        radical
  283, 283,           prime
  284, 2² 71,         
  285, 3 5 19,        radical
  286, 2 11 13,       radical
  287, 7 41,          radical
  288, 2⁵ 3²,         
  289, 17²,           prime power
  290, 2 5 29,        radical
  291, 3 97,          radical
  292, 2² 73,         
  293, 293,           prime
  294, 2 3 7²,        
  295, 5 59,          radical
  296, 2³ 37,         
  297, 3³ 11,         
  298, 2 149,         radical
  299, 13 23,         radical
  300, 2² 3 5²,       
  301, 7 43,          radical
  302, 2 151,         radical
  303, 3 101,         radical
  304, 2⁴ 19,         
  305, 5 61,          radical
  306, 2 3² 17,       
  307, 307,           prime
  308, 2² 7 11,       
  309, 3 103,         radical
  310, 2 5 31,        radical
  311, 311,           prime
  312, 2³ 3 13,       
  313, 313,           prime
  314, 2 157,         radical
  315, 3² 5 7,        
  316, 2² 79,         
  317, 317,           prime
  318, 2 3 53,        radical
  319, 11 29,         radical
  320, 2⁶ 5,          
  321, 3 107,         radical
  322, 2 7 23,        radical
  323, 17 19,         radical
  324, 2² 3⁴,         
  325, 5² 13,         
  326, 2 163,         radical
  327, 3 109,         radical
  328, 2³ 41,         
  329, 7 47,          radical
  330, 2 3 5 11,      radical
  331, 331,           prime
  332, 2² 83,         
  333, 3² 37,         
  334, 2 167,         radical
  335, 5 67,          radical
  336, 2⁴ 3 7,        
  337, 337,           prime
  338, 2 13²,         
  339, 3 113,         radical
  340, 2² 5 17,       
  341, 11 31,         radical
  342, 2 3² 19,       
  343, 7³,            prime power
  344, 2³ 43,         
  345, 3 5 23,        radical
  346, 2 173,         radical
  347, 347,           prime
  348, 2² 3 29,       
  349, 349,           prime
  350, 2 5² 7,        
  351, 3³ 13,         
  352, 2⁵ 11,         
  353, 353,           prime
  354, 2 3 59,        radical
  355, 5 71,          radical
  356, 2² 89,         
  357, 3 7 17,        radical
  358, 2 179,         radical
  359, 359,           prime
  360, 2³ 3² 5,       
  361, 19²,           prime power
  362, 2 181,         radical
  363, 3 11²,         
  364, 2² 7 13,       
  365, 5 73,          radical
  366, 2 3 61,        radical
  367, 367,           prime
  368, 2⁴ 23,         
  369, 3² 41,         
  370, 2 5 37,        radical
  371, 7 53,          radical
  372, 2² 3 31,       
  373, 373,           prime
  374, 2 11 17,       radical
  375, 3 5³,          
  376, 2³ 47,         
  377, 13 29,         radical
  378, 2 3³ 7,        
  379, 379,           prime
  380, 2² 5 19,       
  381, 3 127,         radical
  382, 2 191,         radical
  383, 383,           prime
  384, 2⁷ 3,          
  385, 5 7 11,        radical
  386, 2 193,         radical
  387, 3² 43,         
  388, 2² 97,         
  389, 389,           prime
  390, 2 3 5 13,      radical
  391, 17 23,         radical
  392, 2³ 7²,         
  393, 3 131,         radical
  394, 2 197,         radical
  395, 5 79,          radical
  396, 2² 3² 11,      
  397, 397,           prime
  398, 2 199,         radical
  399, 3 7 19,        radical
  400, 2⁴ 5²,         
  401, 401,           prime
  402, 2 3 67,        radical
  403, 13 31,         radical
  404, 2² 101,        
  405, 3⁴ 5,          
  406, 2 7 29,        radical
  407, 11 37,         radical
  408, 2³ 3 17,       
  409, 409,           prime
  410, 2 5 41,        radical
  411, 3 137,         radical
  412, 2² 103,        
  413, 7 59,          radical
  414, 2 3² 23,       
  415, 5 83,          radical
  416, 2⁵ 13,         
  417, 3 139,         radical
  418, 2 11 19,       radical
  419, 419,           prime
  420, 2² 3 5 7,      
  421, 421,           prime
  422, 2 211,         radical
  423, 3² 47,         
  424, 2³ 53,         
  425, 5² 17,         
  426, 2 3 71,        radical
  427, 7 61,          radical
  428, 2² 107,        
  429, 3 11 13,       radical
  430, 2 5 43,        radical
  431, 431,           prime
  432, 2⁴ 3³,         
  433, 433,           prime
  434, 2 7 31,        radical
  435, 3 5 29,        radical
  436, 2² 109,        
  437, 19 23,         radical
  438, 2 3 73,        radical
  439, 439,           prime
  440, 2³ 5 11,       
  441, 3² 7²,         radical power
  442, 2 13 17,       radical
  443, 443,           prime
  444, 2² 3 37,       
  445, 5 89,          radical
  446, 2 223,         radical
  447, 3 149,         radical
  448, 2⁶ 7,          
  449, 449,           prime
  450, 2 3² 5²,       
  451, 11 41,         radical
  452, 2² 113,        
  453, 3 151,         radical
  454, 2 227,         radical
  455, 5 7 13,        radical
  456, 2³ 3 19,       
  457, 457,           prime
  458, 2 229,         radical
  459, 3³ 17,         
  460, 2² 5 23,       
  461, 461,           prime
  462, 2 3 7 11,      radical
  463, 463,           prime
  464, 2⁴ 29,         
  465, 3 5 31,        radical
  466, 2 233,         radical
  467, 467,           prime
  468, 2² 3² 13,      
  469, 7 67,          radical
  470, 2 5 47,        radical
  471, 3 157,         radical
  472, 2³ 59,         
  473, 11 43,         radical
  474, 2 3 79,        radical
  475, 5² 19,         
  476, 2² 7 17,       
  477, 3² 53,         
  478, 2 239,         radical
  479, 479,           prime
  480, 2⁵ 3 5,        
  481, 13 37,         radical
  482, 2 241,         radical
  483, 3 7 23,        radical
  484, 2² 11²,        radical power
  485, 5 97,          radical
  486, 2 3⁵,          
  487, 487,           prime
  488, 2³ 61,         
  489, 3 163,         radical
  490, 2 5 7²,        
  491, 491,           prime
  492, 2² 3 41,       
  493, 17 29,         radical
  494, 2 13 19,       radical
