# `n`             a positive integer
# `factorization` the prime factorization of n, including exponents
# `primeness`     notes if n is a prime, prime power, radical, radical power, or primorial

     n, factorization, primeness
  1856, 2⁶ 29,         
  1857, 3 619,         radical
  1858, 2 929,         radical
  1859, 11 13²,        
  1860, 2² 3 5 31,     
  1861, 1861,          prime
  1862, 2 7² 19,       
  1863, 3⁴ 23,         
  1864, 2³ 233,        
  1865, 5 373,         radical
  1866, 2 3 311,       radical
  1867, 1867,          prime
  1868, 2² 467,        
  1869, 3 7 89,        radical
  1870, 2 5 11 17,     radical
  1871, 1871,          prime
  1872, 2⁴ 3² 13,      
  1873, 1873,          prime
  1874, 2 937,         radical
  1875, 3 5⁴,          
  1876, 2² 7 67,       
  1877, 1877,          prime
  1878, 2 3 313,       radical
  1879, 1879,          prime
  1880, 2³ 5 47,       
  1881, 3² 11 19,      
  1882, 2 941,         radical
  1883, 7 269,         radical
  1884, 2² 3 157,      
  1885, 5 13 29,       radical
  1886, 2 23 41,       radical
  1887, 3 17 37,       radical
  1888, 2⁵ 59,         
  1889, 1889,          prime
  1890, 2 3³ 5 7,      
  1891, 31 61,         radical
  1892, 2² 11 43,      
  1893, 3 631,         radical
  1894, 2 947,         radical
  1895, 5 379,         radical
  1896, 2³ 3 79,       
  1897, 7 271,         radical
  1898, 2 13 73,       radical
  1899, 3² 211,        
  1900, 2² 5² 19,      
  1901, 1901,          prime
  1902, 2 3 317,       radical
  1903, 11 173,        radical
  1904, 2⁴ 7 17,       
  1905, 3 5 127,       radical
  1906, 2 953,         radical
  1907, 1907,          prime
  1908, 2² 3² 53,      
  1909, 23 83,         radical
  1910, 2 5 191,       radical
  1911, 3 7² 13,       
  1912, 2³ 239,        
  1913, 1913,          prime
  1914, 2 3 11 29,     radical
  1915, 5 383,         radical
  1916, 2² 479,        
  1917, 3³ 71,         
  1918, 2 7 137,       radical
  1919, 19 101,        radical
  1920, 2⁷ 3 5,        
  1921, 17 113,        radical
  1922, 2 31²,         
  1923, 3 641,         radical
  1924, 2² 13 37,      
  1925, 5² 7 11,       
  1926, 2 3² 107,      
  1927, 41 47,         radical
  1928, 2³ 241,        
  1929, 3 643,         radical
  1930, 2 5 193,       radical
  1931, 1931,          prime
  1932, 2² 3 7 23,     
  1933, 1933,          prime
  1934, 2 967,         radical
  1935, 3² 5 43,       
  1936, 2⁴ 11²,        
  1937, 13 149,        radical
  1938, 2 3 17 19,     radical
  1939, 7 277,         radical
  1940, 2² 5 97,       
  1941, 3 647,         radical
  1942, 2 971,         radical
  1943, 29 67,         radical
  1944, 2³ 3⁵,         
  1945, 5 389,         radical
  1946, 2 7 139,       radical
  1947, 3 11 59,       radical
  1948, 2² 487,        
  1949, 1949,          prime
  1950, 2 3 5² 13,     
  1951, 1951,          prime
  1952, 2⁵ 61,         
  1953, 3² 7 31,       
  1954, 2 977,         radical
  1955, 5 17 23,       radical
  1956, 2² 3 163,      
  1957, 19 103,        radical
  1958, 2 11 89,       radical
  1959, 3 653,         radical
  1960, 2³ 5 7²,       
  1961, 37 53,         radical
  1962, 2 3² 109,      
  1963, 13 151,        radical
  1964, 2² 491,        
  1965, 3 5 131,       radical
  1966, 2 983,         radical
  1967, 7 281,         radical
  1968, 2⁴ 3 41,       
  1969, 11 179,        radical
  1970, 2 5 197,       radical
  1971, 3³ 73,         
  1972, 2² 17 29,      
  1973, 1973,          prime
  1974, 2 3 7 47,      radical
  1975, 5² 79,         
  1976, 2³ 13 19,      
  1977, 3 659,         radical
  1978, 2 23 43,       radical
  1979, 1979,          prime
  1980, 2² 3² 5 11,    
  1981, 7 283,         radical
  1982, 2 991,         radical
  1983, 3 661,         radical
  1984, 2⁶ 31,         
  1985, 5 397,         radical
  1986, 2 3 331,       radical
  1987, 1987,          prime
  1988, 2² 7 71,       
  1989, 3² 13 17,      
  1990, 2 5 199,       radical
  1991, 11 181,        radical
  1992, 2³ 3 83,       
  1993, 1993,          prime
  1994, 2 997,         radical
  1995, 3 5 7 19,      radical
  1996, 2² 499,        
  1997, 1997,          prime
  1998, 2 3³ 37,       
  1999, 1999,          prime
  2000, 2⁴ 5³,         
  2001, 3 23 29,       radical
  2002, 2 7 11 13,     radical
  2003, 2003,          prime
  2004, 2² 3 167,      
  2005, 5 401,         radical
  2006, 2 17 59,       radical
  2007, 3² 223,        
  2008, 2³ 251,        
  2009, 7² 41,         
  2010, 2 3 5 67,      radical
  2011, 2011,          prime
  2012, 2² 503,        
  2013, 3 11 61,       radical
  2014, 2 19 53,       radical
  2015, 5 13 31,       radical
  2016, 2⁵ 3² 7,       
  2017, 2017,          prime
  2018, 2 1009,        radical
  2019, 3 673,         radical
  2020, 2² 5 101,      
  2021, 43 47,         radical
  2022, 2 3 337,       radical
  2023, 7 17²,         
  2024, 2³ 11 23,      
  2025, 3⁴ 5²,         
  2026, 2 1013,        radical
  2027, 2027,          prime
  2028, 2² 3 13²,      
  2029, 2029,          prime
  2030, 2 5 7 29,      radical
  2031, 3 677,         radical
  2032, 2⁴ 127,        
  2033, 19 107,        radical
  2034, 2 3² 113,      
  2035, 5 11 37,       radical
  2036, 2² 509,        
  2037, 3 7 97,        radical
  2038, 2 1019,        radical
  2039, 2039,          prime
  2040, 2³ 3 5 17,     
  2041, 13 157,        radical
  2042, 2 1021,        radical
  2043, 3² 227,        
  2044, 2² 7 73,       
  2045, 5 409,         radical
  2046, 2 3 11 31,     radical
  2047, 23 89,         radical
  2048, 2¹¹,           prime power
  2049, 3 683,         radical
  2050, 2 5² 41,       
  2051, 7 293,         radical
  2052, 2² 3³ 19,      
  2053, 2053,          prime
  2054, 2 13 79,       radical
  2055, 3 5 137,       radical
  2056, 2³ 257,        
  2057, 11² 17,        
  2058, 2 3 7³,        
  2059, 29 71,         radical
  2060, 2² 5 103,      
  2061, 3² 229,        
  2062, 2 1031,        radical
  2063, 2063,          prime
  2064, 2⁴ 3 43,       
  2065, 5 7 59,        radical
  2066, 2 1033,        radical
  2067, 3 13 53,       radical
  2068, 2² 11 47,      
  2069, 2069,          prime
  2070, 2 3² 5 23,     
  2071, 19 109,        radical
  2072, 2³ 7 37,       
  2073, 3 691,         radical
  2074, 2 17 61,       radical
  2075, 5² 83,         
  2076, 2² 3 173,      
  2077, 31 67,         radical
  2078, 2 1039,        radical
  2079, 3³ 7 11,       
  2080, 2⁵ 5 13,       
  2081, 2081,          prime
  2082, 2 3 347,       radical
  2083, 2083,          prime
  2084, 2² 521,        
  2085, 3 5 139,       radical
  2086, 2 7 149,       radical
  2087, 2087,          prime
  2088, 2³ 3² 29,      
  2089, 2089,          prime
  2090, 2 5 11 19,     radical
  2091, 3 17 41,       radical
  2092, 2² 523,        
  2093, 7 13 23,       radical
  2094, 2 3 349,       radical
  2095, 5 419,         radical
  2096, 2⁴ 131,        
  2097, 3² 233,        
  2098, 2 1049,        radical
  2099, 2099,          prime
  2100, 2² 3 5² 7,     
  2101, 11 191,        radical
  2102, 2 1051,        radical
  2103, 3 701,         radical
  2104, 2³ 263,        
  2105, 5 421,         radical
  2106, 2 3⁴ 13,       
  2107, 7² 43,         
  2108, 2² 17 31,      
  2109, 3 19 37,       radical
  2110, 2 5 211,       radical
  2111, 2111,          prime
  2112, 2⁶ 3 11,       
  2113, 2113,          prime
  2114, 2 7 151,       radical
  2115, 3² 5 47,       
  2116, 2² 23²,        radical power
  2117, 29 73,         radical
  2118, 2 3 353,       radical
  2119, 13 163,        radical
  2120, 2³ 5 53,       
  2121, 3 7 101,       radical
  2122, 2 1061,        radical
  2123, 11 193,        radical
  2124, 2² 3² 59,      
  2125, 5³ 17,         
  2126, 2 1063,        radical
  2127, 3 709,         radical
  2128, 2⁴ 7 19,       
  2129, 2129,          prime
  2130, 2 3 5 71,      radical
  2131, 2131,          prime
  2132, 2² 13 41,      
  2133, 3³ 79,         
  2134, 2 11 97,       radical
  2135, 5 7 61,        radical
  2136, 2³ 3 89,       
  2137, 2137,          prime
  2138, 2 1069,        radical
  2139, 3 23 31,       radical
  2140, 2² 5 107,      
  2141, 2141,          prime
  2142, 2 3² 7 17,     
  2143, 2143,          prime
  2144, 2⁵ 67,         
  2145, 3 5 11 13,     radical
  2146, 2 29 37,       radical
  2147, 19 113,        radical
  2148, 2² 3 179,      
  2149, 7 307,         radical
  2150, 2 5² 43,       
  2151, 3² 239,        
  2152, 2³ 269,        
  2153, 2153,          prime
  2154, 2 3 359,       radical
  2155, 5 431,         radical
  2156, 2² 7² 11,      
  2157, 3 719,         radical
  2158, 2 13 83,       radical
  2159, 17 127,        radical
  2160, 2⁴ 3³ 5,       
  2161, 2161,          prime
  2162, 2 23 47,       radical
  2163, 3 7 103,       radical
  2164, 2² 541,        
  2165, 5 433,         radical
  2166, 2 3 19²,       
  2167, 11 197,        radical
  2168, 2³ 271,        
  2169, 3² 241,        
  2170, 2 5 7 31,      radical
  2171, 13 167,        radical
  2172, 2² 3 181,      
  2173, 41 53,         radical
  2174, 2 1087,        radical
  2175, 3 5² 29,       
  2176, 2⁷ 17,         
  2177, 7 311,         radical
  2178, 2 3² 11²,      
  2179, 2179,          prime
  2180, 2² 5 109,      
  2181, 3 727,         radical
  2182, 2 1091,        radical
  2183, 37 59,         radical
  2184, 2³ 3 7 13,     
  2185, 5 19 23,       radical
  2186, 2 1093,        radical
  2187, 3⁷,            prime power
  2188, 2² 547,        
  2189, 11 199,        radical
  2190, 2 3 5 73,      radical
  2191, 7 313,         radical
  2192, 2⁴ 137,        
  2193, 3 17 43,       radical
  2194, 2 1097,        radical
  2195, 5 439,         radical
  2196, 2² 3² 61,      
  2197, 13³,           prime power
  2198, 2 7 157,       radical
  2199, 3 733,         radical
  2200, 2³ 5² 11,      
  2201, 31 71,         radical
  2202, 2 3 367,       radical
  2203, 2203,          prime
  2204, 2² 19 29,      
  2205, 3² 5 7²,       
  2206, 2 1103,        radical
  2207, 2207,          prime
  2208, 2⁵ 3 23,       
  2209, 47²,           prime power
  2210, 2 5 13 17,     radical
  2211, 3 11 67,       radical
  2212, 2² 7 79,       
  2213, 2213,          prime
  2214, 2 3³ 41,       
  2215, 5 443,         radical
  2216, 2³ 277,        
  2217, 3 739,         radical
  2218, 2 1109,        radical
  2219, 7 317,         radical
  2220, 2² 3 5 37,     
  2221, 2221,          prime
  2222, 2 11 101,      radical
  2223, 3² 13 19,      
  2224, 2⁴ 139,        
  2225, 5² 89,         
  2226, 2 3 7 53,      radical
  2227, 17 131,        radical
  2228, 2² 557,        
  2229, 3 743,         radical
  2230, 2 5 223,       radical
  2231, 23 97,         radical
  2232, 2³ 3² 31,      
  2233, 7 11 29,       radical
  2234, 2 1117,        radical
  2235, 3 5 149,       radical
  2236, 2² 13 43,      
  2237, 2237,          prime
  2238, 2 3 373,       radical
  2239, 2239,          prime
  2240, 2⁶ 5 7,        
  2241, 3³ 83,         
  2242, 2 19 59,       radical
  2243, 2243,          prime
  2244, 2² 3 11 17,    
  2245, 5 449,         radical
  2246, 2 1123,        radical
  2247, 3 7 107,       radical
  2248, 2³ 281,        
  2249, 13 173,        radical
  2250, 2 3² 5³,       
  2251, 2251,          prime
  2252, 2² 563,        
  2253, 3 751,         radical
  2254, 2 7² 23,       
  2255, 5 11 41,       radical
  2256, 2⁴ 3 47,       
  2257, 37 61,         radical
  2258, 2 1129,        radical
  2259, 3² 251,        
  2260, 2² 5 113,      
  2261, 7 17 19,       radical
  2262, 2 3 13 29,     radical
  2263, 31 73,         radical
  2264, 2³ 283,        
  2265, 3 5 151,       radical
  2266, 2 11 103,      radical
  2267, 2267,          prime
  2268, 2² 3⁴ 7,       
  2269, 2269,          prime
  2270, 2 5 227,       radical
  2271, 3 757,         radical
  2272, 2⁵ 71,         
  2273, 2273,          prime
  2274, 2 3 379,       radical
  2275, 5² 7 13,       
  2276, 2² 569,        
  2277, 3² 11 23,      
  2278, 2 17 67,       radical
  2279, 43 53,         radical
  2280, 2³ 3 5 19,     
  2281, 2281,          prime
  2282, 2 7 163,       radical
  2283, 3 761,         radical
  2284, 2² 571,        
  2285, 5 457,         radical
  2286, 2 3² 127,      
  2287, 2287,          prime
  2288, 2⁴ 11 13,      
  2289, 3 7 109,       radical
  2290, 2 5 229,       radical
  2291, 29 79,         radical
  2292, 2² 3 191,      
  2293, 2293,          prime
  2294, 2 31 37,       radical
  2295, 3³ 5 17,       
  2296, 2³ 7 41,       
  2297, 2297,          prime
  2298, 2 3 383,       radical
  2299, 11² 19,        
  2300, 2² 5² 23,      
  2301, 3 13 59,       radical
  2302, 2 1151,        radical
  2303, 7² 47,         
  2304, 2⁸ 3²,         
  2305, 5 461,         radical
  2306, 2 1153,        radical
  2307, 3 769,         radical
  2308, 2² 577,        
  2309, 2309,          prime
  2310, 2 3 5 7 11,    primorial
  2311, 2311,          prime
  2312, 2³ 17²,        
  2313, 3² 257,        
  2314, 2 13 89,       radical
  2315, 5 463,         radical
  2316, 2² 3 193,      
  2317, 7 331,         radical
  2318, 2 19 61,       radical
  2319, 3 773,         radical
  2320, 2⁴ 5 29,       
  2321, 11 211,        radical
  2322, 2 3³ 43,       
  2323, 23 101,        radical
  2324, 2² 7 83,       
  2325, 3 5² 31,       
  2326, 2 1163,        radical
  2327, 13 179,        radical
  2328, 2³ 3 97,       
  2329, 17 137,        radical
  2330, 2 5 233,       radical
  2331, 3² 7 37,       
  2332, 2² 11 53,      
  2333, 2333,          prime
  2334, 2 3 389,       radical
  2335, 5 467,         radical
  2336, 2⁵ 73,         
  2337, 3 19 41,       radical
  2338, 2 7 167,       radical
  2339, 2339,          prime
  2340, 2² 3² 5 13,    
  2341, 2341,          prime
  2342, 2 1171,        radical
  2343, 3 11 71,       radical
  2344, 2³ 293,        
  2345, 5 7 67,        radical
  2346, 2 3 17 23,     radical
  2347, 2347,          prime
  2348, 2² 587,        
  2349, 3⁴ 29,         
  2350, 2 5² 47,       
  2351, 2351,          prime
  2352, 2⁴ 3 7²,       
  2353, 13 181,        radical
  2354, 2 11 107,      radical
  2355, 3 5 157,       radical
  2356, 2² 19 31,      
  2357, 2357,          prime
  2358, 2 3² 131,      
  2359, 7 337,         radical
  2360, 2³ 5 59,       
  2361, 3 787,         radical
  2362, 2 1181,        radical
  2363, 17 139,        radical
  2364, 2² 3 197,      
  2365, 5 11 43,       radical
  2366, 2 7 13²,       
  2367, 3² 263,        
  2368, 2⁶ 37,         
  2369, 23 103,        radical
  2370, 2 3 5 79,      radical
  2371, 2371,          prime
  2372, 2² 593,        
  2373, 3 7 113,       radical
  2374, 2 1187,        radical
  2375, 5³ 19,         
  2376, 2³ 3³ 11,      
  2377, 2377,          prime
  2378, 2 29 41,       radical
  2379, 3 13 61,       radical
  2380, 2² 5 7 17,     
  2381, 2381,          prime
  2382, 2 3 397,       radical
  2383, 2383,          prime
  2384, 2⁴ 149,        
  2385, 3² 5 53,       
  2386, 2 1193,        radical
  2387, 7 11 31,       radical
  2388, 2² 3 199,      
  2389, 2389,          prime
  2390, 2 5 239,       radical
  2391, 3 797,         radical
  2392, 2³ 13 23,      
  2393, 2393,          prime
  2394, 2 3² 7 19,     
  2395, 5 479,         radical
  2396, 2² 599,        
  2397, 3 17 47,       radical
  2398, 2 11 109,      radical
  2399, 2399,          prime
  2400, 2⁵ 3 5²,       
  2401, 7⁴,            prime power
  2402, 2 1201,        radical
  2403, 3³ 89,         
  2404, 2² 601,        
  2405, 5 13 37,       radical
  2406, 2 3 401,       radical
  2407, 29 83,         radical
  2408, 2³ 7 43,       
  2409, 3 11 73,       radical
  2410, 2 5 241,       radical
  2411, 2411,          prime
  2412, 2² 3² 67,      
  2413, 19 127,        radical
  2414, 2 17 71,       radical
  2415, 3 5 7 23,      radical
  2416, 2⁴ 151,        
  2417, 2417,          prime
  2418, 2 3 13 31,     radical
  2419, 41 59,         radical
  2420, 2² 5 11²,      
  2421, 3² 269,        
  2422, 2 7 173,       radical
  2423, 2423,          prime
  2424, 2³ 3 101,      
  2425, 5² 97,         
  2426, 2 1213,        radical
  2427, 3 809,         radical
  2428, 2² 607,        
  2429, 7 347,         radical
  2430, 2 3⁵ 5,        
  2431, 11 13 17,      radical
  2432, 2⁷ 19,         
  2433, 3 811,         radical
  2434, 2 1217,        radical
  2435, 5 487,         radical
  2436, 2² 3 7 29,     
  2437, 2437,          prime
  2438, 2 23 53,       radical
  2439, 3² 271,        
  2440, 2³ 5 61,       
  2441, 2441,          prime
  2442, 2 3 11 37,     radical
  2443, 7 349,         radical
  2444, 2² 13 47,      
  2445, 3 5 163,       radical
  2446, 2 1223,        radical
  2447, 2447,          prime
  2448, 2⁴ 3² 17,      
  2449, 31 79,         radical
  2450, 2 5² 7²,       
  2451, 3 19 43,       radical
  2452, 2² 613,        
  2453, 11 223,        radical
  2454, 2 3 409,       radical
  2455, 5 491,         radical
  2456, 2³ 307,        
  2457, 3³ 7 13,       
  2458, 2 1229,        radical
  2459, 2459,          prime
  2460, 2² 3 5 41,     
  2461, 23 107,        radical
  2462, 2 1231,        radical
  2463, 3 821,         radical
  2464, 2⁵ 7 11,       
  2465, 5 17 29,       radical
  2466, 2 3² 137,      
  2467, 2467,          prime
  2468, 2² 617,        
  2469, 3 823,         radical
  2470, 2 5 13 19,     radical
  2471, 7 353,         radical
  2472, 2³ 3 103,      
  2473, 2473,          prime
  2474, 2 1237,        radical
  2475, 3² 5² 11,      
  2476, 2² 619,        
  2477, 2477,          prime
  2478, 2 3 7 59,      radical
  2479, 37 67,         radical
  2480, 2⁴ 5 31,       
  2481, 3 827,         radical
  2482, 2 17 73,       radical
  2483, 13 191,        radical
  2484, 2² 3³ 23,      
  2485, 5 7 71,        radical
  2486, 2 11 113,      radical
  2487, 3 829,         radical
  2488, 2³ 311,        
  2489, 19 131,        radical
  2490, 2 3 5 83,      radical
  2491, 47 53,         radical
  2492, 2² 7 89,       
  2493, 3² 277,        
  2494, 2 29 43,       radical
  2495, 5 499,         radical
  2496, 2⁶ 3 13,       
  2497, 11 227,        radical
  2498, 2 1249,        radical
  2499, 3 7² 17,       
  2500, 2² 5⁴,         
  2501, 41 61,         radical
  2502, 2 3² 139,      
  2503, 2503,          prime
  2504, 2³ 313,        
  2505, 3 5 167,       radical
  2506, 2 7 179,       radical
  2507, 23 109,        radical
  2508, 2² 3 11 19,    
  2509, 13 193,        radical
  2510, 2 5 251,       radical
  2511, 3⁴ 31,         
  2512, 2⁴ 157,        
  2513, 7 359,         radical
  2514, 2 3 419,       radical
  2515, 5 503,         radical
  2516, 2² 17 37,      
  2517, 3 839,         radical
  2518, 2 1259,        radical
  2519, 11 229,        radical
  2520, 2³ 3² 5 7,     
  2521, 2521,          prime
  2522, 2 13 97,       radical
  2523, 3 29²,         
  2524, 2² 631,        
  2525, 5² 101,        
  2526, 2 3 421,       radical
  2527, 7 19²,         
  2528, 2⁵ 79,         
  2529, 3² 281,        
  2530, 2 5 11 23,     radical
  2531, 2531,          prime
  2532, 2² 3 211,      
  2533, 17 149,        radical
  2534, 2 7 181,       radical
  2535, 3 5 13²,       
  2536, 2³ 317,        
  2537, 43 59,         radical
  2538, 2 3³ 47,       
  2539, 2539,          prime
  2540, 2² 5 127,      
  2541, 3 7 11²,       
  2542, 2 31 41,       radical
  2543, 2543,          prime
  2544, 2⁴ 3 53,       
  2545, 5 509,         radical
  2546, 2 19 67,       radical
  2547, 3² 283,        
  2548, 2² 7² 13,      
  2549, 2549,          prime
  2550, 2 3 5² 17,     
  2551, 2551,          prime
  2552, 2³ 11 29,      
  2553, 3 23 37,       radical
  2554, 2 1277,        radical
  2555, 5 7 73,        radical
  2556, 2² 3² 71,      
  2557, 2557,          prime
  2558, 2 1279,        radical
  2559, 3 853,         radical
  2560, 2⁹ 5,          
  2561, 13 197,        radical
  2562, 2 3 7 61,      radical
  2563, 11 233,        radical
  2564, 2² 641,        
  2565, 3³ 5 19,       
  2566, 2 1283,        radical
  2567, 17 151,        radical
  2568, 2³ 3 107,      
  2569, 7 367,         radical
  2570, 2 5 257,       radical
  2571, 3 857,         radical
  2572, 2² 643,        
  2573, 31 83,         radical
  2574, 2 3² 11 13,    
  2575, 5² 103,        
  2576, 2⁴ 7 23,       
  2577, 3 859,         radical
  2578, 2 1289,        radical
  2579, 2579,          prime
  2580, 2² 3 5 43,     
  2581, 29 89,         radical
  2582, 2 1291,        radical
  2583, 3² 7 41,       
  2584, 2³ 17 19,      
  2585, 5 11 47,       radical
  2586, 2 3 431,       radical
  2587, 13 199,        radical
  2588, 2² 647,        
  2589, 3 863,         radical
  2590, 2 5 7 37,      radical
  2591, 2591,          prime
  2592, 2⁵ 3⁴,         
  2593, 2593,          prime
  2594, 2 1297,        radical
  2595, 3 5 173,       radical
  2596, 2² 11 59,      
  2597, 7² 53,         
  2598, 2 3 433,       radical
  2599, 23 113,        radical
  2600, 2³ 5² 13,      
  2601, 3² 17²,        radical power
  2602, 2 1301,        radical
  2603, 19 137,        radical
  2604, 2² 3 7 31,     
  2605, 5 521,         radical
  2606, 2 1303,        radical
  2607, 3 11 79,       radical
  2608, 2⁴ 163,        
  2609, 2609,          prime
  2610, 2 3² 5 29,     
  2611, 7 373,         radical
  2612, 2² 653,        
  2613, 3 13 67,       radical
  2614, 2 1307,        radical
  2615, 5 523,         radical
  2616, 2³ 3 109,      
  2617, 2617,          prime
  2618, 2 7 11 17,     radical
  2619, 3³ 97,         
  2620, 2² 5 131,      
  2621, 2621,          prime
  2622, 2 3 19 23,     radical
  2623, 43 61,         radical
  2624, 2⁶ 41,         
  2625, 3 5³ 7,        
  2626, 2 13 101,      radical
  2627, 37 71,         radical
  2628, 2² 3² 73,      
  2629, 11 239,        radical
  2630, 2 5 263,       radical
  2631, 3 877,         radical
  2632, 2³ 7 47,       
  2633, 2633,          prime
  2634, 2 3 439,       radical
  2635, 5 17 31,       radical
  2636, 2² 659,        
  2637, 3² 293,        
  2638, 2 1319,        radical
  2639, 7 13 29,       radical
  2640, 2⁴ 3 5 11,     
  2641, 19 139,        radical
  2642, 2 1321,        radical
  2643, 3 881,         radical
  2644, 2² 661,        
  2645, 5 23²,         
  2646, 2 3³ 7²,       
  2647, 2647,          prime
  2648, 2³ 331,        
  2649, 3 883,         radical
  2650, 2 5² 53,       
  2651, 11 241,        radical
  2652, 2² 3 13 17,    
  2653, 7 379,         radical
  2654, 2 1327,        radical
  2655, 3² 5 59,       
  2656, 2⁵ 83,         
  2657, 2657,          prime
  2658, 2 3 443,       radical
  2659, 2659,          prime
  2660, 2² 5 7 19,     
  2661, 3 887,         radical
  2662, 2 11³,         
  2663, 2663,          prime
  2664, 2³ 3² 37,      
  2665, 5 13 41,       radical
  2666, 2 31 43,       radical
  2667, 3 7 127,       radical
  2668, 2² 23 29,      
  2669, 17 157,        radical
  2670, 2 3 5 89,      radical
  2671, 2671,          prime
  2672, 2⁴ 167,        
  2673, 3⁵ 11,         
  2674, 2 7 191,       radical
  2675, 5² 107,        
  2676, 2² 3 223,      
  2677, 2677,          prime
  2678, 2 13 103,      radical
  2679, 3 19 47,       radical
  2680, 2³ 5 67,       
  2681, 7 383,         radical
  2682, 2 3² 149,      
  2683, 2683,          prime
  2684, 2² 11 61,      
  2685, 3 5 179,       radical
  2686, 2 17 79,       radical
  2687, 2687,          prime
  2688, 2⁷ 3 7,        
  2689, 2689,          prime
  2690, 2 5 269,       radical
  2691, 3² 13 23,      
  2692, 2² 673,        
  2693, 2693,          prime
  2694, 2 3 449,       radical
  2695, 5 7² 11,       
  2696, 2³ 337,        
  2697, 3 29 31,       radical
  2698, 2 19 71,       radical
  2699, 2699,          prime
  2700, 2² 3³ 5²,      
  2701, 37 73,         radical
  2702, 2 7 193,       radical
  2703, 3 17 53,       radical
  2704, 2⁴ 13²,        
  2705, 5 541,         radical
  2706, 2 3 11 41,     radical
  2707, 2707,          prime
  2708, 2² 677,        
  2709, 3² 7 43,       
  2710, 2 5 271,       radical
  2711, 2711,          prime
  2712, 2³ 3 113,      
  2713, 2713,          prime
  2714, 2 23 59,       radical
  2715, 3 5 181,       radical
  2716, 2² 7 97,       
  2717, 11 13 19,      radical
  2718, 2 3² 151,      
  2719, 2719,          prime
  2720, 2⁵ 5 17,       
  2721, 3 907,         radical
  2722, 2 1361,        radical
  2723, 7 389,         radical
  2724, 2² 3 227,      
  2725, 5² 109,        
  2726, 2 29 47,       radical
  2727, 3³ 101,        
  2728, 2³ 11 31,      
  2729, 2729,          prime
  2730, 2 3 5 7 13,    radical
  2731, 2731,          prime
  2732, 2² 683,        
  2733, 3 911,         radical
  2734, 2 1367,        radical
  2735, 5 547,         radical
  2736, 2⁴ 3² 19,      
  2737, 7 17 23,       radical
  2738, 2 37²,         
  2739, 3 11 83,       radical
  2740, 2² 5 137,      
  2741, 2741,          prime
  2742, 2 3 457,       radical
  2743, 13 211,        radical
  2744, 2³ 7³,         radical power
  2745, 3² 5 61,       
  2746, 2 1373,        radical
  2747, 41 67,         radical
  2748, 2² 3 229,      
  2749, 2749,          prime
  2750, 2 5³ 11,       
  2751, 3 7 131,       radical
  2752, 2⁶ 43,         
  2753, 2753,          prime
  2754, 2 3⁴ 17,       
  2755, 5 19 29,       radical
  2756, 2² 13 53,      
  2757, 3 919,         radical
  2758, 2 7 197,       radical
  2759, 31 89,         radical
  2760, 2³ 3 5 23,     
  2761, 11 251,        radical
  2762, 2 1381,        radical
  2763, 3² 307,        
  2764, 2² 691,        
  2765, 5 7 79,        radical
  2766, 2 3 461,       radical
  2767, 2767,          prime
  2768, 2⁴ 173,        
  2769, 3 13 71,       radical
  2770, 2 5 277,       radical
  2771, 17 163,        radical
  2772, 2² 3² 7 11,    
  2773, 47 59,         radical
  2774, 2 19 73,       radical
  2775, 3 5² 37,       
  2776, 2³ 347,        
  2777, 2777,          prime
  2778, 2 3 463,       radical
  2779, 7 397,         radical
  2780, 2² 5 139,      
  2781, 3³ 103,        
  2782, 2 13 107,      radical
  2783, 11² 23,        
  2784, 2⁵ 3 29,       
  2785, 5 557,         radical
  2786, 2 7 199,       radical
  2787, 3 929,         radical
  2788, 2² 17 41,      
  2789, 2789,          prime
  2790, 2 3² 5 31,     
  2791, 2791,          prime
  2792, 2³ 349,        
  2793, 3 7² 19,       
  2794, 2 11 127,      radical
  2795, 5 13 43,       radical
  2796, 2² 3 233,      
  2797, 2797,          prime
  2798, 2 1399,        radical
  2799, 3² 311,        
  2800, 2⁴ 5² 7,       
  2801, 2801,          prime
  2802, 2 3 467,       radical
  2803, 2803,          prime
  2804, 2² 701,        
  2805, 3 5 11 17,     radical
  2806, 2 23 61,       radical
  2807, 7 401,         radical
  2808, 2³ 3³ 13,      
  2809, 53²,           prime power
  2810, 2 5 281,       radical
  2811, 3 937,         radical
  2812, 2² 19 37,      
  2813, 29 97,         radical
  2814, 2 3 7 67,      radical
  2815, 5 563,         radical
  2816, 2⁸ 11,         
  2817, 3² 313,        
  2818, 2 1409,        radical
  2819, 2819,          prime
  2820, 2² 3 5 47,     
  2821, 7 13 31,       radical
  2822, 2 17 83,       radical
  2823, 3 941,         radical
  2824, 2³ 353,        
  2825, 5² 113,        
  2826, 2 3² 157,      
  2827, 11 257,        radical
  2828, 2² 7 101,      
  2829, 3 23 41,       radical
  2830, 2 5 283,       radical
  2831, 19 149,        radical
  2832, 2⁴ 3 59,       
  2833, 2833,          prime
  2834, 2 13 109,      radical
  2835, 3⁴ 5 7,        
  2836, 2² 709,        
  2837, 2837,          prime
  2838, 2 3 11 43,     radical
  2839, 17 167,        radical
  2840, 2³ 5 71,       
  2841, 3 947,         radical
  2842, 2 7² 29,       
  2843, 2843,          prime
  2844, 2² 3² 79,      
  2845, 5 569,         radical
  2846, 2 1423,        radical
  2847, 3 13 73,       radical
  2848, 2⁵ 89,         
  2849, 7 11 37,       radical
  2850, 2 3 5² 19,     
  2851, 2851,          prime
