# Orbit of 6171

This is well studied Collatz sequence 6171, given in odd-to-odd Collatz order.
Every n is represented by a group of 7 lines that forms a small tree, with n in the center.
The "children" of n are defined as the 2-adic odd cores of its even neighbors, n-1 and n+1.
They have their own children in turn, and for every n this hierarchy is shown.

## Collatz orbit of 6171
oc,k,dist,base3,base2,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71
1099,1,8,1111201,10001001011,1,4,0,10,7,11,16,18,26,14,26,33,24,18,39,37,1,27,34 # oc(oc(35153-1)+1)
35153,0,90,1210012222,1000100101010001,2,3,6,8,1,14,3,9,5,30,3,16,22,44,14,48,17,45,8 # 35153 -> 26365
2197,3,32,10000101,100010010101,1,2,6,8,0,4,12,12,22,27,14,24,4,35,24,14,1,53,67 # oc(oc(35153+1)-1)
17577,1,90,220010000,100010010101001,0,2,0,10,1,16,2,5,3,0,2,29,33,46,34,54,9,23,40 # oc(35153+1)
8789,1,32,110001112,10001001010101,2,4,4,0,1,0,11,3,2,16,20,15,17,0,44,57,5,12,56 # oc(oc(35153+1)+1)

3295,1,48,11112001,110011011111,1,0,5,6,6,14,8,6,18,9,2,15,27,5,9,50,1,12,29 # oc(oc(26365-1)-1)
6591,2,89,100001010,1100110111111,0,1,4,2,0,12,17,13,8,19,5,31,12,11,19,42,3,25,59 # oc(26365-1)
103,6,31,10211,1100111,1,3,5,4,12,1,8,11,16,10,29,21,17,9,50,44,42,36,32 # oc(oc(26365-1)+1)
26365,0,89,1100011111,110011011111101,1,0,3,9,1,15,12,7,4,15,21,2,6,45,24,51,13,34,24 # 26365 -> 9887
6591,1,89,100001010,1100110111111,0,1,4,2,0,12,17,13,8,19,5,31,12,11,19,42,3,25,59 # oc(oc(26365+1)-1)
13183,1,89,200002021,11001101111111,1,3,2,5,1,8,16,4,17,8,11,22,25,23,39,26,7,51,48 # oc(26365+1)
103,7,31,10211,1100111,1,3,5,4,12,1,8,11,16,10,29,21,17,9,50,44,42,36,32 # oc(oc(26365+1)+1)

2471,1,47,10101112,100110100111,2,1,0,7,1,6,1,10,6,22,29,11,20,27,33,52,31,59,57 # oc(oc(9887-1)-1)
4943,1,47,20210002,1001101001111,2,3,1,4,3,13,3,21,13,14,22,23,41,8,14,46,2,52,44 # oc(9887-1)
309,4,6,102110,100110101,0,4,1,1,10,3,5,10,19,30,13,22,8,27,44,14,4,41,25 # oc(oc(9887-1)+1)
9887,0,88,111120012,10011010011111,2,2,3,9,7,10,7,20,27,29,8,6,40,17,29,34,5,38,18 # 9887 -> 14831
77,2,6,2212,1001101,2,2,0,0,12,9,1,8,19,15,3,36,34,30,24,18,16,10,6 # oc(oc(9887+1)-1)
309,5,6,102110,100110101,0,4,1,1,10,3,5,10,19,30,13,22,8,27,44,14,4,41,25 # oc(9887+1)
155,1,30,12202,10011011,2,0,1,1,12,2,3,17,10,0,7,32,26,14,49,37,33,21,13 # oc(oc(9887+1)+1)

3707,1,46,12002022,111001111011,2,2,4,0,2,1,2,4,24,18,7,17,9,41,50,49,47,22,15 # oc(oc(14831-1)-1)
7415,1,46,101011122,1110011110111,2,0,2,1,5,3,5,9,20,6,15,35,19,36,48,40,34,45,31 # oc(14831-1)
927,3,41,1021100,1110011111,0,2,3,3,4,9,15,7,28,28,2,25,24,34,26,42,12,56,4 # oc(oc(14831-1)+1)
14831,0,87,202100022,11100111101111,2,1,5,3,11,7,11,19,12,13,31,30,39,26,44,22,8,24,63 # 14831 -> 22247
463,1,46,122011,111001111,1,3,1,1,8,4,7,3,28,29,19,12,33,40,39,50,36,61,37 # oc(oc(14831+1)-1)
927,4,41,1021100,1110011111,0,2,3,3,4,9,15,7,28,28,2,25,24,34,26,42,12,56,4 # oc(14831+1)
29,5,5,1002,11101,2,4,1,7,3,12,10,6,0,29,29,29,29,29,29,29,29,29,29 # oc(oc(14831+1)+1)

5561,1,45,21121222,1010110111001,2,1,3,6,10,2,13,18,22,12,11,26,14,15,49,15,10,0,23 # oc(oc(22247-1)-1)
11123,1,45,120020222,10101101110011,2,3,0,2,8,5,8,14,16,25,23,12,29,31,46,31,21,1,47 # oc(22247-1)
2781,2,45,10211000,101011011101,0,1,2,9,12,10,7,21,26,22,6,34,29,8,25,8,36,34,12 # oc(oc(22247-1)+1)
22247,0,86,1010111222,101011011100111,2,2,1,5,4,11,17,6,4,20,10,25,16,16,40,4,43,3,24 # 22247 -> 33371
695,2,45,221202,1010110111,2,0,2,2,6,15,11,5,28,13,29,39,7,37,6,46,24,25,56 # oc(oc(22247+1)-1)
2781,3,45,10211000,101011011101,0,1,2,9,12,10,7,21,26,22,6,34,29,8,25,8,36,34,12 # oc(22247+1)
1391,1,40,1220112,10101101111,2,1,5,5,0,14,4,11,28,27,22,38,15,28,13,34,49,51,42 # oc(oc(22247+1)+1)

4171,2,44,12201111,1000001001011,1,1,6,2,11,6,10,8,24,17,27,30,0,35,37,41,23,17,53 # oc(oc(33371-1)-1)
16685,1,44,211212222,100000100101101,2,0,4,9,6,8,3,10,10,7,35,39,1,0,43,47,32,2,0 # oc(33371-1)
8343,1,44,102110000,10000010010111,0,3,6,5,10,13,2,17,20,4,18,20,1,24,22,24,47,35,36 # oc(oc(33371-1)+1)
33371,0,85,1200202222,1000001001011011,2,1,2,8,0,0,7,21,21,15,34,38,3,1,34,36,4,5,1 # 33371 -> 50057
4171,1,44,12201111,1000001001011,1,1,6,2,11,6,10,8,24,17,27,30,0,35,37,41,23,17,53 # oc(oc(33371+1)-1)
8343,2,44,102110000,10000010010111,0,3,6,5,10,13,2,17,20,4,18,20,1,24,22,24,47,35,36 # oc(33371+1)
1043,3,44,1102122,10000010011,2,3,0,9,3,6,17,8,28,20,7,18,11,9,36,40,6,38,49 # oc(oc(33371+1)+1)

391,4,43,112111,110000111,1,1,6,6,1,0,11,0,14,19,21,22,4,15,20,37,25,56,36 # oc(oc(50057-1)-1)
6257,3,43,22120202,1100001110001,2,2,6,9,4,1,6,1,22,26,4,25,22,6,3,3,35,26,9 # oc(50057-1)
3129,1,38,11021220,110000111001,0,4,0,5,9,1,13,1,26,29,21,13,33,27,2,2,18,47,5 # oc(oc(50057-1)+1)
50057,0,84,2112122222,1100001110001001,2,2,0,7,7,9,11,9,3,23,33,37,5,2,25,25,37,8,2 # 50057 -> 37543
6257,2,43,22120202,1100001110001,2,2,6,9,4,1,6,1,22,26,4,25,22,6,3,3,35,26,9 # oc(oc(50057+1)-1)
25029,1,43,1021100000,110000111000101,0,4,4,4,4,5,6,5,2,12,17,19,3,25,13,13,19,38,37 # oc(50057+1)
12515,1,43,122011112,11000011100011,2,0,6,8,9,3,13,3,16,22,9,10,2,13,7,7,10,53,19 # oc(oc(50057+1)+1)

9385,1,27,110212121,10010010101001,1,0,5,2,12,1,18,1,18,23,24,37,11,32,4,4,52,5,13 # oc(oc(37543-1)-1)
18771,1,27,221202020,100100101010011,0,1,4,5,12,3,18,3,8,16,12,34,23,18,9,9,44,11,27 # oc(37543-1)
4693,2,42,20102211,1001001010101,1,3,3,7,0,1,0,1,24,12,31,19,6,40,29,32,57,3,7 # oc(oc(37543-1)+1)
37543,0,83,1220111111,1001001010100111,1,3,2,0,12,7,18,7,17,2,25,28,4,37,19,19,28,23,55 # 37543 -> 56315
1173,2,42,1121110,10010010101,0,3,4,7,3,0,14,0,13,26,26,25,12,45,7,52,14,34,37 # oc(oc(37543+1)-1)
4693,3,42,20102211,1001001010101,1,3,3,7,0,1,0,1,24,12,31,19,6,40,29,32,57,3,7 # oc(37543+1)
2347,1,37,10012221,100100101011,1,2,2,4,7,1,10,1,27,22,16,10,25,44,15,46,29,2,4 # oc(oc(37543+1)+1)

7039,2,26,100122201,1101101111111,1,4,4,10,6,1,9,1,21,2,9,28,30,36,43,18,24,4,10 # oc(oc(56315-1)-1)
28157,1,26,1102121212,110110111111101,2,2,3,8,12,5,18,5,27,9,0,31,35,4,14,14,36,17,41 # oc(56315-1)
14079,1,26,201022110,11011011111111,0,4,2,10,0,3,0,3,14,5,19,16,18,26,34,37,49,9,21 # oc(oc(56315-1)+1)
56315,0,82,2212020202,1101101111111011,2,0,0,6,12,11,18,11,26,19,1,22,28,9,29,29,12,35,12 # 56315 -> 84473
7039,1,26,100122201,1101101111111,1,4,4,10,6,1,9,1,21,2,9,28,30,36,43,18,24,4,10 # oc(oc(56315+1)-1)
14079,2,26,201022110,11011011111111,0,4,2,10,0,3,0,3,14,5,19,16,18,26,34,37,49,9,21 # oc(56315+1)
55,8,41,2001,110111,1,0,6,0,3,4,17,9,26,24,18,14,12,8,2,55,55,55,55 # oc(oc(56315+1)+1)

5279,1,25,21020112,1010010011111,2,4,1,10,1,9,16,12,1,9,25,31,33,15,32,28,33,53,25 # oc(oc(84473-1)-1)
10559,3,25,112111002,10100100111111,2,4,3,10,3,2,14,2,3,19,14,22,24,31,12,57,6,40,51 # oc(84473-1)
165,6,40,20010,10100101,0,0,4,0,9,12,13,4,20,10,17,1,36,24,6,47,43,31,23 # oc(oc(84473-1)+1)
84473,0,81,11021212122,10100100111111001,2,3,4,4,12,0,18,17,25,29,2,13,21,14,44,44,49,53,54 # 84473 -> 63355
10559,2,25,112111002,10100100111111,2,4,3,10,3,2,14,2,3,19,14,22,24,31,12,57,6,40,51 # oc(oc(84473+1)-1)
42237,1,25,2010221100,1010010011111101,0,2,6,8,0,9,0,9,13,15,20,7,11,31,49,52,25,27,63 # oc(84473+1)
21119,1,25,1001222012,101001001111111,2,4,0,10,7,5,10,5,7,8,29,4,6,16,25,56,13,14,32 # oc(oc(84473+1)+1)

7919,2,24,101212022,1111011101111,2,4,2,10,2,14,15,7,2,14,1,6,7,23,22,13,50,13,38 # oc(oc(63355-1)-1)
31677,1,24,1121110020,111101110111101,0,2,2,8,9,6,4,6,9,26,5,25,29,46,36,53,18,53,11 # oc(63355-1)
15839,1,24,210201122,11110111011111,2,4,5,10,5,12,12,15,5,29,3,13,15,0,45,27,40,27,6 # oc(oc(63355-1)+1)
63355,0,80,10012220111,1111011101111011,1,0,5,6,6,13,9,13,19,22,11,10,16,46,20,48,37,40,23 # 63355 -> 95033
7919,1,24,101212022,1111011101111,2,4,2,10,2,14,15,7,2,14,1,6,7,23,22,13,50,13,38 # oc(oc(63355+1)-1)
15839,2,24,210201122,11110111011111,2,4,5,10,5,12,12,15,5,29,3,13,15,0,45,27,40,27,6 # oc(63355+1)
495,5,34,200100,111101111,0,0,5,0,1,2,1,12,2,30,14,3,22,25,18,23,7,26,69 # oc(oc(63355+1)+1)

5939,1,50,22010222,1011100110011,2,4,3,10,11,6,11,5,23,18,19,35,5,17,3,39,22,43,46 # oc(oc(95033-1)-1)
11879,3,23,121021222,10111001100111,2,4,0,10,10,13,4,11,18,6,2,30,11,35,7,20,45,20,22 # oc(95033-1)
1485,3,14,2001000,10111001101,0,0,1,0,3,6,3,13,6,28,5,9,23,28,1,10,21,11,65 # oc(oc(95033-1)+1)
95033,0,79,11211100202,10111001100111001,2,3,1,4,3,3,14,20,0,18,17,36,3,46,4,43,56,27,35 # 95033 -> 71275
11879,2,23,121021222,10111001100111,2,4,0,10,10,13,4,11,18,6,2,30,11,35,7,20,45,20,22 # oc(oc(95033+1)-1)
47517,1,23,2102011220,1011100110011101,0,2,1,8,2,2,17,22,15,25,9,39,2,0,29,22,59,14,18 # oc(95033+1)
23759,1,23,1012120222,101110011001111,2,4,1,10,8,10,9,0,8,13,5,20,23,24,15,41,30,41,45 # oc(oc(95033+1)+1)

8909,2,49,110012222,10001011001101,2,4,5,10,4,1,17,8,6,12,29,12,8,26,5,0,3,65,34 # oc(oc(71275-1)-1)
35637,1,49,1210212220,1000101100110101,0,2,0,8,4,5,12,10,25,18,6,8,33,11,21,1,13,60,66 # oc(71275-1)
17819,1,22,220102222,100010110011011,2,4,4,10,9,3,16,17,13,25,22,25,17,6,11,1,7,64,69 # oc(oc(71275-1)+1)
71275,0,78,10121202211,10001011001101011,1,0,1,6,9,11,6,21,22,6,13,17,24,23,43,3,27,54,62 # 71275 -> 106913
8909,1,49,110012222,10001011001101,2,4,5,10,4,1,17,8,6,12,29,12,8,26,5,0,3,65,34 # oc(oc(71275+1)-1)
