These are some long Collatz sequences. The tables show the residue vectors of the 2-adic odd cores of n's immediate even neighbors. When combined with k, they completely encode its state, like a fingerprint of n's local arithmetic environment. Considered together they reveal rich information about n.


Collatz orbit of 7:
n,k,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71,m73,comment
141,1,0,1,1,9,11,5,8,3,25,17,30,18,12,0,35,23,19,7,70,68,oc(282)
71,2,2,1,1,5,6,3,14,2,13,9,34,30,28,24,18,12,10,4,0,71,oc(284)

# 425 (dist 19)
53,3,2,3,4,9,1,2,15,7,24,22,16,12,10,6,0,53,53,53,53,53,oc(424)
213,1,0,3,3,4,5,9,4,6,10,27,28,8,41,25,1,36,30,12,0,67,oc(426)

# 319 (dist 18)
159,1,0,4,5,5,3,6,7,21,14,4,11,36,30,18,0,41,37,25,17,13,oc(318)
5,6,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,oc(320)

# 479 (dist 17)
239,1,2,4,1,8,5,1,11,9,7,22,17,34,24,4,27,3,56,38,26,20,oc(478)
15,5,0,0,1,4,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,oc(480)

# 719 (dist 16)
359,1,2,4,2,7,8,2,17,14,11,18,26,31,15,30,41,5,54,24,4,67,oc(718)
45,4,0,0,3,1,6,11,7,22,16,14,8,4,2,45,45,45,45,45,45,45,oc(720)

# 1079 (dist 15)
539,1,2,4,0,0,6,12,7,10,17,12,21,6,23,22,9,8,51,3,42,28,oc(1078)
135,3,0,0,2,3,5,16,2,20,19,11,24,12,6,41,29,17,13,1,64,62,oc(1080)

# 1619 (dist 14)
809,1,2,4,4,6,3,10,11,4,26,3,32,30,35,10,14,42,16,5,28,6,oc(1618)
405,2,0,0,6,9,2,14,6,14,28,2,35,36,18,29,34,51,39,3,50,40,oc(1620)

# 2429 (dist 13)
607,2,1,2,5,2,9,12,18,9,27,18,15,33,5,43,24,17,58,4,39,23,oc(2428)
1215,1,0,0,4,5,6,8,18,19,26,6,31,26,11,40,49,35,56,9,8,47,oc(2430)

# 911 (dist 12)
455,1,2,0,0,4,0,13,18,18,20,21,11,4,25,32,31,42,28,53,29,17,oc(910)
57,4,0,2,1,2,5,6,0,11,28,26,20,16,14,10,4,57,57,57,57,57,oc(912)

# 1367 (dist 11)
683,1,2,3,4,1,7,3,18,16,16,1,17,27,38,25,47,34,12,13,44,26,oc(1366)
171,3,0,1,3,6,2,1,0,10,26,16,23,7,42,30,12,53,49,37,29,25,oc(1368)

# 2051 (dist 10)
1025,1,2,0,3,2,11,5,18,13,10,2,26,0,36,38,18,22,49,20,31,3,oc(2050)
513,2,0,3,2,7,6,3,0,7,20,17,32,21,40,43,36,41,25,44,16,2,oc(2052)

# 3077 (dist 9)
769,2,1,4,6,10,2,4,9,10,15,25,29,31,38,17,27,2,37,32,59,39,oc(3076)
1539,1,0,4,6,10,5,9,0,21,2,20,22,22,34,35,2,5,14,65,48,6,oc(3078)

# 577 (dist 8)
9,6,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,oc(576)
289,1,1,4,2,3,3,0,4,13,28,10,30,2,31,7,24,53,45,21,5,70,oc(578)

# 433 (dist 7)
27,4,0,2,6,5,1,10,8,4,27,27,27,27,27,27,27,27,27,27,27,27,oc(432)
217,1,1,2,0,8,9,13,8,10,14,0,32,12,2,29,5,40,34,16,4,71,oc(434)

# 325 (dist 6)
81,2,0,1,4,4,3,13,5,12,23,19,7,40,38,34,28,22,20,14,10,8,oc(324)
163,1,1,3,2,9,7,10,11,2,18,8,15,40,34,22,4,45,41,29,21,17,oc(326)

# 61 (dist 5)
15,2,0,0,1,4,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,oc(60)
31,1,1,1,3,9,5,14,12,8,2,0,31,31,31,31,31,31,31,31,31,31,oc(62)

# 23 (dist 4)
11,1,2,1,4,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,oc(22)
