# Integer factorization table

n     - a positive integer
fact  - the prime factors of n, indented by distance from the nearest prime
rad   - the radical of n, the product of its unique prime factors
τ     - the number of divisors of n, τ(n)
σ     - the sum of divisors of n, σ(n)
φ     - the Euler totient of n, φ(n)
λ     - the Carmichael function of n, λ(n)
Dψ    - the Dedekind ψ(n) function
μ     - the Möbius function of n, which is 1 if n is a product of an even number of distinct primes, -1 if odd, and 0 if any prime is repeated
ω     - the number of distinct prime factors of n, ω(n)
Ω     - the total number of prime factors of n, counting multiplicity, Ω(n)
λ     - the Liouville function of n, λ(n) = (-1)^Ω(n)
M     - the Mertens function M(n)
Λ     - the von Mangoldt function of n, Λ(n)
m*    - the residues of n modulo a set of primes

```csv
    n, fact,                       rad,   τ,     σ,     φ,     λ,    Dψ,   μ,  ω,   Ω,   λ,    M,      Λ, m2, m3, m5, m7, m11, m13, m17
  843,     3⋅281,                  843,   4,  1128,   560,   280,  1128,   1,  2,   2,   1,   -1,  0.000,  1,  0,  3,  3,   7,  11,  10
  844,      2²⋅211,                422,   6,  1484,   420,   210,  1271,   0,  2,   3,  -1,   -1,  0.000,  0,  1,  4,  4,   8,  12,  11
  845,       5⋅13²,                 65,   6,  1098,   624,   156,  1091,   0,  2,   3,  -1,   -1,  0.000,  1,  2,  0,  5,   9,   0,  12
  846,        2⋅3²⋅47,             282,  12,  1872,   276,   138,  1727,   0,  3,   4,   1,   -1,  0.000,  0,  0,  1,  6,  10,   1,  13
  847,       7⋅11²,                 77,   6,  1064,   660,   330,  1055,   0,  2,   3,  -1,   -1,  0.000,  1,  1,  2,  0,   0,   2,  14
  848,      2⁴⋅53,                 106,  10,  1674,   416,    52,  1296,   0,  2,   5,  -1,   -1,  0.000,  0,  2,  3,  1,   1,   3,  15
  849,     3⋅283,                  849,   4,  1136,   564,   282,  1136,   1,  2,   2,   1,    0,  0.000,  1,  0,  4,  2,   2,   4,  16
  850,    2⋅5²⋅17,                 170,  12,  1674,   320,    80,  1620,   0,  3,   4,   1,    0,  0.000,  0,  1,  0,  3,   3,   5,   0
  851,   23⋅37,                    851,   4,   912,   792,   396,   912,   1,  2,   2,   1,    1,  0.000,  1,  2,  1,  4,   4,   6,   1
  852,  2²⋅3⋅71,                   426,  12,  2016,   280,    70,  1728,   0,  3,   4,   1,    1,  0.000,  0,  0,  2,  5,   5,   7,   2
  853, 853,                        853,   2,   854,   852,   852,   854,  -1,  1,   1,  -1,    0,  6.749,  1,  1,  3,  6,   6,   8,   3
  854,  2⋅7⋅61,                    854,   8,  1488,   360,    60,  1488,  -1,  3,   3,  -1,   -1,  0.000,  0,  2,  4,  0,   7,   9,   4
  855,   3²⋅5⋅19,                  285,  12,  1560,   432,    36,  1439,   0,  3,   4,   1,   -1,  0.000,  1,  0,  0,  1,   8,  10,   5
  856,  2³⋅107,                    214,   8,  1620,   424,   106,  1296,   0,  2,   4,   1,   -1,  0.000,  0,  1,  1,  2,   9,  11,   6
  857, 857,                        857,   2,   858,   856,   856,   857,  -1,  1,   1,  -1,   -2,  6.753,  1,  2,  2,  3,  10,  12,   7
  858,  2⋅3⋅11⋅13,                 858,  16,  2016,   240,    60,  2016,   1,  4,   4,   1,   -1,  0.000,  0,  0,  3,  4,   0,   0,   8
  859, 859,                        859,   2,   860,   858,   858,   860,  -1,  1,   1,  -1,   -2,  6.756,  1,  1,  4,  5,   1,   1,   9
  860,  2²⋅5⋅43,                   430,  12,  1848,   336,    84,  1583,   0,  3,   4,   1,   -2,  0.000,  0,  2,  0,  6,   2,   2,  10
  861,   3⋅7⋅41,                   861,   8,  1344,   480,   120,  1344,  -1,  3,   3,  -1,   -3,  0.000,  1,  0,  1,  0,   3,   3,  11
  862,  2⋅431,                     862,   4,  1296,   430,   430,  1296,   1,  2,   2,   1,   -2,  0.000,  0,  1,  2,  1,   4,   4,  12
  863, 863,                        863,   2,   864,   862,   862,   864,  -1,  1,   1,  -1,   -3,  6.760,  1,  2,  3,  2,   5,   5,  13
  864,  2⁵⋅3³,                       6,  24,  2520,   288,    72,  1728,   0,  2,   8,   1,   -3,  0.000,  0,  0,  4,  3,   6,   6,  14
  865,   5⋅173,                    865,   4,  1044,   688,   172,  1044,   1,  2,   2,   1,   -2,  0.000,  1,  1,  0,  4,   7,   7,  15
  866,    2⋅433,                   866,   4,  1302,   432,   432,  1302,   1,  2,   2,   1,   -1,  0.000,  0,  2,  1,  5,   8,   8,  16
  867,     3⋅17²,                   51,   6,  1228,   544,   272,  1224,   0,  2,   3,  -1,   -1,  0.000,  1,  0,  2,  6,   9,   9,   0
  868,      2²⋅7⋅31,               434,  12,  1792,   360,    30,  1536,   0,  3,   4,   1,   -1,  0.000,  0,  1,  3,  0,  10,  10,   1
  869,       11⋅79,                869,   4,   960,   780,   390,   959,   1,  2,   2,   1,    0,  0.000,  1,  2,  4,  1,   0,  11,   2
  870,        2⋅3⋅5⋅29,            870,  16,  2160,   224,    28,  2160,   1,  4,   4,   1,    1,  0.000,  0,  0,  0,  2,   1,  12,   3
  871,       13⋅67,                871,   4,   952,   792,   132,   952,   1,  2,   2,   1,    2,  0.000,  1,  1,  1,  3,   2,   0,   4
  872,      2³⋅109,                218,   8,  1650,   432,   108,  1320,   0,  2,   4,   1,    2,  0.000,  0,  2,  2,  4,   3,   1,   5
  873,     3²⋅97,                  291,   6,  1274,   576,    96,  1176,   0,  2,   3,  -1,    2,  0.000,  1,  0,  3,  5,   4,   2,   6
  874,    2⋅19⋅23,                 874,   8,  1440,   396,   198,  1440,  -1,  3,   3,  -1,    1,  0.000,  0,  1,  4,  6,   5,   3,   7
  875,   5³⋅7,                      35,   8,  1248,   600,   300,  1199,   0,  2,   4,   1,    1,  0.000,  1,  2,  0,  0,   6,   4,   8
  876,  2²⋅3⋅73,                   438,  12,  2072,   288,    72,  1776,   0,  3,   4,   1,    1,  0.000,  0,  0,  1,  1,   7,   5,   9
  877, 877,                        877,   2,   878,   876,   876,   878,  -1,  1,   1,  -1,    0,  6.777,  1,  1,  2,  2,   8,   6,  10
  878,  2⋅439,                     878,   4,  1320,   438,   438,  1320,   1,  2,   2,   1,    1,  0.000,  0,  2,  3,  3,   9,   7,  11
  879,   3⋅293,                    879,   4,  1176,   584,   292,  1176,   1,  2,   2,   1,    2,  0.000,  1,  0,  4,  4,  10,   8,  12
  880,  2⁴⋅5⋅11,                   110,  20,  2232,   320,    20,  1727,   0,  3,   6,   1,    2,  0.000,  0,  1,  0,  5,   0,   9,  13
  881, 881,                        881,   2,   882,   880,   880,   882,  -1,  1,   1,  -1,    1,  6.781,  1,  2,  1,  6,   1,  10,  14
  882,  2⋅3²⋅7²,                    42,  18,  2223,   252,    42,  2016,   0,  3,   5,  -1,    1,  0.000,  0,  0,  2,  0,   2,  11,  15
  883, 883,                        883,   2,   884,   882,   882,   883,  -1,  1,   1,  -1,    0,  6.783,  1,  1,  3,  1,   3,  12,  16
  884,  2²⋅13⋅17,                  442,  12,  1764,   384,    48,  1512,   0,  3,   4,   1,    0,  0.000,  0,  2,  4,  2,   4,   0,   0
  885,   3⋅5⋅59,                   885,   8,  1440,   464,   116,  1440,  -1,  3,   3,  -1,   -1,  0.000,  1,  0,  0,  3,   5,   1,   1
  886,  2⋅443,                     886,   4,  1332,   442,   442,  1331,   1,  2,   2,   1,    0,  0.000,  0,  1,  1,  4,   6,   2,   2
  887, 887,                        887,   2,   888,   886,   886,   888,  -1,  1,   1,  -1,   -1,  6.788,  1,  2,  2,  5,   7,   3,   3
  888,  2³⋅3⋅37,                   222,  16,  2280,   288,    36,  1824,   0,  3,   5,  -1,   -1,  0.000,  0,  0,  3,  6,   8,   4,   4
  889,   7⋅127,                    889,   4,  1024,   756,   126,  1023,   1,  2,   2,   1,    0,  0.000,  1,  1,  4,  0,   9,   5,   5
  890,    2⋅5⋅89,                  890,   8,  1620,   352,    88,  1619,  -1,  3,   3,  -1,   -1,  0.000,  0,  2,  0,  1,  10,   6,   6
  891,     3⁴⋅11,                   33,  10,  1452,   540,   270,  1295,   0,  2,   5,  -1,   -1,  0.000,  1,  0,  1,  2,   0,   7,   7
  892,      2²⋅223,                446,   6,  1568,   444,   222,  1344,   0,  2,   3,  -1,   -1,  0.000,  0,  1,  2,  3,   1,   8,   8
  893,       19⋅47,                893,   4,   960,   828,   414,   959,   1,  2,   2,   1,    0,  0.000,  1,  2,  3,  4,   2,   9,   9
  894,        2⋅3⋅149,             894,   8,  1800,   296,   148,  1800,  -1,  3,   3,  -1,   -1,  0.000,  0,  0,  4,  5,   3,  10,  10
  895,         5⋅179,              895,   4,  1080,   712,   356,  1080,   1,  2,   2,   1,    0,  0.000,  1,  1,  0,  6,   4,  11,  11
  896,          2⁷⋅7,               14,  16,  2040,   384,    96,  1536,   0,  2,   8,   1,    0,  0.000,  0,  2,  1,  0,   5,  12,  12
  897,           3⋅13⋅23,          897,   8,  1344,   528,   132,  1343,  -1,  3,   3,  -1,   -1,  0.000,  1,  0,  2,  1,   6,   0,  13
  898,          2⋅449,             898,   4,  1350,   448,   448,  1350,   1,  2,   2,   1,    0,  0.000,  0,  1,  3,  2,   7,   1,  14
  899,         29⋅31,              899,   4,   960,   840,   420,   960,   1,  2,   2,   1,    1,  0.000,  1,  2,  4,  3,   8,   2,  15
  900,        2²⋅3²⋅5²,             30,  27,  2821,   240,    60,  2160,   0,  3,   6,   1,    1,  0.000,  0,  0,  0,  4,   9,   3,  16
  901,       17⋅53,                901,   4,   972,   832,   208,   972,   1,  2,   2,   1,    2,  0.000,  1,  1,  1,  5,  10,   4,   0
  902,      2⋅11⋅41,               902,   8,  1512,   400,    40,  1512,  -1,  3,   3,  -1,    1,  0.000,  0,  2,  2,  6,   0,   5,   1
  903,     3⋅7⋅43,                 903,   8,  1408,   504,    42,  1408,  -1,  3,   3,  -1,    0,  0.000,  1,  0,  3,  0,   1,   6,   2
  904,    2³⋅113,                  226,   8,  1710,   448,   112,  1368,   0,  2,   4,   1,    0,  0.000,  0,  1,  4,  1,   2,   7,   3
  905,   5⋅181,                    905,   4,  1092,   720,   180,  1092,   1,  2,   2,   1,    1,  0.000,  1,  2,  0,  2,   3,   8,   4
  906,  2⋅3⋅151,                   906,   8,  1824,   300,   150,  1824,  -1,  3,   3,  -1,    0,  0.000,  0,  0,  1,  3,   4,   9,   5
  907, 907,                        907,   2,   908,   906,   906,   908,  -1,  1,   1,  -1,   -1,  6.810,  1,  1,  2,  4,   5,  10,   6
  908,  2²⋅227,                    454,   6,  1596,   452,   226,  1368,   0,  2,   3,  -1,   -1,  0.000,  0,  2,  3,  5,   6,  11,   7
  909,   3²⋅101,                   303,   6,  1326,   600,   300,  1223,   0,  2,   3,  -1,   -1,  0.000,  1,  0,  4,  6,   7,  12,   8
  910,  2⋅5⋅7⋅13,                  910,  16,  2016,   288,    12,  2015,   1,  4,   4,   1,    0,  0.000,  0,  1,  0,  0,   8,   0,   9
  911, 911,                        911,   2,   912,   910,   910,   912,  -1,  1,   1,  -1,   -1,  6.815,  1,  2,  1,  1,   9,   1,  10
  912,  2⁴⋅3⋅19,                   114,  20,  2480,   288,    36,  1920,   0,  3,   6,   1,   -1,  0.000,  0,  0,  2,  2,  10,   2,  11
  913,   11⋅83,                    913,   4,  1008,   820,   410,  1007,   1,  2,   2,   1,    0,  0.000,  1,  1,  3,  3,   0,   3,  12
  914,    2⋅457,                   914,   4,  1374,   456,   456,  1374,   1,  2,   2,   1,    1,  0.000,  0,  2,  4,  4,   1,   4,  13
  915,     3⋅5⋅61,                 915,   8,  1488,   480,    60,  1488,  -1,  3,   3,  -1,    0,  0.000,  1,  0,  0,  5,   2,   5,  14
  916,    2²⋅229,                  458,   6,  1610,   456,   228,  1379,   0,  2,   3,  -1,    0,  0.000,  0,  1,  1,  6,   3,   6,  15
  917,   7⋅131,                    917,   4,  1056,   780,   390,  1055,   1,  2,   2,   1,    1,  0.000,  1,  2,  2,  0,   4,   7,  16
  918,  2⋅3³⋅17,                   102,  16,  2160,   288,   144,  1944,   0,  3,   5,  -1,    1,  0.000,  0,  0,  3,  1,   5,   8,   0
  919, 919,                        919,   2,   920,   918,   918,   920,  -1,  1,   1,  -1,    0,  6.823,  1,  1,  4,  2,   6,   9,   1
  920,  2³⋅5⋅23,                   230,  16,  2160,   352,    44,  1727,   0,  3,   5,  -1,    0,  0.000,  0,  2,  0,  3,   7,  10,   2
  921,   3⋅307,                    921,   4,  1232,   612,   306,  1232,   1,  2,   2,   1,    1,  0.000,  1,  0,  1,  4,   8,  11,   3
  922,    2⋅461,                   922,   4,  1386,   460,   460,  1386,   1,  2,   2,   1,    2,  0.000,  0,  1,  2,  5,   9,  12,   4
  923,     13⋅71,                  923,   4,  1008,   840,   420,  1007,   1,  2,   2,   1,    3,  0.000,  1,  2,  3,  6,  10,   0,   5
  924,      2²⋅3⋅7⋅11,             462,  24,  2688,   240,    30,  2303,   0,  4,   5,  -1,    3,  0.000,  0,  0,  4,  0,   0,   1,   6
  925,     5²⋅37,                  185,   6,  1178,   720,   180,  1139,   0,  2,   3,  -1,    3,  0.000,  1,  1,  0,  1,   1,   2,   7
  926,    2⋅463,                   926,   4,  1392,   462,   462,  1392,   1,  2,   2,   1,    4,  0.000,  0,  2,  1,  2,   2,   3,   8
  927,   3²⋅103,                   309,   6,  1352,   612,   102,  1248,   0,  2,   3,  -1,    4,  0.000,  1,  0,  2,  3,   3,   4,   9
  928,  2⁵⋅29,                      58,  12,  1890,   448,    56,  1440,   0,  2,   6,   1,    4,  0.000,  0,  1,  3,  4,   4,   5,  10
  929, 929,                        929,   2,   930,   928,   928,   930,  -1,  1,   1,  -1,    3,  6.834,  1,  2,  4,  5,   5,   6,  11
  930,  2⋅3⋅5⋅31,                  930,  16,  2304,   240,    60,  2303,   1,  4,   4,   1,    4,  0.000,  0,  0,  0,  6,   6,   7,  12
  931,   7²⋅19,                    133,   6,  1140,   756,   126,  1120,   0,  2,   3,  -1,    4,  0.000,  1,  1,  1,  0,   7,   8,  13
  932,    2²⋅233,                  466,   6,  1638,   464,   232,  1404,   0,  2,   3,  -1,    4,  0.000,  0,  2,  2,  1,   8,   9,  14
  933,     3⋅311,                  933,   4,  1248,   620,   310,  1248,   1,  2,   2,   1,    5,  0.000,  1,  0,  3,  2,   9,  10,  15
  934,    2⋅467,                   934,   4,  1404,   466,   466,  1404,   1,  2,   2,   1,    6,  0.000,  0,  1,  4,  3,  10,  11,  16
  935,   5⋅11⋅17,                  935,   8,  1296,   640,    80,  1295,  -1,  3,   3,  -1,    5,  0.000,  1,  2,  0,  4,   0,  12,   0
  936,  2³⋅3²⋅13,                   78,  24,  2730,   288,    12,  2016,   0,  3,   6,   1,    5,  0.000,  0,  0,  1,  5,   1,   0,   1
  937, 937,                        937,   2,   938,   936,   936,   938,  -1,  1,   1,  -1,    4,  6.843,  1,  1,  2,  6,   2,   1,   2
  938,  2⋅7⋅67,                    938,   8,  1632,   396,    66,  1632,  -1,  3,   3,  -1,    3,  0.000,  0,  2,  3,  0,   3,   2,   3
  939,   3⋅313,                    939,   4,  1256,   624,   312,  1256,   1,  2,   2,   1,    4,  0.000,  1,  0,  4,  1,   4,   3,   4
  940,  2²⋅5⋅47,                   470,  12,  2016,   368,    92,  1727,   0,  3,   4,   1,    4,  0.000,  0,  1,  0,  2,   5,   4,   5
  941, 941,                        941,   2,   942,   940,   940,   942,  -1,  1,   1,  -1,    3,  6.847,  1,  2,  1,  3,   6,   5,   6
  942,  2⋅3⋅157,                   942,   8,  1896,   312,   156,  1896,  -1,  3,   3,  -1,    2,  0.000,  0,  0,  2,  4,   7,   6,   7
  943,   23⋅41,                    943,   4,  1008,   880,   440,  1008,   1,  2,   2,   1,    3,  0.000,  1,  1,  3,  5,   8,   7,   8
  944,    2⁴⋅59,                   118,  10,  1860,   464,   116,  1440,   0,  2,   5,  -1,    3,  0.000,  0,  2,  4,  6,   9,   8,   9
  945,   3³⋅5⋅7,                   105,  16,  1920,   432,    36,  1727,   0,  3,   5,  -1,    3,  0.000,  1,  0,  0,  0,  10,   9,  10
  946,  2⋅11⋅43,                   946,   8,  1584,   420,   210,  1583,  -1,  3,   3,  -1,    2,  0.000,  0,  1,  1,  1,   0,  10,  11
  947, 947,                        947,   2,   948,   946,   946,   947,  -1,  1,   1,  -1,    1,  6.853,  1,  2,  2,  2,   1,  11,  12
  948,  2²⋅3⋅79,                   474,  12,  2240,   312,    78,  1920,   0,  3,   4,   1,    1,  0.000,  0,  0,  3,  3,   2,  12,  13
  949,   13⋅73,                    949,   4,  1036,   864,    72,  1036,   1,  2,   2,   1,    2,  0.000,  1,  1,  4,  4,   3,   0,  14
  950,    2⋅5²⋅19,                 190,  12,  1860,   360,   180,  1799,   0,  3,   4,   1,    2,  0.000,  0,  2,  0,  5,   4,   1,  15
  951,   3⋅317,                    951,   4,  1272,   632,   316,  1272,   1,  2,   2,   1,    3,  0.000,  1,  0,  1,  6,   5,   2,  16
  952,  2³⋅7⋅17,                   238,  16,  2160,   384,    48,  1728,   0,  3,   5,  -1,    3,  0.000,  0,  1,  2,  0,   6,   3,   0
  953, 953,                        953,   2,   954,   952,   952,   954,  -1,  1,   1,  -1,    2,  6.860,  1,  2,  3,  1,   7,   4,   1
  954,  2⋅3²⋅53,                   318,  12,  2106,   312,   156,  1944,   0,  3,   4,   1,    2,  0.000,  0,  0,  4,  2,   8,   5,   2
  955,   5⋅191,                    955,   4,  1152,   760,   380,  1152,   1,  2,   2,   1,    3,  0.000,  1,  1,  0,  3,   9,   6,   3
  956,    2²⋅239,                  478,   6,  1680,   476,   238,  1440,   0,  2,   3,  -1,    3,  0.000,  0,  2,  1,  4,  10,   7,   4
  957,     3⋅11⋅29,                957,   8,  1440,   560,   140,  1439,  -1,  3,   3,  -1,    2,  0.000,  1,  0,  2,  5,   0,   8,   5
  958,      2⋅479,                 958,   4,  1440,   478,   478,  1440,   1,  2,   2,   1,    3,  0.000,  0,  1,  3,  6,   1,   9,   6
  959,       7⋅137,                959,   4,  1104,   816,   408,  1104,   1,  2,   2,   1,    4,  0.000,  1,  2,  4,  0,   2,  10,   7
  960,        2⁶⋅3⋅5,               30,  28,  3048,   256,    16,  2304,   0,  3,   8,   1,    4,  0.000,  0,  0,  0,  1,   3,  11,   8
  961,       31²,                   31,   3,   993,   930,   930,   992,   0,  1,   2,   1,    4,  3.434,  1,  1,  1,  2,   4,  12,   9
  962,      2⋅13⋅37,               962,   8,  1596,   432,    36,  1596,  -1,  3,   3,  -1,    3,  0.000,  0,  2,  2,  3,   5,   0,  10
  963,     3²⋅107,                 321,   6,  1404,   636,   318,  1295,   0,  2,   3,  -1,    3,  0.000,  1,  0,  3,  4,   6,   1,  11
  964,    2²⋅241,                  482,   6,  1694,   480,   240,  1452,   0,  2,   3,  -1,    3,  0.000,  0,  1,  4,  5,   7,   2,  12
  965,   5⋅193,                    965,   4,  1164,   768,   192,  1164,   1,  2,   2,   1,    4,  0.000,  1,  2,  0,  6,   8,   3,  13
  966,  2⋅3⋅7⋅23,                  966,  16,  2304,   264,    66,  2303,   1,  4,   4,   1,    5,  0.000,  0,  0,  1,  0,   9,   4,  14
  967, 967,                        967,   2,   968,   966,   966,   968,  -1,  1,   1,  -1,    4,  6.874,  1,  1,  2,  1,  10,   5,  15
  968,  2³⋅11²,                     22,  12,  1995,   440,   110,  1583,   0,  2,   5,  -1,    4,  0.000,  0,  2,  3,  2,   0,   6,  16
  969,   3⋅17⋅19,                  969,   8,  1440,   576,   144,  1439,  -1,  3,   3,  -1,    3,  0.000,  1,  0,  4,  3,   1,   7,   0
  970,  2⋅5⋅97,                    970,   8,  1764,   384,    96,  1763,  -1,  3,   3,  -1,    2,  0.000,  0,  1,  0,  4,   2,   8,   1
  971, 971,                        971,   2,   972,   970,   970,   971,  -1,  1,   1,  -1,    1,  6.878,  1,  2,  1,  5,   3,   9,   2
  972,  2²⋅3⁵,                       6,  18,  2548,   324,   162,  1944,   0,  2,   7,  -1,    1,  0.000,  0,  0,  2,  6,   4,  10,   3
  973,   7⋅139,                    973,   4,  1120,   828,   138,  1120,   1,  2,   2,   1,    2,  0.000,  1,  1,  3,  0,   5,  11,   4
  974,    2⋅487,                   974,   4,  1464,   486,   486,  1463,   1,  2,   2,   1,    3,  0.000,  0,  2,  4,  1,   6,  12,   5
  975,   3⋅5²⋅13,                  195,  12,  1736,   480,    60,  1679,   0,  3,   4,   1,    3,  0.000,  1,  0,  0,  2,   7,   0,   6
  976,  2⁴⋅61,                     122,  10,  1922,   480,    60,  1488,   0,  2,   5,  -1,    3,  0.000,  0,  1,  1,  3,   8,   1,   7
  977, 977,                        977,   2,   978,   976,   976,   977,  -1,  1,   1,  -1,    2,  6.884,  1,  2,  2,  4,   9,   2,   8
  978,  2⋅3⋅163,                   978,   8,  1968,   324,   162,  1968,  -1,  3,   3,  -1,    1,  0.000,  0,  0,  3,  5,  10,   3,   9
  979,   11⋅89,                    979,   4,  1080,   880,   440,  1079,   1,  2,   2,   1,    2,  0.000,  1,  1,  4,  6,   0,   4,  10
  980,    2²⋅5⋅7²,                  70,  18,  2394,   336,    84,  2015,   0,  3,   5,  -1,    2,  0.000,  0,  2,  0,  0,   1,   5,  11
  981,   3²⋅109,                   327,   6,  1430,   648,   108,  1319,   0,  2,   3,  -1,    2,  0.000,  1,  0,  1,  1,   2,   6,  12
  982,  2⋅491,                     982,   4,  1476,   490,   490,  1475,   1,  2,   2,   1,    3,  0.000,  0,  1,  2,  2,   3,   7,  13
  983, 983,                        983,   2,   984,   982,   982,   983,  -1,  1,   1,  -1,    2,  6.891,  1,  2,  3,  3,   4,   8,  14
  984,  2³⋅3⋅41,                   246,  16,  2520,   320,    40,  2016,   0,  3,   5,  -1,    2,  0.000,  0,  0,  4,  4,   5,   9,  15
  985,   5⋅197,                    985,   4,  1188,   784,   196,  1188,   1,  2,   2,   1,    3,  0.000,  1,  1,  0,  5,   6,  10,  16
  986,    2⋅17⋅29,                 986,   8,  1620,   448,   112,  1620,  -1,  3,   3,  -1,    2,  0.000,  0,  2,  1,  6,   7,  11,   0
  987,     3⋅7⋅47,                 987,   8,  1536,   552,   138,  1535,  -1,  3,   3,  -1,    1,  0.000,  1,  0,  2,  0,   8,  12,   1
  988,    2²⋅13⋅19,                494,  12,  1960,   432,    36,  1679,   0,  3,   4,   1,    1,  0.000,  0,  1,  3,  1,   9,   0,   2
  989,   23⋅43,                    989,   4,  1056,   924,   462,  1056,   1,  2,   2,   1,    2,  0.000,  1,  2,  4,  2,  10,   1,   3
  990,  2⋅3²⋅5⋅11,                 330,  24,  2808,   240,    60,  2591,   0,  4,   5,  -1,    2,  0.000,  0,  0,  0,  3,   0,   2,   4
  991, 991,                        991,   2,   992,   990,   990,   992,  -1,  1,   1,  -1,    1,  6.899,  1,  1,  1,  4,   1,   3,   5
  992,  2⁵⋅31,                      62,  12,  2016,   480,   120,  1536,   0,  2,   6,   1,    1,  0.000,  0,  2,  2,  5,   2,   4,   6
  993,   3⋅331,                    993,   4,  1328,   660,   330,  1328,   1,  2,   2,   1,    2,  0.000,  1,  0,  3,  6,   3,   5,   7
  994,    2⋅7⋅71,                  994,   8,  1728,   420,   210,  1727,  -1,  3,   3,  -1,    1,  0.000,  0,  1,  4,  0,   4,   6,   8
  995,   5⋅199,                    995,   4,  1200,   792,   396,  1200,   1,  2,   2,   1,    2,  0.000,  1,  2,  0,  1,   5,   7,   9
  996,  2²⋅3⋅83,                   498,  12,  2352,   328,    82,  2015,   0,  3,   4,   1,    2,  0.000,  0,  0,  1,  2,   6,   8,  10
  997, 997,                        997,   2,   998,   996,   996,   997,  -1,  1,   1,  -1,    1,  6.905,  1,  1,  2,  3,   7,   9,  11
  998,  2⋅499,                     998,   4,  1500,   498,   498,  1500,   1,  2,   2,   1,    2,  0.000,  0,  2,  3,  4,   8,  10,  12
  999,   3³⋅37,                    111,   8,  1520,   648,    36,  1367,   0,  2,   4,   1,    2,  0.000,  1,  0,  4,  5,   9,  11,  13
 1000,    2³⋅5³,                    10,  16,  2340,   400,   100,  1799,   0,  2,   6,   1,    2,  0.000,  0,  1,  0,  6,  10,  12,  14
 1001,     7⋅11⋅13,               1001,   8,  1344,   720,    60,  1343,  -1,  3,   3,  -1,    1,  0.000,  1,  2,  1,  0,   0,   0,  15
 1002,      2⋅3⋅167,              1002,   8,  2016,   332,   166,  2015,  -1,  3,   3,  -1,    0,  0.000,  0,  0,  2,  1,   1,   1,  16
 1003,       17⋅59,               1003,   4,  1080,   928,   464,  1080,   1,  2,   2,   1,    1,  0.000,  1,  1,  3,  2,   2,   2,   0
 1004,      2²⋅251,                502,   6,  1764,   500,   250,  1512,   0,  2,   3,  -1,    1,  0.000,  0,  2,  4,  3,   3,   3,   1
 1005,     3⋅5⋅67,                1005,   8,  1632,   528,   132,  1632,  -1,  3,   3,  -1,    0,  0.000,  1,  0,  0,  4,   4,   4,   2
 1006,    2⋅503,                  1006,   4,  1512,   502,   502,  1511,   1,  2,   2,   1,    1,  0.000,  0,  1,  1,  5,   5,   5,   3
 1007,   19⋅53,                   1007,   4,  1080,   936,   468,  1080,   1,  2,   2,   1,    2,  0.000,  1,  2,  2,  6,   6,   6,   4
 1008,  2⁴⋅3²⋅7,                    42,  30,  3224,   288,    12,  2304,   0,  3,   7,  -1,    2,  0.000,  0,  0,  3,  0,   7,   7,   5
 1009, 1009,                      1009,   2,  1010,  1008,  1008,  1009,  -1,  1,   1,  -1,    1,  6.917,  1,  1,  4,  1,   8,   8,   6
 1010,  2⋅5⋅101,                  1010,   8,  1836,   400,   100,  1835,  -1,  3,   3,  -1,    0,  0.000,  0,  2,  0,  2,   9,   9,   7
 1011,   3⋅337,                   1011,   4,  1352,   672,   336,  1352,   1,  2,   2,   1,    1,  0.000,  1,  0,  1,  3,  10,  10,   8
 1012,  2²⋅11⋅23,                  506,  12,  2016,   440,   110,  1728,   0,  3,   4,   1,    1,  0.000,  0,  1,  2,  4,   0,  11,   9
 1013, 1013,                      1013,   2,  1014,  1012,  1012,  1014,  -1,  1,   1,  -1,    0,  6.921,  1,  2,  3,  5,   1,  12,  10
 1014,  2⋅3⋅13²,                    78,  12,  2196,   312,   156,  2184,   0,  3,   4,   1,    0,  0.000,  0,  0,  4,  6,   2,   0,  11
 1015,   5⋅7⋅29,                  1015,   8,  1440,   672,    84,  1439,  -1,  3,   3,  -1,   -1,  0.000,  1,  1,  0,  0,   3,   1,  12
 1016,    2³⋅127,                  254,   8,  1920,   504,   126,  1536,   0,  2,   4,   1,   -1,  0.000,  0,  2,  1,  1,   4,   2,  13
 1017,   3²⋅113,                   339,   6,  1482,   672,   336,  1367,   0,  2,   3,  -1,   -1,  0.000,  1,  0,  2,  2,   5,   3,  14
 1018,  2⋅509,                    1018,   4,  1530,   508,   508,  1530,   1,  2,   2,   1,    0,  0.000,  0,  1,  3,  3,   6,   4,  15
 1019, 1019,                      1019,   2,  1020,  1018,  1018,  1019,  -1,  1,   1,  -1,   -1,  6.927,  1,  2,  4,  4,   7,   5,  16
 1020,  2²⋅3⋅5⋅17,                 510,  24,  3024,   256,    16,  2592,   0,  4,   5,  -1,   -1,  0.000,  0,  0,  0,  5,   8,   6,   0
 1021, 1021,                      1021,   2,  1022,  1020,  1020,  1022,  -1,  1,   1,  -1,   -2,  6.929,  1,  1,  1,  6,   9,   7,   1
 1022,  2⋅7⋅73,                   1022,   8,  1776,   432,    72,  1776,  -1,  3,   3,  -1,   -3,  0.000,  0,  2,  2,  0,  10,   8,   2
 1023,   3⋅11⋅31,                 1023,   8,  1536,   600,    30,  1535,  -1,  3,   3,  -1,   -4,  0.000,  1,  0,  3,  1,   0,   9,   3
