# "Odd core neighbor" fingerprints by Collatz odd-to-odd stopping distance
#
# `dist`    the number of odd-to-odd Collatz for n steps to reach 1
# `n`       a positive odd integer
# `nl`      the odd core valuation of the even number n-1 to the left of odd n
# `nr`      the odd core valuation of the even number n+1 to the right of odd n
# `base2`   the binary representation of n
# `factors` the prime factors of n

dist,     n,        nl,        nr,           base2, factors
   5,  1877,   (469 2),   (939 1),     11101010101, {1877}
   5,  1933,   (483 2),   (967 1),     11110001101, {1933}
   5,  1969,   (123 4),   (985 1),     11110110001, {11 179}
   5,  1971,   (985 1),   (493 2),     11110110011, {3 73}
   5,  1989,   (497 2),   (995 1),     11111000101, {3 13 17}
   5,  2009,   (251 3),  (1005 1),     11111011001, {7 41}
   5,  2141,   (535 2),  (1071 1),    100001011101, {2141}
   5,  2147,  (1073 1),   (537 2),    100001100011, {19 113}
   5,  2149,   (537 2),  (1075 1),    100001100101, {7 307}
   5,  3861,   (965 2),  (1931 1),    111100010101, {3 11 13}
   5,  3925,   (981 2),  (1963 1),    111101010101, {5 157}
   5,  3939,  (1969 1),   (985 2),    111101100011, {3 13 101}
   5,  3941,   (985 2),  (1971 1),    111101100101, {7 563}
   5,  3981,   (995 2),  (1991 1),    111110001101, {3 1327}
   5,  4017,   (251 4),  (2009 1),    111110110001, {3 13 103}
   5,  4019,  (2009 1),  (1005 2),    111110110011, {4019}
   5,  4043,  (2021 1),  (1011 2),    111111001011, {13 311}
   5,  4277,  (1069 2),  (2139 1),   1000010110101, {7 13 47}
   5,  4293,  (1073 2),  (2147 1),   1000011000101, {3 53}
   5,  4297,   (537 3),  (2149 1),   1000011001001, {4297}
   5,  4301,  (1075 2),  (2151 1),   1000011001101, {11 17 23}
   5,  7509,  (1877 2),  (3755 1),   1110101010101, {3 2503}
   5,  7733,  (1933 2),  (3867 1),   1111000110101, {11 19 37}
   5,  7877,  (1969 2),  (3939 1),   1111011000101, {7877}
   5,  7885,  (1971 2),  (3943 1),   1111011001101, {5 19 83}
   5,  7957,  (1989 2),  (3979 1),   1111100010101, {73 109}
