# Odd core environment

This is a list of the first 5000 integers in consecutive order. For every integer n:
- `oc` is the 2-adic "odd core" of the number, after removing all factors of 2. For odd numbers, oc is the number itself.
- `k` is the 2-adic exponent, the number of halvings (n = oc * 2^k). For odd numbers, k is always 0.
- `dist` is the odd-to-odd Collatz stopping distance of oc.
- ternary and binary representations of the oc are given.
- residues of oc modulo a set of small primes then follow (`m3`, `m5`, etc).

oc,k,dist,base3,base2,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31
1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
3,0,2,10,11,0,3,3,3,3,3,3,3,3,3
1,2,0,1,1,1,1,1,1,1,1,1,1,1,1
5,0,1,12,101,2,0,5,5,5,5,5,5,5,5
3,1,2,10,11,0,3,3,3,3,3,3,3,3,3
7,0,5,21,111,1,2,0,7,7,7,7,7,7,7
1,3,0,1,1,1,1,1,1,1,1,1,1,1,1
9,0,6,100,1001,0,4,2,9,9,9,9,9,9,9
5,1,1,12,101,2,0,5,5,5,5,5,5,5,5
11,0,4,102,1011,2,1,4,0,11,11,11,11,11,11
3,2,2,10,11,0,3,3,3,3,3,3,3,3,3
13,0,2,111,1101,1,3,6,2,0,13,13,13,13,13
7,1,5,21,111,1,2,0,7,7,7,7,7,7,7
15,0,5,120,1111,0,0,1,4,2,15,15,15,15,15
1,4,0,1,1,1,1,1,1,1,1,1,1,1,1
17,0,3,122,10001,2,2,3,6,4,0,17,17,17,17
9,1,6,100,1001,0,4,2,9,9,9,9,9,9,9
19,0,6,201,10011,1,4,5,8,6,2,0,19,19,19
5,2,1,12,101,2,0,5,5,5,5,5,5,5,5
21,0,1,210,10101,0,1,0,10,8,4,2,21,21,21
11,1,4,102,1011,2,1,4,0,11,11,11,11,11,11
23,0,4,212,10111,2,3,2,1,10,6,4,0,23,23
3,3,2,10,11,0,3,3,3,3,3,3,3,3,3
25,0,7,221,11001,1,0,4,3,12,8,6,2,25,25
13,1,2,111,1101,1,3,6,2,0,13,13,13,13,13
27,0,41,1000,11011,0,2,6,5,1,10,8,4,27,27
7,2,5,21,111,1,2,0,7,7,7,7,7,7,7
29,0,5,1002,11101,2,4,1,7,3,12,10,6,0,29
15,1,5,120,1111,0,0,1,4,2,15,15,15,15,15
31,0,39,1011,11111,1,1,3,9,5,14,12,8,2,0
1,5,0,1,1,1,1,1,1,1,1,1,1,1,1
33,0,8,1020,100001,0,3,5,0,7,16,14,10,4,2
17,1,3,122,10001,2,2,3,6,4,0,17,17,17,17
35,0,3,1022,100011,2,0,0,2,9,1,16,12,6,4
9,2,6,100,1001,0,4,2,9,9,9,9,9,9,9
37,0,6,1101,100101,1,2,2,4,11,3,18,14,8,6
19,1,6,201,10011,1,4,5,8,6,2,0,19,19,19
39,0,11,1110,100111,0,4,4,6,0,5,1,16,10,8
5,3,1,12,101,2,0,5,5,5,5,5,5,5,5
41,0,40,1112,101001,2,1,6,8,2,7,3,18,12,10
21,1,1,210,10101,0,1,0,10,8,4,2,21,21,21
43,0,9,1121,101011,1,3,1,10,4,9,5,20,14,12
11,2,4,102,1011,2,1,4,0,11,11,11,11,11,11
45,0,4,1200,101101,0,0,3,1,6,11,7,22,16,14
23,1,4,212,10111,2,3,2,1,10,6,4,0,23,23
47,0,38,1202,101111,2,2,5,3,8,13,9,1,18,16
3,4,2,10,11,0,3,3,3,3,3,3,3,3,3
49,0,7,1211,110001,1,4,0,5,10,15,11,3,20,18
25,1,7,221,11001,1,0,4,3,12,8,6,2,25,25
51,0,7,1220,110011,0,1,2,7,12,0,13,5,22,20
13,2,2,111,1101,1,3,6,2,0,13,13,13,13,13
53,0,2,1222,110101,2,3,4,9,1,2,15,7,24,22
27,1,41,1000,11011,0,2,6,5,1,10,8,4,27,27
55,0,41,2001,110111,1,0,6,0,3,4,17,9,26,24
7,3,5,21,111,1,2,0,7,7,7,7,7,7,7
57,0,10,2010,111001,0,2,1,2,5,6,0,11,28,26
29,1,5,1002,11101,2,4,1,7,3,12,10,6,0,29
59,0,10,2012,111011,2,4,3,4,7,8,2,13,1,28
15,2,5,120,1111,0,0,1,4,2,15,15,15,15,15
61,0,5,2021,111101,1,1,5,6,9,10,4,15,3,30
31,1,39,1011,11111,1,1,3,9,5,14,12,8,2,0
63,0,39,2100,111111,0,3,0,8,11,12,6,17,5,1
