# Goldbach partions

Every Goldbach pair represents a prime symmetry around n/2.

`n`       a positive integer
`factors` the prime factors of n
`gbpairs` the Goldbach prime pairs that sum to n, if n is even and greater than 4

```csv
n,     factors,    gbpairs
450,   2⋅3²⋅5²,    7+443 11+439 17+433 19+431 29+421 31+419 41+409 53+397 61+389 67+383 71+379 83+367 97+353 101+349 103+347 113+337 137+313 139+311 157+293 167+283 173+277 179+271 181+269 193+257 199+251 211+239 223+227
451,   11⋅41,      
452,   2²⋅113,     3+449 13+439 19+433 31+421 43+409 73+379 79+373 103+349 139+313 181+271 211+241 223+229
453,   3⋅151,      
454,   2⋅227,      5+449 11+443 23+431 53+401 71+383 101+353 107+347 137+317 173+281 191+263 197+257 227+227
455,   5⋅7⋅13,     
456,   2³⋅3⋅19,    7+449 13+443 17+439 23+433 37+419 47+409 59+397 67+389 73+383 83+373 89+367 97+359 103+353 107+349 109+347 139+317 149+307 163+293 173+283 179+277 193+263 199+257 223+233 227+229
457,   457,        
458,   2⋅229,      19+439 37+421 61+397 79+379 109+349 127+331 151+307 181+277 229+229
459,   3³⋅17,      
460,   2²⋅5⋅23,    3+457 11+449 17+443 29+431 41+419 59+401 71+389 101+359 107+353 113+347 149+311 167+293 179+281 191+269 197+263 227+233
461,   461,        
462,   2⋅3⋅7⋅11,   5+457 13+449 19+443 23+439 29+433 31+431 41+421 43+419 53+409 61+401 73+389 79+383 83+379 89+373 103+359 109+353 113+349 131+331 149+313 151+311 179+283 181+281 191+271 193+269 199+263 211+251 223+239 229+233
463,   463,        
464,   2⁴⋅29,      3+461 7+457 31+433 43+421 67+397 97+367 127+337 151+313 157+307 181+283 193+271 223+241
465,   3⋅5⋅31,     
466,   2⋅233,      3+463 5+461 17+449 23+443 47+419 83+383 107+359 113+353 149+317 173+293 197+269 227+239 233+233
467,   467,        
468,   2²⋅3²⋅13,   5+463 7+461 11+457 19+449 29+439 37+431 47+421 59+409 67+401 71+397 79+389 89+379 101+367 109+359 131+337 137+331 151+317 157+311 191+277 197+271 199+269 211+257 227+241 229+239
469,   7⋅67,       
470,   2⋅5⋅47,     3+467 7+463 13+457 31+439 37+433 61+409 73+397 97+373 103+367 139+331 157+313 163+307 193+277 199+271 229+241
471,   3⋅157,      
472,   2³⋅59,      5+467 11+461 23+449 29+443 41+431 53+419 71+401 83+389 89+383 113+359 179+293 191+281 233+239
473,   11⋅43,      
474,   2⋅3⋅79,     7+467 11+463 13+461 17+457 31+443 41+433 43+431 53+421 73+401 101+373 107+367 127+347 137+337 157+317 163+311 167+307 181+293 191+283 193+281 197+277 211+263 223+251 233+241
475,   5²⋅19,      
476,   2²⋅7⋅17,    13+463 19+457 37+439 43+433 67+409 79+397 97+379 103+373 109+367 127+349 139+337 163+313 193+283 199+277
477,   3²⋅53,      
478,   2⋅239,      11+467 17+461 29+449 47+431 59+419 89+389 131+347 167+311 197+281 227+251 239+239
479,   479,        
480,   2⁵⋅3⋅5,     13+467 17+463 19+461 23+457 31+449 37+443 41+439 47+433 59+421 61+419 71+409 79+401 83+397 97+383 101+379 107+373 113+367 127+353 131+349 149+331 163+317 167+313 173+307 197+283 199+281 211+269 223+257 229+251 239+241
481,   13⋅37,      
482,   2⋅241,      3+479 19+463 43+439 61+421 73+409 103+379 109+373 151+331 199+283 211+271 241+241
483,   3⋅7⋅23,     
484,   2²⋅11²,     5+479 17+467 23+461 41+443 53+431 83+401 101+383 131+353 137+347 167+317 173+311 191+293 227+257 233+251
485,   5⋅97,       
486,   2⋅3⁵,       7+479 19+467 23+463 29+457 37+449 43+443 47+439 53+433 67+419 89+397 97+389 103+383 107+379 113+373 127+359 137+349 139+347 149+337 173+313 179+307 193+293 223+263 229+257
487,   487,        
488,   2³⋅61,      31+457 67+421 79+409 109+379 139+349 151+337 157+331 181+307 211+277
489,   3⋅163,      
490,   2⋅5⋅7²,     3+487 11+479 23+467 29+461 41+449 47+443 59+431 71+419 89+401 101+389 107+383 131+359 137+353 173+317 179+311 197+293 227+263 233+257 239+251
491,   491,        
492,   2²⋅3⋅41,    5+487 13+479 29+463 31+461 43+449 53+439 59+433 61+431 71+421 73+419 83+409 103+389 109+383 113+379 139+353 179+313 181+311 199+293 211+281 223+269 229+263 241+251
493,   17⋅29,      
494,   2⋅13⋅19,    3+491 7+487 31+463 37+457 61+433 73+421 97+397 127+367 157+337 163+331 181+313 211+283 223+271
495,   3²⋅5⋅11,    
496,   2⁴⋅31,      5+491 17+479 29+467 47+449 53+443 107+389 113+383 137+359 149+347 179+317 227+269 233+263 239+257
497,   7⋅71,       
498,   2⋅3⋅83,     7+491 11+487 19+479 31+467 37+461 41+457 59+439 67+431 79+419 89+409 97+401 101+397 109+389 131+367 139+359 149+349 151+347 167+331 181+317 191+307 227+271 229+269 241+257
499,   499,        
500,   2²⋅5³,      13+487 37+463 43+457 61+439 67+433 79+421 103+397 127+373 151+349 163+337 193+307 223+277 229+271
```

