# Goldbach partions

Every Goldbach pair represents a prime symmetry around n/2.

`n`       a positive integer
`factors` the prime factors of n
`gbpairs` the Goldbach prime pairs that sum to n, if n is even and greater than 4

```csv
n,     factors,    gbpairs
216,   2³⋅3³,      5+211 17+199 19+197 23+193 37+179 43+173 53+163 59+157 67+149 79+137 89+127 103+113 107+109
217,   7⋅31,       
218,   2⋅109,      7+211 19+199 37+181 61+157 67+151 79+139 109+109
219,   3⋅73,       
220,   2²⋅5⋅11,    23+197 29+191 41+179 47+173 53+167 71+149 83+137 89+131 107+113
221,   13⋅17,      
222,   2⋅3⋅37,     11+211 23+199 29+193 31+191 41+181 43+179 59+163 71+151 73+149 83+139 109+113
223,   223,        
224,   2⁵⋅7,       13+211 31+193 43+181 61+163 67+157 73+151 97+127
225,   3²⋅5²,      
226,   2⋅113,      3+223 29+197 47+179 53+173 59+167 89+137 113+113
227,   227,        
228,   2²⋅3⋅19,    5+223 17+211 29+199 31+197 37+191 47+181 61+167 71+157 79+149 89+139 97+131 101+127
229,   229,        
230,   2⋅5⋅23,     3+227 7+223 19+211 31+199 37+193 67+163 73+157 79+151 103+127
231,   3⋅7⋅11,     
232,   2³⋅29,      3+229 5+227 41+191 53+179 59+173 83+149 101+131
233,   233,        
234,   2⋅3²⋅13,    5+229 7+227 11+223 23+211 37+197 41+193 43+191 53+181 61+173 67+167 71+163 83+151 97+137 103+131 107+127
235,   5⋅47,       
236,   2²⋅59,      3+233 7+229 13+223 37+199 43+193 73+163 79+157 97+139 109+127
237,   3⋅79,       
238,   2⋅7⋅17,     5+233 11+227 41+197 47+191 59+179 71+167 89+149 101+137 107+131
239,   239,        
240,   2⁴⋅3⋅5,     7+233 11+229 13+227 17+223 29+211 41+199 43+197 47+193 59+181 61+179 67+173 73+167 83+157 89+151 101+139 103+137 109+131 113+127
241,   241,        
242,   2⋅11²,      3+239 13+229 19+223 31+211 43+199 61+181 79+163 103+139
243,   3⁵,         
244,   2²⋅61,      3+241 5+239 11+233 17+227 47+197 53+191 71+173 107+137 113+131
245,   5⋅7²,       
246,   2⋅3⋅41,     5+241 7+239 13+233 17+229 19+227 23+223 47+199 53+193 67+179 73+173 79+167 83+163 89+157 97+149 107+139 109+137
247,   13⋅19,      
248,   2³⋅31,      7+241 19+229 37+211 67+181 97+151 109+139
249,   3⋅83,       
250,   2⋅5³,       11+239 17+233 23+227 53+197 59+191 71+179 83+167 101+149 113+137
251,   251,        
252,   2²⋅3²⋅7,    11+241 13+239 19+233 23+229 29+223 41+211 53+199 59+193 61+191 71+181 73+179 79+173 89+163 101+151 103+149 113+139
253,   11⋅23,      
254,   2⋅127,      3+251 13+241 31+223 43+211 61+193 73+181 97+157 103+151 127+127
255,   3⋅5⋅17,     
256,   2⁸,         5+251 17+239 23+233 29+227 59+197 83+173 89+167 107+149
257,   257,        
258,   2⋅3⋅43,     7+251 17+241 19+239 29+229 31+227 47+211 59+199 61+197 67+191 79+179 101+157 107+151 109+149 127+131
259,   7⋅37,       
260,   2²⋅5⋅13,    3+257 19+241 31+229 37+223 61+199 67+193 79+181 97+163 103+157 109+151
261,   3²⋅29,      
262,   2⋅131,      5+257 11+251 23+239 29+233 71+191 83+179 89+173 113+149 131+131
263,   263,        
264,   2³⋅3⋅11,    7+257 13+251 23+241 31+233 37+227 41+223 53+211 67+197 71+193 73+191 83+181 97+167 101+163 107+157 113+151 127+137
265,   5⋅53,       
266,   2⋅7⋅19,     3+263 37+229 43+223 67+199 73+193 103+163 109+157 127+139
267,   3⋅89,       
268,   2²⋅67,      5+263 11+257 17+251 29+239 41+227 71+197 89+179 101+167 131+137
269,   269,        
270,   2⋅3³⋅5,     7+263 13+257 19+251 29+241 31+239 37+233 41+229 43+227 47+223 59+211 71+199 73+197 79+191 89+181 97+173 103+167 107+163 113+157 131+139
271,   271,        
272,   2⁴⋅17,      3+269 31+241 43+229 61+211 73+199 79+193 109+163
273,   3⋅7⋅13,     
274,   2⋅137,      3+271 5+269 11+263 17+257 23+251 41+233 47+227 83+191 101+173 107+167 137+137
275,   5²⋅11,      
276,   2²⋅3⋅23,    5+271 7+269 13+263 19+257 37+239 43+233 47+229 53+223 79+197 83+193 97+179 103+173 109+167 113+163 127+149 137+139
277,   277,        
278,   2⋅139,      7+271 37+241 67+211 79+199 97+181 127+151 139+139
279,   3²⋅31,      
280,   2³⋅5⋅7,     3+277 11+269 17+263 23+257 29+251 41+239 47+233 53+227 83+197 89+191 101+179 107+173 113+167 131+149
281,   281,        
282,   2⋅3⋅47,     5+277 11+271 13+269 19+263 31+251 41+241 43+239 53+229 59+223 71+211 83+199 89+193 101+181 103+179 109+173 131+151
283,   283,        
284,   2²⋅71,      3+281 7+277 13+271 43+241 61+223 73+211 103+181 127+157
285,   3⋅5⋅19,     
286,   2⋅11⋅13,    3+283 5+281 17+269 23+263 29+257 47+239 53+233 59+227 89+197 107+179 113+173 137+149
287,   7⋅41,       
288,   2⁵⋅3²,      5+283 7+281 11+277 17+271 19+269 31+257 37+251 47+241 59+229 61+227 89+199 97+191 107+181 109+179 131+157 137+151 139+149
289,   17²,        
290,   2⋅5⋅29,     7+283 13+277 19+271 61+229 67+223 79+211 97+193 109+181 127+163 139+151
291,   3⋅97,       
292,   2²⋅73,      11+281 23+269 29+263 41+251 53+239 59+233 101+191 113+179
293,   293,        
294,   2⋅3⋅7²,     11+283 13+281 17+277 23+271 31+263 37+257 43+251 53+241 61+233 67+227 71+223 83+211 97+197 101+193 103+191 113+181 127+167 131+163 137+157
