# Stopping distance group fractal

Every row here will terminate in 6 steps. This is every number under 10000 with that stopping distance.
Note they largely diverge then largely converge again.
Also note the shameless self-similar hierarchy that appears in the binary digits when sorted.

`nl` is the 2-adic odd core/valuation of n's even neighbor to the left
`nr` is the 2-adic odd core/valuation of n's even neighbor to the right

   n,         nl,        nr,  dist,           binary,  hey_look_a_fractal,   factors,       orbit
2865,    (179 4),  (1433 1),     6,     101100110001,        █░██░░██░░░█,   {3 5 191},     2865 ->2149 ->403 ->605 ->227 ->341 ->1                   
2867,   (1433 1),   (717 2),     6,     101100110011,        █░██░░██░░██,   {47 61},       2867 ->4301 ->1613 ->605 ->227 ->341 ->1                   
4949,   (1237 2),  (2475 1),     6,    1001101010101,       █░░██░█░█░█░█,   {7 101},       4949 ->29 ->11 ->17 ->13 ->5 ->1                   
5005,   (1251 2),  (2503 1),     6,    1001110001101,       █░░███░░░██░█,   {5 7 11 13},   5005 ->1877 ->11 ->17 ->13 ->5 ->1                   
5141,   (1285 2),  (2571 1),     6,    1010000010101,       █░█░░░░░█░█░█,   {53 97},       5141 ->241 ->181 ->17 ->13 ->5 ->1                   
5155,   (2577 1),  (1289 2),     6,    1010000100011,       █░█░░░░█░░░██,   {5 1031},      5155 ->7733 ->725 ->17 ->13 ->5 ->1                   
5205,   (1301 2),  (2603 1),     6,    1010001010101,       █░█░░░█░█░█░█,   {3 5 347},     5205 ->61 ->23 ->35 ->53 ->5 ->1                   
5233,    (327 4),  (2617 1),     6,    1010001110001,       █░█░░░███░░░█,   {5233},        5233 ->3925 ->23 ->35 ->53 ->5 ->1                   
5251,   (2625 1),  (1313 2),     6,    1010010000011,       █░█░░█░░░░░██,   {59 89},       5251 ->7877 ->1477 ->277 ->13 ->5 ->1                   
5253,   (1313 2),  (2627 1),     6,    1010010000101,       █░█░░█░░░░█░█,   {3 17 103},    5253 ->985 ->739 ->1109 ->13 ->5 ->1                   
5301,   (1325 2),  (2651 1),     6,    1010010110101,       █░█░░█░██░█░█,   {3 19 31},     5301 ->497 ->373 ->35 ->53 ->5 ->1                   
5357,   (1339 2),  (2679 1),     6,    1010011101101,       █░█░░███░██░█,   {11 487},      5357 ->2009 ->1507 ->2261 ->53 ->5 ->1                   
5391,   (2695 1),   (337 4),     6,    1010100001111,       █░█░█░░░░████,   {3 599},       5391 ->8087 ->12131 ->18197 ->853 ->5 ->1                   
5701,   (1425 2),  (2851 1),     6,    1011001000101,       █░██░░█░░░█░█,   {5701},        5701 ->1069 ->401 ->301 ->113 ->85 ->1                   
5707,   (2853 1),  (1427 2),     6,    1011001001011,       █░██░░█░░█░██,   {13 439},      5707 ->8561 ->6421 ->301 ->113 ->85 ->1                   
5709,   (1427 2),  (2855 1),     6,    1011001001101,       █░██░░█░░██░█,   {3 11 173},    5709 ->2141 ->803 ->1205 ->113 ->85 ->1                   
5725,   (1431 2),  (2863 1),     6,    1011001011101,       █░██░░█░███░█,   {5 229},       5725 ->2147 ->3221 ->151 ->227 ->341 ->1                   
5729,    (179 5),  (2865 1),     6,    1011001100001,       █░██░░██░░░░█,   {17 337},      5729 ->4297 ->3223 ->4835 ->7253 ->85 ->1                   
5731,   (2865 1),  (1433 2),     6,    1011001100011,       █░██░░██░░░██,   {11 521},      5731 ->8597 ->403 ->605 ->227 ->341 ->1                   
5733,   (1433 2),  (2867 1),     6,    1011001100101,       █░██░░██░░█░█,   {3 7 13},      5733 ->1075 ->1613 ->605 ->227 ->341 ->1                   
9557,   (2389 2),  (4779 1),     6,   10010101010101,      █░░█░█░█░█░█░█,   {19 503},      9557 ->7 ->11 ->17 ->13 ->5 ->1                   

Distance group 42 for comparison:

 n,         nl,       nr,   dist,         binary,     another_one,  factors,      orbit
73,       (9 3),   (37 1),    42,        1001001,         █░░█░░█,  {73},         73 ->55 ->83 ->125 ->47 ->71 ->107 ->161 ->121 ->91 ->137 ->103 ->155 ->233 ->175 ->263 ->395 ->593 ->445 ->167 ->251 ->377 ->283 ->425 ->319 ->479 ->719 ->1079 ->1619 ->2429 ->911 ->1367 ->2051 ->3077 ->577 ->433 ->325 ->61 ->23 ->35 ->53 ->5 ->1
145,      (9 4),   (73 1),    42,       10010001,        █░░█░░░█,  {5 29},       145 ->109 ->41 ->31 ->47 ->71 ->107 ->161 ->121 ->91 ->137 ->103 ->155 ->233 ->175 ->263 ->395 ->593 ->445 ->167 ->251 ->377 ->283 ->425 ->319 ->479 ->719 ->1079 ->1619 ->2429 ->911 ->1367 ->2051 ->3077 ->577 ->433 ->325 ->61 ->23 ->35 ->53 ->5 ->1
147,     (73 1),   (37 2),    42,       10010011,        █░░█░░██,  {3 7},        147 ->221 ->83 ->125 ->47 ->71 ->107 ->161 ->121 ->91 ->137 ->103 ->155 ->233 ->175 ->263 ->395 ->593 ->445 ->167 ->251 ->377 ->283 ->425 ->319 ->479 ->719 ->1079 ->1619 ->2429 ->911 ->1367 ->2051 ->3077 ->577 ->433 ->325 ->61 ->23 ->35 ->53 ->5 ->1
291,    (145 1),   (73 2),    42,      100100011,       █░░█░░░██,  {3 97},       291 ->437 ->41 ->31 ->47 ->71 ->107 ->161 ->121 ->91 ->137 ->103 ->155 ->233 ->175 ->263 ->395 ->593 ->445 ->167 ->251 ->377 ->283 ->425 ->319 ->479 ->719 ->1079 ->1619 ->2429 ->911 ->1367 ->2051 ->3077 ->577 ->433 ->325 ->61 ->23 ->35 ->53 ->5 ->1
293,     (73 2),  (147 1),    42,      100100101,       █░░█░░█░█,  {293},        293 ->55 ->83 ->125 ->47 ->71 ->107 ->161 ->121 ->91 ->137 ->103 ->155 ->233 ->175 ->263 ->395 ->593 ->445 ->167 ->251 ->377 ->283 ->425 ->319 ->479 ->719 ->1079 ->1619 ->2429 ->911 ->1367 ->2051 ->3077 ->577 ->433 ->325 ->61 ->23 ->35 ->53 ->5 ->1
299,    (149 1),   (75 2),    42,      100101011,       █░░█░█░██,  {13 23},      299 ->449 ->337 ->253 ->95 ->143 ->215 ->323 ->485 ->91 ->137 ->103 ->155 ->233 ->175 ->263 ->395 ->593 ->445 ->167 ->251 ->377 ->283 ->425 ->319 ->479 ->719 ->1079 ->1619 ->2429 ->911 ->1367 ->2051 ->3077 ->577 ->433 ->325 ->61 ->23 ->35 ->53 ->5 ->1
581,    (145 2),  (291 1),    42,     1001000101,      █░░█░░░█░█,  {7 83},       581 ->109 ->41 ->31 ->47 ->71 ->107 ->161 ->121 ->91 ->137 ->103 ->155 ->233 ->175 ->263 ->395 ->593 ->445 ->167 ->251 ->377 ->283 ->425 ->319 ->479 ->719 ->1079 ->1619 ->2429 ->911 ->1367 ->2051 ->3077 ->577 ->433 ->325 ->61 ->23 ->35 ->53 ->5 ->1
587,    (293 1),  (147 2),    42,     1001001011,      █░░█░░█░██,  {587},        587 ->881 ->661 ->31 ->47 ->71 ->107 ->161 ->121 ->91 ->137 ->103 ->155 ->233 ->175 ->263 ->395 ->593 ->445 ->167 ->251 ->377 ->283 ->425 ->319 ->479 ->719 ->1079 ->1619 ->2429 ->911 ->1367 ->2051 ->3077 ->577 ->433 ->325 ->61 ->23 ->35 ->53 ->5 ->1
589,    (147 2),  (295 1),    42,     1001001101,      █░░█░░██░█,  {19 31},      589 ->221 ->83 ->125 ->47 ->71 ->107 ->161 ->121 ->91 ->137 ->103 ->155 ->233 ->175 ->263 ->395 ->593 ->445 ->167 ->251 ->377 ->283 ->425 ->319 ->479 ->719 ->1079 ->1619 ->2429 ->911 ->1367 ->2051 ->3077 ->577 ->433 ->325 ->61 ->23 ->35 ->53 ->5 ->1
599,    (299 1),   (75 3),    42,     1001010111,      █░░█░█░███,  {599},        599 ->899 ->1349 ->253 ->95 ->143 ->215 ->323 ->485 ->91 ->137 ->103 ->155 ->233 ->175 ->263 ->395 ->593 ->445 ->167 ->251 ->377 ->283 ->425 ->319 ->479 ->719 ->1079 ->1619 ->2429 ->911 ->1367 ->2051 ->3077 ->577 ->433 ->325 ->61 ->23 ->35 ->53 ->5 ->1
1165,   (291 2),  (583 1),    42,    10010001101,     █░░█░░░██░█,  {5 233},      1165 ->437 ->41 ->31 ->47 ->71 ->107 ->161 ->121 ->91 ->137 ->103 ->155 ->233 ->175 ->263 ->395 ->593 ->445 ->167 ->251 ->377 ->283 ->425 ->319 ->479 ->719 ->1079 ->1619 ->2429 ->911 ->1367 ->2051 ->3077 ->577 ->433 ->325 ->61 ->23 ->35 ->53 ->5 ->1
1173,   (293 2),  (587 1),    42,    10010010101,     █░░█░░█░█░█,  {3 17 23},    1173 ->55 ->83 ->125 ->47 ->71 ->107 ->161 ->121 ->91 ->137 ->103 ->155 ->233 ->175 ->263 ->395 ->593 ->445 ->167 ->251 ->377 ->283 ->425 ->319 ->479 ->719 ->1079 ->1619 ->2429 ->911 ->1367 ->2051 ->3077 ->577 ->433 ->325 ->61 ->23 ->35 ->53 ->5 ->1
1175,   (587 1),  (147 3),    42,    10010010111,     █░░█░░█░███,  {5 47},       1175 ->1763 ->2645 ->31 ->47 ->71 ->107 ->161 ->121 ->91 ->137 ->103 ->155 ->233 ->175 ->263 ->395 ->593 ->445 ->167 ->251 ->377 ->283 ->425 ->319 ->479 ->719 ->1079 ->1619 ->2429 ->911 ->1367 ->2051 ->3077 ->577 ->433 ->325 ->61 ->23 ->35 ->53 ->5 ->1
1195,   (597 1),  (299 2),    42,    10010101011,     █░░█░█░█░██,  {5 239},      1195 ->1793 ->1345 ->1009 ->757 ->71 ->107 ->161 ->121 ->91 ->137 ->103 ->155 ->233 ->175 ->263 ->395 ->593 ->445 ->167 ->251 ->377 ->283 ->425 ->319 ->479 ->719 ->1079 ->1619 ->2429 ->911 ->1367 ->2051 ->3077 ->577 ->433 ->325 ->61 ->23 ->35 ->53 ->5 ->1
1197,   (299 2),  (599 1),    42,    10010101101,     █░░█░█░██░█,  {3 7 19},     1197 ->449 ->337 ->253 ->95 ->143 ->215 ->323 ->485 ->91 ->137 ->103 ->155 ->233 ->175 ->263 ->395 ->593 ->445 ->167 ->251 ->377 ->283 ->425 ->319 ->479 ->719 ->1079 ->1619 ->2429 ->911 ->1367 ->2051 ->3077 ->577 ->433 ->325 ->61 ->23 ->35 ->53 ->5 ->1
2215,  (1107 1),  (277 3),    42,   100010100111,    █░░░█░█░░███,  {5 443},      2215 ->3323 ->4985 ->3739 ->5609 ->4207 ->6311 ->9467 ->14201 ->10651 ->15977 ->11983 ->17975 ->26963 ->40445 ->15167 ->22751 ->34127 ->51191 ->76787 ->115181 ->43193 ->32395 ->48593 ->36445 ->13667 ->20501 ->961 ->721 ->541 ->203 ->305 ->229 ->43 ->65 ->49 ->37 ->7 ->11 ->17 ->13 ->5 ->1
2287,  (1143 1),  (143 4),    42,   100011101111,    █░░░███░████,  {2287},       2287 ->3431 ->5147 ->7721 ->5791 ->8687 ->13031 ->19547 ->29321 ->21991 ->32987 ->49481 ->37111 ->55667 ->83501 ->31313 ->23485 ->8807 ->13211 ->19817 ->14863 ->22295 ->33443 ->50165 ->4703 ->7055 ->10583 ->15875 ->23813 ->4465 ->3349 ->157 ->59 ->89 ->67 ->101 ->19 ->29 ->11 ->17 ->13 ->5 ->1
2325,   (581 2), (1163 1),    42,   100100010101,    █░░█░░░█░█░█,  {3 5 31},     2325 ->109 ->41 ->31 ->47 ->71 ->107 ->161 ->121 ->91 ->137 ->103 ->155 ->233 ->175 ->263 ->395 ->593 ->445 ->167 ->251 ->377 ->283 ->425 ->319 ->479 ->719 ->1079 ->1619 ->2429 ->911 ->1367 ->2051 ->3077 ->577 ->433 ->325 ->61 ->23 ->35 ->53 ->5 ->1
